name,date,open_price,close_price,high_price,low_price,volume,market
CFR,04-Jan-2010,50.32,50.45,49.93,50.09,404000,NYSE
CFR,05-Jan-2010,50.0,50.23,49.63,50.04,627100,NYSE
CFR,06-Jan-2010,49.93,50.59,49.55,50.35,657200,NYSE
CFR,07-Jan-2010,50.11,51.71,49.94,51.42,577800,NYSE
CFR,08-Jan-2010,51.39,51.72,50.88,51.2,388300,NYSE
CFR,11-Jan-2010,51.62,51.7,50.52,50.62,327900,NYSE
CFR,12-Jan-2010,50.39,50.55,49.84,50.16,298200,NYSE
CFR,13-Jan-2010,50.49,51.38,49.93,51.19,312800,NYSE
CFR,14-Jan-2010,51.0,52.04,51.0,51.81,243500,NYSE
CFR,15-Jan-2010,51.75,52.09,51.02,51.61,441300,NYSE
CFR,19-Jan-2010,51.5,52.48,51.4,52.21,307000,NYSE
CFR,20-Jan-2010,51.86,52.44,51.35,52.15,255400,NYSE
CFR,21-Jan-2010,52.08,53.2,51.97,52.34,560900,NYSE
CFR,22-Jan-2010,52.16,52.71,51.18,51.44,411400,NYSE
CFR,25-Jan-2010,51.87,51.87,50.68,51.45,367300,NYSE
CFR,26-Jan-2010,51.5,53.11,51.27,51.71,727000,NYSE
CFR,27-Jan-2010,51.56,52.77,51.39,52.63,607400,NYSE
CFR,28-Jan-2010,52.87,53.18,51.91,52.44,545300,NYSE
CFR,29-Jan-2010,52.48,52.48,51.32,51.32,508500,NYSE
CFR,01-Feb-2010,51.6,51.97,51.31,51.7,355200,NYSE
CFR,02-Feb-2010,51.9,52.41,51.34,52.18,359500,NYSE
CFR,03-Feb-2010,52.05,52.08,51.2,51.51,425600,NYSE
CFR,04-Feb-2010,51.22,51.68,50.91,51.0,630700,NYSE
CFR,05-Feb-2010,51.13,52.02,50.48,51.6,530300,NYSE
CFR,08-Feb-2010,51.52,51.63,50.93,50.93,264100,NYSE
CFR,09-Feb-2010,51.28,51.71,50.76,51.23,395500,NYSE
CFR,10-Feb-2010,51.06,52.17,51.02,51.72,290700,NYSE
CFR,11-Feb-2010,51.76,52.23,51.5,52.13,247500,NYSE
CFR,12-Feb-2010,51.72,52.26,51.56,52.26,330400,NYSE
CFR,16-Feb-2010,52.6,53.04,52.15,53.04,378700,NYSE
CFR,17-Feb-2010,53.04,53.29,52.32,52.69,257500,NYSE
CFR,18-Feb-2010,52.82,53.05,52.63,52.89,161100,NYSE
CFR,19-Feb-2010,52.93,53.67,52.8,53.49,302300,NYSE
CFR,22-Feb-2010,53.28,53.99,53.28,53.82,203300,NYSE
CFR,23-Feb-2010,53.57,53.95,53.4,53.65,402200,NYSE
CFR,24-Feb-2010,53.94,54.75,53.72,54.42,460200,NYSE
CFR,25-Feb-2010,53.56,53.97,52.74,53.93,331700,NYSE
CFR,26-Feb-2010,54.04,54.22,53.51,54.15,386200,NYSE
CFR,01-Mar-2010,54.08,54.28,53.78,54.09,456400,NYSE
