name,date,open_price,close_price,high_price,low_price,volume,market
CHA,04-Jan-2010,42.0,42.3,41.87,42.17,156300,NYSE
CHA,05-Jan-2010,42.9,43.18,42.8,43.08,166400,NYSE
CHA,06-Jan-2010,44.12,44.23,43.88,44.02,287200,NYSE
CHA,07-Jan-2010,43.42,43.56,43.28,43.4,221100,NYSE
CHA,08-Jan-2010,44.56,44.63,44.21,44.55,363900,NYSE
CHA,11-Jan-2010,45.27,45.35,44.86,45.16,270600,NYSE
CHA,12-Jan-2010,45.15,45.48,44.6,45.02,383100,NYSE
CHA,13-Jan-2010,44.03,44.03,43.63,43.9,156300,NYSE
CHA,14-Jan-2010,45.1,45.3,45.07,45.25,211500,NYSE
CHA,15-Jan-2010,45.22,45.22,44.7,44.85,194800,NYSE
CHA,19-Jan-2010,44.98,45.28,44.87,45.21,186900,NYSE
CHA,20-Jan-2010,43.76,43.77,43.3,43.57,180600,NYSE
CHA,21-Jan-2010,42.4,42.81,41.43,41.62,264500,NYSE
CHA,22-Jan-2010,42.72,42.79,41.71,41.93,349800,NYSE
CHA,25-Jan-2010,43.65,43.87,42.58,43.04,285700,NYSE
CHA,26-Jan-2010,41.13,42.59,41.13,41.82,333800,NYSE
CHA,27-Jan-2010,41.4,41.59,40.81,41.41,181000,NYSE
CHA,28-Jan-2010,41.55,41.57,40.61,40.95,203900,NYSE
CHA,29-Jan-2010,41.74,41.85,40.97,41.03,281800,NYSE
CHA,01-Feb-2010,42.3,42.9,42.24,42.69,380200,NYSE
CHA,02-Feb-2010,43.03,43.4,42.61,43.31,137100,NYSE
CHA,03-Feb-2010,44.16,44.33,43.75,43.93,182300,NYSE
CHA,04-Feb-2010,42.66,42.84,41.68,41.68,188600,NYSE
CHA,05-Feb-2010,40.95,41.26,40.28,41.2,235300,NYSE
CHA,08-Feb-2010,40.98,41.19,40.57,40.72,159000,NYSE
CHA,09-Feb-2010,41.64,42.34,41.41,41.85,154000,NYSE
CHA,10-Feb-2010,42.06,42.34,41.53,42.06,110000,NYSE
CHA,11-Feb-2010,42.68,43.12,42.29,43.0,207900,NYSE
CHA,12-Feb-2010,42.29,42.33,41.76,42.24,116700,NYSE
CHA,16-Feb-2010,42.54,42.93,42.25,42.93,112700,NYSE
CHA,17-Feb-2010,43.07,43.42,42.9,43.1,104700,NYSE
CHA,18-Feb-2010,42.93,43.41,42.91,43.36,67700,NYSE
CHA,19-Feb-2010,41.85,42.32,41.7,42.16,247100,NYSE
CHA,22-Feb-2010,42.61,42.85,42.37,42.42,128300,NYSE
CHA,23-Feb-2010,43.04,43.21,42.23,42.34,152700,NYSE
CHA,24-Feb-2010,42.49,42.89,42.4,42.76,84400,NYSE
CHA,25-Feb-2010,42.25,42.8,41.72,42.73,134100,NYSE
CHA,26-Feb-2010,43.91,44.08,43.67,44.01,213800,NYSE
CHA,01-Mar-2010,44.99,45.38,44.9,45.3,211300,NYSE
CHA,02-Mar-2010,45.15,45.46,44.96,45.21,141500,NYSE
CHA,03-Mar-2010,45.45,46.07,45.42,45.58,206600,NYSE
CHA,04-Mar-2010,44.98,45.08,44.18,44.6,186300,NYSE
CHA,05-Mar-2010,45.49,45.85,44.85,45.85,134300,NYSE
CHA,08-Mar-2010,45.9,46.4,45.9,46.31,71600,NYSE
CHA,09-Mar-2010,45.59,46.23,45.53,45.95,94000,NYSE
CHA,10-Mar-2010,45.35,45.8,45.35,45.5,101000,NYSE
CHA,11-Mar-2010,45.05,45.42,44.84,45.37,74500,NYSE
CHA,12-Mar-2010,45.52,45.95,45.46,45.7,70800,NYSE
CHA,15-Mar-2010,45.25,45.25,44.69,45.06,86700,NYSE
CHA,16-Mar-2010,44.79,45.14,44.62,45.05,65900,NYSE
CHA,17-Mar-2010,45.56,46.05,45.53,45.71,132400,NYSE
CHA,18-Mar-2010,45.44,45.62,45.19,45.28,90900,NYSE
