name,date,open_price,close_price,high_price,low_price,volume,market
CHE,04-Jan-2010,48.36,49.54,48.04,49.34,123200,NYSE
CHE,05-Jan-2010,49.32,49.5,48.33,48.7,163800,NYSE
CHE,06-Jan-2010,48.51,48.92,45.92,47.62,444300,NYSE
CHE,07-Jan-2010,47.54,48.02,47.25,47.82,80200,NYSE
CHE,08-Jan-2010,47.56,48.23,47.56,48.17,45900,NYSE
CHE,11-Jan-2010,48.32,48.74,47.69,48.25,86300,NYSE
CHE,12-Jan-2010,48.08,48.14,47.55,48.06,79800,NYSE
CHE,13-Jan-2010,48.06,49.0,47.93,48.63,81200,NYSE
CHE,14-Jan-2010,48.58,48.92,48.44,48.82,67300,NYSE
CHE,15-Jan-2010,49.02,49.08,48.25,49.01,108800,NYSE
CHE,19-Jan-2010,49.23,49.9,49.23,49.55,91400,NYSE
CHE,20-Jan-2010,49.34,49.55,47.6,48.39,149500,NYSE
CHE,21-Jan-2010,48.45,48.5,47.04,47.06,120100,NYSE
CHE,22-Jan-2010,47.17,48.31,46.48,47.81,201000,NYSE
CHE,25-Jan-2010,47.91,48.06,46.87,47.13,75000,NYSE
CHE,26-Jan-2010,47.15,47.87,46.71,47.44,66900,NYSE
CHE,27-Jan-2010,47.4,48.24,47.27,47.59,77400,NYSE
CHE,28-Jan-2010,47.59,47.59,45.9,46.41,89700,NYSE
CHE,29-Jan-2010,46.4,47.33,46.21,46.5,132000,NYSE
CHE,01-Feb-2010,46.79,47.28,46.34,46.92,78000,NYSE
CHE,02-Feb-2010,46.92,47.39,46.56,47.03,75000,NYSE
CHE,03-Feb-2010,47.03,47.27,46.64,47.11,293100,NYSE
CHE,04-Feb-2010,47.0,47.63,46.86,46.93,163300,NYSE
CHE,05-Feb-2010,46.91,47.85,46.41,47.7,92100,NYSE
CHE,08-Feb-2010,47.52,47.85,47.23,47.32,50600,NYSE
CHE,09-Feb-2010,47.63,48.28,47.52,48.12,80800,NYSE
CHE,10-Feb-2010,47.86,48.18,47.43,47.89,48900,NYSE
CHE,11-Feb-2010,47.87,48.5,47.52,48.43,60000,NYSE
CHE,12-Feb-2010,48.18,49.4,47.94,49.4,113200,NYSE
CHE,16-Feb-2010,49.89,51.37,49.86,51.25,192200,NYSE
CHE,17-Feb-2010,50.21,52.92,50.15,52.84,249600,NYSE
CHE,18-Feb-2010,52.81,53.03,52.49,52.83,219200,NYSE
CHE,19-Feb-2010,52.92,54.47,52.92,53.37,273500,NYSE
CHE,22-Feb-2010,53.33,53.57,53.0,53.2,176700,NYSE
CHE,23-Feb-2010,53.23,54.17,52.72,53.82,153400,NYSE
CHE,24-Feb-2010,53.79,54.57,53.79,54.46,107500,NYSE
CHE,25-Feb-2010,53.78,54.18,53.16,53.91,100100,NYSE
CHE,26-Feb-2010,53.78,54.34,53.55,53.56,157100,NYSE
CHE,01-Mar-2010,53.63,54.62,53.63,54.56,197500,NYSE
CHE,02-Mar-2010,54.73,54.99,54.26,54.53,294900,NYSE
CHE,03-Mar-2010,54.45,55.03,54.01,54.28,171400,NYSE
CHE,04-Mar-2010,54.24,54.69,53.96,54.05,138000,NYSE
CHE,05-Mar-2010,54.24,55.41,53.96,55.19,202400,NYSE
CHE,08-Mar-2010,55.01,55.35,54.93,55.05,100300,NYSE
CHE,09-Mar-2010,55.06,55.85,55.0,55.62,248000,NYSE
CHE,10-Mar-2010,55.48,56.04,55.36,55.72,118500,NYSE
CHE,11-Mar-2010,55.36,55.95,55.26,55.94,77600,NYSE
CHE,12-Mar-2010,55.94,56.43,55.63,56.0,107100,NYSE
CHE,15-Mar-2010,55.76,56.66,55.56,56.28,118800,NYSE
CHE,16-Mar-2010,56.51,56.68,55.48,55.97,161000,NYSE
CHE,17-Mar-2010,55.88,56.74,55.79,56.38,87100,NYSE
CHE,18-Mar-2010,56.23,57.0,56.15,56.91,91900,NYSE
CHE,19-Mar-2010,57.0,57.0,56.2,56.64,128300,NYSE
CHE,22-Mar-2010,56.29,57.3,55.5,57.18,83600,NYSE
CHE,23-Mar-2010,56.51,56.55,53.82,55.04,297500,NYSE
CHE,24-Mar-2010,54.67,55.12,54.47,54.53,185900,NYSE
CHE,25-Mar-2010,54.61,55.41,54.22,54.29,95700,NYSE
CHE,26-Mar-2010,54.52,54.72,54.26,54.37,114700,NYSE
CHE,29-Mar-2010,54.36,54.81,53.99,54.49,78100,NYSE
CHE,30-Mar-2010,54.38,55.28,54.38,55.05,71900,NYSE
CHE,31-Mar-2010,54.73,55.19,54.36,54.38,98200,NYSE
CHE,01-Apr-2010,54.47,54.97,53.77,54.2,75200,NYSE
CHE,05-Apr-2010,54.61,55.13,54.51,55.12,85100,NYSE
CHE,06-Apr-2010,54.91,55.5,54.8,55.35,78400,NYSE
CHE,07-Apr-2010,55.14,55.53,54.64,55.47,130000,NYSE
CHE,08-Apr-2010,55.23,55.43,54.69,55.28,65600,NYSE
CHE,09-Apr-2010,55.19,55.27,54.37,55.19,62600,NYSE
CHE,12-Apr-2010,55.25,55.33,54.77,55.14,123900,NYSE
CHE,13-Apr-2010,54.96,55.5,54.58,55.4,50200,NYSE
CHE,14-Apr-2010,55.6,56.7,55.4,56.67,200100,NYSE
CHE,15-Apr-2010,56.5,56.75,56.02,56.51,62300,NYSE
CHE,16-Apr-2010,56.56,56.97,56.24,56.4,123600,NYSE
CHE,19-Apr-2010,56.06,56.58,55.79,56.28,126000,NYSE
CHE,20-Apr-2010,56.18,56.79,56.01,56.55,95600,NYSE
CHE,21-Apr-2010,56.31,56.62,54.29,55.18,222000,NYSE
CHE,22-Apr-2010,54.94,55.57,54.23,55.33,140200,NYSE
CHE,23-Apr-2010,55.46,55.55,54.5,55.03,103900,NYSE
CHE,26-Apr-2010,55.15,55.15,54.51,54.86,97900,NYSE
CHE,27-Apr-2010,54.7,55.45,54.53,54.65,137200,NYSE
CHE,28-Apr-2010,55.11,55.16,54.44,54.67,90100,NYSE
CHE,29-Apr-2010,54.82,55.89,54.33,55.88,115900,NYSE
CHE,30-Apr-2010,56.02,56.19,55.0,55.01,176800,NYSE
CHE,03-May-2010,55.08,55.55,54.88,55.49,99000,NYSE
CHE,04-May-2010,54.76,54.76,53.87,54.22,103800,NYSE
CHE,05-May-2010,54.0,54.6,53.65,54.19,118900,NYSE
CHE,06-May-2010,54.05,54.81,48.74,53.02,165100,NYSE
CHE,07-May-2010,53.03,53.03,51.02,51.31,174000,NYSE
CHE,10-May-2010,52.61,53.75,52.54,53.59,95400,NYSE
CHE,11-May-2010,53.16,55.33,53.06,54.93,133300,NYSE
CHE,12-May-2010,55.15,55.99,54.8,55.92,125500,NYSE
CHE,13-May-2010,55.62,56.32,55.4,55.77,103800,NYSE
CHE,14-May-2010,55.4,55.72,54.96,55.66,91800,NYSE
CHE,17-May-2010,56.0,56.75,55.2,56.74,137800,NYSE
CHE,18-May-2010,57.0,57.0,55.69,55.97,99300,NYSE
CHE,19-May-2010,55.9,56.2,55.18,55.57,83000,NYSE
CHE,20-May-2010,54.74,55.17,53.6,53.66,143000,NYSE
CHE,21-May-2010,52.79,54.34,52.76,53.69,171600,NYSE
CHE,24-May-2010,53.59,57.63,53.59,56.87,472700,NYSE
CHE,25-May-2010,56.58,57.88,56.44,57.59,381300,NYSE
CHE,26-May-2010,57.78,58.6,56.76,57.06,178900,NYSE
CHE,27-May-2010,57.92,58.1,57.12,57.75,284300,NYSE
CHE,28-May-2010,57.63,57.63,56.89,56.91,110500,NYSE
CHE,01-Jun-2010,56.64,56.99,55.94,56.0,105900,NYSE
CHE,02-Jun-2010,56.0,57.57,55.85,57.55,184800,NYSE
CHE,03-Jun-2010,57.31,57.94,56.89,57.81,84900,NYSE
CHE,04-Jun-2010,57.0,57.13,56.28,56.45,170700,NYSE
CHE,07-Jun-2010,56.59,56.83,55.36,55.49,122400,NYSE
CHE,08-Jun-2010,55.78,55.8,54.42,55.21,133400,NYSE
CHE,09-Jun-2010,55.68,55.96,55.16,55.55,133800,NYSE
CHE,10-Jun-2010,56.17,56.27,55.8,56.2,110600,NYSE
CHE,11-Jun-2010,55.9,56.62,55.54,56.48,89700,NYSE
CHE,14-Jun-2010,56.92,57.36,56.49,56.94,106800,NYSE
CHE,15-Jun-2010,57.42,58.16,57.17,58.02,116400,NYSE
CHE,16-Jun-2010,57.57,58.22,57.42,57.92,69500,NYSE
CHE,17-Jun-2010,58.12,58.4,57.75,58.34,75400,NYSE
CHE,18-Jun-2010,58.53,58.68,57.9,58.27,133500,NYSE
CHE,21-Jun-2010,58.97,58.97,57.87,58.02,166300,NYSE
CHE,22-Jun-2010,58.02,58.63,56.85,56.93,127300,NYSE
CHE,23-Jun-2010,56.79,56.79,55.84,56.13,79900,NYSE
CHE,24-Jun-2010,55.88,56.39,55.38,55.41,67500,NYSE
CHE,25-Jun-2010,55.59,56.4,55.15,55.89,129900,NYSE
CHE,28-Jun-2010,55.83,56.34,55.33,55.51,91600,NYSE
CHE,29-Jun-2010,54.8,55.2,54.27,54.62,134800,NYSE
CHE,30-Jun-2010,54.74,55.71,54.2,54.64,153800,NYSE
CHE,01-Jul-2010,54.39,54.39,52.63,53.35,121900,NYSE
CHE,02-Jul-2010,53.55,53.55,52.29,52.47,91600,NYSE
CHE,06-Jul-2010,53.27,53.42,51.73,51.98,129700,NYSE
CHE,07-Jul-2010,52.01,53.78,51.78,53.71,139700,NYSE
CHE,08-Jul-2010,54.06,54.45,53.77,54.25,81200,NYSE
CHE,09-Jul-2010,54.31,54.37,53.4,53.54,90300,NYSE
CHE,12-Jul-2010,53.49,53.64,52.73,53.04,58900,NYSE
CHE,13-Jul-2010,53.73,55.35,53.42,55.23,108400,NYSE
CHE,14-Jul-2010,55.13,55.21,54.26,54.4,147400,NYSE
CHE,15-Jul-2010,54.55,54.55,53.47,53.83,136000,NYSE
CHE,16-Jul-2010,53.43,53.73,53.14,53.49,145400,NYSE
CHE,19-Jul-2010,53.73,53.86,53.05,53.54,88300,NYSE
CHE,20-Jul-2010,53.1,54.18,52.65,54.14,171800,NYSE
CHE,21-Jul-2010,54.38,54.38,52.73,52.75,98800,NYSE
CHE,22-Jul-2010,53.41,53.7,52.69,52.98,199300,NYSE
CHE,23-Jul-2010,52.8,53.78,52.71,53.72,129400,NYSE
CHE,26-Jul-2010,53.96,55.38,53.86,55.36,101200,NYSE
CHE,27-Jul-2010,55.73,55.9,54.72,55.03,95900,NYSE
CHE,28-Jul-2010,54.87,55.19,54.17,54.27,58700,NYSE
CHE,29-Jul-2010,54.4,55.85,53.48,53.77,116900,NYSE
CHE,30-Jul-2010,53.04,53.38,52.16,52.92,95700,NYSE
CHE,02-Aug-2010,53.57,53.8,52.76,53.3,85800,NYSE
CHE,03-Aug-2010,53.21,54.19,52.61,53.31,102800,NYSE
CHE,04-Aug-2010,53.43,54.31,53.22,54.01,62400,NYSE
CHE,05-Aug-2010,53.65,53.99,53.19,53.71,42800,NYSE
CHE,06-Aug-2010,53.13,53.46,52.23,53.1,85700,NYSE
CHE,09-Aug-2010,53.3,53.89,53.3,53.84,48200,NYSE
CHE,10-Aug-2010,53.39,54.02,53.12,53.37,68200,NYSE
CHE,11-Aug-2010,52.5,52.71,51.94,51.99,113700,NYSE
CHE,12-Aug-2010,51.06,51.89,51.0,51.59,79900,NYSE
CHE,13-Aug-2010,51.35,51.42,50.57,50.66,91300,NYSE
CHE,16-Aug-2010,50.42,51.68,50.11,51.59,90500,NYSE
CHE,17-Aug-2010,52.0,52.81,51.77,52.62,90700,NYSE
CHE,18-Aug-2010,52.43,52.72,51.95,52.49,89700,NYSE
CHE,19-Aug-2010,52.26,52.32,50.83,50.96,96500,NYSE
CHE,20-Aug-2010,50.74,50.94,50.1,50.72,104200,NYSE
CHE,23-Aug-2010,50.88,51.29,50.0,50.07,84500,NYSE
CHE,24-Aug-2010,49.58,50.71,49.49,49.52,91300,NYSE
CHE,25-Aug-2010,49.22,51.2,49.22,50.83,124900,NYSE
CHE,26-Aug-2010,50.92,51.3,50.16,50.26,44800,NYSE
CHE,27-Aug-2010,50.58,51.34,49.68,51.19,69000,NYSE
CHE,30-Aug-2010,50.99,51.26,50.09,50.11,64700,NYSE
CHE,31-Aug-2010,50.16,50.59,49.6,49.9,99500,NYSE
CHE,01-Sep-2010,50.4,51.83,50.19,51.81,103000,NYSE
CHE,02-Sep-2010,51.7,52.05,51.26,51.95,42400,NYSE
CHE,03-Sep-2010,52.45,52.69,51.95,52.59,58100,NYSE
CHE,07-Sep-2010,52.46,52.48,51.37,51.51,80700,NYSE
CHE,08-Sep-2010,51.66,51.97,51.29,51.64,53200,NYSE
CHE,09-Sep-2010,52.21,52.34,51.61,52.14,38600,NYSE
CHE,10-Sep-2010,52.29,52.76,52.15,52.52,64400,NYSE
CHE,13-Sep-2010,52.94,54.22,52.79,54.09,119200,NYSE
CHE,14-Sep-2010,53.91,54.13,53.64,53.8,74100,NYSE
CHE,15-Sep-2010,53.74,54.59,53.74,54.53,81100,NYSE
CHE,16-Sep-2010,54.53,54.65,54.04,54.29,37000,NYSE
CHE,17-Sep-2010,54.88,56.05,53.99,54.83,155800,NYSE
CHE,20-Sep-2010,55.04,56.37,54.71,56.34,102700,NYSE
CHE,21-Sep-2010,56.42,56.74,56.06,56.21,73400,NYSE
CHE,22-Sep-2010,56.08,56.36,55.52,56.28,59000,NYSE
CHE,23-Sep-2010,55.83,56.61,55.08,55.21,74200,NYSE
CHE,24-Sep-2010,55.96,56.94,55.3,56.91,75300,NYSE
CHE,27-Sep-2010,56.99,57.0,56.09,56.42,41400,NYSE
CHE,28-Sep-2010,56.72,57.45,55.86,57.3,73300,NYSE
CHE,29-Sep-2010,57.0,57.43,57.0,57.17,87500,NYSE
CHE,30-Sep-2010,57.66,57.79,56.5,56.97,110500,NYSE
CHE,01-Oct-2010,57.45,57.67,56.12,56.5,120900,NYSE
CHE,04-Oct-2010,56.4,56.4,55.14,55.41,97500,NYSE
CHE,05-Oct-2010,56.05,56.47,55.5,56.21,234300,NYSE
CHE,06-Oct-2010,56.03,56.27,55.63,55.83,92400,NYSE
CHE,07-Oct-2010,56.26,56.26,55.47,55.49,146300,NYSE
CHE,08-Oct-2010,55.65,56.11,55.22,55.88,96000,NYSE
CHE,11-Oct-2010,56.0,56.42,55.71,55.88,40100,NYSE
CHE,12-Oct-2010,55.67,56.41,55.22,56.13,50800,NYSE
CHE,13-Oct-2010,56.38,57.59,56.14,57.39,86200,NYSE
CHE,14-Oct-2010,57.49,57.87,56.9,57.56,102000,NYSE
