name,date,open_price,close_price,high_price,low_price,volume,market
CMU,04-Jan-2010,4.46,4.46,4.35,4.43,57800,NYSE
CMU,05-Jan-2010,4.44,4.47,4.42,4.45,26900,NYSE
CMU,06-Jan-2010,4.48,4.57,4.47,4.53,80100,NYSE
CMU,07-Jan-2010,4.59,4.59,4.5,4.52,51000,NYSE
CMU,08-Jan-2010,4.46,4.53,4.45,4.51,42900,NYSE
CMU,11-Jan-2010,4.55,4.58,4.53,4.54,57200,NYSE
CMU,12-Jan-2010,4.54,4.56,4.49,4.49,65300,NYSE
CMU,13-Jan-2010,4.53,4.53,4.49,4.49,29500,NYSE
CMU,14-Jan-2010,4.49,4.55,4.49,4.52,25100,NYSE
CMU,15-Jan-2010,4.51,4.51,4.45,4.49,48100,NYSE
CMU,19-Jan-2010,4.51,4.51,4.49,4.51,24700,NYSE
CMU,20-Jan-2010,4.53,4.53,4.48,4.49,29900,NYSE
CMU,21-Jan-2010,4.51,4.53,4.46,4.46,60700,NYSE
CMU,22-Jan-2010,4.51,4.51,4.44,4.48,68200,NYSE
CMU,25-Jan-2010,4.48,4.51,4.45,4.48,28100,NYSE
CMU,26-Jan-2010,4.48,4.52,4.46,4.51,32800,NYSE
CMU,27-Jan-2010,4.52,4.52,4.48,4.51,31200,NYSE
CMU,28-Jan-2010,4.49,4.53,4.47,4.49,38100,NYSE
CMU,29-Jan-2010,4.52,4.52,4.43,4.45,69700,NYSE
CMU,01-Feb-2010,4.48,4.53,4.43,4.52,47600,NYSE
CMU,02-Feb-2010,4.57,4.59,4.53,4.59,62400,NYSE
CMU,03-Feb-2010,4.58,4.65,4.57,4.65,23000,NYSE
CMU,04-Feb-2010,4.6,4.6,4.56,4.59,17300,NYSE
CMU,05-Feb-2010,4.55,4.58,4.45,4.55,82100,NYSE
CMU,08-Feb-2010,4.57,4.58,4.53,4.58,41300,NYSE
CMU,09-Feb-2010,4.56,4.58,4.51,4.51,44800,NYSE
CMU,10-Feb-2010,4.51,4.54,4.44,4.47,67600,NYSE
CMU,11-Feb-2010,4.46,4.52,4.45,4.48,35400,NYSE
CMU,12-Feb-2010,4.47,4.48,4.45,4.45,23900,NYSE
CMU,16-Feb-2010,4.45,4.48,4.42,4.44,63900,NYSE
CMU,17-Feb-2010,4.44,4.48,4.41,4.48,82700,NYSE
