name,date,open_price,close_price,high_price,low_price,volume,market
COF,04-Jan-2010,38.66,39.14,38.55,39.05,4447400,NYSE
COF,05-Jan-2010,39.63,40.63,39.62,40.59,8030300,NYSE
COF,06-Jan-2010,40.35,40.97,40.2,40.81,5818900,NYSE
COF,07-Jan-2010,40.69,43.11,40.59,42.83,7885500,NYSE
COF,08-Jan-2010,42.43,43.19,42.01,42.46,6930100,NYSE
COF,11-Jan-2010,42.81,42.99,41.68,41.7,5299000,NYSE
COF,12-Jan-2010,41.48,42.2,41.32,41.86,6491800,NYSE
COF,13-Jan-2010,41.52,42.24,40.72,42.12,6079000,NYSE
COF,14-Jan-2010,41.81,42.1,41.29,41.67,4302600,NYSE
COF,15-Jan-2010,41.32,42.11,40.9,41.13,7223100,NYSE
COF,19-Jan-2010,40.97,43.09,40.81,43.01,7770800,NYSE
COF,20-Jan-2010,42.71,43.6,42.32,43.02,7280200,NYSE
COF,21-Jan-2010,42.86,43.54,41.45,42.7,11787700,NYSE
COF,22-Jan-2010,40.79,40.88,37.31,37.53,22022900,NYSE
COF,25-Jan-2010,38.32,38.35,35.65,36.11,17533900,NYSE
COF,26-Jan-2010,35.96,36.7,35.15,35.21,13504300,NYSE
COF,27-Jan-2010,35.31,36.86,34.65,36.55,11448000,NYSE
COF,28-Jan-2010,36.51,37.23,35.76,36.74,10455000,NYSE
COF,29-Jan-2010,37.75,37.9,36.7,36.86,8556300,NYSE
COF,01-Feb-2010,36.85,37.36,36.47,36.78,8421600,NYSE
COF,02-Feb-2010,37.47,38.44,36.92,37.43,9962200,NYSE
COF,03-Feb-2010,37.15,37.34,36.38,36.55,5431400,NYSE
COF,04-Feb-2010,36.18,36.34,34.85,34.95,9095400,NYSE
COF,05-Feb-2010,35.11,35.54,34.03,35.36,8869800,NYSE
COF,08-Feb-2010,35.41,35.76,34.6,34.63,4895000,NYSE
COF,09-Feb-2010,35.17,36.11,34.86,35.33,5408900,NYSE
COF,10-Feb-2010,35.23,36.01,34.97,35.56,4672400,NYSE
COF,11-Feb-2010,35.5,35.87,34.83,35.64,4801000,NYSE
COF,12-Feb-2010,35.1,35.38,34.68,35.14,7014300,NYSE
COF,16-Feb-2010,36.19,36.91,35.95,36.74,8240400,NYSE
COF,17-Feb-2010,36.98,37.29,36.45,36.85,6432100,NYSE
COF,18-Feb-2010,36.61,37.54,36.61,37.33,5329700,NYSE
COF,19-Feb-2010,37.27,37.85,36.86,37.79,6076000,NYSE
COF,22-Feb-2010,37.9,38.53,37.68,38.28,6873500,NYSE
COF,23-Feb-2010,38.1,38.37,36.83,37.03,7199500,NYSE
COF,24-Feb-2010,37.2,37.69,36.91,37.64,4333000,NYSE
COF,25-Feb-2010,37.03,37.43,36.4,37.37,5267700,NYSE
COF,26-Feb-2010,37.35,37.92,37.04,37.75,3824300,NYSE
COF,01-Mar-2010,37.94,38.06,37.23,37.38,4420300,NYSE
COF,02-Mar-2010,37.52,38.33,37.47,37.98,3617500,NYSE
COF,03-Mar-2010,38.04,38.76,37.46,37.76,5416700,NYSE
COF,04-Mar-2010,37.48,37.55,36.58,36.84,9498200,NYSE
COF,05-Mar-2010,36.5,38.05,36.15,37.94,10042400,NYSE
COF,08-Mar-2010,38.06,38.26,37.56,37.85,4008000,NYSE
COF,09-Mar-2010,37.68,39.13,37.5,38.66,6799100,NYSE
COF,10-Mar-2010,38.93,39.66,38.74,39.09,5788900,NYSE
COF,11-Mar-2010,38.99,39.85,38.75,39.81,4838300,NYSE
COF,12-Mar-2010,39.88,40.75,39.46,39.89,6531200,NYSE
COF,15-Mar-2010,39.9,40.43,38.95,39.98,7803300,NYSE
COF,16-Mar-2010,40.26,40.42,39.27,40.39,7873100,NYSE
COF,17-Mar-2010,40.61,40.91,39.96,40.25,5605700,NYSE
COF,18-Mar-2010,40.2,40.92,40.03,40.84,5478600,NYSE
COF,19-Mar-2010,40.94,41.23,39.75,39.77,7784500,NYSE
COF,22-Mar-2010,39.37,40.69,39.33,40.61,6350000,NYSE
COF,23-Mar-2010,40.59,41.12,40.3,40.91,4431100,NYSE
COF,24-Mar-2010,40.79,41.63,40.66,41.26,5131000,NYSE
COF,25-Mar-2010,41.56,42.79,41.56,42.05,6347100,NYSE
COF,26-Mar-2010,42.29,42.83,41.63,41.92,4469700,NYSE
COF,29-Mar-2010,42.34,42.75,41.79,42.65,4870600,NYSE
COF,30-Mar-2010,42.65,43.0,41.88,41.92,4641600,NYSE
COF,31-Mar-2010,41.54,41.83,41.14,41.41,5264500,NYSE
COF,01-Apr-2010,41.78,41.86,41.19,41.57,3969900,NYSE
COF,05-Apr-2010,41.86,43.21,41.62,43.15,5690100,NYSE
COF,06-Apr-2010,42.93,43.38,42.7,43.26,5764900,NYSE
COF,07-Apr-2010,43.02,43.68,42.74,43.15,6164600,NYSE
COF,08-Apr-2010,42.77,44.16,42.77,43.99,5279900,NYSE
COF,09-Apr-2010,44.09,44.42,43.44,43.86,3445700,NYSE
COF,12-Apr-2010,43.91,45.35,43.91,45.18,7030400,NYSE
COF,13-Apr-2010,45.14,45.2,44.51,44.95,4524500,NYSE
COF,14-Apr-2010,45.61,46.39,44.27,46.06,9165100,NYSE
COF,15-Apr-2010,46.26,46.31,45.03,45.15,8490600,NYSE
