name,date,open_price,close_price,high_price,low_price,volume,market
CPT,04-Jan-2010,42.67,43.18,41.17,41.49,1771100,NYSE
CPT,05-Jan-2010,41.47,41.75,41.02,41.4,1778400,NYSE
CPT,06-Jan-2010,41.4,41.72,40.71,40.9,1752600,NYSE
CPT,07-Jan-2010,40.92,41.04,40.06,40.82,1782600,NYSE
CPT,08-Jan-2010,40.7,40.82,40.03,40.2,1808500,NYSE
CPT,11-Jan-2010,41.4,41.61,40.26,40.32,1283500,NYSE
CPT,12-Jan-2010,40.31,40.79,39.63,39.77,810800,NYSE
CPT,13-Jan-2010,40.06,41.02,39.92,40.91,767300,NYSE
CPT,14-Jan-2010,40.65,40.95,40.29,40.75,756400,NYSE
CPT,15-Jan-2010,40.52,40.85,40.25,40.42,755500,NYSE
CPT,19-Jan-2010,40.55,41.42,40.49,41.38,728500,NYSE
CPT,20-Jan-2010,41.86,41.86,41.1,41.36,1044600,NYSE
CPT,21-Jan-2010,41.4,41.78,40.18,40.25,1137500,NYSE
CPT,22-Jan-2010,40.12,40.74,39.01,39.05,894400,NYSE
CPT,25-Jan-2010,39.73,39.76,38.53,39.33,866200,NYSE
CPT,26-Jan-2010,39.11,39.49,38.82,38.92,762000,NYSE
CPT,27-Jan-2010,38.83,39.41,38.53,39.21,727000,NYSE
CPT,28-Jan-2010,39.28,39.43,38.69,39.08,704700,NYSE
CPT,29-Jan-2010,38.93,39.77,38.6,38.77,912700,NYSE
CPT,01-Feb-2010,39.07,39.43,38.73,39.17,611300,NYSE
CPT,02-Feb-2010,39.16,40.07,38.7,39.98,798100,NYSE
CPT,03-Feb-2010,39.56,39.56,38.3,38.6,963400,NYSE
CPT,04-Feb-2010,38.21,38.35,37.6,37.6,1374400,NYSE
CPT,05-Feb-2010,37.67,38.33,37.4,38.29,1292400,NYSE
CPT,08-Feb-2010,38.28,38.6,37.8,37.82,1125900,NYSE
CPT,09-Feb-2010,38.16,38.16,36.08,36.77,2656300,NYSE
CPT,10-Feb-2010,36.77,37.59,36.27,36.84,920400,NYSE
CPT,11-Feb-2010,36.63,37.0,36.35,36.94,618000,NYSE
CPT,12-Feb-2010,36.4,37.42,36.24,37.42,785000,NYSE
CPT,16-Feb-2010,38.2,38.83,38.16,38.59,1102000,NYSE
CPT,17-Feb-2010,38.69,38.84,38.42,38.55,809000,NYSE
CPT,18-Feb-2010,38.5,39.48,37.94,39.23,929500,NYSE
CPT,19-Feb-2010,39.07,39.41,38.85,39.3,598400,NYSE
CPT,22-Feb-2010,39.42,39.6,38.94,39.48,768300,NYSE
CPT,23-Feb-2010,39.27,39.73,39.04,39.52,1073600,NYSE
CPT,24-Feb-2010,39.47,39.95,39.19,39.95,560600,NYSE
CPT,25-Feb-2010,39.51,40.05,39.19,39.95,434600,NYSE
CPT,26-Feb-2010,39.91,40.38,39.68,40.05,717300,NYSE
CPT,01-Mar-2010,40.25,40.58,39.97,40.5,576700,NYSE
CPT,02-Mar-2010,40.56,40.87,40.14,40.38,540400,NYSE
CPT,03-Mar-2010,40.39,40.4,39.56,39.69,444400,NYSE
CPT,04-Mar-2010,39.71,40.22,39.61,39.95,724600,NYSE
CPT,05-Mar-2010,40.19,41.0,39.94,40.92,704800,NYSE
CPT,08-Mar-2010,40.9,41.55,40.72,41.35,480400,NYSE
CPT,09-Mar-2010,41.17,41.87,40.89,41.31,497700,NYSE
CPT,10-Mar-2010,41.21,41.47,40.82,41.16,492900,NYSE
CPT,11-Mar-2010,40.88,41.14,40.68,41.14,749500,NYSE
CPT,12-Mar-2010,41.24,41.39,40.65,41.18,720500,NYSE
CPT,15-Mar-2010,41.15,41.32,40.3,40.67,717600,NYSE
CPT,16-Mar-2010,40.95,41.96,40.7,41.87,865500,NYSE
CPT,17-Mar-2010,41.97,42.34,41.65,42.26,898900,NYSE
CPT,18-Mar-2010,42.25,42.6,42.09,42.55,744200,NYSE
CPT,19-Mar-2010,42.61,44.0,42.5,43.87,2260900,NYSE
