name,date,open_price,close_price,high_price,low_price,volume,market
CRH,04-Jan-2010,27.94,28.3,27.92,28.05,37700,NYSE
CRH,05-Jan-2010,27.35,27.37,26.82,27.1,52300,NYSE
CRH,06-Jan-2010,26.67,26.75,26.44,26.63,96100,NYSE
CRH,07-Jan-2010,26.18,26.18,25.9,25.96,92200,NYSE
CRH,08-Jan-2010,26.25,26.61,26.11,26.6,157200,NYSE
CRH,11-Jan-2010,27.32,28.48,27.0,27.27,84000,NYSE
CRH,12-Jan-2010,26.7,26.81,26.54,26.73,50600,NYSE
CRH,13-Jan-2010,27.2,27.24,26.94,26.97,48700,NYSE
CRH,14-Jan-2010,26.91,27.06,26.56,26.77,45800,NYSE
CRH,15-Jan-2010,26.67,26.67,25.89,25.89,84400,NYSE
CRH,19-Jan-2010,26.16,26.41,25.96,26.34,58100,NYSE
CRH,20-Jan-2010,25.64,26.01,25.48,25.84,134600,NYSE
CRH,21-Jan-2010,25.96,25.99,25.18,25.49,225800,NYSE
CRH,22-Jan-2010,25.19,25.6,24.98,25.13,99200,NYSE
CRH,25-Jan-2010,25.54,25.59,25.1,25.19,95100,NYSE
CRH,26-Jan-2010,25.15,25.77,25.11,25.57,104600,NYSE
CRH,27-Jan-2010,24.87,24.91,24.36,24.79,81300,NYSE
CRH,28-Jan-2010,24.85,24.87,24.02,24.55,142800,NYSE
CRH,29-Jan-2010,24.43,25.15,24.35,24.59,334800,NYSE
CRH,01-Feb-2010,24.67,25.31,24.55,25.08,173300,NYSE
CRH,02-Feb-2010,24.84,25.02,24.72,24.86,363300,NYSE
CRH,03-Feb-2010,24.93,25.43,24.67,24.85,138800,NYSE
CRH,04-Feb-2010,24.67,24.82,24.2,24.5,722600,NYSE
CRH,05-Feb-2010,23.66,24.27,23.34,24.06,1038700,NYSE
CRH,08-Feb-2010,23.41,23.71,23.21,23.3,403400,NYSE
CRH,09-Feb-2010,23.6,24.05,23.46,23.92,167000,NYSE
CRH,10-Feb-2010,24.11,24.14,23.47,23.88,171600,NYSE
CRH,11-Feb-2010,23.08,23.45,22.77,23.37,254800,NYSE
CRH,12-Feb-2010,22.66,23.52,22.65,23.28,142300,NYSE
CRH,16-Feb-2010,23.0,23.74,22.95,23.61,110500,NYSE
CRH,17-Feb-2010,24.02,24.31,23.94,24.13,137900,NYSE
CRH,18-Feb-2010,24.06,24.35,24.01,24.23,115200,NYSE
CRH,19-Feb-2010,23.67,24.27,23.53,24.23,78600,NYSE
CRH,22-Feb-2010,24.32,24.51,24.18,24.31,72600,NYSE
CRH,23-Feb-2010,24.15,24.25,23.73,23.74,87000,NYSE
CRH,24-Feb-2010,23.59,23.91,23.59,23.81,51600,NYSE
CRH,25-Feb-2010,22.95,23.47,22.78,23.37,285000,NYSE
CRH,26-Feb-2010,23.12,23.34,22.76,23.21,194300,NYSE
CRH,01-Mar-2010,23.03,23.23,22.84,23.11,284900,NYSE
CRH,02-Mar-2010,23.3,23.3,22.92,23.0,282700,NYSE
CRH,03-Mar-2010,23.11,23.37,22.94,23.14,306700,NYSE
