name,date,open_price,close_price,high_price,low_price,volume,market
CRI,04-Jan-2010,26.53,26.75,26.23,26.43,741100,NYSE
CRI,05-Jan-2010,26.34,27.34,26.18,26.72,1202000,NYSE
CRI,06-Jan-2010,26.78,27.19,26.47,26.89,638800,NYSE
CRI,07-Jan-2010,26.87,27.11,26.64,26.9,747400,NYSE
CRI,08-Jan-2010,26.87,26.94,26.44,26.64,545200,NYSE
CRI,11-Jan-2010,26.8,26.83,26.28,26.41,511000,NYSE
CRI,12-Jan-2010,26.25,26.35,25.44,25.67,711800,NYSE
CRI,13-Jan-2010,25.52,26.93,25.42,26.54,913300,NYSE
CRI,14-Jan-2010,26.56,27.0,26.56,26.85,660900,NYSE
CRI,15-Jan-2010,27.39,27.39,25.51,26.06,2203000,NYSE
CRI,19-Jan-2010,26.16,26.34,25.79,26.1,1026400,NYSE
CRI,20-Jan-2010,25.9,26.27,25.9,26.0,1544400,NYSE
CRI,21-Jan-2010,26.11,26.27,25.73,25.75,958300,NYSE
CRI,22-Jan-2010,25.83,26.45,25.46,25.51,607500,NYSE
CRI,25-Jan-2010,25.82,26.15,25.78,26.05,834300,NYSE
CRI,26-Jan-2010,26.13,26.33,25.99,26.03,383000,NYSE
CRI,27-Jan-2010,26.03,26.3,25.89,26.26,626000,NYSE
CRI,28-Jan-2010,26.4,26.4,25.69,25.83,903500,NYSE
CRI,29-Jan-2010,25.89,26.19,25.75,25.86,1160300,NYSE
CRI,01-Feb-2010,26.04,26.31,25.81,26.3,798000,NYSE
CRI,02-Feb-2010,26.27,27.4,26.23,26.77,1005700,NYSE
CRI,03-Feb-2010,26.77,26.9,26.6,26.79,663300,NYSE
CRI,04-Feb-2010,26.58,26.84,26.02,26.04,1093700,NYSE
CRI,05-Feb-2010,26.05,26.29,25.69,26.2,596600,NYSE
CRI,08-Feb-2010,26.25,26.36,26.0,26.27,687200,NYSE
CRI,09-Feb-2010,26.6,26.99,26.31,26.9,717100,NYSE
CRI,10-Feb-2010,26.75,27.08,26.75,26.92,776000,NYSE
