name,date,open_price,close_price,high_price,low_price,volume,market
CRL,04-Jan-2010,33.74,33.81,33.26,33.57,1000500,NYSE
CRL,05-Jan-2010,33.6,33.79,33.35,33.76,553100,NYSE
CRL,06-Jan-2010,33.72,33.77,32.97,33.31,1067200,NYSE
CRL,07-Jan-2010,34.21,34.65,33.74,34.62,1077200,NYSE
CRL,08-Jan-2010,34.22,35.08,34.13,34.39,981900,NYSE
CRL,11-Jan-2010,34.5,35.23,34.45,34.74,686400,NYSE
CRL,12-Jan-2010,34.5,36.1,34.25,36.0,2088900,NYSE
CRL,13-Jan-2010,36.1,39.07,35.99,38.21,2602100,NYSE
CRL,14-Jan-2010,38.25,38.25,37.27,37.44,1015100,NYSE
CRL,15-Jan-2010,37.49,37.7,36.86,37.4,569000,NYSE
CRL,19-Jan-2010,37.32,38.01,37.23,37.96,609000,NYSE
CRL,20-Jan-2010,37.61,38.05,36.73,37.32,835300,NYSE
CRL,21-Jan-2010,37.46,37.71,37.08,37.17,715500,NYSE
CRL,22-Jan-2010,37.22,37.42,36.45,36.46,558900,NYSE
CRL,25-Jan-2010,36.61,36.65,36.0,36.57,567000,NYSE
CRL,26-Jan-2010,36.47,36.99,36.21,36.82,576400,NYSE
CRL,27-Jan-2010,36.64,37.55,36.44,37.37,831700,NYSE
CRL,28-Jan-2010,37.45,37.45,36.36,36.48,950400,NYSE
CRL,29-Jan-2010,36.51,36.69,36.23,36.34,649100,NYSE
CRL,01-Feb-2010,36.48,36.58,36.06,36.37,403700,NYSE
CRL,02-Feb-2010,36.34,37.17,36.08,37.12,507400,NYSE
CRL,03-Feb-2010,37.04,37.18,36.75,36.84,743600,NYSE
CRL,04-Feb-2010,36.77,36.77,35.42,35.45,689200,NYSE
CRL,05-Feb-2010,35.34,35.75,34.89,35.65,826500,NYSE
CRL,08-Feb-2010,35.86,36.38,35.17,35.69,1214600,NYSE
CRL,09-Feb-2010,35.88,37.17,35.88,36.16,1559100,NYSE
CRL,10-Feb-2010,36.05,36.25,35.53,35.82,519000,NYSE
CRL,11-Feb-2010,35.87,36.48,35.69,36.13,620000,NYSE
CRL,12-Feb-2010,35.79,36.51,35.65,36.47,884500,NYSE
CRL,16-Feb-2010,36.67,37.0,36.33,36.96,731100,NYSE
CRL,17-Feb-2010,37.16,37.41,36.89,37.28,476700,NYSE
CRL,18-Feb-2010,37.38,37.72,37.27,37.6,518800,NYSE
CRL,19-Feb-2010,37.63,37.71,37.25,37.43,666900,NYSE
CRL,22-Feb-2010,37.45,37.48,37.01,37.11,487900,NYSE
CRL,23-Feb-2010,36.95,37.21,36.46,36.79,674300,NYSE
CRL,24-Feb-2010,36.93,38.0,36.81,37.73,1028100,NYSE
CRL,25-Feb-2010,37.29,37.86,37.23,37.8,567800,NYSE
CRL,26-Feb-2010,37.75,38.09,37.61,37.92,505700,NYSE
CRL,01-Mar-2010,37.94,38.49,37.9,38.15,512900,NYSE
CRL,02-Mar-2010,38.14,38.52,37.84,38.49,502300,NYSE
CRL,03-Mar-2010,39.24,39.57,38.9,39.26,1324000,NYSE
CRL,04-Mar-2010,39.39,39.6,38.83,38.85,557100,NYSE
CRL,05-Mar-2010,39.08,39.2,38.7,39.04,706300,NYSE
CRL,08-Mar-2010,38.9,39.22,38.73,38.78,403100,NYSE
CRL,09-Mar-2010,38.62,38.73,37.88,37.96,1050600,NYSE
CRL,10-Mar-2010,37.88,38.0,37.44,37.58,975800,NYSE
CRL,11-Mar-2010,37.57,39.06,37.41,38.97,1544900,NYSE
CRL,12-Mar-2010,38.95,39.02,38.37,38.87,821600,NYSE
CRL,15-Mar-2010,38.93,39.03,38.2,38.35,486000,NYSE
CRL,16-Mar-2010,38.36,38.48,38.0,38.23,407500,NYSE
CRL,17-Mar-2010,38.35,38.41,37.82,38.18,378000,NYSE
CRL,18-Mar-2010,38.03,38.25,37.83,38.15,670300,NYSE
CRL,19-Mar-2010,38.3,38.36,37.86,38.36,787000,NYSE
CRL,22-Mar-2010,38.11,39.04,38.09,38.79,584100,NYSE
CRL,23-Mar-2010,38.92,39.29,38.65,39.22,653800,NYSE
CRL,24-Mar-2010,39.19,39.75,39.07,39.43,642300,NYSE
CRL,25-Mar-2010,39.72,39.75,39.19,39.51,441100,NYSE
CRL,26-Mar-2010,39.45,39.69,39.03,39.2,351700,NYSE
CRL,29-Mar-2010,39.27,39.68,39.21,39.47,381800,NYSE
CRL,30-Mar-2010,39.61,39.86,39.49,39.57,340400,NYSE
CRL,31-Mar-2010,39.53,39.79,39.3,39.31,267800,NYSE
CRL,01-Apr-2010,39.42,40.04,39.42,40.04,479700,NYSE
CRL,05-Apr-2010,40.09,40.38,39.93,40.24,591200,NYSE
CRL,06-Apr-2010,40.15,40.28,39.94,40.11,455200,NYSE
CRL,07-Apr-2010,40.0,40.24,39.63,39.7,450900,NYSE
CRL,08-Apr-2010,39.7,39.75,39.25,39.49,530900,NYSE
CRL,09-Apr-2010,39.65,41.65,39.34,41.56,2907900,NYSE
CRL,12-Apr-2010,41.39,41.45,40.05,40.15,947100,NYSE
CRL,13-Apr-2010,40.22,40.22,39.7,40.13,456300,NYSE
CRL,14-Apr-2010,40.31,40.61,40.15,40.52,319100,NYSE
CRL,15-Apr-2010,40.54,41.23,40.51,40.95,386100,NYSE
CRL,16-Apr-2010,40.87,41.04,40.1,40.52,522600,NYSE
CRL,19-Apr-2010,40.49,40.72,39.98,40.05,621300,NYSE
CRL,20-Apr-2010,40.25,40.58,40.09,40.47,222800,NYSE
CRL,21-Apr-2010,40.65,40.9,40.38,40.44,446800,NYSE
CRL,22-Apr-2010,40.13,40.26,39.67,39.81,386800,NYSE
CRL,23-Apr-2010,39.87,40.1,39.61,39.77,441800,NYSE
CRL,26-Apr-2010,35.87,36.11,33.5,33.55,9982000,NYSE
CRL,27-Apr-2010,33.55,34.43,33.37,33.74,4322600,NYSE
CRL,28-Apr-2010,33.99,34.62,33.85,34.19,2576200,NYSE
CRL,29-Apr-2010,34.47,34.5,33.95,34.28,1693400,NYSE
CRL,30-Apr-2010,34.25,34.58,33.45,33.48,1318800,NYSE
CRL,03-May-2010,33.59,34.17,32.88,33.16,1576000,NYSE
CRL,04-May-2010,32.91,32.91,32.1,32.33,2031600,NYSE
CRL,05-May-2010,32.23,32.45,31.7,32.2,1212100,NYSE
CRL,06-May-2010,32.0,32.14,26.82,31.01,2213700,NYSE
CRL,07-May-2010,31.04,31.6,30.36,30.44,2020700,NYSE
CRL,10-May-2010,31.48,31.85,30.62,31.01,1530100,NYSE
CRL,11-May-2010,30.88,31.7,30.61,31.41,1207900,NYSE
CRL,12-May-2010,32.4,33.48,32.09,32.65,2867900,NYSE
CRL,13-May-2010,32.68,33.4,32.64,32.9,1425800,NYSE
CRL,14-May-2010,32.6,32.75,31.81,31.9,1341700,NYSE
CRL,17-May-2010,31.92,32.51,31.49,32.5,1471500,NYSE
CRL,18-May-2010,32.71,32.8,32.17,32.39,1592800,NYSE
CRL,19-May-2010,32.32,32.53,31.9,32.44,1345600,NYSE
