name,date,open_price,close_price,high_price,low_price,volume,market
CVG,04-Jan-2010,10.8,10.97,10.76,10.94,1131700,NYSE
CVG,05-Jan-2010,10.89,11.06,10.83,10.92,921200,NYSE
CVG,06-Jan-2010,10.89,11.06,10.83,11.06,974700,NYSE
CVG,07-Jan-2010,11.0,11.09,10.74,11.02,4299900,NYSE
CVG,08-Jan-2010,10.97,11.07,10.86,11.04,643400,NYSE
CVG,11-Jan-2010,11.28,11.81,11.28,11.54,1778200,NYSE
CVG,12-Jan-2010,11.48,11.48,11.27,11.31,1095100,NYSE
CVG,13-Jan-2010,11.38,11.57,11.29,11.52,641500,NYSE
CVG,14-Jan-2010,11.46,11.61,11.38,11.61,622900,NYSE
CVG,15-Jan-2010,11.57,11.67,11.46,11.61,1273100,NYSE
CVG,19-Jan-2010,11.61,11.7,11.35,11.43,1483300,NYSE
CVG,20-Jan-2010,11.34,11.66,11.02,11.51,1293400,NYSE
CVG,21-Jan-2010,11.49,11.64,11.26,11.31,1133700,NYSE
CVG,22-Jan-2010,11.29,11.41,11.04,11.11,905700,NYSE
CVG,25-Jan-2010,11.15,11.2,11.0,11.05,1212700,NYSE
CVG,26-Jan-2010,11.05,11.25,10.93,11.06,1106400,NYSE
CVG,27-Jan-2010,10.99,11.05,10.61,10.81,1759400,NYSE
CVG,28-Jan-2010,10.82,10.83,10.57,10.71,1424500,NYSE
CVG,29-Jan-2010,10.72,10.82,10.64,10.7,1414100,NYSE
CVG,01-Feb-2010,10.74,10.87,10.66,10.73,1449100,NYSE
CVG,02-Feb-2010,10.7,11.03,10.65,11.01,1081900,NYSE
CVG,03-Feb-2010,10.93,11.05,10.81,11.03,1131500,NYSE
CVG,04-Feb-2010,10.93,11.0,10.75,10.78,1190200,NYSE
CVG,05-Feb-2010,10.78,10.88,10.57,10.78,1073500,NYSE
CVG,08-Feb-2010,10.75,10.86,10.63,10.68,824000,NYSE
CVG,09-Feb-2010,10.8,10.9,10.65,10.88,1047900,NYSE
CVG,10-Feb-2010,10.85,11.03,10.81,10.87,990100,NYSE
CVG,11-Feb-2010,11.45,11.99,11.2,11.6,3787700,NYSE
CVG,12-Feb-2010,11.5,11.82,11.4,11.8,3160100,NYSE
CVG,16-Feb-2010,11.89,12.33,11.88,12.31,1664500,NYSE
CVG,17-Feb-2010,12.37,12.52,12.09,12.17,1990300,NYSE
CVG,18-Feb-2010,12.1,12.46,12.1,12.38,1163100,NYSE
CVG,19-Feb-2010,12.33,12.76,12.32,12.53,1330100,NYSE
CVG,22-Feb-2010,12.58,12.69,12.43,12.45,963900,NYSE
CVG,23-Feb-2010,12.45,12.5,12.3,12.34,875900,NYSE
CVG,24-Feb-2010,12.33,12.56,12.33,12.51,1156900,NYSE
CVG,25-Feb-2010,12.31,12.43,12.21,12.42,1226600,NYSE
CVG,26-Feb-2010,12.42,12.47,12.28,12.34,697700,NYSE
CVG,01-Mar-2010,12.41,12.63,12.32,12.61,896200,NYSE
CVG,02-Mar-2010,12.58,12.64,12.46,12.52,881300,NYSE
CVG,03-Mar-2010,12.53,12.75,12.53,12.6,960800,NYSE
CVG,04-Mar-2010,12.23,12.62,12.0,12.59,2414200,NYSE
CVG,05-Mar-2010,12.63,13.05,12.53,13.05,1798800,NYSE
CVG,08-Mar-2010,13.01,13.09,12.8,12.87,976900,NYSE
CVG,09-Mar-2010,12.84,12.9,12.65,12.71,1195200,NYSE
CVG,10-Mar-2010,12.68,13.01,12.68,12.81,1250100,NYSE
CVG,11-Mar-2010,12.75,12.75,12.63,12.74,847800,NYSE
CVG,12-Mar-2010,12.75,12.85,12.64,12.85,559400,NYSE
CVG,15-Mar-2010,12.86,12.94,12.71,12.91,637200,NYSE
CVG,16-Mar-2010,12.92,12.93,12.71,12.76,780700,NYSE
CVG,17-Mar-2010,12.84,12.86,12.62,12.82,1137300,NYSE
CVG,18-Mar-2010,12.75,12.82,12.6,12.74,736500,NYSE
CVG,19-Mar-2010,12.8,12.92,12.48,12.68,1322800,NYSE
CVG,22-Mar-2010,12.57,12.88,12.5,12.76,713300,NYSE
CVG,23-Mar-2010,12.8,13.05,12.64,12.94,1435100,NYSE
CVG,24-Mar-2010,12.86,12.95,12.66,12.86,1498900,NYSE
CVG,25-Mar-2010,12.92,12.93,12.59,12.6,1232500,NYSE
CVG,26-Mar-2010,12.61,12.78,12.51,12.57,699600,NYSE
CVG,29-Mar-2010,12.64,12.79,12.58,12.69,795100,NYSE
CVG,30-Mar-2010,12.74,12.78,12.5,12.57,639600,NYSE
CVG,31-Mar-2010,12.55,12.55,12.26,12.26,1224800,NYSE
CVG,01-Apr-2010,12.34,12.37,12.12,12.27,1029500,NYSE
CVG,05-Apr-2010,12.35,12.61,12.27,12.57,676100,NYSE
CVG,06-Apr-2010,12.51,12.77,12.47,12.7,729500,NYSE
CVG,07-Apr-2010,12.64,12.68,12.55,12.62,650300,NYSE
CVG,08-Apr-2010,12.6,12.8,12.53,12.78,1000700,NYSE
CVG,09-Apr-2010,12.82,12.83,12.71,12.82,598300,NYSE
CVG,12-Apr-2010,12.76,12.99,12.76,12.99,460800,NYSE
CVG,13-Apr-2010,12.95,13.0,12.82,12.84,1177300,NYSE
CVG,14-Apr-2010,12.9,13.22,12.86,13.2,708300,NYSE
CVG,15-Apr-2010,13.16,13.32,13.04,13.31,902600,NYSE
CVG,16-Apr-2010,13.18,13.31,12.86,13.19,1518700,NYSE
CVG,19-Apr-2010,13.13,13.28,12.91,13.25,860600,NYSE
CVG,20-Apr-2010,13.28,13.4,13.0,13.28,1448300,NYSE
CVG,21-Apr-2010,13.24,13.43,13.14,13.36,666400,NYSE
CVG,22-Apr-2010,13.29,13.44,13.17,13.4,903500,NYSE
CVG,23-Apr-2010,13.37,13.74,13.33,13.72,1098900,NYSE
CVG,26-Apr-2010,13.67,13.78,13.49,13.72,1179400,NYSE
CVG,27-Apr-2010,13.62,13.68,12.99,13.21,7300300,NYSE
CVG,28-Apr-2010,13.23,13.23,12.7,12.82,2074800,NYSE
CVG,29-Apr-2010,12.87,13.16,12.8,13.07,991000,NYSE
CVG,30-Apr-2010,13.05,13.13,12.54,12.64,1995500,NYSE
CVG,03-May-2010,12.65,12.75,12.56,12.74,906200,NYSE
CVG,04-May-2010,12.54,12.64,12.37,12.54,1667100,NYSE
CVG,05-May-2010,12.46,12.54,12.31,12.49,1411800,NYSE
CVG,06-May-2010,12.39,12.5,11.47,11.9,1825900,NYSE
CVG,07-May-2010,11.84,12.08,11.57,11.68,1831800,NYSE
CVG,10-May-2010,12.17,12.29,11.87,12.02,728900,NYSE
CVG,11-May-2010,11.87,12.08,11.71,11.94,703500,NYSE
CVG,12-May-2010,11.94,12.22,11.91,12.18,1002200,NYSE
CVG,13-May-2010,12.18,12.2,11.98,12.0,711600,NYSE
CVG,14-May-2010,11.91,11.98,11.55,11.65,941500,NYSE
CVG,17-May-2010,11.67,11.82,11.5,11.74,1057600,NYSE
CVG,18-May-2010,11.86,11.99,11.56,11.6,773500,NYSE
CVG,19-May-2010,11.51,11.6,11.2,11.51,1691100,NYSE
CVG,20-May-2010,11.25,11.43,11.16,11.16,1710400,NYSE
CVG,21-May-2010,11.0,11.25,10.85,11.19,1175900,NYSE
