name,date,open_price,close_price,high_price,low_price,volume,market
CWH,01-Jul-2010,27.3,27.3,25.1,25.58,505400,NYSE
CWH,02-Jul-2010,26.2,26.2,24.96,25.19,774200,NYSE
CWH,06-Jul-2010,25.33,25.44,23.52,23.75,971900,NYSE
CWH,07-Jul-2010,23.33,25.52,23.33,25.2,1138500,NYSE
CWH,08-Jul-2010,25.44,25.45,24.26,24.6,637000,NYSE
CWH,09-Jul-2010,24.76,25.25,24.42,24.87,648500,NYSE
CWH,12-Jul-2010,24.72,24.89,24.41,24.7,348800,NYSE
CWH,13-Jul-2010,24.67,25.2,24.67,24.9,391200,NYSE
CWH,14-Jul-2010,25.13,25.2,24.6,24.82,381100,NYSE
CWH,15-Jul-2010,24.91,25.03,24.35,24.78,273700,NYSE
CWH,16-Jul-2010,24.72,24.72,24.3,24.36,744400,NYSE
CWH,19-Jul-2010,24.43,24.6,24.04,24.25,597600,NYSE
CWH,20-Jul-2010,24.1,25.12,23.88,25.08,396200,NYSE
CWH,21-Jul-2010,25.25,25.59,24.92,25.01,627800,NYSE
CWH,22-Jul-2010,24.58,25.0,24.52,24.92,585900,NYSE
CWH,23-Jul-2010,24.6,24.98,24.53,24.98,325400,NYSE
CWH,26-Jul-2010,25.0,25.33,24.71,25.32,367100,NYSE
CWH,27-Jul-2010,25.24,25.6,25.09,25.52,388200,NYSE
CWH,28-Jul-2010,25.53,26.18,25.48,25.91,327800,NYSE
CWH,29-Jul-2010,26.04,26.21,25.5,25.94,197900,NYSE
CWH,30-Jul-2010,25.83,26.17,25.55,25.95,179700,NYSE
CWH,02-Aug-2010,25.8,26.56,25.8,26.51,298200,NYSE
CWH,03-Aug-2010,26.36,26.9,26.1,26.68,494300,NYSE
CWH,04-Aug-2010,27.0,27.22,26.5,26.93,460300,NYSE
CWH,05-Aug-2010,26.63,26.98,26.11,26.13,498500,NYSE
CWH,06-Aug-2010,26.06,26.1,24.75,25.96,718400,NYSE
