name,date,open_price,close_price,high_price,low_price,volume,market
CYS,04-Jan-2010,13.58,13.85,13.52,13.57,68200,NYSE
CYS,05-Jan-2010,13.59,13.62,13.3,13.32,69100,NYSE
CYS,06-Jan-2010,13.37,13.54,13.22,13.23,69100,NYSE
CYS,07-Jan-2010,13.48,13.61,13.46,13.49,211200,NYSE
CYS,08-Jan-2010,13.48,13.5,13.34,13.4,70100,NYSE
CYS,11-Jan-2010,13.4,13.45,13.3,13.41,54000,NYSE
CYS,12-Jan-2010,13.35,13.41,13.34,13.4,58700,NYSE
CYS,13-Jan-2010,13.4,13.45,13.33,13.39,32200,NYSE
CYS,14-Jan-2010,13.39,13.43,13.3,13.39,30000,NYSE
CYS,15-Jan-2010,13.4,13.42,13.17,13.4,98000,NYSE
CYS,19-Jan-2010,13.43,13.61,13.36,13.58,111900,NYSE
CYS,20-Jan-2010,13.52,13.61,13.18,13.56,53300,NYSE
CYS,21-Jan-2010,13.62,13.62,13.26,13.3,64500,NYSE
CYS,22-Jan-2010,13.3,13.36,13.18,13.25,59800,NYSE
CYS,25-Jan-2010,13.31,13.51,13.28,13.34,52700,NYSE
CYS,26-Jan-2010,13.31,13.36,13.27,13.3,78800,NYSE
CYS,27-Jan-2010,13.28,13.54,13.25,13.49,36000,NYSE
CYS,28-Jan-2010,13.56,13.56,13.27,13.39,47200,NYSE
CYS,29-Jan-2010,13.4,13.52,13.29,13.48,32800,NYSE
CYS,01-Feb-2010,13.5,13.5,13.32,13.38,26000,NYSE
CYS,02-Feb-2010,13.35,13.39,13.26,13.27,113600,NYSE
CYS,03-Feb-2010,13.25,13.47,13.25,13.45,45700,NYSE
CYS,04-Feb-2010,13.38,13.49,13.16,13.31,44600,NYSE
CYS,05-Feb-2010,13.26,13.51,13.24,13.45,55100,NYSE
CYS,08-Feb-2010,13.48,13.48,13.33,13.36,59100,NYSE
CYS,09-Feb-2010,13.45,13.45,13.28,13.4,50400,NYSE
CYS,10-Feb-2010,13.32,13.42,13.26,13.35,86600,NYSE
CYS,11-Feb-2010,13.33,13.35,13.04,13.05,112200,NYSE
CYS,12-Feb-2010,13.05,13.09,12.91,13.02,119500,NYSE
CYS,16-Feb-2010,13.1,13.13,12.86,13.02,86200,NYSE
CYS,17-Feb-2010,13.05,13.05,12.97,13.03,57200,NYSE
CYS,18-Feb-2010,13.02,13.02,12.98,13.02,55900,NYSE
CYS,19-Feb-2010,13.02,13.02,12.95,12.97,50200,NYSE
CYS,22-Feb-2010,13.04,13.04,12.81,12.84,40300,NYSE
CYS,23-Feb-2010,12.86,12.86,12.69,12.77,63500,NYSE
CYS,24-Feb-2010,12.83,13.0,12.81,12.97,42300,NYSE
CYS,25-Feb-2010,12.89,13.07,12.88,12.99,39200,NYSE
CYS,26-Feb-2010,13.0,13.32,13.0,13.23,98700,NYSE
CYS,01-Mar-2010,13.3,13.32,13.18,13.2,72400,NYSE
CYS,02-Mar-2010,13.19,13.21,13.17,13.2,45500,NYSE
CYS,03-Mar-2010,13.18,13.18,13.0,13.07,161000,NYSE
CYS,04-Mar-2010,13.05,13.07,13.0,13.07,74900,NYSE
CYS,05-Mar-2010,13.12,13.26,13.06,13.11,147000,NYSE
CYS,08-Mar-2010,13.06,13.25,13.03,13.05,50100,NYSE
CYS,09-Mar-2010,13.0,13.25,13.0,13.19,59000,NYSE
CYS,10-Mar-2010,13.16,13.26,13.05,13.1,58300,NYSE
CYS,11-Mar-2010,13.08,13.14,13.06,13.14,71900,NYSE
CYS,12-Mar-2010,13.2,13.2,13.08,13.09,69000,NYSE
CYS,15-Mar-2010,13.06,13.19,13.05,13.15,110300,NYSE
CYS,16-Mar-2010,13.16,13.28,13.11,13.2,91700,NYSE
CYS,17-Mar-2010,13.2,13.27,13.12,13.25,271100,NYSE
CYS,18-Mar-2010,13.3,13.51,13.3,13.37,50800,NYSE
CYS,19-Mar-2010,13.43,13.43,13.11,13.2,171800,NYSE
CYS,22-Mar-2010,13.16,13.2,13.12,13.19,59700,NYSE
CYS,23-Mar-2010,13.17,13.28,13.15,13.26,123900,NYSE
CYS,24-Mar-2010,13.26,13.3,13.22,13.23,87500,NYSE
CYS,25-Mar-2010,13.33,13.35,13.14,13.17,64400,NYSE
CYS,26-Mar-2010,13.18,13.22,13.07,13.14,80200,NYSE
CYS,29-Mar-2010,13.2,13.2,13.0,13.06,84900,NYSE
CYS,30-Mar-2010,13.04,13.08,12.99,13.05,44800,NYSE
CYS,31-Mar-2010,13.11,13.47,13.1,13.38,171400,NYSE
CYS,01-Apr-2010,13.48,13.51,13.35,13.5,159300,NYSE
CYS,05-Apr-2010,13.54,13.54,13.42,13.5,283400,NYSE
CYS,06-Apr-2010,13.51,13.51,13.4,13.47,256400,NYSE
CYS,07-Apr-2010,13.5,13.52,13.47,13.5,358900,NYSE
CYS,08-Apr-2010,13.5,13.5,13.41,13.45,159300,NYSE
CYS,09-Apr-2010,13.47,13.49,13.43,13.44,218900,NYSE
CYS,12-Apr-2010,12.95,12.97,12.77,12.94,156800,NYSE
CYS,13-Apr-2010,12.96,12.96,12.65,12.71,175300,NYSE
CYS,14-Apr-2010,12.77,12.85,12.58,12.61,175500,NYSE
CYS,15-Apr-2010,12.65,12.73,12.16,12.38,445800,NYSE
CYS,16-Apr-2010,12.42,12.52,12.36,12.5,164200,NYSE
CYS,19-Apr-2010,12.5,12.51,12.2,12.31,107400,NYSE
CYS,20-Apr-2010,12.33,12.51,12.31,12.51,69300,NYSE
CYS,21-Apr-2010,12.5,12.67,12.35,12.67,113000,NYSE
CYS,22-Apr-2010,12.59,12.8,12.5,12.8,80700,NYSE
CYS,23-Apr-2010,12.82,13.02,12.8,12.84,172000,NYSE
CYS,26-Apr-2010,12.89,12.89,12.82,12.85,145700,NYSE
CYS,27-Apr-2010,12.94,13.04,12.85,12.85,256400,NYSE
CYS,28-Apr-2010,12.9,13.0,12.84,12.85,234400,NYSE
CYS,29-Apr-2010,12.83,13.0,12.82,12.98,394700,NYSE
CYS,30-Apr-2010,12.98,13.03,12.9,12.94,179700,NYSE
CYS,03-May-2010,13.0,13.02,12.9,13.02,245700,NYSE
CYS,04-May-2010,12.95,13.0,12.65,12.68,147000,NYSE
CYS,05-May-2010,12.7,12.71,12.47,12.5,116800,NYSE
CYS,06-May-2010,12.51,12.57,10.4,11.95,262400,NYSE
CYS,07-May-2010,11.9,12.04,11.52,11.8,190400,NYSE
CYS,10-May-2010,11.99,12.55,11.99,12.47,160100,NYSE
CYS,11-May-2010,12.4,12.74,12.4,12.65,73100,NYSE
CYS,12-May-2010,12.73,12.86,12.61,12.76,87600,NYSE
CYS,13-May-2010,12.75,12.75,12.59,12.68,40500,NYSE
CYS,14-May-2010,12.6,12.79,12.27,12.77,129400,NYSE
CYS,17-May-2010,12.82,12.88,12.62,12.8,95600,NYSE
CYS,18-May-2010,12.8,12.86,12.38,12.39,104200,NYSE
CYS,19-May-2010,12.42,12.43,12.25,12.32,110200,NYSE
CYS,20-May-2010,12.23,12.31,11.87,11.89,249200,NYSE
CYS,21-May-2010,11.82,12.45,11.8,12.41,193700,NYSE
CYS,24-May-2010,12.35,12.66,12.2,12.2,147500,NYSE
CYS,25-May-2010,11.95,12.64,11.94,12.59,169900,NYSE
CYS,26-May-2010,12.71,13.0,12.68,12.8,164000,NYSE
CYS,27-May-2010,12.93,13.0,12.79,13.0,109100,NYSE
CYS,28-May-2010,13.02,13.17,12.95,13.09,178900,NYSE
CYS,01-Jun-2010,13.06,13.24,13.0,13.02,177400,NYSE
CYS,02-Jun-2010,13.17,13.25,13.07,13.25,202900,NYSE
CYS,03-Jun-2010,13.22,13.41,13.18,13.4,84900,NYSE
CYS,04-Jun-2010,13.27,13.31,13.08,13.09,135000,NYSE
CYS,07-Jun-2010,13.17,13.43,13.0,13.2,112900,NYSE
CYS,08-Jun-2010,13.25,13.32,13.1,13.2,88400,NYSE
CYS,09-Jun-2010,13.34,13.4,13.22,13.29,79200,NYSE
CYS,10-Jun-2010,13.4,13.5,13.35,13.45,127400,NYSE
CYS,11-Jun-2010,13.42,13.53,13.37,13.5,127900,NYSE
CYS,14-Jun-2010,13.56,13.6,13.43,13.46,155600,NYSE
CYS,15-Jun-2010,13.7,13.84,13.7,13.75,352100,NYSE
CYS,16-Jun-2010,13.84,14.04,13.75,14.0,363000,NYSE
CYS,17-Jun-2010,14.0,14.09,13.9,13.99,259200,NYSE
CYS,18-Jun-2010,14.12,14.22,13.97,14.15,312100,NYSE
CYS,21-Jun-2010,14.4,14.57,14.19,14.24,459700,NYSE
CYS,22-Jun-2010,14.33,14.44,14.26,14.28,349800,NYSE
CYS,23-Jun-2010,14.37,14.37,14.12,14.13,521600,NYSE
CYS,24-Jun-2010,12.8,13.03,12.31,12.53,2328300,NYSE
CYS,25-Jun-2010,12.46,12.75,12.44,12.75,6720400,NYSE
CYS,28-Jun-2010,12.7,12.94,12.66,12.84,681300,NYSE
CYS,29-Jun-2010,12.8,12.94,12.56,12.65,681900,NYSE
CYS,30-Jun-2010,12.68,12.83,12.62,12.66,606100,NYSE
CYS,01-Jul-2010,12.75,12.78,12.3,12.57,623800,NYSE
CYS,02-Jul-2010,12.48,12.68,12.45,12.63,279900,NYSE
CYS,06-Jul-2010,12.58,12.74,12.42,12.49,459400,NYSE
CYS,07-Jul-2010,12.5,12.7,12.45,12.69,409400,NYSE
CYS,08-Jul-2010,12.74,12.85,12.6,12.85,357800,NYSE
CYS,09-Jul-2010,12.84,12.9,12.71,12.85,443100,NYSE
CYS,12-Jul-2010,12.88,12.88,12.52,12.63,492400,NYSE
CYS,13-Jul-2010,12.73,12.86,12.72,12.85,334300,NYSE
CYS,14-Jul-2010,12.82,12.99,12.76,12.77,395200,NYSE
CYS,15-Jul-2010,12.82,12.89,12.7,12.8,296200,NYSE
CYS,16-Jul-2010,12.78,12.8,12.65,12.65,160500,NYSE
CYS,19-Jul-2010,12.73,12.73,12.54,12.57,282400,NYSE
CYS,20-Jul-2010,12.51,12.85,12.51,12.83,377400,NYSE
CYS,21-Jul-2010,12.85,12.85,12.74,12.76,208300,NYSE
CYS,22-Jul-2010,12.78,12.99,12.78,12.93,377000,NYSE
CYS,23-Jul-2010,12.93,13.22,12.85,13.19,516000,NYSE
CYS,26-Jul-2010,13.25,13.5,13.2,13.49,780000,NYSE
CYS,27-Jul-2010,13.59,13.59,13.35,13.36,547800,NYSE
CYS,28-Jul-2010,13.41,13.71,13.37,13.46,534900,NYSE
CYS,29-Jul-2010,13.56,13.68,13.15,13.4,740000,NYSE
CYS,30-Jul-2010,13.36,13.49,13.18,13.2,1267700,NYSE
CYS,02-Aug-2010,13.33,13.59,13.31,13.56,341800,NYSE
CYS,03-Aug-2010,13.6,13.69,13.4,13.56,372300,NYSE
CYS,04-Aug-2010,13.65,13.67,13.5,13.62,180800,NYSE
CYS,05-Aug-2010,13.59,13.64,13.19,13.19,401600,NYSE
CYS,06-Aug-2010,13.19,13.46,13.13,13.31,241200,NYSE
CYS,09-Aug-2010,13.41,13.41,13.2,13.39,226000,NYSE
CYS,10-Aug-2010,13.25,13.56,13.25,13.46,279100,NYSE
CYS,11-Aug-2010,13.22,13.31,13.16,13.23,315000,NYSE
CYS,12-Aug-2010,13.16,13.34,13.16,13.3,247900,NYSE
CYS,13-Aug-2010,13.33,13.58,13.27,13.42,246600,NYSE
CYS,16-Aug-2010,13.64,13.73,13.4,13.52,283000,NYSE
CYS,17-Aug-2010,13.6,13.65,13.4,13.45,298100,NYSE
CYS,18-Aug-2010,13.5,13.66,13.42,13.55,189400,NYSE
CYS,19-Aug-2010,13.41,13.58,13.35,13.4,314100,NYSE
CYS,20-Aug-2010,13.4,13.65,13.39,13.6,242300,NYSE
CYS,23-Aug-2010,13.75,13.75,13.41,13.42,283800,NYSE
CYS,24-Aug-2010,13.34,13.58,13.34,13.49,263700,NYSE
CYS,25-Aug-2010,13.45,13.49,13.21,13.3,446400,NYSE
CYS,26-Aug-2010,13.39,13.4,13.1,13.15,313600,NYSE
CYS,27-Aug-2010,13.17,13.57,13.15,13.56,254900,NYSE
CYS,30-Aug-2010,13.56,13.59,13.48,13.5,128800,NYSE
CYS,31-Aug-2010,13.46,13.5,13.34,13.47,261900,NYSE
CYS,01-Sep-2010,13.58,13.71,13.5,13.66,198700,NYSE
CYS,02-Sep-2010,13.72,13.72,13.62,13.67,145800,NYSE
CYS,03-Sep-2010,13.71,13.75,13.65,13.75,191200,NYSE
CYS,07-Sep-2010,13.76,13.78,13.7,13.71,237500,NYSE
CYS,08-Sep-2010,13.79,13.83,13.75,13.8,198400,NYSE
CYS,09-Sep-2010,13.85,13.93,13.73,13.77,276100,NYSE
CYS,10-Sep-2010,13.92,14.19,13.9,14.02,618900,NYSE
CYS,13-Sep-2010,14.05,14.12,13.99,14.09,691600,NYSE
CYS,14-Sep-2010,14.1,14.25,14.05,14.15,536800,NYSE
CYS,15-Sep-2010,14.2,14.21,14.1,14.19,758700,NYSE
CYS,16-Sep-2010,13.62,13.79,13.5,13.56,634200,NYSE
CYS,17-Sep-2010,13.68,13.69,13.44,13.69,736400,NYSE
CYS,20-Sep-2010,13.75,14.01,13.7,13.87,1144100,NYSE
CYS,21-Sep-2010,12.95,13.04,12.9,12.93,23408000,NYSE
CYS,22-Sep-2010,12.95,13.08,12.94,12.95,2786300,NYSE
CYS,23-Sep-2010,12.98,13.18,12.95,13.05,1684200,NYSE
CYS,24-Sep-2010,13.15,13.3,13.1,13.25,1159000,NYSE
CYS,27-Sep-2010,13.29,13.5,13.25,13.39,1179300,NYSE
CYS,28-Sep-2010,13.41,13.49,13.19,13.48,850000,NYSE
CYS,29-Sep-2010,13.4,13.51,13.3,13.3,940800,NYSE
CYS,30-Sep-2010,13.35,13.41,13.25,13.35,1494600,NYSE
CYS,01-Oct-2010,13.43,13.47,13.25,13.47,692700,NYSE
CYS,04-Oct-2010,13.47,13.49,13.31,13.41,528400,NYSE
CYS,05-Oct-2010,13.47,13.48,13.31,13.42,716900,NYSE
CYS,06-Oct-2010,13.42,13.43,13.29,13.34,419700,NYSE
CYS,07-Oct-2010,13.36,13.38,13.26,13.28,451900,NYSE
CYS,08-Oct-2010,13.29,13.45,13.23,13.42,515400,NYSE
CYS,11-Oct-2010,13.42,13.49,13.35,13.39,301600,NYSE
CYS,12-Oct-2010,13.39,13.42,13.3,13.39,539300,NYSE
CYS,13-Oct-2010,13.47,13.59,13.42,13.53,771900,NYSE
CYS,14-Oct-2010,13.48,13.5,13.36,13.41,433500,NYSE
CYS,15-Oct-2010,13.46,13.5,13.33,13.41,529600,NYSE
CYS,18-Oct-2010,13.45,13.45,13.35,13.42,531400,NYSE
CYS,19-Oct-2010,13.43,13.5,13.36,13.38,534400,NYSE
CYS,20-Oct-2010,13.48,13.5,13.43,13.44,723000,NYSE
CYS,21-Oct-2010,13.05,13.38,13.05,13.33,1700400,NYSE
CYS,22-Oct-2010,13.33,13.33,13.11,13.15,825800,NYSE
CYS,25-Oct-2010,13.2,13.36,13.15,13.34,703600,NYSE
CYS,26-Oct-2010,13.28,13.28,13.16,13.2,557700,NYSE
CYS,27-Oct-2010,13.28,13.28,13.11,13.15,718100,NYSE
CYS,28-Oct-2010,13.16,13.17,13.03,13.05,742600,NYSE
CYS,29-Oct-2010,13.07,13.09,13.03,13.03,749000,NYSE
CYS,01-Nov-2010,13.02,13.16,13.02,13.15,635600,NYSE
