name,date,open_price,close_price,high_price,low_price,volume,market
DFP,04-Jan-2010,17.76,17.8,17.75,17.8,6700,NYSE
DFP,05-Jan-2010,17.8,17.8,17.8,17.8,17900,NYSE
DFP,06-Jan-2010,17.8,18.73,17.8,18.65,13400,NYSE
DFP,07-Jan-2010,18.73,19.01,18.54,18.84,17200,NYSE
DFP,08-Jan-2010,18.79,18.92,18.79,18.9,5400,NYSE
DFP,11-Jan-2010,19.02,19.3,19.02,19.3,6400,NYSE
DFP,12-Jan-2010,19.23,19.23,19.05,19.06,2800,NYSE
DFP,13-Jan-2010,19.24,19.78,19.22,19.54,6400,NYSE
DFP,14-Jan-2010,19.57,19.77,19.11,19.2,12300,NYSE
DFP,15-Jan-2010,19.1,19.64,19.06,19.35,10200,NYSE
DFP,19-Jan-2010,19.35,19.65,19.35,19.63,5000,NYSE
DFP,20-Jan-2010,19.63,19.88,19.41,19.7,7200,NYSE
DFP,21-Jan-2010,19.71,19.88,19.62,19.78,6600,NYSE
DFP,22-Jan-2010,19.77,19.77,19.6,19.61,2700,NYSE
DFP,25-Jan-2010,19.67,19.75,19.5,19.74,8700,NYSE
DFP,26-Jan-2010,19.58,19.61,19.22,19.33,9500,NYSE
DFP,27-Jan-2010,19.49,19.6,19.4,19.5,2400,NYSE
DFP,28-Jan-2010,19.14,19.49,18.83,18.83,6900,NYSE
DFP,29-Jan-2010,18.86,18.86,18.31,18.6,8800,NYSE
DFP,01-Feb-2010,18.6,18.65,18.45,18.64,1900,NYSE
DFP,02-Feb-2010,18.58,18.58,18.51,18.51,400,NYSE
DFP,03-Feb-2010,18.56,18.86,18.56,18.75,1400,NYSE
DFP,04-Feb-2010,18.94,19.21,18.73,18.73,7900,NYSE
DFP,05-Feb-2010,18.76,18.77,18.39,18.66,3200,NYSE
DFP,08-Feb-2010,18.42,18.42,18.42,18.42,300,NYSE
DFP,09-Feb-2010,18.5,18.5,18.43,18.43,200,NYSE
DFP,10-Feb-2010,18.74,18.78,18.55,18.55,3700,NYSE
