name,date,open_price,close_price,high_price,low_price,volume,market
DGX,04-Jan-2010,60.74,61.18,60.23,61.16,1045900,NYSE
DGX,05-Jan-2010,60.94,61.04,59.26,59.79,1535100,NYSE
DGX,06-Jan-2010,59.54,59.78,57.71,58.87,3184200,NYSE
DGX,07-Jan-2010,58.77,59.63,58.68,59.44,1115900,NYSE
DGX,08-Jan-2010,59.48,60.03,59.12,59.44,1110100,NYSE
DGX,11-Jan-2010,59.68,59.99,59.45,59.59,646300,NYSE
DGX,12-Jan-2010,59.5,59.82,58.94,59.21,667000,NYSE
DGX,13-Jan-2010,59.5,60.19,59.07,59.94,1023700,NYSE
DGX,14-Jan-2010,60.09,60.97,59.74,60.9,773000,NYSE
DGX,15-Jan-2010,60.73,60.73,59.84,60.25,1186500,NYSE
DGX,19-Jan-2010,60.41,61.66,60.26,61.61,1072200,NYSE
DGX,20-Jan-2010,61.61,61.72,59.99,60.64,1179600,NYSE
DGX,21-Jan-2010,60.56,60.89,59.41,59.77,1246600,NYSE
DGX,22-Jan-2010,59.37,59.64,58.61,58.8,1764200,NYSE
DGX,25-Jan-2010,57.23,58.25,55.56,57.44,3785100,NYSE
DGX,26-Jan-2010,57.19,57.75,56.88,57.52,1405000,NYSE
DGX,27-Jan-2010,57.56,57.69,56.16,56.63,1924900,NYSE
DGX,28-Jan-2010,56.61,57.17,55.99,56.05,841200,NYSE
DGX,29-Jan-2010,54.93,56.33,54.93,55.67,1656100,NYSE
DGX,01-Feb-2010,55.87,56.91,55.77,56.44,2009300,NYSE
DGX,02-Feb-2010,56.53,57.28,56.18,57.0,1373600,NYSE
DGX,03-Feb-2010,56.95,56.95,56.2,56.48,1176400,NYSE
DGX,04-Feb-2010,56.24,56.32,55.41,55.43,1752300,NYSE
DGX,05-Feb-2010,55.52,55.69,54.7,55.6,1174300,NYSE
DGX,08-Feb-2010,55.4,55.42,54.63,55.0,1301200,NYSE
DGX,09-Feb-2010,54.99,56.11,54.99,55.68,1148300,NYSE
DGX,10-Feb-2010,55.42,56.14,55.16,55.76,961500,NYSE
DGX,11-Feb-2010,55.57,56.23,55.16,55.9,1073400,NYSE
DGX,12-Feb-2010,55.4,56.16,55.16,56.07,1026400,NYSE
DGX,16-Feb-2010,56.29,56.7,55.79,56.69,1390700,NYSE
DGX,17-Feb-2010,56.86,57.72,56.84,57.39,1037200,NYSE
DGX,18-Feb-2010,57.33,57.96,57.16,57.7,859400,NYSE
DGX,19-Feb-2010,57.51,57.6,56.99,57.5,1425900,NYSE
DGX,22-Feb-2010,57.49,57.93,57.26,57.37,1156900,NYSE
DGX,23-Feb-2010,57.11,57.26,56.57,56.7,1260100,NYSE
DGX,24-Feb-2010,56.73,57.04,56.46,56.82,898700,NYSE
DGX,25-Feb-2010,56.5,56.76,56.18,56.69,1264800,NYSE
DGX,26-Feb-2010,56.83,57.08,56.45,56.75,1005300,NYSE
DGX,01-Mar-2010,56.78,57.47,56.7,56.84,1246600,NYSE
