name,date,open_price,close_price,high_price,low_price,volume,market
DIS,04-Jan-2010,32.5,32.75,31.87,32.07,13700300,NYSE
DIS,05-Jan-2010,32.07,32.16,31.7,31.99,10307600,NYSE
DIS,06-Jan-2010,31.9,32.0,31.68,31.82,10709400,NYSE
DIS,07-Jan-2010,31.77,31.86,31.54,31.83,8202000,NYSE
DIS,08-Jan-2010,31.66,31.94,31.53,31.88,7657400,NYSE
DIS,11-Jan-2010,31.53,31.74,31.09,31.36,11250400,NYSE
DIS,12-Jan-2010,31.02,31.12,30.68,30.82,14618800,NYSE
DIS,13-Jan-2010,30.89,31.37,30.87,31.29,9620500,NYSE
DIS,14-Jan-2010,31.13,31.18,30.96,31.02,9236500,NYSE
DIS,15-Jan-2010,31.01,31.15,30.41,30.6,13936300,NYSE
DIS,19-Jan-2010,30.59,31.19,30.5,31.01,9662000,NYSE
DIS,20-Jan-2010,31.0,31.24,30.72,31.19,13302700,NYSE
DIS,21-Jan-2010,31.14,31.42,30.57,30.61,15403500,NYSE
DIS,22-Jan-2010,30.5,30.71,29.95,29.98,14459300,NYSE
DIS,25-Jan-2010,30.22,30.23,29.55,29.92,11155700,NYSE
DIS,26-Jan-2010,29.8,29.94,29.32,29.66,11197200,NYSE
DIS,27-Jan-2010,29.56,29.81,29.01,29.32,16122600,NYSE
DIS,28-Jan-2010,29.43,29.48,28.71,29.35,17128800,NYSE
DIS,29-Jan-2010,29.37,29.82,29.25,29.55,14508300,NYSE
DIS,01-Feb-2010,29.6,29.77,29.34,29.52,10894100,NYSE
DIS,02-Feb-2010,29.53,30.01,29.22,29.98,10102100,NYSE
DIS,03-Feb-2010,29.92,30.87,29.79,30.75,15976300,NYSE
DIS,04-Feb-2010,30.28,30.49,29.66,29.67,13407800,NYSE
DIS,05-Feb-2010,29.63,29.84,28.99,29.54,11956400,NYSE
DIS,08-Feb-2010,29.76,29.95,29.46,29.48,10657100,NYSE
DIS,09-Feb-2010,29.89,30.04,29.48,29.84,14376700,NYSE
DIS,10-Feb-2010,29.16,30.09,29.03,30.03,24191900,NYSE
DIS,11-Feb-2010,29.82,30.43,29.76,30.16,12389300,NYSE
DIS,12-Feb-2010,29.86,30.2,29.86,30.07,12802600,NYSE
DIS,16-Feb-2010,30.28,30.5,30.17,30.47,9061700,NYSE
DIS,17-Feb-2010,30.54,30.93,30.38,30.86,9768500,NYSE
DIS,18-Feb-2010,30.86,31.07,30.68,31.02,8212200,NYSE
DIS,19-Feb-2010,30.94,31.52,30.85,31.23,12596000,NYSE
