name,date,open_price,close_price,high_price,low_price,volume,market
DK,04-Jan-2010,7.07,7.49,7.07,7.31,444900,NYSE
DK,05-Jan-2010,7.37,7.66,7.37,7.6,154100,NYSE
DK,06-Jan-2010,7.65,7.82,7.61,7.67,152900,NYSE
DK,07-Jan-2010,7.64,7.74,7.56,7.72,118600,NYSE
DK,08-Jan-2010,7.63,7.7,7.52,7.66,204500,NYSE
DK,11-Jan-2010,7.72,7.9,7.72,7.82,170200,NYSE
DK,12-Jan-2010,7.77,7.77,7.57,7.61,126400,NYSE
DK,13-Jan-2010,7.61,7.68,7.23,7.55,211900,NYSE
DK,14-Jan-2010,7.55,7.66,7.49,7.54,113600,NYSE
DK,15-Jan-2010,7.58,7.6,7.5,7.53,199700,NYSE
DK,19-Jan-2010,7.52,7.71,7.45,7.56,96500,NYSE
DK,20-Jan-2010,7.44,7.47,7.2,7.36,216800,NYSE
DK,21-Jan-2010,7.37,7.44,7.15,7.17,69300,NYSE
DK,22-Jan-2010,7.15,7.35,6.94,7.06,147400,NYSE
DK,25-Jan-2010,7.15,7.17,7.02,7.12,88900,NYSE
DK,26-Jan-2010,7.11,7.17,7.0,7.04,64900,NYSE
DK,27-Jan-2010,6.99,7.36,6.74,7.3,263500,NYSE
DK,28-Jan-2010,7.37,7.39,7.0,7.1,70700,NYSE
DK,29-Jan-2010,7.11,7.22,6.9,6.98,123400,NYSE
DK,01-Feb-2010,7.01,7.13,6.95,7.12,53700,NYSE
DK,02-Feb-2010,7.1,7.24,7.04,7.2,66300,NYSE
DK,03-Feb-2010,7.17,7.2,7.03,7.14,67500,NYSE
DK,04-Feb-2010,7.11,7.14,6.86,6.9,138200,NYSE
DK,05-Feb-2010,6.89,6.89,6.56,6.84,130400,NYSE
DK,08-Feb-2010,6.84,6.89,6.77,6.79,36500,NYSE
DK,09-Feb-2010,6.84,6.98,6.74,6.85,46200,NYSE
DK,10-Feb-2010,6.8,6.92,6.73,6.83,53100,NYSE
DK,11-Feb-2010,6.79,6.85,6.69,6.83,55200,NYSE
DK,12-Feb-2010,6.75,6.9,6.67,6.8,98200,NYSE
DK,16-Feb-2010,6.87,7.48,6.83,7.45,124000,NYSE
DK,17-Feb-2010,7.48,7.48,7.3,7.46,65400,NYSE
DK,18-Feb-2010,7.48,7.48,7.34,7.45,38800,NYSE
DK,19-Feb-2010,7.45,7.52,7.34,7.5,54200,NYSE
DK,22-Feb-2010,7.5,7.59,7.46,7.58,24600,NYSE
DK,23-Feb-2010,7.54,7.6,7.45,7.49,42700,NYSE
DK,24-Feb-2010,7.45,7.59,7.33,7.47,69500,NYSE
DK,25-Feb-2010,7.38,7.5,7.32,7.5,42500,NYSE
DK,26-Feb-2010,7.48,7.48,7.27,7.27,56100,NYSE
DK,01-Mar-2010,7.29,7.41,7.18,7.24,42300,NYSE
DK,02-Mar-2010,7.28,7.73,7.27,7.63,100800,NYSE
DK,03-Mar-2010,7.67,7.83,7.67,7.78,60300,NYSE
DK,04-Mar-2010,7.77,7.99,7.77,7.92,43200,NYSE
DK,05-Mar-2010,7.98,8.06,7.8,8.05,73300,NYSE
DK,08-Mar-2010,8.02,8.05,7.8,7.9,42500,NYSE
DK,09-Mar-2010,7.9,7.96,7.8,7.88,41300,NYSE
DK,10-Mar-2010,7.84,8.43,7.8,8.37,140900,NYSE
DK,11-Mar-2010,8.34,8.34,7.92,8.01,106800,NYSE
DK,12-Mar-2010,8.08,8.2,7.95,7.98,38300,NYSE
DK,15-Mar-2010,7.88,7.89,7.5,7.59,168300,NYSE
DK,16-Mar-2010,7.62,7.66,7.56,7.6,46200,NYSE
DK,17-Mar-2010,7.59,7.65,7.49,7.6,59400,NYSE
DK,18-Mar-2010,7.57,7.64,7.36,7.4,85900,NYSE
DK,19-Mar-2010,7.44,7.44,7.13,7.15,217500,NYSE
DK,22-Mar-2010,7.08,7.3,7.01,7.17,60800,NYSE
DK,23-Mar-2010,7.15,7.22,7.07,7.11,99700,NYSE
DK,24-Mar-2010,7.08,7.36,6.98,7.3,95500,NYSE
DK,25-Mar-2010,7.32,7.37,7.07,7.08,51900,NYSE
DK,26-Mar-2010,7.09,7.2,7.09,7.11,31900,NYSE
DK,29-Mar-2010,7.11,7.28,7.11,7.19,57300,NYSE
DK,30-Mar-2010,7.18,7.3,7.15,7.21,38900,NYSE
DK,31-Mar-2010,7.2,7.35,7.18,7.28,53900,NYSE
DK,01-Apr-2010,7.23,7.45,7.23,7.4,84500,NYSE
DK,05-Apr-2010,7.44,7.85,7.38,7.82,86100,NYSE
DK,06-Apr-2010,7.81,8.04,7.8,7.83,104600,NYSE
DK,07-Apr-2010,7.8,8.23,7.61,7.68,292100,NYSE
DK,08-Apr-2010,7.68,7.71,7.44,7.49,83500,NYSE
DK,09-Apr-2010,7.49,8.0,7.46,7.68,501300,NYSE
DK,12-Apr-2010,7.71,7.77,7.48,7.53,67400,NYSE
DK,13-Apr-2010,7.51,7.51,7.25,7.26,43800,NYSE
DK,14-Apr-2010,7.27,7.27,7.17,7.17,88900,NYSE
DK,15-Apr-2010,7.15,7.2,7.02,7.07,140200,NYSE
DK,16-Apr-2010,7.05,7.05,6.88,6.95,74900,NYSE
DK,19-Apr-2010,6.95,6.97,6.8,6.94,72600,NYSE
DK,20-Apr-2010,7.0,7.31,7.0,7.28,76000,NYSE
DK,21-Apr-2010,7.26,7.29,7.06,7.1,68800,NYSE
DK,22-Apr-2010,7.06,7.23,7.05,7.11,83400,NYSE
DK,23-Apr-2010,7.0,7.32,7.0,7.3,66000,NYSE
DK,26-Apr-2010,7.29,7.4,7.2,7.24,47100,NYSE
DK,27-Apr-2010,7.25,7.3,6.82,6.86,43200,NYSE
DK,28-Apr-2010,6.88,7.02,6.84,6.94,37700,NYSE
DK,29-Apr-2010,6.95,7.16,6.94,7.13,39600,NYSE
DK,30-Apr-2010,7.11,7.13,6.98,7.01,29800,NYSE
DK,03-May-2010,7.02,7.3,7.02,7.3,67200,NYSE
DK,04-May-2010,7.2,7.2,7.02,7.2,94100,NYSE
DK,05-May-2010,7.01,7.13,6.75,6.76,64600,NYSE
DK,06-May-2010,6.75,6.9,6.5,6.69,113300,NYSE
