name,date,open_price,close_price,high_price,low_price,volume,market
DLPH,17-Nov-2011,21.25,21.92,21.25,21.33,17557400,NYSE
DLPH,18-Nov-2011,21.35,21.53,20.75,21.0,2718500,NYSE
DLPH,21-Nov-2011,21.0,21.23,20.02,20.3,2366300,NYSE
DLPH,22-Nov-2011,20.3,20.71,19.65,19.9,2988600,NYSE
DLPH,23-Nov-2011,19.7,19.75,19.22,19.63,1061400,NYSE
DLPH,25-Nov-2011,19.55,19.82,19.5,19.65,279500,NYSE
DLPH,28-Nov-2011,19.86,20.32,19.67,20.04,700300,NYSE
DLPH,29-Nov-2011,20.0,20.0,19.7,19.99,533900,NYSE
DLPH,30-Nov-2011,20.15,21.46,20.12,20.84,569600,NYSE
DLPH,01-Dec-2011,20.95,21.05,20.35,20.81,479800,NYSE
DLPH,02-Dec-2011,20.95,21.45,20.9,21.37,584400,NYSE
DLPH,05-Dec-2011,21.45,21.91,21.4,21.77,2067700,NYSE
DLPH,06-Dec-2011,21.64,22.25,21.61,22.13,524000,NYSE
DLPH,07-Dec-2011,22.0,22.1,21.82,22.0,165800,NYSE
DLPH,08-Dec-2011,21.72,21.94,21.62,21.69,377800,NYSE
DLPH,09-Dec-2011,21.62,21.98,21.25,21.75,492600,NYSE
DLPH,12-Dec-2011,21.4,21.59,21.25,21.51,431400,NYSE
DLPH,13-Dec-2011,21.65,21.82,21.21,21.31,558600,NYSE
DLPH,14-Dec-2011,21.08,21.19,20.55,20.64,1052500,NYSE
DLPH,15-Dec-2011,20.98,21.88,20.79,20.96,712800,NYSE
DLPH,16-Dec-2011,20.96,21.5,20.74,20.97,210600,NYSE
DLPH,19-Dec-2011,21.07,21.17,20.76,20.99,148900,NYSE
DLPH,20-Dec-2011,21.43,21.69,21.17,21.5,320100,NYSE
DLPH,21-Dec-2011,21.37,21.68,21.29,21.4,268500,NYSE
DLPH,22-Dec-2011,21.43,21.85,21.43,21.79,374400,NYSE
DLPH,23-Dec-2011,21.82,22.45,21.63,21.94,542400,NYSE
DLPH,27-Dec-2011,22.89,22.89,21.38,21.65,443000,NYSE
DLPH,28-Dec-2011,21.77,21.82,21.09,21.19,144700,NYSE
DLPH,29-Dec-2011,21.22,21.43,21.02,21.42,289000,NYSE
DLPH,30-Dec-2011,21.46,21.64,21.09,21.54,127900,NYSE
