name,date,open_price,close_price,high_price,low_price,volume,market
DRE,04-Jan-2010,12.27,12.36,12.02,12.11,2854200,NYSE
DRE,05-Jan-2010,12.18,12.39,12.02,12.29,4152100,NYSE
DRE,06-Jan-2010,12.3,12.58,12.3,12.47,4241300,NYSE
DRE,07-Jan-2010,12.48,12.9,12.37,12.83,2654700,NYSE
DRE,08-Jan-2010,12.71,13.14,12.68,13.12,4668800,NYSE
DRE,11-Jan-2010,13.12,13.37,13.11,13.22,2399000,NYSE
DRE,12-Jan-2010,13.05,13.22,12.79,12.85,2769600,NYSE
DRE,13-Jan-2010,12.89,13.21,12.82,13.18,2458700,NYSE
DRE,14-Jan-2010,13.04,13.15,12.88,13.0,1724300,NYSE
DRE,15-Jan-2010,12.88,13.02,12.52,12.67,2569200,NYSE
DRE,19-Jan-2010,12.67,13.07,12.58,13.05,3534500,NYSE
DRE,20-Jan-2010,12.85,13.04,12.73,12.96,2714200,NYSE
DRE,21-Jan-2010,13.02,13.11,12.56,12.59,3457300,NYSE
DRE,22-Jan-2010,12.55,12.79,12.15,12.18,3728400,NYSE
DRE,25-Jan-2010,12.33,12.41,11.95,12.13,2971400,NYSE
DRE,26-Jan-2010,12.0,12.13,11.94,11.98,3975300,NYSE
DRE,27-Jan-2010,11.95,12.09,11.72,12.05,3796200,NYSE
DRE,28-Jan-2010,11.88,12.15,11.29,11.44,8361300,NYSE
DRE,29-Jan-2010,11.43,11.77,11.25,11.32,3739800,NYSE
DRE,01-Feb-2010,11.41,11.7,11.37,11.53,3044600,NYSE
DRE,02-Feb-2010,11.38,11.83,11.22,11.61,6641100,NYSE
DRE,03-Feb-2010,11.53,11.55,11.21,11.44,3080400,NYSE
DRE,04-Feb-2010,11.35,11.35,10.93,10.93,3456400,NYSE
DRE,05-Feb-2010,10.94,11.25,10.73,11.24,4091200,NYSE
DRE,08-Feb-2010,11.21,11.31,10.83,10.83,3597300,NYSE
DRE,09-Feb-2010,11.06,11.09,10.55,10.64,4343300,NYSE
DRE,10-Feb-2010,10.55,10.65,10.36,10.46,7098900,NYSE
DRE,11-Feb-2010,10.46,10.56,10.26,10.55,3575300,NYSE
DRE,12-Feb-2010,10.36,10.71,10.29,10.67,3471900,NYSE
DRE,16-Feb-2010,10.82,10.96,10.7,10.96,2481300,NYSE
DRE,17-Feb-2010,10.99,11.07,10.86,10.93,2575100,NYSE
DRE,18-Feb-2010,10.96,11.15,10.72,11.09,2874900,NYSE
DRE,19-Feb-2010,11.02,11.2,10.97,11.15,2301800,NYSE
DRE,22-Feb-2010,11.22,11.26,10.99,11.12,2178100,NYSE
DRE,23-Feb-2010,11.16,11.23,11.03,11.11,2454100,NYSE
DRE,24-Feb-2010,11.14,11.23,11.04,11.23,2042800,NYSE
DRE,25-Feb-2010,11.04,11.17,10.97,11.14,2097500,NYSE
DRE,26-Feb-2010,11.17,11.25,11.07,11.1,2633500,NYSE
DRE,01-Mar-2010,11.15,11.33,11.02,11.22,2861400,NYSE
