name,date,open_price,close_price,high_price,low_price,volume,market
DVN,04-Jan-2010,75.31,76.79,74.85,76.57,4226900,NYSE
DVN,05-Jan-2010,76.72,76.74,75.88,76.65,3711400,NYSE
DVN,06-Jan-2010,76.58,76.7,75.5,76.42,3225700,NYSE
DVN,07-Jan-2010,75.91,76.11,75.06,75.97,2836000,NYSE
DVN,08-Jan-2010,75.41,76.24,74.74,76.12,2496100,NYSE
DVN,11-Jan-2010,75.7,76.0,74.36,75.08,2811800,NYSE
DVN,12-Jan-2010,74.06,74.48,73.44,74.19,2567400,NYSE
DVN,13-Jan-2010,74.37,75.35,73.35,75.07,2131200,NYSE
DVN,14-Jan-2010,75.13,75.29,73.52,73.97,2867700,NYSE
DVN,15-Jan-2010,73.51,74.04,72.2,73.03,3400300,NYSE
DVN,19-Jan-2010,72.62,73.63,72.3,73.57,2198800,NYSE
DVN,20-Jan-2010,72.35,72.35,70.78,72.04,2905400,NYSE
DVN,21-Jan-2010,72.18,72.86,71.32,71.43,2963700,NYSE
DVN,22-Jan-2010,71.5,71.72,69.1,69.3,3269500,NYSE
DVN,25-Jan-2010,69.91,71.5,69.69,70.97,2756400,NYSE
DVN,26-Jan-2010,70.01,71.28,69.03,69.76,3628700,NYSE
DVN,27-Jan-2010,69.76,70.34,68.08,69.35,3633100,NYSE
DVN,28-Jan-2010,69.75,70.69,67.75,68.52,3760900,NYSE
DVN,29-Jan-2010,69.21,70.14,66.46,66.91,4751000,NYSE
DVN,01-Feb-2010,67.7,69.9,67.57,69.76,3074100,NYSE
DVN,02-Feb-2010,69.79,71.48,69.35,71.32,3556700,NYSE
DVN,03-Feb-2010,71.12,71.48,70.06,70.49,3298300,NYSE
DVN,04-Feb-2010,69.68,69.89,66.72,66.86,4551100,NYSE
DVN,05-Feb-2010,66.73,67.2,64.66,66.73,4666100,NYSE
DVN,08-Feb-2010,66.63,67.61,65.81,66.14,3112900,NYSE
DVN,09-Feb-2010,67.11,68.46,66.5,67.3,3853700,NYSE
DVN,10-Feb-2010,67.09,67.3,65.07,66.41,3950300,NYSE
DVN,11-Feb-2010,66.0,67.74,65.91,67.11,3357100,NYSE
DVN,12-Feb-2010,65.97,67.3,65.76,67.08,3367600,NYSE
DVN,16-Feb-2010,68.68,69.22,68.24,69.1,3011500,NYSE
DVN,17-Feb-2010,70.51,70.9,69.24,69.79,4839100,NYSE
DVN,18-Feb-2010,69.62,70.56,69.6,70.21,3399000,NYSE
DVN,19-Feb-2010,70.13,71.81,70.0,71.42,3732900,NYSE
DVN,22-Feb-2010,71.98,71.98,69.88,70.02,3048700,NYSE
DVN,23-Feb-2010,69.57,69.68,67.76,68.04,4507900,NYSE
DVN,24-Feb-2010,68.05,68.83,67.65,68.39,2498500,NYSE
DVN,25-Feb-2010,66.95,68.89,66.7,68.81,3628400,NYSE
DVN,26-Feb-2010,69.1,69.18,68.36,68.86,3728800,NYSE
DVN,01-Mar-2010,69.36,69.81,68.85,69.38,3318900,NYSE
DVN,02-Mar-2010,69.61,70.5,69.59,70.16,3125600,NYSE
DVN,03-Mar-2010,70.26,71.07,70.12,70.44,3195400,NYSE
DVN,04-Mar-2010,70.64,70.86,68.9,69.55,3651600,NYSE
DVN,05-Mar-2010,70.19,70.24,68.44,69.95,3879400,NYSE
DVN,08-Mar-2010,70.02,70.02,68.85,69.69,4064200,NYSE
DVN,09-Mar-2010,69.28,71.16,69.11,70.85,5451700,NYSE
DVN,10-Mar-2010,70.98,72.39,70.65,71.85,6098000,NYSE
DVN,11-Mar-2010,73.6,73.61,71.75,72.04,9993700,NYSE
DVN,12-Mar-2010,72.59,72.6,70.14,70.53,6106100,NYSE
