name,date,open_price,close_price,high_price,low_price,volume,market
ECA,04-Jan-2010,33.53,34.27,33.17,34.2,2992100,NYSE
ECA,05-Jan-2010,34.47,34.89,33.85,34.6,3297300,NYSE
ECA,06-Jan-2010,34.79,35.15,34.45,35.02,3199700,NYSE
ECA,07-Jan-2010,35.04,35.04,34.4,34.83,3446000,NYSE
ECA,08-Jan-2010,34.78,34.99,34.14,34.99,3151600,NYSE
ECA,11-Jan-2010,35.25,35.44,33.94,34.48,3747000,NYSE
ECA,12-Jan-2010,33.99,34.6,33.77,34.2,3399900,NYSE
ECA,13-Jan-2010,34.76,35.27,33.92,35.19,4552000,NYSE
ECA,14-Jan-2010,35.62,35.63,34.91,35.01,3785800,NYSE
ECA,15-Jan-2010,34.97,35.15,34.16,34.49,4063400,NYSE
ECA,19-Jan-2010,34.53,34.67,34.2,34.62,2679900,NYSE
ECA,20-Jan-2010,33.8,33.92,33.27,33.79,3871500,NYSE
ECA,21-Jan-2010,33.92,33.97,32.42,32.45,5833800,NYSE
ECA,22-Jan-2010,32.41,32.86,31.92,32.23,6013000,NYSE
ECA,25-Jan-2010,32.53,32.8,32.18,32.48,3193600,NYSE
ECA,26-Jan-2010,32.1,32.31,31.69,31.83,3634600,NYSE
ECA,27-Jan-2010,31.62,31.76,30.77,31.47,4965900,NYSE
ECA,28-Jan-2010,31.75,31.75,30.44,30.98,4284500,NYSE
ECA,29-Jan-2010,31.29,31.79,30.5,30.59,4754500,NYSE
ECA,01-Feb-2010,31.07,31.65,30.93,31.6,3116800,NYSE
ECA,02-Feb-2010,31.94,32.4,31.57,32.34,3464000,NYSE
ECA,03-Feb-2010,32.32,32.54,32.01,32.27,2833400,NYSE
ECA,04-Feb-2010,32.01,32.09,30.64,30.74,5061400,NYSE
ECA,05-Feb-2010,30.83,31.0,29.5,30.45,4281900,NYSE
ECA,08-Feb-2010,30.58,31.15,30.26,30.33,2991600,NYSE
ECA,09-Feb-2010,30.79,31.16,30.48,30.68,4066500,NYSE
ECA,10-Feb-2010,30.73,31.0,30.09,30.64,3852400,NYSE
ECA,11-Feb-2010,30.68,31.51,30.63,31.5,4240600,NYSE
ECA,12-Feb-2010,31.22,31.93,31.07,31.91,4016100,NYSE
ECA,16-Feb-2010,32.37,33.39,32.37,33.17,3489600,NYSE
ECA,17-Feb-2010,33.16,34.02,32.99,33.02,5216100,NYSE
