name,date,open_price,close_price,high_price,low_price,volume,market
EDU,04-Jan-2010,19.16,19.2625,18.7425,18.8125,319600,NYSE
EDU,05-Jan-2010,18.88,19.2425,18.855,19.165,191200,NYSE
EDU,06-Jan-2010,19.165,19.7825,19.165,19.665,546900,NYSE
EDU,07-Jan-2010,19.7375,20.0,19.6475,19.9875,346100,NYSE
EDU,08-Jan-2010,19.63,20.0,19.5925,19.9225,350700,NYSE
EDU,11-Jan-2010,19.785,19.9075,19.34,19.6775,261200,NYSE
EDU,12-Jan-2010,19.5025,19.7475,19.365,19.4425,209400,NYSE
EDU,13-Jan-2010,19.4475,19.7525,19.4425,19.725,178800,NYSE
EDU,14-Jan-2010,19.625,19.8575,19.4225,19.475,280800,NYSE
EDU,15-Jan-2010,19.39,19.43,17.8625,18.0325,2116800,NYSE
EDU,19-Jan-2010,17.4225,20.0,17.4225,19.8375,3490200,NYSE
EDU,20-Jan-2010,18.9825,19.225,18.5225,19.11,1806000,NYSE
EDU,21-Jan-2010,18.9525,19.3625,18.8725,19.1075,694100,NYSE
EDU,22-Jan-2010,19.0925,19.0925,18.65,18.7025,461900,NYSE
EDU,25-Jan-2010,18.75,18.75,18.555,18.67,357200,NYSE
EDU,26-Jan-2010,18.505,18.675,18.3125,18.3225,918900,NYSE
EDU,27-Jan-2010,18.265,18.295,17.3625,17.825,985700,NYSE
EDU,28-Jan-2010,18.105,18.105,17.39,17.44,399900,NYSE
EDU,29-Jan-2010,17.3875,17.485,16.94,17.0,705600,NYSE
EDU,01-Feb-2010,16.905,17.2675,16.85,17.245,192300,NYSE
EDU,02-Feb-2010,17.27,17.695,17.1975,17.6175,210500,NYSE
EDU,03-Feb-2010,17.6975,17.9775,17.6975,17.8625,192700,NYSE
EDU,04-Feb-2010,17.8225,17.8525,17.345,17.3575,657100,NYSE
EDU,05-Feb-2010,17.6,17.8925,16.905,17.25,471000,NYSE
EDU,08-Feb-2010,17.305,17.33,16.7675,16.825,286100,NYSE
EDU,09-Feb-2010,17.025,17.075,16.575,16.6675,477900,NYSE
EDU,10-Feb-2010,16.825,17.1625,16.7625,17.0725,298500,NYSE
EDU,11-Feb-2010,17.01,17.41,16.8675,17.2575,252900,NYSE
EDU,12-Feb-2010,17.135,17.55,16.9475,17.4925,372000,NYSE
EDU,16-Feb-2010,17.6275,17.925,17.4775,17.875,218600,NYSE
EDU,17-Feb-2010,18.0075,18.085,17.8475,18.0475,272100,NYSE
EDU,18-Feb-2010,18.01,18.265,17.9625,18.145,222500,NYSE
EDU,19-Feb-2010,17.865,18.495,17.865,18.2725,266500,NYSE
EDU,22-Feb-2010,18.3125,18.735,18.3125,18.48,305700,NYSE
EDU,23-Feb-2010,18.56,19.225,18.56,19.0425,544700,NYSE
EDU,24-Feb-2010,18.58,19.2025,18.4575,19.17,401200,NYSE
EDU,25-Feb-2010,18.8725,19.825,18.615,19.77,934800,NYSE
EDU,26-Feb-2010,19.6075,19.625,19.3525,19.5475,555600,NYSE
EDU,01-Mar-2010,19.45,19.75,19.45,19.655,360200,NYSE
EDU,02-Mar-2010,19.625,19.9325,19.625,19.7325,232400,NYSE
EDU,03-Mar-2010,19.775,19.8725,19.3475,19.57,194800,NYSE
EDU,04-Mar-2010,19.4525,19.545,19.105,19.1425,1008500,NYSE
EDU,05-Mar-2010,19.25,19.4975,19.19,19.25,239600,NYSE
EDU,08-Mar-2010,19.29,19.5,19.035,19.25,489900,NYSE
EDU,09-Mar-2010,19.125,19.4875,19.125,19.3275,323700,NYSE
EDU,10-Mar-2010,19.35,20.3375,19.35,20.06,797300,NYSE
EDU,11-Mar-2010,20.0,20.565,19.9075,20.5125,450700,NYSE
EDU,12-Mar-2010,20.685,21.4875,20.605,21.4125,805200,NYSE
EDU,15-Mar-2010,21.3175,21.5275,20.675,20.8825,428700,NYSE
EDU,16-Mar-2010,20.8975,21.315,20.88,21.2525,245300,NYSE
EDU,17-Mar-2010,21.2675,22.0,21.2675,21.975,667200,NYSE
EDU,18-Mar-2010,21.9675,22.125,21.19,21.26,790100,NYSE
