name,date,open_price,close_price,high_price,low_price,volume,market
EFX,04-Jan-2010,31.15,31.52,31.04,31.47,750600,NYSE
EFX,05-Jan-2010,31.42,31.49,31.05,31.46,948700,NYSE
EFX,06-Jan-2010,31.48,31.88,31.36,31.8,812000,NYSE
EFX,07-Jan-2010,31.67,31.94,31.55,31.93,536200,NYSE
EFX,08-Jan-2010,31.83,31.97,31.67,31.94,640600,NYSE
EFX,11-Jan-2010,32.0,32.1,31.56,31.64,580700,NYSE
EFX,12-Jan-2010,31.55,31.67,31.28,31.45,735500,NYSE
EFX,13-Jan-2010,31.45,31.79,31.42,31.77,671800,NYSE
EFX,14-Jan-2010,31.67,31.98,31.52,31.98,434200,NYSE
EFX,15-Jan-2010,31.87,31.93,31.63,31.74,775800,NYSE
EFX,19-Jan-2010,31.66,31.96,31.63,31.93,546600,NYSE
EFX,20-Jan-2010,31.75,31.86,31.42,31.77,639800,NYSE
EFX,21-Jan-2010,31.73,32.25,31.6,31.61,1043300,NYSE
EFX,22-Jan-2010,31.69,31.69,31.33,31.43,1101800,NYSE
EFX,25-Jan-2010,31.71,31.92,31.37,31.85,1113000,NYSE
EFX,26-Jan-2010,31.82,31.91,31.52,31.59,651500,NYSE
EFX,27-Jan-2010,31.47,32.15,31.47,32.15,1016500,NYSE
EFX,28-Jan-2010,32.21,32.21,31.61,31.73,1112600,NYSE
EFX,29-Jan-2010,31.82,32.18,31.58,32.0,1514600,NYSE
EFX,01-Feb-2010,32.11,33.4,31.97,33.4,2494700,NYSE
EFX,02-Feb-2010,33.43,33.59,32.9,33.38,2638000,NYSE
EFX,03-Feb-2010,33.13,33.39,32.9,33.04,1127500,NYSE
EFX,04-Feb-2010,32.17,32.74,31.37,31.72,2989200,NYSE
EFX,05-Feb-2010,31.67,32.19,30.93,31.57,2224000,NYSE
EFX,08-Feb-2010,31.63,31.72,31.08,31.18,1199000,NYSE
EFX,09-Feb-2010,31.44,31.81,31.23,31.47,1891300,NYSE
EFX,10-Feb-2010,31.34,31.6,31.06,31.35,1402200,NYSE
EFX,11-Feb-2010,31.37,31.67,31.07,31.6,1284400,NYSE
EFX,12-Feb-2010,31.4,31.69,31.25,31.44,1432200,NYSE
EFX,16-Feb-2010,31.64,31.98,31.36,31.96,1613300,NYSE
EFX,17-Feb-2010,32.04,32.58,32.02,32.49,1478300,NYSE
EFX,18-Feb-2010,32.44,32.54,31.93,32.01,1784400,NYSE
EFX,19-Feb-2010,31.9,32.19,31.9,32.0,1884300,NYSE
EFX,22-Feb-2010,32.0,32.08,31.77,31.97,828400,NYSE
EFX,23-Feb-2010,31.98,32.12,31.55,31.71,1149000,NYSE
EFX,24-Feb-2010,31.77,32.31,31.76,32.3,1170800,NYSE
EFX,25-Feb-2010,32.0,32.33,31.71,32.3,904800,NYSE
EFX,26-Feb-2010,32.36,32.4,32.11,32.26,1020900,NYSE
EFX,01-Mar-2010,32.23,32.69,32.12,32.66,748900,NYSE
EFX,02-Mar-2010,32.83,32.98,32.67,32.77,818800,NYSE
EFX,03-Mar-2010,32.92,32.94,32.59,32.66,529400,NYSE
EFX,04-Mar-2010,32.8,32.81,32.54,32.75,683900,NYSE
EFX,05-Mar-2010,32.81,33.34,32.73,33.34,1346200,NYSE
EFX,08-Mar-2010,33.29,33.34,32.98,33.04,642800,NYSE
EFX,09-Mar-2010,33.0,33.3,32.9,33.04,578900,NYSE
EFX,10-Mar-2010,32.99,33.35,32.93,33.21,768600,NYSE
EFX,11-Mar-2010,33.08,33.29,32.97,33.29,609300,NYSE
EFX,12-Mar-2010,33.34,33.51,33.09,33.51,514600,NYSE
EFX,15-Mar-2010,33.54,33.79,33.39,33.75,788500,NYSE
EFX,16-Mar-2010,33.91,34.7,33.72,34.65,1027900,NYSE
EFX,17-Mar-2010,34.68,35.18,34.58,35.15,1090400,NYSE
