name,date,open_price,close_price,high_price,low_price,volume,market
ENS,04-Jan-2010,22.08,22.79,22.0,22.78,314600,NYSE
ENS,05-Jan-2010,22.68,22.84,22.43,22.62,332300,NYSE
ENS,06-Jan-2010,22.52,22.66,22.14,22.51,321500,NYSE
ENS,07-Jan-2010,22.4,22.4,21.54,22.0,652600,NYSE
ENS,08-Jan-2010,21.91,22.36,21.85,22.27,461200,NYSE
ENS,11-Jan-2010,22.33,22.49,22.0,22.44,445700,NYSE
ENS,12-Jan-2010,22.22,22.26,21.91,22.13,527600,NYSE
ENS,13-Jan-2010,22.28,22.37,21.99,22.19,425200,NYSE
ENS,14-Jan-2010,22.04,22.52,22.04,22.4,413900,NYSE
ENS,15-Jan-2010,22.49,22.61,22.19,22.59,633200,NYSE
ENS,19-Jan-2010,22.57,23.03,22.51,22.92,562100,NYSE
ENS,20-Jan-2010,22.75,22.75,22.11,22.13,788300,NYSE
ENS,21-Jan-2010,22.23,22.37,21.48,21.5,716900,NYSE
ENS,22-Jan-2010,21.5,21.61,20.96,21.01,406400,NYSE
ENS,25-Jan-2010,21.2,21.96,21.15,21.42,516200,NYSE
ENS,26-Jan-2010,21.28,21.4,21.0,21.01,377600,NYSE
ENS,27-Jan-2010,20.92,21.11,20.7,21.1,623500,NYSE
ENS,28-Jan-2010,21.08,21.08,19.9,20.36,637200,NYSE
ENS,29-Jan-2010,20.37,20.45,19.44,19.49,472200,NYSE
ENS,01-Feb-2010,19.66,20.24,19.4,20.2,677100,NYSE
ENS,02-Feb-2010,20.16,20.69,20.1,20.64,498900,NYSE
ENS,03-Feb-2010,20.57,20.92,20.37,20.82,671100,NYSE
ENS,04-Feb-2010,20.71,22.38,20.6,21.19,1469300,NYSE
ENS,05-Feb-2010,21.29,22.55,21.29,22.2,1238400,NYSE
ENS,08-Feb-2010,22.2,22.67,21.61,21.63,895200,NYSE
ENS,09-Feb-2010,22.02,22.1,21.33,21.79,538600,NYSE
ENS,10-Feb-2010,21.65,21.9,21.21,21.65,494400,NYSE
ENS,11-Feb-2010,21.55,21.9,21.41,21.89,749600,NYSE
ENS,12-Feb-2010,21.73,22.38,21.48,22.24,454500,NYSE
ENS,16-Feb-2010,22.48,22.59,22.07,22.59,450700,NYSE
ENS,17-Feb-2010,22.63,22.88,22.32,22.8,358200,NYSE
ENS,18-Feb-2010,22.71,23.0,22.53,22.96,308500,NYSE
ENS,19-Feb-2010,22.89,23.19,22.77,23.07,417500,NYSE
ENS,22-Feb-2010,23.19,23.39,22.88,23.0,345200,NYSE
ENS,23-Feb-2010,22.85,22.85,22.16,22.39,347000,NYSE
