name,date,open_price,close_price,high_price,low_price,volume,market
EOT,04-Jan-2010,19.2,19.27,19.14,19.27,40800,NYSE
EOT,05-Jan-2010,19.31,19.43,19.27,19.4,39400,NYSE
EOT,06-Jan-2010,19.44,19.78,19.44,19.7,78300,NYSE
EOT,07-Jan-2010,19.76,19.9,19.7,19.88,53500,NYSE
EOT,08-Jan-2010,19.9,20.0,19.88,20.0,89000,NYSE
EOT,11-Jan-2010,19.84,19.97,19.61,19.71,88400,NYSE
EOT,12-Jan-2010,19.73,19.93,19.66,19.76,77600,NYSE
EOT,13-Jan-2010,19.88,19.93,19.73,19.84,38000,NYSE
EOT,14-Jan-2010,19.91,19.99,19.81,19.95,80500,NYSE
EOT,15-Jan-2010,19.94,19.97,19.83,19.93,80700,NYSE
EOT,19-Jan-2010,19.98,19.98,19.81,19.98,63200,NYSE
EOT,20-Jan-2010,19.92,19.95,19.75,19.9,49900,NYSE
EOT,21-Jan-2010,19.81,19.98,19.81,19.93,86900,NYSE
EOT,22-Jan-2010,19.96,19.99,19.87,19.92,63600,NYSE
EOT,25-Jan-2010,19.96,19.96,19.72,19.81,87000,NYSE
EOT,26-Jan-2010,19.85,19.95,19.81,19.95,93900,NYSE
EOT,27-Jan-2010,19.97,19.97,19.67,19.73,92400,NYSE
EOT,28-Jan-2010,19.82,19.82,19.62,19.67,37600,NYSE
EOT,29-Jan-2010,19.72,19.91,19.63,19.91,48800,NYSE
EOT,01-Feb-2010,19.94,20.09,19.91,20.04,85500,NYSE
EOT,02-Feb-2010,20.08,20.09,19.81,20.04,45800,NYSE
EOT,03-Feb-2010,20.0,20.07,19.93,20.04,52700,NYSE
EOT,04-Feb-2010,20.04,20.11,19.71,19.71,60600,NYSE
EOT,05-Feb-2010,19.72,20.06,19.72,19.82,34200,NYSE
EOT,08-Feb-2010,19.84,19.99,19.78,19.99,50400,NYSE
EOT,09-Feb-2010,19.99,20.1,19.94,19.95,70500,NYSE
EOT,10-Feb-2010,20.04,20.06,19.93,19.97,35700,NYSE
EOT,11-Feb-2010,20.03,20.19,19.98,20.19,77100,NYSE
EOT,12-Feb-2010,19.99,20.16,19.99,20.1,67200,NYSE
EOT,16-Feb-2010,20.1,20.19,20.06,20.18,51300,NYSE
EOT,17-Feb-2010,20.17,20.18,20.0,20.05,76500,NYSE
EOT,18-Feb-2010,20.14,20.19,20.02,20.19,68200,NYSE
EOT,19-Feb-2010,20.08,20.45,20.02,20.02,83000,NYSE
EOT,22-Feb-2010,20.03,20.4,20.03,20.24,81300,NYSE
EOT,23-Feb-2010,20.42,20.42,20.01,20.05,77400,NYSE
EOT,24-Feb-2010,20.03,20.25,20.03,20.1,51300,NYSE
EOT,25-Feb-2010,20.11,20.2,19.93,20.08,86100,NYSE
EOT,26-Feb-2010,20.13,20.25,20.05,20.05,64700,NYSE
EOT,01-Mar-2010,20.17,20.2,20.02,20.05,63400,NYSE
EOT,02-Mar-2010,20.04,20.12,19.96,20.05,72600,NYSE
EOT,03-Mar-2010,20.11,20.15,20.01,20.05,80800,NYSE
EOT,04-Mar-2010,20.13,20.4,20.05,20.27,56400,NYSE
EOT,05-Mar-2010,20.3,20.39,20.25,20.38,28900,NYSE
EOT,08-Mar-2010,20.47,20.49,20.3,20.49,45400,NYSE
EOT,09-Mar-2010,20.63,20.68,20.34,20.55,37600,NYSE
EOT,10-Mar-2010,20.63,20.64,20.26,20.54,86100,NYSE
EOT,11-Mar-2010,20.54,20.54,20.31,20.36,46500,NYSE
EOT,12-Mar-2010,20.4,20.4,20.2,20.26,53400,NYSE
EOT,15-Mar-2010,20.28,20.35,20.11,20.15,69500,NYSE
EOT,16-Mar-2010,20.13,20.28,20.1,20.11,108600,NYSE
EOT,17-Mar-2010,20.13,20.2,20.07,20.07,51600,NYSE
EOT,18-Mar-2010,20.11,20.17,20.09,20.1,41500,NYSE
EOT,19-Mar-2010,20.1,20.26,20.09,20.23,32200,NYSE
EOT,22-Mar-2010,20.18,20.68,20.08,20.29,72600,NYSE
EOT,23-Mar-2010,20.33,20.39,20.13,20.22,64300,NYSE
EOT,24-Mar-2010,20.29,20.39,20.21,20.24,52800,NYSE
EOT,25-Mar-2010,20.23,20.3,20.21,20.21,53200,NYSE
EOT,26-Mar-2010,20.19,20.25,20.11,20.19,71900,NYSE
EOT,29-Mar-2010,20.17,20.29,20.17,20.29,58700,NYSE
EOT,30-Mar-2010,20.34,20.42,20.21,20.38,54800,NYSE
EOT,31-Mar-2010,20.45,20.45,20.2,20.26,64700,NYSE
EOT,01-Apr-2010,20.32,20.43,20.27,20.4,28400,NYSE
EOT,05-Apr-2010,20.36,20.43,20.26,20.27,41200,NYSE
EOT,06-Apr-2010,20.26,20.35,20.19,20.22,51700,NYSE
EOT,07-Apr-2010,20.29,20.32,20.21,20.27,38400,NYSE
EOT,08-Apr-2010,20.26,20.33,20.23,20.25,35200,NYSE
EOT,09-Apr-2010,20.31,20.33,20.28,20.28,11800,NYSE
EOT,12-Apr-2010,20.36,20.42,20.32,20.38,31900,NYSE
EOT,13-Apr-2010,20.4,20.47,20.33,20.36,50100,NYSE
EOT,14-Apr-2010,20.35,20.47,20.3,20.45,42000,NYSE
EOT,15-Apr-2010,20.49,20.49,20.28,20.3,91200,NYSE
EOT,16-Apr-2010,20.35,20.38,20.27,20.32,22700,NYSE
EOT,19-Apr-2010,20.37,20.45,20.3,20.43,36700,NYSE
EOT,20-Apr-2010,20.45,20.5,20.38,20.49,73500,NYSE
EOT,21-Apr-2010,20.3,20.4,20.3,20.37,83000,NYSE
EOT,22-Apr-2010,20.31,20.46,20.31,20.37,39600,NYSE
EOT,23-Apr-2010,20.34,20.53,20.32,20.46,75500,NYSE
EOT,26-Apr-2010,20.5,20.5,20.4,20.4,34700,NYSE
EOT,27-Apr-2010,20.57,20.58,20.27,20.29,103600,NYSE
EOT,28-Apr-2010,20.28,20.34,20.24,20.32,74200,NYSE
EOT,29-Apr-2010,20.35,20.37,20.3,20.32,42500,NYSE
EOT,30-Apr-2010,20.32,20.33,20.26,20.29,29200,NYSE
EOT,03-May-2010,20.36,20.57,20.33,20.52,55100,NYSE
EOT,04-May-2010,20.49,20.58,20.48,20.53,25700,NYSE
EOT,05-May-2010,20.55,20.63,20.49,20.59,37700,NYSE
EOT,06-May-2010,20.56,20.6,20.4,20.4,44500,NYSE
EOT,07-May-2010,20.4,20.56,20.25,20.33,51400,NYSE
EOT,10-May-2010,20.46,21.25,20.4,20.5,105600,NYSE
EOT,11-May-2010,20.55,21.15,20.45,21.15,46300,NYSE
EOT,12-May-2010,21.15,21.2,20.86,21.19,43600,NYSE
EOT,13-May-2010,21.05,21.1,20.86,21.0,30000,NYSE
EOT,14-May-2010,20.87,21.3,20.8,20.97,64200,NYSE
EOT,17-May-2010,20.93,20.97,20.73,20.94,29500,NYSE
EOT,18-May-2010,20.92,21.19,20.77,21.19,59900,NYSE
EOT,19-May-2010,20.99,21.07,20.79,20.9,51500,NYSE
EOT,20-May-2010,20.67,20.95,20.5,20.95,40600,NYSE
EOT,21-May-2010,20.75,20.78,20.5,20.55,49900,NYSE
EOT,24-May-2010,20.55,20.65,20.55,20.55,27800,NYSE
EOT,25-May-2010,20.2,20.53,20.2,20.46,79800,NYSE
EOT,26-May-2010,20.51,20.78,20.46,20.48,55900,NYSE
EOT,27-May-2010,20.61,20.69,20.43,20.43,53300,NYSE
EOT,28-May-2010,20.53,20.53,20.31,20.35,28600,NYSE
EOT,01-Jun-2010,20.27,20.43,20.27,20.37,29800,NYSE
EOT,02-Jun-2010,20.27,20.42,20.27,20.41,52000,NYSE
EOT,03-Jun-2010,20.41,20.57,20.33,20.57,47000,NYSE
EOT,04-Jun-2010,20.54,20.74,20.53,20.57,32100,NYSE
EOT,07-Jun-2010,20.54,20.66,20.31,20.32,88500,NYSE
EOT,08-Jun-2010,20.25,20.43,20.25,20.42,33600,NYSE
EOT,09-Jun-2010,20.4,20.5,20.32,20.38,29600,NYSE
EOT,10-Jun-2010,20.49,20.49,20.33,20.35,45200,NYSE
EOT,11-Jun-2010,20.35,20.39,20.23,20.26,54200,NYSE
EOT,14-Jun-2010,20.26,20.34,20.21,20.23,54600,NYSE
EOT,15-Jun-2010,20.25,20.31,20.11,20.18,104100,NYSE
EOT,16-Jun-2010,20.24,20.24,20.13,20.14,33900,NYSE
EOT,17-Jun-2010,20.15,20.2,20.05,20.07,52000,NYSE
EOT,18-Jun-2010,20.15,20.17,20.04,20.14,38300,NYSE
EOT,21-Jun-2010,20.2,20.21,20.02,20.15,88900,NYSE
EOT,22-Jun-2010,20.15,20.24,20.06,20.22,58200,NYSE
EOT,23-Jun-2010,20.13,20.28,20.13,20.24,56800,NYSE
EOT,24-Jun-2010,20.28,20.33,20.16,20.23,46500,NYSE
EOT,25-Jun-2010,20.25,20.25,20.13,20.25,29400,NYSE
EOT,28-Jun-2010,20.33,20.41,20.28,20.41,42500,NYSE
EOT,29-Jun-2010,20.41,20.46,20.12,20.18,80200,NYSE
EOT,30-Jun-2010,20.19,20.26,20.03,20.19,58800,NYSE
EOT,01-Jul-2010,20.25,20.34,20.17,20.33,35900,NYSE
EOT,02-Jul-2010,20.35,20.38,20.25,20.28,12300,NYSE
EOT,06-Jul-2010,20.35,20.39,20.24,20.37,43500,NYSE
