name,date,open_price,close_price,high_price,low_price,volume,market
EPE,04-Jan-2010,39.13,39.96,39.13,39.89,284600,NYSE
EPE,05-Jan-2010,39.72,40.07,39.72,40.0,236100,NYSE
EPE,06-Jan-2010,39.99,40.3,39.9,39.98,214200,NYSE
EPE,07-Jan-2010,40.2,40.2,39.64,39.83,191800,NYSE
EPE,08-Jan-2010,39.83,40.02,39.33,40.02,119800,NYSE
EPE,11-Jan-2010,40.4,40.4,39.86,40.0,71300,NYSE
EPE,12-Jan-2010,40.13,40.13,39.85,40.0,113100,NYSE
EPE,13-Jan-2010,39.96,40.0,39.8,40.0,141400,NYSE
EPE,14-Jan-2010,40.19,40.23,39.93,40.2,257300,NYSE
EPE,15-Jan-2010,39.85,40.3,39.84,40.28,90700,NYSE
EPE,19-Jan-2010,40.2,40.6,40.17,40.58,161700,NYSE
EPE,20-Jan-2010,40.9,40.92,40.33,40.76,95300,NYSE
EPE,21-Jan-2010,40.95,41.0,40.25,40.48,94500,NYSE
EPE,22-Jan-2010,40.75,40.87,40.22,40.44,125200,NYSE
EPE,25-Jan-2010,40.53,41.3,40.4,41.3,166300,NYSE
EPE,26-Jan-2010,41.56,41.56,40.78,41.09,158400,NYSE
EPE,27-Jan-2010,40.85,41.05,39.06,39.37,273800,NYSE
EPE,28-Jan-2010,39.64,39.7,39.0,39.23,141500,NYSE
EPE,29-Jan-2010,39.22,39.64,38.92,38.98,110500,NYSE
EPE,01-Feb-2010,38.91,39.76,38.61,39.76,115800,NYSE
EPE,02-Feb-2010,40.17,40.57,39.58,40.55,101100,NYSE
EPE,03-Feb-2010,40.79,40.79,39.9,40.01,136800,NYSE
EPE,04-Feb-2010,39.86,40.08,38.19,38.44,224800,NYSE
EPE,05-Feb-2010,38.5,38.58,36.2,37.99,448400,NYSE
EPE,08-Feb-2010,38.41,39.3,38.01,38.08,173200,NYSE
EPE,09-Feb-2010,38.67,38.97,37.96,38.23,109000,NYSE
EPE,10-Feb-2010,38.38,38.38,37.54,37.58,166500,NYSE
EPE,11-Feb-2010,37.45,37.97,37.22,37.95,89300,NYSE
EPE,12-Feb-2010,37.77,38.34,37.52,38.34,58700,NYSE
EPE,16-Feb-2010,38.84,39.2,38.4,39.15,67100,NYSE
EPE,17-Feb-2010,39.48,39.5,39.02,39.4,69300,NYSE
EPE,18-Feb-2010,39.52,39.75,39.13,39.53,52900,NYSE
EPE,19-Feb-2010,39.41,39.86,38.92,39.5,123000,NYSE
EPE,22-Feb-2010,39.66,40.18,39.44,40.12,101900,NYSE
EPE,23-Feb-2010,40.48,40.48,39.75,39.99,74500,NYSE
