name,date,open_price,close_price,high_price,low_price,volume,market
EQT,04-Jan-2010,44.49,45.25,44.49,44.79,774100,NYSE
EQT,05-Jan-2010,44.87,45.12,44.62,45.1,762200,NYSE
EQT,06-Jan-2010,45.0,45.5,44.92,45.28,505000,NYSE
EQT,07-Jan-2010,45.12,45.13,44.48,44.67,706400,NYSE
EQT,08-Jan-2010,44.48,44.67,44.07,44.29,715300,NYSE
EQT,11-Jan-2010,44.53,45.13,44.09,44.25,797100,NYSE
EQT,12-Jan-2010,44.04,44.04,43.42,43.67,525300,NYSE
EQT,13-Jan-2010,43.87,44.02,43.23,43.99,481200,NYSE
EQT,14-Jan-2010,43.91,44.47,43.66,44.4,563400,NYSE
EQT,15-Jan-2010,44.22,44.33,43.2,43.66,806700,NYSE
EQT,19-Jan-2010,43.57,44.31,43.56,44.3,724000,NYSE
EQT,20-Jan-2010,43.86,43.93,43.42,43.7,902600,NYSE
EQT,21-Jan-2010,43.64,44.23,43.06,43.27,953600,NYSE
EQT,22-Jan-2010,42.94,43.08,42.12,42.16,748400,NYSE
EQT,25-Jan-2010,42.54,43.18,42.3,42.89,1094000,NYSE
EQT,26-Jan-2010,42.64,43.4,42.39,42.7,819500,NYSE
EQT,27-Jan-2010,42.71,42.95,42.0,42.87,1393500,NYSE
EQT,28-Jan-2010,45.78,45.78,43.46,44.38,3461200,NYSE
EQT,29-Jan-2010,44.78,44.78,43.51,44.02,2174000,NYSE
EQT,01-Feb-2010,44.48,45.13,44.44,44.81,1256600,NYSE
EQT,02-Feb-2010,45.62,46.3,44.7,46.2,1582400,NYSE
EQT,03-Feb-2010,46.03,46.31,45.79,45.91,923300,NYSE
EQT,04-Feb-2010,45.41,45.41,43.2,43.24,2361200,NYSE
EQT,05-Feb-2010,43.16,43.33,41.92,42.89,1504200,NYSE
EQT,08-Feb-2010,42.96,43.17,42.35,42.37,854400,NYSE
EQT,09-Feb-2010,43.03,43.45,42.53,43.02,766800,NYSE
EQT,10-Feb-2010,42.93,42.93,41.79,42.41,790400,NYSE
EQT,11-Feb-2010,42.26,42.82,41.81,42.81,912000,NYSE
EQT,12-Feb-2010,42.31,43.05,42.06,43.0,875100,NYSE
EQT,16-Feb-2010,43.59,44.48,43.4,44.24,1358800,NYSE
EQT,17-Feb-2010,44.31,44.56,44.17,44.23,2147700,NYSE
EQT,18-Feb-2010,44.1,44.55,43.94,44.45,691200,NYSE
EQT,19-Feb-2010,44.22,45.22,44.16,45.12,974200,NYSE
EQT,22-Feb-2010,45.42,45.54,44.22,44.47,1056300,NYSE
EQT,23-Feb-2010,44.4,44.6,43.63,43.67,929400,NYSE
EQT,24-Feb-2010,43.87,44.27,43.61,44.05,913100,NYSE
EQT,25-Feb-2010,43.53,44.1,43.04,43.99,931600,NYSE
EQT,26-Feb-2010,44.09,44.24,43.67,43.76,764500,NYSE
EQT,01-Mar-2010,44.0,44.95,44.0,44.92,850900,NYSE
EQT,02-Mar-2010,45.32,45.97,45.25,45.75,1485100,NYSE
EQT,03-Mar-2010,45.86,46.28,45.86,46.2,1038600,NYSE
EQT,04-Mar-2010,46.14,46.48,45.78,46.01,1064800,NYSE
EQT,05-Mar-2010,46.36,47.43,46.29,47.33,1246400,NYSE
EQT,08-Mar-2010,47.19,47.37,46.95,47.1,1136900,NYSE
EQT,09-Mar-2010,46.93,47.41,46.78,47.37,1162800,NYSE
EQT,10-Mar-2010,44.44,45.83,44.3,44.68,4012300,NYSE
EQT,11-Mar-2010,44.0,44.26,43.64,43.82,10199200,NYSE
EQT,12-Mar-2010,44.07,44.23,43.65,43.9,3446600,NYSE
EQT,15-Mar-2010,43.89,43.95,42.62,43.5,2471600,NYSE
EQT,16-Mar-2010,43.59,43.75,43.34,43.7,1700300,NYSE
EQT,17-Mar-2010,43.74,44.0,43.45,43.62,1448200,NYSE
EQT,18-Mar-2010,43.51,43.71,42.31,42.76,3054400,NYSE
EQT,19-Mar-2010,42.78,42.95,41.24,41.72,3089600,NYSE
EQT,22-Mar-2010,41.45,41.46,40.86,41.33,2171700,NYSE
EQT,23-Mar-2010,41.38,41.85,41.04,41.73,1372300,NYSE
EQT,24-Mar-2010,41.59,41.76,41.28,41.51,1276800,NYSE
EQT,25-Mar-2010,41.68,41.9,40.75,40.81,2424600,NYSE
EQT,26-Mar-2010,40.99,40.99,39.78,40.29,2772300,NYSE
EQT,29-Mar-2010,40.47,41.26,40.29,41.21,1626300,NYSE
EQT,30-Mar-2010,41.14,41.25,40.81,41.11,1359000,NYSE
EQT,31-Mar-2010,41.03,41.4,40.77,41.0,3481600,NYSE
EQT,01-Apr-2010,41.36,42.18,41.24,42.08,2014400,NYSE
EQT,05-Apr-2010,42.1,43.28,42.1,43.28,1894500,NYSE
EQT,06-Apr-2010,43.01,43.65,42.92,43.39,1957600,NYSE
EQT,07-Apr-2010,43.22,43.54,42.94,43.41,2549200,NYSE
EQT,08-Apr-2010,43.22,43.53,42.77,43.44,1155900,NYSE
EQT,09-Apr-2010,44.85,44.98,43.91,44.81,2368200,NYSE
EQT,12-Apr-2010,44.7,45.1,44.7,44.91,2043000,NYSE
EQT,13-Apr-2010,44.83,45.06,44.42,44.68,1831900,NYSE
EQT,14-Apr-2010,44.68,45.08,44.64,44.87,1343200,NYSE
EQT,15-Apr-2010,44.71,44.99,44.6,44.66,1177800,NYSE
EQT,16-Apr-2010,44.54,44.62,43.38,43.76,1394600,NYSE
EQT,19-Apr-2010,43.49,43.69,43.01,43.68,809200,NYSE
EQT,20-Apr-2010,43.83,44.07,43.63,43.98,975400,NYSE
EQT,21-Apr-2010,43.93,43.95,43.32,43.66,782300,NYSE
EQT,22-Apr-2010,43.59,44.59,43.21,44.36,1458800,NYSE
EQT,23-Apr-2010,44.26,45.67,44.05,45.6,1970400,NYSE
EQT,26-Apr-2010,45.6,46.06,45.5,45.62,1756100,NYSE
EQT,27-Apr-2010,45.28,45.33,43.61,43.78,1260000,NYSE
EQT,28-Apr-2010,45.72,45.72,43.6,44.46,1546800,NYSE
EQT,29-Apr-2010,44.86,44.98,43.27,43.79,1278600,NYSE
EQT,30-Apr-2010,43.88,44.15,43.4,43.49,1087200,NYSE
EQT,03-May-2010,43.85,44.71,43.57,44.5,1155600,NYSE
EQT,04-May-2010,43.84,44.25,43.45,43.89,1036600,NYSE
