name,date,open_price,close_price,high_price,low_price,volume,market
EXK,11-Mar-2011,8.53,9.47,8.32,9.21,3976500,NYSE
EXK,14-Mar-2011,9.19,9.3,8.57,8.95,2464500,NYSE
EXK,15-Mar-2011,7.77,8.5,7.7,8.46,3331300,NYSE
EXK,16-Mar-2011,8.6,8.85,8.17,8.31,2972246,NYSE
EXK,17-Mar-2011,8.37,8.59,8.1,8.53,2301700,NYSE
EXK,18-Mar-2011,8.84,9.15,8.65,9.15,2770200,NYSE
EXK,21-Mar-2011,9.6,9.68,9.4,9.65,2564600,NYSE
EXK,22-Mar-2011,9.59,9.8,9.4,9.49,2261900,NYSE
EXK,23-Mar-2011,9.56,9.95,9.5,9.86,3171700,NYSE
EXK,24-Mar-2011,9.94,10.03,9.26,9.33,4753300,NYSE
EXK,25-Mar-2011,9.52,9.59,9.06,9.29,2400900,NYSE
EXK,28-Mar-2011,9.05,9.24,8.81,9.0,2505800,NYSE
EXK,29-Mar-2011,8.95,9.37,8.91,9.25,1629700,NYSE
EXK,30-Mar-2011,9.53,9.67,9.31,9.67,2311000,NYSE
EXK,31-Mar-2011,9.79,10.0,9.76,9.82,2202700,NYSE
EXK,01-Apr-2011,9.67,9.92,9.54,9.75,1894200,NYSE
EXK,04-Apr-2011,10.03,10.24,9.96,10.18,3042800,NYSE
EXK,05-Apr-2011,10.13,11.17,10.11,11.16,4818000,NYSE
EXK,06-Apr-2011,11.57,11.85,11.11,11.61,7618500,NYSE
EXK,07-Apr-2011,11.6,11.97,11.51,11.9,3707300,NYSE
EXK,08-Apr-2011,12.37,12.75,12.11,12.37,6381900,NYSE
EXK,11-Apr-2011,12.56,12.69,10.97,11.4,8341400,NYSE
EXK,12-Apr-2011,11.45,11.45,10.52,10.9,5920700,NYSE
EXK,13-Apr-2011,11.4,11.64,10.96,11.17,4884700,NYSE
EXK,14-Apr-2011,11.4,11.85,11.16,11.79,4898200,NYSE
EXK,15-Apr-2011,12.21,12.37,11.75,11.98,5407000,NYSE
EXK,18-Apr-2011,11.74,11.9,10.92,11.6,4821000,NYSE
EXK,19-Apr-2011,11.73,11.83,11.26,11.69,3100900,NYSE
EXK,20-Apr-2011,11.97,12.1,11.72,11.79,3948700,NYSE
EXK,21-Apr-2011,11.85,11.9,11.42,11.79,3988000,NYSE
EXK,25-Apr-2011,12.0,12.06,11.08,11.33,4365700,NYSE
EXK,26-Apr-2011,11.0,11.0,10.5,10.66,4095800,NYSE
EXK,27-Apr-2011,10.79,11.95,10.55,11.95,5232600,NYSE
EXK,28-Apr-2011,11.94,12.35,11.59,11.71,5899200,NYSE
EXK,29-Apr-2011,11.63,11.73,11.31,11.49,2466300,NYSE
EXK,02-May-2011,10.66,11.3,9.9,10.61,4883100,NYSE
EXK,03-May-2011,10.27,10.53,9.72,9.92,5319700,NYSE
EXK,04-May-2011,9.93,10.22,9.45,9.99,5963400,NYSE
EXK,05-May-2011,9.53,9.78,8.33,8.62,7750300,NYSE
EXK,06-May-2011,8.88,9.8,8.81,9.3,5628600,NYSE
EXK,09-May-2011,10.04,10.18,9.63,10.11,4298800,NYSE
EXK,10-May-2011,10.33,10.34,9.95,10.03,3311800,NYSE
EXK,11-May-2011,9.7,9.72,8.93,9.01,4222000,NYSE
EXK,12-May-2011,8.57,9.48,8.5,9.02,4341600,NYSE
EXK,13-May-2011,9.14,9.28,8.62,8.96,3594600,NYSE
EXK,16-May-2011,8.76,9.1,8.27,8.37,3890000,NYSE
EXK,17-May-2011,8.19,8.44,8.0,8.37,3460900,NYSE
EXK,18-May-2011,8.61,8.91,8.53,8.82,2800500,NYSE
EXK,19-May-2011,8.95,8.96,8.57,8.71,2314900,NYSE
EXK,20-May-2011,8.7,9.03,8.43,8.83,2387000,NYSE
EXK,23-May-2011,8.7,8.86,8.5,8.54,1859400,NYSE
EXK,24-May-2011,8.84,9.4,8.82,9.33,4470200,NYSE
EXK,25-May-2011,9.55,9.93,9.53,9.71,4082500,NYSE
EXK,26-May-2011,9.62,9.92,9.4,9.85,3087500,NYSE
EXK,27-May-2011,10.02,10.25,9.87,9.98,2887600,NYSE
EXK,31-May-2011,10.36,10.39,9.88,10.29,3310800,NYSE
EXK,01-Jun-2011,10.15,10.35,9.79,9.88,3509200,NYSE
EXK,02-Jun-2011,9.82,10.0,9.21,9.55,3568700,NYSE
EXK,03-Jun-2011,9.06,9.5,9.0,9.27,3664000,NYSE
EXK,06-Jun-2011,9.29,9.42,8.52,8.56,3795000,NYSE
EXK,07-Jun-2011,8.72,8.9,8.58,8.71,2069400,NYSE
EXK,08-Jun-2011,8.49,8.53,7.8,7.97,4122900,NYSE
EXK,09-Jun-2011,8.09,8.45,8.0,8.44,2039900,NYSE
EXK,10-Jun-2011,8.18,8.31,7.97,8.02,2946200,NYSE
EXK,13-Jun-2011,7.93,8.18,7.46,7.65,3410200,NYSE
EXK,14-Jun-2011,7.71,8.16,7.69,8.07,2091200,NYSE
EXK,15-Jun-2011,7.94,8.07,7.72,7.95,2501500,NYSE
EXK,16-Jun-2011,7.89,8.04,7.51,7.67,1966100,NYSE
EXK,17-Jun-2011,7.73,7.94,7.55,7.7,2723500,NYSE
EXK,20-Jun-2011,7.65,7.95,7.63,7.86,1427400,NYSE
EXK,21-Jun-2011,8.01,8.58,7.96,8.55,2675400,NYSE
EXK,22-Jun-2011,8.61,8.88,8.52,8.57,2502100,NYSE
EXK,23-Jun-2011,8.15,8.51,7.91,8.49,2740800,NYSE
EXK,24-Jun-2011,8.42,8.43,8.0,8.07,1913100,NYSE
EXK,27-Jun-2011,7.89,8.02,7.68,7.83,1920200,NYSE
EXK,28-Jun-2011,7.86,8.23,7.84,8.2,1651600,NYSE
EXK,29-Jun-2011,8.44,8.51,8.2,8.38,1829400,NYSE
EXK,30-Jun-2011,8.46,8.51,8.3,8.4,1381200,NYSE
EXK,01-Jul-2011,8.28,8.28,8.01,8.2,1130300,NYSE
EXK,05-Jul-2011,8.57,9.2,8.52,9.17,3292500,NYSE
EXK,06-Jul-2011,9.43,9.74,9.38,9.71,4029200,NYSE
EXK,07-Jul-2011,9.93,10.0,9.61,9.66,2900100,NYSE
EXK,08-Jul-2011,9.79,10.0,9.62,10.0,2846700,NYSE
EXK,11-Jul-2011,10.0,10.03,9.25,9.37,3268500,NYSE
EXK,12-Jul-2011,9.16,9.85,9.12,9.81,3109700,NYSE
EXK,13-Jul-2011,10.12,10.4,10.0,10.3,4833100,NYSE
EXK,14-Jul-2011,10.56,10.8,10.13,10.2,4427600,NYSE
EXK,15-Jul-2011,10.19,10.58,10.11,10.58,2281900,NYSE
EXK,18-Jul-2011,10.88,11.07,10.7,10.83,4022800,NYSE
EXK,19-Jul-2011,10.78,10.99,10.32,10.63,3597700,NYSE
EXK,20-Jul-2011,10.31,10.97,10.18,10.94,2940200,NYSE
EXK,21-Jul-2011,10.89,11.03,10.56,10.74,2049200,NYSE
EXK,22-Jul-2011,10.95,11.06,10.88,10.92,1998900,NYSE
EXK,25-Jul-2011,11.14,11.33,10.65,10.66,2403300,NYSE
EXK,26-Jul-2011,10.31,10.78,10.27,10.69,2904000,NYSE
EXK,27-Jul-2011,10.8,10.87,9.98,10.01,3269500,NYSE
EXK,28-Jul-2011,9.91,10.06,9.49,9.91,3031100,NYSE
EXK,29-Jul-2011,9.95,10.01,9.53,9.75,2028100,NYSE
EXK,01-Aug-2011,9.72,10.17,9.52,9.83,2113300,NYSE
EXK,02-Aug-2011,10.09,10.37,10.0,10.26,2714500,NYSE
EXK,03-Aug-2011,10.52,10.78,10.3,10.61,3028600,NYSE
EXK,04-Aug-2011,10.69,10.73,8.99,9.12,4253000,NYSE
EXK,05-Aug-2011,9.23,9.39,8.36,8.82,2841700,NYSE
EXK,08-Aug-2011,8.77,9.42,8.5,8.65,4474900,NYSE
EXK,09-Aug-2011,8.45,9.2,8.36,9.14,4940800,NYSE
EXK,10-Aug-2011,9.11,9.98,8.8,9.84,4964200,NYSE
EXK,11-Aug-2011,9.77,10.5,9.5,10.45,4762600,NYSE
EXK,12-Aug-2011,10.15,10.58,10.07,10.55,2840000,NYSE
EXK,15-Aug-2011,10.6,10.9,10.42,10.9,2907600,NYSE
EXK,16-Aug-2011,10.66,10.96,10.45,10.65,2679800,NYSE
EXK,17-Aug-2011,10.84,10.95,10.5,10.64,1815800,NYSE
EXK,18-Aug-2011,10.68,10.8,10.25,10.4,2526900,NYSE
EXK,19-Aug-2011,10.52,10.85,10.31,10.37,3030800,NYSE
EXK,22-Aug-2011,10.66,11.44,10.6,11.39,4904900,NYSE
EXK,23-Aug-2011,11.19,11.53,10.96,11.31,3702500,NYSE
EXK,24-Aug-2011,11.13,11.19,10.31,10.66,3295000,NYSE
EXK,25-Aug-2011,10.58,11.22,10.33,10.95,3724200,NYSE
EXK,26-Aug-2011,11.1,11.52,10.55,11.48,2927300,NYSE
EXK,29-Aug-2011,11.59,11.74,11.1,11.6,2736900,NYSE
EXK,30-Aug-2011,11.76,12.26,11.69,12.14,3757900,NYSE
EXK,31-Aug-2011,12.23,12.24,11.66,11.88,2790700,NYSE
EXK,01-Sep-2011,11.86,12.22,11.64,11.94,2482700,NYSE
EXK,02-Sep-2011,12.37,12.74,12.26,12.61,3626300,NYSE
EXK,06-Sep-2011,12.49,12.77,12.02,12.58,3352600,NYSE
EXK,07-Sep-2011,11.99,12.75,11.85,12.68,2704400,NYSE
EXK,08-Sep-2011,12.91,13.05,12.77,12.8,2625700,NYSE
EXK,09-Sep-2011,12.71,13.09,12.46,12.67,2979700,NYSE
EXK,12-Sep-2011,12.18,12.61,11.93,12.52,2666400,NYSE
EXK,13-Sep-2011,12.69,12.84,12.4,12.76,2184400,NYSE
EXK,14-Sep-2011,12.8,12.82,12.35,12.52,1839000,NYSE
EXK,15-Sep-2011,12.3,12.34,11.83,12.29,2300000,NYSE
EXK,16-Sep-2011,12.37,12.51,12.22,12.41,1939400,NYSE
EXK,19-Sep-2011,12.35,12.5,12.04,12.34,1913300,NYSE
EXK,20-Sep-2011,12.13,12.94,12.07,12.61,2478600,NYSE
EXK,21-Sep-2011,12.7,13.1,12.4,12.4,2850000,NYSE
EXK,22-Sep-2011,11.21,11.48,10.71,10.94,3390800,NYSE
EXK,23-Sep-2011,10.28,10.59,9.58,9.81,3087600,NYSE
EXK,26-Sep-2011,9.53,10.15,9.37,10.1,2413300,NYSE
EXK,27-Sep-2011,10.8,10.96,10.02,10.14,2681600,NYSE
