name,date,open_price,close_price,high_price,low_price,volume,market
FDX,04-Jan-2010,84.21,85.0,83.11,83.45,3215500,NYSE
FDX,05-Jan-2010,83.44,84.59,82.64,84.54,2493400,NYSE
FDX,06-Jan-2010,84.33,85.12,83.61,83.84,2490900,NYSE
FDX,07-Jan-2010,83.85,83.85,82.4,82.93,3093100,NYSE
FDX,08-Jan-2010,84.08,85.26,82.95,84.99,4351100,NYSE
FDX,11-Jan-2010,85.59,88.29,85.4,87.25,6131800,NYSE
FDX,12-Jan-2010,86.44,88.68,85.6,86.58,3345000,NYSE
FDX,13-Jan-2010,87.07,87.33,85.15,85.82,2855600,NYSE
FDX,14-Jan-2010,85.58,86.45,85.09,86.29,2104200,NYSE
FDX,15-Jan-2010,86.34,86.8,84.93,85.11,4369600,NYSE
FDX,19-Jan-2010,84.97,86.26,84.97,85.9,2289200,NYSE
FDX,20-Jan-2010,84.75,84.8,83.08,84.06,2793000,NYSE
FDX,21-Jan-2010,84.35,84.48,81.3,81.6,2865400,NYSE
FDX,22-Jan-2010,81.32,81.86,80.19,80.29,2551800,NYSE
FDX,25-Jan-2010,81.22,81.22,79.15,80.69,1878400,NYSE
FDX,26-Jan-2010,80.46,81.23,79.51,80.76,2272700,NYSE
FDX,27-Jan-2010,80.75,80.77,78.61,80.42,3524100,NYSE
FDX,28-Jan-2010,80.98,80.98,78.39,79.07,1974100,NYSE
FDX,29-Jan-2010,79.68,80.7,78.3,78.35,3139600,NYSE
FDX,01-Feb-2010,78.81,80.73,78.76,80.67,3061900,NYSE
FDX,02-Feb-2010,81.07,82.55,80.36,82.33,3217300,NYSE
FDX,03-Feb-2010,81.66,82.85,80.91,82.12,2593600,NYSE
FDX,04-Feb-2010,81.36,81.74,78.75,78.85,3830300,NYSE
FDX,05-Feb-2010,78.85,79.25,75.17,76.69,5535200,NYSE
FDX,08-Feb-2010,76.82,77.77,75.31,76.69,2967000,NYSE
FDX,09-Feb-2010,77.27,79.72,76.96,79.22,4694700,NYSE
FDX,10-Feb-2010,79.16,79.29,77.52,78.29,2196700,NYSE
FDX,11-Feb-2010,78.38,79.78,77.44,79.53,2272700,NYSE
FDX,12-Feb-2010,78.4,78.68,77.51,78.55,2901900,NYSE
FDX,16-Feb-2010,78.92,80.2,78.92,79.97,2649100,NYSE
FDX,17-Feb-2010,79.9,80.49,78.93,79.94,2484300,NYSE
FDX,18-Feb-2010,79.63,80.39,79.37,80.1,1714200,NYSE
FDX,19-Feb-2010,80.1,82.44,80.1,81.76,2999900,NYSE
FDX,22-Feb-2010,82.25,83.14,81.52,82.36,2218700,NYSE
FDX,23-Feb-2010,82.06,83.12,80.92,81.49,2217200,NYSE
FDX,24-Feb-2010,81.73,83.61,81.73,83.08,3083300,NYSE
FDX,25-Feb-2010,81.54,83.27,80.27,83.18,3007000,NYSE
FDX,26-Feb-2010,83.13,84.98,82.32,84.76,3029900,NYSE
FDX,01-Mar-2010,84.92,86.45,84.83,85.81,2418900,NYSE
FDX,02-Mar-2010,86.44,87.12,85.21,85.41,3169200,NYSE
FDX,03-Mar-2010,85.82,87.8,85.66,86.14,3579500,NYSE
FDX,04-Mar-2010,87.23,87.48,85.47,86.36,2448100,NYSE
FDX,05-Mar-2010,87.02,87.75,86.63,86.95,1817500,NYSE
FDX,08-Mar-2010,87.26,87.54,86.14,86.67,1924600,NYSE
FDX,09-Mar-2010,86.48,87.34,85.64,86.85,2023200,NYSE
FDX,10-Mar-2010,87.01,88.34,86.88,87.26,2557400,NYSE
FDX,11-Mar-2010,86.61,87.0,85.64,86.49,4331800,NYSE
FDX,12-Mar-2010,86.53,86.69,84.8,86.18,3605100,NYSE
FDX,15-Mar-2010,86.2,87.83,86.15,87.83,2516800,NYSE
FDX,16-Mar-2010,88.04,88.94,87.68,88.63,2798300,NYSE
FDX,17-Mar-2010,89.05,90.51,89.05,89.8,4889900,NYSE
FDX,18-Mar-2010,87.85,92.96,87.0,92.67,13237300,NYSE
FDX,19-Mar-2010,92.02,92.17,90.36,91.05,5612900,NYSE
FDX,22-Mar-2010,90.5,91.0,89.52,89.68,3904900,NYSE
FDX,23-Mar-2010,89.66,92.01,89.64,91.63,4115900,NYSE
FDX,24-Mar-2010,91.42,91.5,90.1,90.24,4457900,NYSE
FDX,25-Mar-2010,91.18,91.94,90.01,90.94,5719900,NYSE
FDX,26-Mar-2010,91.19,91.88,90.34,91.35,3777000,NYSE
FDX,29-Mar-2010,91.75,92.43,90.84,92.23,3423500,NYSE
FDX,30-Mar-2010,92.52,93.23,91.68,92.82,3979800,NYSE
FDX,31-Mar-2010,92.17,93.66,91.6,93.4,4168400,NYSE
FDX,01-Apr-2010,94.01,94.53,91.69,92.17,2527700,NYSE
FDX,05-Apr-2010,92.12,92.63,91.66,92.46,2091800,NYSE
FDX,06-Apr-2010,92.09,92.84,91.76,92.37,1794200,NYSE
FDX,07-Apr-2010,92.03,92.35,90.2,90.67,2522300,NYSE
FDX,08-Apr-2010,90.45,90.94,89.82,90.72,2343900,NYSE
FDX,09-Apr-2010,90.48,91.64,90.28,91.26,1875900,NYSE
FDX,12-Apr-2010,91.07,91.7,90.57,90.82,1542200,NYSE
FDX,13-Apr-2010,90.69,90.95,89.92,90.72,1358500,NYSE
FDX,14-Apr-2010,91.12,94.23,90.77,94.01,4754100,NYSE
FDX,15-Apr-2010,95.3,97.75,95.3,95.62,4342800,NYSE
FDX,16-Apr-2010,95.24,95.39,93.41,93.87,3812600,NYSE
FDX,19-Apr-2010,93.32,94.27,91.93,92.55,2866000,NYSE
FDX,20-Apr-2010,93.34,93.56,91.55,92.04,3546500,NYSE
FDX,21-Apr-2010,91.98,92.5,91.12,91.5,2628400,NYSE
FDX,22-Apr-2010,91.01,91.94,89.9,91.71,3302000,NYSE
FDX,23-Apr-2010,91.93,92.83,91.3,92.81,2879600,NYSE
FDX,26-Apr-2010,93.03,93.99,92.27,92.5,2075800,NYSE
FDX,27-Apr-2010,91.73,92.71,89.43,89.72,2996300,NYSE
FDX,28-Apr-2010,90.37,91.42,89.66,90.84,2439400,NYSE
FDX,29-Apr-2010,91.47,92.8,91.28,92.58,2325500,NYSE
FDX,30-Apr-2010,92.42,93.8,89.9,90.01,2662700,NYSE
FDX,03-May-2010,90.68,92.74,90.32,92.47,2994100,NYSE
FDX,04-May-2010,91.03,91.24,88.34,89.37,3572800,NYSE
FDX,05-May-2010,88.45,89.64,87.85,88.56,2222300,NYSE
FDX,06-May-2010,87.95,89.28,81.5,85.99,4072900,NYSE
FDX,07-May-2010,86.16,86.16,81.8,83.14,4873100,NYSE
FDX,10-May-2010,87.03,88.46,86.1,87.72,3516900,NYSE
FDX,11-May-2010,86.93,89.62,86.32,88.11,2895000,NYSE
FDX,12-May-2010,88.62,89.92,88.0,89.76,1779300,NYSE
FDX,13-May-2010,89.35,89.62,87.67,87.98,1891400,NYSE
FDX,14-May-2010,87.3,87.42,85.01,85.91,2687300,NYSE
FDX,17-May-2010,86.13,86.96,84.0,85.89,2355900,NYSE
FDX,18-May-2010,85.96,86.83,83.77,84.06,3215600,NYSE
FDX,19-May-2010,83.27,84.71,82.12,84.09,2960500,NYSE
FDX,20-May-2010,82.55,83.17,81.02,81.1,3747500,NYSE
FDX,21-May-2010,80.14,83.35,79.41,83.06,4249900,NYSE
FDX,24-May-2010,82.66,83.47,81.41,81.47,2364200,NYSE
FDX,25-May-2010,79.11,80.89,78.29,80.71,4353500,NYSE
FDX,26-May-2010,81.44,82.71,81.01,81.64,3179700,NYSE
FDX,27-May-2010,83.16,84.29,82.13,84.16,2610800,NYSE
FDX,28-May-2010,84.04,84.63,82.67,83.49,2313900,NYSE
FDX,01-Jun-2010,82.49,83.41,81.2,81.29,2904300,NYSE
FDX,02-Jun-2010,81.93,83.41,81.49,83.32,2241900,NYSE
FDX,03-Jun-2010,83.84,84.85,82.66,83.98,2195000,NYSE
FDX,04-Jun-2010,82.21,82.62,78.84,79.37,3883900,NYSE
FDX,07-Jun-2010,79.93,79.93,76.45,76.52,4051200,NYSE
FDX,08-Jun-2010,77.07,79.01,76.03,78.68,3412900,NYSE
FDX,09-Jun-2010,79.38,80.25,77.12,77.55,3435900,NYSE
FDX,10-Jun-2010,79.14,80.34,78.65,80.26,2733300,NYSE
FDX,11-Jun-2010,79.53,80.74,78.82,80.63,2406000,NYSE
FDX,14-Jun-2010,81.18,82.5,80.75,81.47,3507100,NYSE
FDX,15-Jun-2010,82.1,83.15,81.63,83.01,3562400,NYSE
FDX,16-Jun-2010,81.4,82.05,77.92,78.07,15062000,NYSE
FDX,17-Jun-2010,78.5,78.52,77.13,78.11,7910400,NYSE
FDX,18-Jun-2010,78.47,78.82,77.91,78.7,3733200,NYSE
FDX,21-Jun-2010,79.69,80.09,78.02,78.58,3346500,NYSE
FDX,22-Jun-2010,78.52,78.96,75.88,76.2,4666000,NYSE
FDX,23-Jun-2010,76.43,77.22,75.44,76.59,4015800,NYSE
FDX,24-Jun-2010,76.22,77.33,75.69,75.96,4112600,NYSE
FDX,25-Jun-2010,76.12,76.24,74.42,75.96,8014400,NYSE
FDX,28-Jun-2010,75.8,76.55,74.93,75.13,3176100,NYSE
FDX,29-Jun-2010,74.01,74.27,70.94,71.51,5349300,NYSE
FDX,30-Jun-2010,71.47,71.9,69.98,70.11,4570400,NYSE
FDX,01-Jul-2010,70.71,72.19,69.78,72.0,6562300,NYSE
FDX,02-Jul-2010,72.39,72.6,71.02,71.41,4719900,NYSE
FDX,06-Jul-2010,72.23,72.71,70.06,70.7,5745000,NYSE
FDX,07-Jul-2010,71.0,72.91,70.57,72.89,4839700,NYSE
FDX,08-Jul-2010,73.49,74.44,72.63,73.68,3219400,NYSE
FDX,09-Jul-2010,73.87,74.36,72.52,74.22,3500400,NYSE
FDX,12-Jul-2010,75.21,75.4,73.58,74.16,2902500,NYSE
FDX,13-Jul-2010,75.16,77.68,75.11,77.29,5278500,NYSE
FDX,14-Jul-2010,77.01,79.12,76.91,78.73,5260000,NYSE
FDX,15-Jul-2010,78.75,78.8,76.24,77.22,3884400,NYSE
FDX,16-Jul-2010,76.8,76.99,74.37,74.61,3024100,NYSE
FDX,19-Jul-2010,74.91,75.22,73.7,74.99,2247900,NYSE
FDX,20-Jul-2010,74.1,76.04,73.26,75.91,2303700,NYSE
FDX,21-Jul-2010,76.53,76.57,73.35,74.03,3016000,NYSE
FDX,22-Jul-2010,75.71,78.74,75.71,78.53,4490500,NYSE
FDX,23-Jul-2010,78.49,79.0,77.57,78.96,2800300,NYSE
FDX,26-Jul-2010,82.26,83.64,82.0,83.39,7247700,NYSE
FDX,27-Jul-2010,84.0,84.24,81.81,82.37,3282600,NYSE
FDX,28-Jul-2010,81.75,83.05,81.41,82.84,2931000,NYSE
FDX,29-Jul-2010,83.47,83.68,81.15,82.07,2335300,NYSE
FDX,30-Jul-2010,81.23,82.99,80.67,82.55,2453500,NYSE
FDX,02-Aug-2010,83.9,84.67,83.06,84.6,2479200,NYSE
FDX,03-Aug-2010,84.46,84.46,82.75,83.63,2353900,NYSE
FDX,04-Aug-2010,84.02,86.09,83.75,85.96,3298900,NYSE
FDX,05-Aug-2010,85.18,86.05,84.85,85.75,2477900,NYSE
FDX,06-Aug-2010,84.56,85.8,84.08,85.32,1845500,NYSE
FDX,09-Aug-2010,85.56,87.74,85.52,87.29,2915300,NYSE
