name,date,open_price,close_price,high_price,low_price,volume,market
FE,04-Jan-2010,46.62,46.92,46.41,46.77,1840800,NYSE
FE,05-Jan-2010,46.65,46.84,45.67,46.25,2922200,NYSE
FE,06-Jan-2010,46.3,46.85,46.02,46.75,3426200,NYSE
FE,07-Jan-2010,46.57,46.74,45.98,46.05,2327600,NYSE
FE,08-Jan-2010,45.95,46.09,45.53,45.81,2286800,NYSE
FE,11-Jan-2010,46.08,46.8,45.97,46.61,2026900,NYSE
FE,12-Jan-2010,46.96,46.96,46.37,46.68,2687300,NYSE
FE,13-Jan-2010,46.67,47.09,46.39,46.95,1555900,NYSE
FE,14-Jan-2010,46.84,46.95,46.55,46.87,2144100,NYSE
FE,15-Jan-2010,46.84,46.84,45.9,46.69,2244100,NYSE
FE,19-Jan-2010,46.58,47.06,46.38,47.03,1640600,NYSE
FE,20-Jan-2010,46.54,46.88,45.9,46.37,2068400,NYSE
FE,21-Jan-2010,46.2,46.51,45.02,45.14,2435900,NYSE
FE,22-Jan-2010,45.13,45.13,44.11,44.13,2450600,NYSE
FE,25-Jan-2010,44.69,44.78,44.1,44.39,1892600,NYSE
FE,26-Jan-2010,44.34,44.87,44.11,44.61,2277700,NYSE
FE,27-Jan-2010,44.44,44.44,43.54,44.22,2259800,NYSE
FE,28-Jan-2010,44.28,44.46,43.54,43.66,1445500,NYSE
FE,29-Jan-2010,43.79,44.16,43.54,43.62,1906800,NYSE
FE,01-Feb-2010,43.09,43.94,42.89,43.75,1842200,NYSE
FE,02-Feb-2010,43.7,44.14,43.15,44.1,2309200,NYSE
FE,03-Feb-2010,43.57,43.57,42.76,42.86,1537800,NYSE
FE,04-Feb-2010,42.71,42.99,41.86,41.92,2545900,NYSE
FE,05-Feb-2010,41.83,42.13,40.99,41.55,2330500,NYSE
FE,08-Feb-2010,41.8,41.8,40.99,40.99,1343400,NYSE
FE,09-Feb-2010,41.29,42.3,41.28,41.74,2909400,NYSE
FE,10-Feb-2010,41.7,41.72,41.14,41.46,1713600,NYSE
FE,11-Feb-2010,39.35,39.86,38.71,39.59,15876800,NYSE
FE,12-Feb-2010,39.65,39.72,38.67,39.19,9142400,NYSE
FE,16-Feb-2010,39.4,39.89,38.91,39.21,5027500,NYSE
FE,17-Feb-2010,39.5,39.5,38.47,38.57,4534800,NYSE
FE,18-Feb-2010,38.62,38.88,38.41,38.8,4062500,NYSE
FE,19-Feb-2010,38.65,39.87,38.6,39.7,3364700,NYSE
FE,22-Feb-2010,39.94,40.0,39.61,39.74,3966500,NYSE
FE,23-Feb-2010,39.71,39.71,39.08,39.21,2895200,NYSE
FE,24-Feb-2010,39.23,39.41,38.77,39.12,2784600,NYSE
FE,25-Feb-2010,38.77,39.16,38.4,39.07,3306200,NYSE
FE,26-Feb-2010,39.08,39.18,38.59,38.65,2972500,NYSE
FE,01-Mar-2010,38.79,39.26,38.75,39.07,2871600,NYSE
FE,02-Mar-2010,39.29,39.38,39.07,39.32,3457500,NYSE
FE,03-Mar-2010,39.45,39.45,38.75,38.92,3349700,NYSE
FE,04-Mar-2010,38.92,39.05,38.55,38.92,2272800,NYSE
FE,05-Mar-2010,39.17,39.61,38.87,39.61,2636500,NYSE
FE,08-Mar-2010,39.69,39.69,39.35,39.51,2363400,NYSE
FE,09-Mar-2010,39.55,39.55,39.17,39.46,2698200,NYSE
FE,10-Mar-2010,39.46,39.86,39.35,39.76,2953900,NYSE
FE,11-Mar-2010,39.76,39.85,39.59,39.73,2897400,NYSE
FE,12-Mar-2010,39.83,39.95,39.4,39.45,2499200,NYSE
FE,15-Mar-2010,39.47,39.8,39.31,39.69,3107300,NYSE
FE,16-Mar-2010,39.85,39.93,39.51,39.85,2441000,NYSE
FE,17-Mar-2010,39.95,40.12,39.77,39.99,2534300,NYSE
FE,18-Mar-2010,40.12,40.17,39.45,39.59,2950200,NYSE
FE,19-Mar-2010,39.65,39.98,39.4,39.78,4164300,NYSE
FE,22-Mar-2010,39.84,40.09,39.53,39.88,4265200,NYSE
FE,23-Mar-2010,39.91,40.59,39.83,40.44,3878000,NYSE
FE,24-Mar-2010,40.32,40.41,40.1,40.27,3697200,NYSE
FE,25-Mar-2010,40.0,40.31,38.96,39.01,4345700,NYSE
FE,26-Mar-2010,39.11,39.11,38.63,38.79,2513100,NYSE
FE,29-Mar-2010,38.89,39.05,38.31,38.99,3167800,NYSE
FE,30-Mar-2010,38.94,39.08,38.77,38.88,3373200,NYSE
FE,31-Mar-2010,38.81,39.26,38.5,39.09,3586100,NYSE
FE,01-Apr-2010,39.19,39.57,39.14,39.46,2678700,NYSE
FE,05-Apr-2010,39.51,39.61,39.28,39.52,2320300,NYSE
FE,06-Apr-2010,39.63,39.91,39.45,39.87,2777700,NYSE
FE,07-Apr-2010,39.89,39.9,39.43,39.52,3198600,NYSE
FE,08-Apr-2010,39.47,39.5,39.3,39.45,1991100,NYSE
FE,09-Apr-2010,39.54,39.58,39.21,39.57,2349200,NYSE
FE,12-Apr-2010,39.61,39.96,39.55,39.64,2118300,NYSE
FE,13-Apr-2010,39.61,39.72,39.23,39.25,5550200,NYSE
FE,14-Apr-2010,39.25,39.38,38.75,38.85,4691500,NYSE
FE,15-Apr-2010,38.78,38.85,38.54,38.59,5007100,NYSE
FE,16-Apr-2010,38.51,38.6,37.69,37.85,7734800,NYSE
FE,19-Apr-2010,37.92,37.92,37.5,37.54,5234600,NYSE
FE,20-Apr-2010,37.73,37.87,37.5,37.8,5260800,NYSE
FE,21-Apr-2010,37.99,38.02,37.63,37.68,4193400,NYSE
FE,22-Apr-2010,37.48,37.5,36.86,37.34,5327700,NYSE
FE,23-Apr-2010,37.4,37.53,37.09,37.51,3571300,NYSE
FE,26-Apr-2010,37.49,37.65,36.9,37.32,5614800,NYSE
