name,date,open_price,close_price,high_price,low_price,volume,market
FGB,04-Jan-2010,5.97,6.09,5.94,6.09,31600,NYSE
FGB,05-Jan-2010,6.13,6.22,6.09,6.2,18100,NYSE
FGB,06-Jan-2010,6.13,6.29,6.13,6.25,32200,NYSE
FGB,07-Jan-2010,6.23,6.62,6.23,6.58,74900,NYSE
FGB,08-Jan-2010,6.61,6.61,6.4,6.4,34600,NYSE
FGB,11-Jan-2010,6.44,6.48,6.2,6.36,50900,NYSE
FGB,12-Jan-2010,6.36,6.36,6.21,6.23,32500,NYSE
FGB,13-Jan-2010,6.21,6.35,6.21,6.31,27600,NYSE
FGB,14-Jan-2010,6.26,6.37,6.23,6.36,17800,NYSE
FGB,15-Jan-2010,6.4,6.41,6.31,6.33,14600,NYSE
FGB,19-Jan-2010,6.39,6.43,6.3,6.34,42800,NYSE
FGB,20-Jan-2010,6.24,6.44,6.24,6.42,31700,NYSE
FGB,21-Jan-2010,6.44,6.5,6.21,6.22,64200,NYSE
FGB,22-Jan-2010,6.18,6.2,6.12,6.12,28000,NYSE
FGB,25-Jan-2010,6.23,6.27,6.11,6.23,26600,NYSE
FGB,26-Jan-2010,6.22,6.3,6.19,6.29,12000,NYSE
FGB,27-Jan-2010,6.19,6.19,6.01,6.05,39500,NYSE
FGB,28-Jan-2010,6.07,6.18,5.97,6.02,30400,NYSE
FGB,29-Jan-2010,6.1,6.11,5.79,5.86,33800,NYSE
FGB,01-Feb-2010,5.8,5.95,5.8,5.92,35800,NYSE
FGB,02-Feb-2010,5.92,6.03,5.9,6.0,32100,NYSE
FGB,03-Feb-2010,6.0,6.08,5.93,6.01,27400,NYSE
FGB,04-Feb-2010,5.93,6.0,5.73,5.73,37200,NYSE
FGB,05-Feb-2010,5.6,5.72,5.31,5.63,97700,NYSE
FGB,08-Feb-2010,5.58,5.73,5.53,5.53,44000,NYSE
FGB,09-Feb-2010,5.56,5.68,5.56,5.67,35500,NYSE
FGB,10-Feb-2010,5.59,5.73,5.59,5.67,25900,NYSE
FGB,11-Feb-2010,5.68,5.76,5.67,5.76,53300,NYSE
FGB,12-Feb-2010,5.72,5.88,5.66,5.71,23600,NYSE
FGB,16-Feb-2010,5.71,5.91,5.71,5.91,46400,NYSE
FGB,17-Feb-2010,5.86,6.0,5.86,6.0,52200,NYSE
FGB,18-Feb-2010,5.95,5.95,5.86,5.94,49400,NYSE
FGB,19-Feb-2010,5.93,6.0,5.83,5.9,37300,NYSE
FGB,22-Feb-2010,5.88,5.99,5.88,5.96,29800,NYSE
FGB,23-Feb-2010,5.94,5.96,5.69,5.83,40200,NYSE
FGB,24-Feb-2010,5.87,6.0,5.87,5.93,33500,NYSE
FGB,25-Feb-2010,5.9,6.0,5.77,6.0,37500,NYSE
FGB,26-Feb-2010,6.02,6.08,5.98,6.08,49300,NYSE
FGB,01-Mar-2010,6.11,6.2,6.08,6.2,65100,NYSE
FGB,02-Mar-2010,6.25,6.48,6.24,6.46,82200,NYSE
FGB,03-Mar-2010,6.41,6.5,6.36,6.49,43300,NYSE
FGB,04-Mar-2010,6.48,6.56,6.36,6.55,41400,NYSE
FGB,05-Mar-2010,6.58,6.73,6.58,6.73,32800,NYSE
FGB,08-Mar-2010,6.35,6.84,6.35,6.77,35300,NYSE
FGB,09-Mar-2010,6.66,6.93,6.66,6.81,39900,NYSE
FGB,10-Mar-2010,6.93,6.97,6.82,6.92,44900,NYSE
FGB,11-Mar-2010,6.9,6.93,6.82,6.89,23300,NYSE
FGB,12-Mar-2010,6.95,7.0,6.83,6.89,27700,NYSE
FGB,15-Mar-2010,6.93,7.03,6.84,6.92,37400,NYSE
FGB,16-Mar-2010,6.89,7.12,6.89,7.03,55800,NYSE
FGB,17-Mar-2010,7.06,7.14,7.05,7.06,24500,NYSE
FGB,18-Mar-2010,7.03,7.14,6.92,6.94,47900,NYSE
FGB,19-Mar-2010,6.98,6.98,6.7,6.7,27200,NYSE
FGB,22-Mar-2010,6.66,6.82,6.45,6.76,57800,NYSE
FGB,23-Mar-2010,6.72,6.91,6.72,6.87,34500,NYSE
FGB,24-Mar-2010,6.91,7.05,6.91,7.01,35300,NYSE
FGB,25-Mar-2010,6.99,7.06,6.87,6.87,27400,NYSE
FGB,26-Mar-2010,6.84,7.03,6.81,7.03,50500,NYSE
FGB,29-Mar-2010,7.08,7.08,6.86,6.97,58900,NYSE
FGB,30-Mar-2010,6.99,7.05,6.88,7.04,20900,NYSE
FGB,31-Mar-2010,7.04,7.08,6.89,7.08,46900,NYSE
FGB,01-Apr-2010,7.01,7.17,7.01,7.12,45000,NYSE
FGB,05-Apr-2010,7.11,7.27,7.11,7.22,28000,NYSE
FGB,06-Apr-2010,7.17,7.36,7.11,7.31,23600,NYSE
FGB,07-Apr-2010,7.35,7.4,7.29,7.4,73700,NYSE
FGB,08-Apr-2010,7.44,7.44,7.31,7.31,18000,NYSE
FGB,09-Apr-2010,7.18,7.45,7.18,7.33,46700,NYSE
FGB,12-Apr-2010,7.34,7.44,7.3,7.33,32600,NYSE
FGB,13-Apr-2010,7.33,7.4,7.2,7.29,45500,NYSE
FGB,14-Apr-2010,7.34,7.45,7.34,7.45,52200,NYSE
FGB,15-Apr-2010,7.61,7.86,7.61,7.8,86900,NYSE
FGB,16-Apr-2010,7.8,7.8,7.62,7.8,43700,NYSE
