name,date,open_price,close_price,high_price,low_price,volume,market
FIX,04-Jan-2010,12.53,12.73,12.43,12.72,108400,NYSE
FIX,05-Jan-2010,12.74,12.74,12.43,12.58,162200,NYSE
FIX,06-Jan-2010,12.6,12.88,12.52,12.77,346200,NYSE
FIX,07-Jan-2010,12.78,13.25,12.73,13.24,187000,NYSE
FIX,08-Jan-2010,13.16,13.34,13.11,13.16,178400,NYSE
FIX,11-Jan-2010,13.17,13.22,12.93,12.98,141000,NYSE
FIX,12-Jan-2010,12.93,13.02,12.7,12.96,83200,NYSE
FIX,13-Jan-2010,12.97,13.1,12.91,12.99,222900,NYSE
FIX,14-Jan-2010,13.01,13.29,12.81,13.26,138300,NYSE
FIX,15-Jan-2010,13.29,13.3,12.71,13.09,256100,NYSE
FIX,19-Jan-2010,13.14,13.15,12.9,13.0,179200,NYSE
FIX,20-Jan-2010,12.87,12.92,12.45,12.49,243500,NYSE
FIX,21-Jan-2010,12.54,12.72,12.2,12.28,181200,NYSE
FIX,22-Jan-2010,12.25,12.39,11.96,12.08,133100,NYSE
FIX,25-Jan-2010,12.19,12.2,12.0,12.12,59100,NYSE
FIX,26-Jan-2010,12.1,12.13,11.98,12.02,109400,NYSE
FIX,27-Jan-2010,11.94,12.06,11.89,12.01,143000,NYSE
FIX,28-Jan-2010,12.02,12.02,11.72,11.82,124500,NYSE
FIX,29-Jan-2010,11.88,12.06,11.73,11.73,159400,NYSE
FIX,01-Feb-2010,11.76,11.89,11.47,11.86,136200,NYSE
FIX,02-Feb-2010,11.83,12.01,11.73,11.84,114200,NYSE
FIX,03-Feb-2010,11.81,12.01,11.7,11.88,92700,NYSE
FIX,04-Feb-2010,11.81,11.86,11.41,11.46,126600,NYSE
FIX,05-Feb-2010,11.47,11.59,11.23,11.59,125400,NYSE
FIX,08-Feb-2010,11.55,11.65,11.21,11.23,234900,NYSE
FIX,09-Feb-2010,11.38,11.49,11.22,11.41,140100,NYSE
FIX,10-Feb-2010,11.43,11.43,11.19,11.25,132500,NYSE
FIX,11-Feb-2010,11.21,11.39,11.17,11.38,328600,NYSE
FIX,12-Feb-2010,11.26,11.48,11.26,11.44,289600,NYSE
FIX,16-Feb-2010,11.49,11.57,11.32,11.45,243400,NYSE
FIX,17-Feb-2010,11.52,11.59,11.41,11.54,315700,NYSE
FIX,18-Feb-2010,11.57,11.8,11.54,11.77,134500,NYSE
FIX,19-Feb-2010,11.78,11.91,11.72,11.83,206200,NYSE
FIX,22-Feb-2010,11.83,12.0,11.81,11.96,274800,NYSE
FIX,23-Feb-2010,11.91,11.99,11.66,11.86,178200,NYSE
FIX,24-Feb-2010,11.86,11.95,11.74,11.8,132000,NYSE
FIX,25-Feb-2010,11.65,11.8,11.43,11.79,179100,NYSE
FIX,26-Feb-2010,11.8,11.87,11.65,11.72,179300,NYSE
FIX,01-Mar-2010,11.81,12.17,11.81,12.13,402400,NYSE
FIX,02-Mar-2010,12.18,12.4,11.73,11.94,648700,NYSE
FIX,03-Mar-2010,11.93,12.05,11.74,11.78,432300,NYSE
FIX,04-Mar-2010,11.88,11.92,11.75,11.82,194100,NYSE
FIX,05-Mar-2010,11.84,12.02,11.84,11.95,205000,NYSE
FIX,08-Mar-2010,11.94,12.09,11.75,11.77,292900,NYSE
FIX,09-Mar-2010,11.75,11.86,11.65,11.7,332800,NYSE
FIX,10-Mar-2010,11.67,11.89,11.65,11.77,179400,NYSE
FIX,11-Mar-2010,11.71,12.31,11.66,12.31,260700,NYSE
FIX,12-Mar-2010,12.33,12.44,12.2,12.41,241200,NYSE
FIX,15-Mar-2010,12.43,12.44,12.26,12.36,184900,NYSE
FIX,16-Mar-2010,12.37,12.44,12.29,12.37,143200,NYSE
FIX,17-Mar-2010,12.36,12.44,12.25,12.3,264100,NYSE
FIX,18-Mar-2010,12.33,12.5,12.33,12.46,125200,NYSE
FIX,19-Mar-2010,12.52,12.69,12.5,12.68,307500,NYSE
FIX,22-Mar-2010,12.57,12.96,12.55,12.94,152900,NYSE
FIX,23-Mar-2010,12.91,13.24,12.71,13.22,199700,NYSE
FIX,24-Mar-2010,13.13,13.22,12.95,12.98,266600,NYSE
FIX,25-Mar-2010,13.02,13.02,12.45,12.46,160000,NYSE
FIX,26-Mar-2010,12.54,12.55,12.3,12.36,152800,NYSE
FIX,29-Mar-2010,12.36,12.42,12.27,12.36,103100,NYSE
FIX,30-Mar-2010,12.42,12.64,12.3,12.54,128200,NYSE
FIX,31-Mar-2010,12.46,12.79,12.46,12.49,224200,NYSE
FIX,01-Apr-2010,12.66,12.84,12.5,12.58,153000,NYSE
FIX,05-Apr-2010,12.58,13.0,12.51,13.0,137300,NYSE
FIX,06-Apr-2010,12.89,13.02,12.8,12.83,120600,NYSE
FIX,07-Apr-2010,12.75,13.08,12.7,13.06,154600,NYSE
FIX,08-Apr-2010,12.98,13.01,12.9,12.91,79500,NYSE
FIX,09-Apr-2010,12.89,13.02,12.89,12.93,75200,NYSE
FIX,12-Apr-2010,12.91,13.05,12.87,12.98,198000,NYSE
FIX,13-Apr-2010,12.91,12.96,12.8,12.84,190400,NYSE
FIX,14-Apr-2010,12.87,12.98,12.8,12.95,183800,NYSE
FIX,15-Apr-2010,12.89,13.09,12.87,13.06,424800,NYSE
FIX,16-Apr-2010,13.08,13.15,12.88,13.08,172500,NYSE
FIX,19-Apr-2010,12.99,13.15,12.8,13.01,156600,NYSE
FIX,20-Apr-2010,12.98,13.3,12.98,13.25,142400,NYSE
