name,date,open_price,close_price,high_price,low_price,volume,market
FMN,04-Jan-2010,14.8,14.99,14.8,14.9,7000,NYSE
FMN,05-Jan-2010,14.91,14.91,14.72,14.91,21900,NYSE
FMN,06-Jan-2010,14.9,14.99,14.9,14.98,18000,NYSE
FMN,07-Jan-2010,14.99,14.99,14.89,14.9,13900,NYSE
FMN,08-Jan-2010,14.97,14.98,14.87,14.93,7500,NYSE
FMN,11-Jan-2010,14.93,14.94,14.87,14.91,5200,NYSE
FMN,12-Jan-2010,14.9,14.9,14.77,14.8,7600,NYSE
FMN,13-Jan-2010,14.8,14.8,14.75,14.75,2100,NYSE
FMN,14-Jan-2010,14.75,14.76,14.63,14.65,19200,NYSE
FMN,15-Jan-2010,14.65,14.65,14.61,14.62,5600,NYSE
FMN,19-Jan-2010,14.65,14.71,14.64,14.71,26800,NYSE
FMN,20-Jan-2010,14.7,14.74,14.68,14.7,14400,NYSE
FMN,21-Jan-2010,14.69,14.78,14.69,14.75,5100,NYSE
FMN,22-Jan-2010,14.79,14.79,14.72,14.72,8100,NYSE
FMN,25-Jan-2010,14.78,14.78,14.64,14.66,7900,NYSE
FMN,26-Jan-2010,14.71,14.71,14.58,14.6,7400,NYSE
FMN,27-Jan-2010,14.48,14.62,14.48,14.51,9400,NYSE
FMN,28-Jan-2010,14.5,14.55,14.47,14.52,5700,NYSE
FMN,29-Jan-2010,14.51,14.51,14.45,14.47,4700,NYSE
FMN,01-Feb-2010,14.5,14.87,14.5,14.57,7800,NYSE
FMN,02-Feb-2010,14.57,14.61,14.54,14.57,10300,NYSE
FMN,03-Feb-2010,14.58,14.6,14.56,14.59,7700,NYSE
FMN,04-Feb-2010,14.6,14.62,14.52,14.58,27400,NYSE
FMN,05-Feb-2010,14.53,14.56,14.47,14.56,5200,NYSE
FMN,08-Feb-2010,14.71,14.71,14.58,14.65,12000,NYSE
FMN,09-Feb-2010,14.66,14.77,14.66,14.72,4600,NYSE
FMN,10-Feb-2010,14.69,14.75,14.68,14.75,800,NYSE
FMN,11-Feb-2010,14.84,14.85,14.69,14.74,20300,NYSE
FMN,12-Feb-2010,14.76,14.83,14.76,14.82,14200,NYSE
FMN,16-Feb-2010,14.96,14.99,14.84,14.94,39700,NYSE
FMN,17-Feb-2010,14.93,14.99,14.93,14.99,11200,NYSE
FMN,18-Feb-2010,14.94,15.09,14.92,15.02,21100,NYSE
FMN,19-Feb-2010,14.93,14.93,14.7,14.86,16600,NYSE
FMN,22-Feb-2010,14.78,14.83,14.65,14.65,8300,NYSE
FMN,23-Feb-2010,14.74,14.74,14.61,14.71,17000,NYSE
FMN,24-Feb-2010,14.63,14.71,14.63,14.68,7700,NYSE
FMN,25-Feb-2010,14.64,14.79,14.62,14.79,5600,NYSE
FMN,26-Feb-2010,14.73,14.76,14.67,14.7,10300,NYSE
FMN,01-Mar-2010,14.77,14.77,14.66,14.75,2300,NYSE
FMN,02-Mar-2010,14.72,14.76,14.66,14.71,6000,NYSE
FMN,03-Mar-2010,14.67,14.75,14.67,14.72,11300,NYSE
FMN,04-Mar-2010,14.66,14.73,14.66,14.7,6900,NYSE
FMN,05-Mar-2010,14.66,14.72,14.65,14.67,11500,NYSE
FMN,08-Mar-2010,14.68,14.82,14.65,14.79,21000,NYSE
FMN,09-Mar-2010,14.76,14.84,14.76,14.83,4300,NYSE
FMN,10-Mar-2010,14.79,14.87,14.79,14.83,6700,NYSE
FMN,11-Mar-2010,14.79,14.79,14.75,14.78,3700,NYSE
