name,date,open_price,close_price,high_price,low_price,volume,market
GEO,04-Jan-2010,14.7267,15.1067,14.6667,15.08,485300,NYSE
GEO,05-Jan-2010,15.18,15.4533,15.08,15.1,429000,NYSE
GEO,06-Jan-2010,15.12,15.3133,14.9267,15.1467,359000,NYSE
GEO,07-Jan-2010,15.1467,15.2733,14.8533,15.1733,146300,NYSE
GEO,08-Jan-2010,15.1133,15.1133,14.82,14.9733,191200,NYSE
GEO,11-Jan-2010,15.0267,15.0267,14.58,14.6133,257000,NYSE
GEO,12-Jan-2010,14.4667,14.5533,14.26,14.32,253000,NYSE
GEO,13-Jan-2010,14.4133,14.56,14.26,14.42,230700,NYSE
GEO,14-Jan-2010,14.44,14.44,14.18,14.3333,211000,NYSE
GEO,15-Jan-2010,14.3533,14.42,13.7333,14.02,448100,NYSE
GEO,19-Jan-2010,14.0133,14.1933,14.0133,14.1733,298100,NYSE
GEO,20-Jan-2010,14.04,14.1467,13.76,14.06,403400,NYSE
GEO,21-Jan-2010,14.0867,14.2067,13.1667,13.5133,733500,NYSE
GEO,22-Jan-2010,13.46,13.72,13.2067,13.2733,566800,NYSE
GEO,25-Jan-2010,13.34,13.4733,13.2,13.3333,619600,NYSE
GEO,26-Jan-2010,13.2533,13.3933,12.8,12.8467,683500,NYSE
GEO,27-Jan-2010,12.7867,13.0,12.6667,12.9133,281200,NYSE
GEO,28-Jan-2010,12.9,12.9,12.4,12.4667,503500,NYSE
GEO,29-Jan-2010,12.5467,12.58,12.3067,12.3333,647400,NYSE
GEO,01-Feb-2010,12.3467,12.6533,12.2067,12.5067,355800,NYSE
GEO,02-Feb-2010,12.5067,12.6,12.3533,12.5533,560500,NYSE
GEO,03-Feb-2010,12.54,12.8933,12.54,12.7533,432500,NYSE
GEO,04-Feb-2010,12.6467,12.6667,12.3067,12.3267,314900,NYSE
GEO,05-Feb-2010,12.3733,12.4067,12.18,12.3867,193100,NYSE
GEO,08-Feb-2010,12.32,12.32,11.9467,12.0133,388800,NYSE
GEO,09-Feb-2010,12.0933,12.1267,11.94,12.1,501100,NYSE
GEO,10-Feb-2010,12.0333,12.6667,12.02,12.3333,713300,NYSE
GEO,11-Feb-2010,12.2867,12.64,12.18,12.6133,655800,NYSE
GEO,12-Feb-2010,12.4533,12.9,12.4333,12.8933,344800,NYSE
GEO,16-Feb-2010,13.02,13.0533,12.8667,12.9333,217600,NYSE
GEO,17-Feb-2010,13.0133,13.1333,12.8333,12.8933,330800,NYSE
GEO,18-Feb-2010,12.8467,12.96,12.7867,12.82,844900,NYSE
GEO,19-Feb-2010,12.8133,12.86,12.56,12.78,705000,NYSE
GEO,22-Feb-2010,12.8533,13.4667,12.8,13.0733,1084100,NYSE
GEO,23-Feb-2010,13.0133,13.14,12.9067,13.02,513500,NYSE
GEO,24-Feb-2010,13.1,13.2533,12.98,13.1,412800,NYSE
GEO,25-Feb-2010,12.9267,13.1867,12.8733,13.0933,413400,NYSE
GEO,26-Feb-2010,13.0533,13.2067,12.96,13.18,550100,NYSE
GEO,01-Mar-2010,13.28,13.5133,13.2133,13.4,503700,NYSE
GEO,02-Mar-2010,13.1733,13.1733,12.2267,12.32,2018900,NYSE
GEO,03-Mar-2010,12.3067,12.4533,12.0667,12.1533,805100,NYSE
GEO,04-Mar-2010,12.2267,12.6133,12.1533,12.5933,667100,NYSE
GEO,05-Mar-2010,12.6933,12.8533,12.6267,12.6933,568500,NYSE
GEO,08-Mar-2010,12.7467,12.78,12.5867,12.7067,435800,NYSE
GEO,09-Mar-2010,12.7,12.86,12.7,12.86,514200,NYSE
GEO,10-Mar-2010,12.9,12.9933,12.7733,12.9467,352700,NYSE
GEO,11-Mar-2010,12.8733,13.1067,12.8133,12.9667,447500,NYSE
GEO,12-Mar-2010,13.08,13.16,12.86,13.16,1024900,NYSE
GEO,15-Mar-2010,13.18,13.1867,12.9133,13.0,543200,NYSE
GEO,16-Mar-2010,13.0067,13.0733,12.9133,13.0667,488900,NYSE
GEO,17-Mar-2010,13.0733,13.24,12.9933,13.1933,607900,NYSE
GEO,18-Mar-2010,13.18,13.2333,13.0667,13.18,359300,NYSE
GEO,19-Mar-2010,13.22,13.2333,12.7667,12.86,743200,NYSE
GEO,22-Mar-2010,12.7533,12.8933,12.6733,12.7467,529900,NYSE
GEO,23-Mar-2010,12.72,12.9733,12.6133,12.9067,368500,NYSE
GEO,24-Mar-2010,12.88,13.1067,12.88,12.9867,354500,NYSE
GEO,25-Mar-2010,13.0867,13.1933,13.02,13.12,487100,NYSE
GEO,26-Mar-2010,13.1667,13.34,12.9533,13.12,429700,NYSE
GEO,29-Mar-2010,13.1933,13.28,13.1067,13.1933,154000,NYSE
GEO,30-Mar-2010,13.2467,13.3333,13.0667,13.3133,295400,NYSE
GEO,31-Mar-2010,13.2267,13.5067,13.2,13.2133,279400,NYSE
GEO,01-Apr-2010,13.3267,13.42,13.0467,13.12,233200,NYSE
GEO,05-Apr-2010,13.2733,13.2733,13.0467,13.24,146400,NYSE
GEO,06-Apr-2010,13.1333,13.2067,13.0067,13.12,355300,NYSE
GEO,07-Apr-2010,13.0667,13.18,13.0667,13.1533,236000,NYSE
GEO,08-Apr-2010,13.1467,13.2933,13.0933,13.2733,387000,NYSE
GEO,09-Apr-2010,13.3067,13.32,13.2267,13.2867,159800,NYSE
GEO,12-Apr-2010,13.2333,13.5,13.16,13.4333,475100,NYSE
GEO,13-Apr-2010,13.4333,13.4333,12.6067,12.72,946200,NYSE
GEO,14-Apr-2010,12.8133,12.86,12.64,12.6867,769500,NYSE
GEO,15-Apr-2010,12.7067,12.7467,12.5667,12.6133,494300,NYSE
GEO,16-Apr-2010,12.6067,12.82,12.5267,12.7733,454400,NYSE
GEO,19-Apr-2010,12.8467,13.0533,12.1533,12.6067,2418400,NYSE
GEO,20-Apr-2010,12.7,13.3933,12.6533,13.2467,1446900,NYSE
GEO,21-Apr-2010,13.28,13.4267,13.18,13.36,1057800,NYSE
GEO,22-Apr-2010,13.2067,13.9133,13.1267,13.8,1172500,NYSE
GEO,23-Apr-2010,13.84,14.3133,13.7333,14.2667,992200,NYSE
GEO,26-Apr-2010,14.2867,14.7267,14.1867,14.6067,1312400,NYSE
GEO,27-Apr-2010,14.5,14.5867,14.1267,14.1667,999000,NYSE
GEO,28-Apr-2010,14.1867,14.4867,14.14,14.3133,782300,NYSE
GEO,29-Apr-2010,14.38,14.4733,14.2533,14.3933,445800,NYSE
GEO,30-Apr-2010,14.4333,14.54,14.12,14.12,519500,NYSE
GEO,03-May-2010,14.2067,14.2933,13.92,14.28,696100,NYSE
GEO,04-May-2010,14.06,14.2467,13.8867,14.1667,645300,NYSE
GEO,05-May-2010,14.04,14.5467,13.8533,14.3467,745400,NYSE
GEO,06-May-2010,14.3267,14.5733,13.3333,13.7533,1231800,NYSE
GEO,07-May-2010,13.6667,13.7067,13.3467,13.5067,1194100,NYSE
GEO,10-May-2010,14.0333,14.1667,13.9467,14.1533,775600,NYSE
GEO,11-May-2010,14.04,14.5,14.0333,14.3133,636100,NYSE
GEO,12-May-2010,14.3467,14.56,14.24,14.5467,532800,NYSE
GEO,13-May-2010,14.5667,14.7933,14.46,14.6,768600,NYSE
GEO,14-May-2010,14.5133,14.5533,14.18,14.38,654600,NYSE
GEO,17-May-2010,14.42,14.64,14.1667,14.6333,994300,NYSE
GEO,18-May-2010,14.76,14.8467,14.4067,14.5533,748900,NYSE
GEO,19-May-2010,14.52,14.64,14.2067,14.36,572400,NYSE
GEO,20-May-2010,14.06,14.06,13.66,13.72,587000,NYSE
GEO,21-May-2010,13.4933,13.7667,13.44,13.6467,862400,NYSE
GEO,24-May-2010,13.5933,13.7933,13.44,13.56,387100,NYSE
GEO,25-May-2010,13.3267,13.5667,13.1267,13.46,654900,NYSE
GEO,26-May-2010,13.5133,13.8333,13.4933,13.6667,635100,NYSE
GEO,27-May-2010,13.96,14.0533,13.7867,14.0467,450300,NYSE
GEO,28-May-2010,13.98,14.26,13.9533,14.0667,417600,NYSE
GEO,01-Jun-2010,13.9867,14.0133,13.5867,13.5933,635500,NYSE
GEO,02-Jun-2010,13.6333,14.1,13.6267,14.0467,1000600,NYSE
GEO,03-Jun-2010,14.1267,14.28,13.9933,14.1867,561100,NYSE
GEO,04-Jun-2010,13.9333,13.94,13.46,13.5133,575900,NYSE
GEO,07-Jun-2010,13.58,13.6,12.9133,12.9267,746800,NYSE
GEO,08-Jun-2010,12.9067,13.14,12.6733,13.06,1184400,NYSE
GEO,09-Jun-2010,13.1133,13.3267,12.9067,12.9933,1062100,NYSE
GEO,10-Jun-2010,13.28,13.3333,12.9267,13.1733,845300,NYSE
GEO,11-Jun-2010,13.08,13.48,13.0533,13.48,343800,NYSE
GEO,14-Jun-2010,13.62,13.62,13.3733,13.44,708800,NYSE
GEO,15-Jun-2010,13.5,13.6267,13.44,13.6,644900,NYSE
GEO,16-Jun-2010,13.44,14.34,13.42,14.2533,1203700,NYSE
GEO,17-Jun-2010,14.3067,14.58,14.1733,14.3133,673400,NYSE
GEO,18-Jun-2010,14.12,14.32,14.0267,14.06,827800,NYSE
GEO,21-Jun-2010,14.2667,14.2667,13.6867,13.7733,329800,NYSE
GEO,22-Jun-2010,13.78,14.1467,13.6133,13.94,973000,NYSE
GEO,23-Jun-2010,13.8533,14.0067,13.76,13.8,490800,NYSE
GEO,24-Jun-2010,13.7,14.1867,13.6,13.9867,709600,NYSE
GEO,25-Jun-2010,13.9933,14.22,13.8067,14.18,958500,NYSE
GEO,28-Jun-2010,14.2267,14.2667,13.9533,13.9533,310000,NYSE
GEO,29-Jun-2010,13.8067,13.9333,13.52,13.8133,703500,NYSE
GEO,30-Jun-2010,13.8267,14.0333,13.6533,13.8333,650000,NYSE
GEO,01-Jul-2010,13.6933,14.3,13.5267,14.0,1439200,NYSE
GEO,02-Jul-2010,14.1067,14.3867,13.68,13.7933,423500,NYSE
GEO,06-Jul-2010,14.08,14.08,13.42,13.4933,538100,NYSE
GEO,07-Jul-2010,13.58,13.8733,13.36,13.8533,664200,NYSE
GEO,08-Jul-2010,13.9667,14.18,13.8533,14.14,419600,NYSE
GEO,09-Jul-2010,14.1667,14.3333,14.0867,14.3,240100,NYSE
GEO,12-Jul-2010,14.3,14.36,14.0467,14.1533,259500,NYSE
GEO,13-Jul-2010,14.2933,14.7467,14.28,14.7067,667800,NYSE
GEO,14-Jul-2010,14.6467,14.6667,14.5067,14.64,352100,NYSE
GEO,15-Jul-2010,14.5267,14.7067,14.3267,14.6467,470200,NYSE
GEO,16-Jul-2010,14.52,14.5867,14.0,14.0467,551800,NYSE
GEO,19-Jul-2010,14.08,14.2533,13.84,14.0067,318900,NYSE
GEO,20-Jul-2010,13.82,14.3867,13.7133,14.3467,539900,NYSE
GEO,21-Jul-2010,14.3867,14.4333,14.0533,14.08,486800,NYSE
GEO,22-Jul-2010,14.2333,14.3933,14.0667,14.2467,529300,NYSE
GEO,23-Jul-2010,14.1533,14.4733,14.0933,14.4467,495300,NYSE
GEO,26-Jul-2010,14.54,14.78,14.4267,14.7733,326900,NYSE
GEO,27-Jul-2010,14.7933,14.94,14.68,14.7733,267700,NYSE
GEO,28-Jul-2010,14.8,14.8333,14.4133,14.48,280500,NYSE
GEO,29-Jul-2010,14.6133,14.6667,14.2333,14.4267,315700,NYSE
GEO,30-Jul-2010,14.2067,14.5467,14.1067,14.3867,278400,NYSE
GEO,02-Aug-2010,14.52,14.6333,14.1267,14.3933,654400,NYSE
GEO,03-Aug-2010,14.3733,14.3867,14.14,14.1933,329600,NYSE
GEO,04-Aug-2010,14.2133,14.4,14.1867,14.3933,388500,NYSE
GEO,05-Aug-2010,14.34,14.66,14.1467,14.5467,464400,NYSE
GEO,06-Aug-2010,14.3333,14.5333,14.12,14.4333,591900,NYSE
GEO,09-Aug-2010,14.5,14.8333,14.3733,14.82,367900,NYSE
GEO,10-Aug-2010,14.6267,14.7733,14.4067,14.5333,498300,NYSE
GEO,11-Aug-2010,14.26,14.46,14.2267,14.3733,530200,NYSE
GEO,12-Aug-2010,14.2933,15.14,14.2867,15.1333,3161500,NYSE
GEO,13-Aug-2010,15.1333,15.1667,14.8667,14.9133,1448500,NYSE
GEO,16-Aug-2010,14.8867,14.9733,14.76,14.8,703400,NYSE
GEO,17-Aug-2010,14.9333,15.1333,14.8067,14.9667,503600,NYSE
GEO,18-Aug-2010,14.9933,15.1867,14.7333,15.0,493800,NYSE
GEO,19-Aug-2010,14.9267,14.9533,14.4533,14.46,397100,NYSE
GEO,20-Aug-2010,14.44,14.5667,14.18,14.3467,436900,NYSE
GEO,23-Aug-2010,14.3933,14.4267,14.1467,14.22,341000,NYSE
GEO,24-Aug-2010,14.08,14.2467,13.9533,14.0,330200,NYSE
