name,date,open_price,close_price,high_price,low_price,volume,market
GF,04-Jan-2010,12.13,12.37,12.13,12.32,28100,NYSE
GF,05-Jan-2010,12.4,12.44,12.39,12.41,38500,NYSE
GF,06-Jan-2010,12.5,12.6,12.5,12.58,19900,NYSE
GF,07-Jan-2010,12.49,12.66,12.49,12.61,21300,NYSE
GF,08-Jan-2010,12.6,12.64,12.6,12.62,20900,NYSE
GF,11-Jan-2010,12.7,12.76,12.66,12.75,20100,NYSE
GF,12-Jan-2010,12.62,12.62,12.56,12.6,17900,NYSE
GF,13-Jan-2010,12.66,12.72,12.64,12.72,18700,NYSE
GF,14-Jan-2010,12.73,12.83,12.73,12.82,22000,NYSE
GF,15-Jan-2010,12.68,12.9,12.55,12.9,72700,NYSE
GF,19-Jan-2010,12.56,12.81,12.5,12.81,37900,NYSE
GF,20-Jan-2010,12.61,12.61,12.33,12.48,37000,NYSE
GF,21-Jan-2010,12.44,12.44,12.09,12.2,22100,NYSE
GF,22-Jan-2010,12.11,12.12,11.93,11.93,25500,NYSE
GF,25-Jan-2010,11.96,12.1,11.96,12.1,29800,NYSE
GF,26-Jan-2010,12.0,12.04,11.89,11.9,34200,NYSE
GF,27-Jan-2010,11.8,11.84,11.69,11.83,34300,NYSE
GF,28-Jan-2010,11.9,11.9,11.67,11.7,18900,NYSE
GF,29-Jan-2010,11.79,11.86,11.58,11.65,41700,NYSE
GF,01-Feb-2010,11.78,11.87,11.75,11.87,11600,NYSE
GF,02-Feb-2010,11.89,12.12,11.88,12.03,28900,NYSE
GF,03-Feb-2010,12.02,12.04,11.93,11.99,31200,NYSE
GF,04-Feb-2010,11.65,11.77,11.5,11.51,61300,NYSE
GF,05-Feb-2010,11.4,11.4,10.91,11.21,90000,NYSE
GF,08-Feb-2010,11.1,11.16,11.06,11.06,63700,NYSE
GF,09-Feb-2010,11.27,11.42,11.21,11.36,22200,NYSE
GF,10-Feb-2010,11.28,11.38,11.25,11.35,24600,NYSE
GF,11-Feb-2010,11.27,11.48,11.2,11.41,46700,NYSE
GF,12-Feb-2010,11.19,11.31,11.15,11.28,45800,NYSE
