name,date,open_price,close_price,high_price,low_price,volume,market
GGP,05-Mar-2010,13.7,14.4,13.5,14.01,3606900,NYSE
GGP,08-Mar-2010,14.18,14.36,13.91,14.08,1495700,NYSE
GGP,09-Mar-2010,14.64,15.0,14.35,14.55,10271100,NYSE
GGP,10-Mar-2010,14.84,15.0,14.34,14.4,6578500,NYSE
GGP,11-Mar-2010,14.74,14.74,14.37,14.63,2135300,NYSE
GGP,12-Mar-2010,14.61,14.75,14.52,14.75,1287800,NYSE
GGP,15-Mar-2010,14.75,14.8,14.4,14.75,2399800,NYSE
GGP,16-Mar-2010,14.61,15.55,14.56,15.1,4225900,NYSE
GGP,17-Mar-2010,15.48,16.2,14.99,15.84,11016900,NYSE
GGP,18-Mar-2010,16.14,16.64,15.85,16.44,6564700,NYSE
GGP,19-Mar-2010,16.59,16.78,16.19,16.75,3194000,NYSE
GGP,22-Mar-2010,16.52,16.95,16.5,16.8,2063900,NYSE
GGP,23-Mar-2010,17.28,17.28,15.75,16.15,6774200,NYSE
GGP,24-Mar-2010,16.08,16.45,15.75,15.88,2332200,NYSE
GGP,25-Mar-2010,16.14,16.26,16.0,16.18,2223300,NYSE
GGP,26-Mar-2010,16.23,16.5,16.07,16.49,1663600,NYSE
GGP,29-Mar-2010,16.5,16.73,16.46,16.73,1084500,NYSE
GGP,30-Mar-2010,16.52,16.7,16.17,16.22,1137300,NYSE
GGP,31-Mar-2010,16.18,16.42,16.01,16.09,1140200,NYSE
GGP,01-Apr-2010,16.01,16.2,14.0,15.95,2060700,NYSE
GGP,05-Apr-2010,15.68,16.35,15.68,16.21,1483600,NYSE
GGP,06-Apr-2010,16.01,16.38,15.97,16.27,844500,NYSE
GGP,07-Apr-2010,16.27,16.36,15.99,16.16,977800,NYSE
GGP,08-Apr-2010,16.13,16.47,16.1,16.4,649400,NYSE
GGP,09-Apr-2010,16.36,16.75,16.35,16.73,1528200,NYSE
GGP,12-Apr-2010,16.24,16.42,15.61,16.13,5716000,NYSE
GGP,13-Apr-2010,16.14,16.2,15.83,16.15,2304300,NYSE
GGP,14-Apr-2010,16.09,16.38,15.95,16.38,3688100,NYSE
GGP,15-Apr-2010,16.32,16.32,15.91,16.01,2701100,NYSE
