name,date,open_price,close_price,high_price,low_price,volume,market
GNW,04-Jan-2010,11.62,12.13,11.52,12.05,9276100,NYSE
GNW,05-Jan-2010,12.05,12.78,11.99,12.73,13597700,NYSE
GNW,06-Jan-2010,12.73,13.19,12.7,13.02,19758900,NYSE
GNW,07-Jan-2010,12.99,13.43,12.89,13.4,9770900,NYSE
GNW,08-Jan-2010,13.21,13.46,12.98,13.1,8827100,NYSE
GNW,11-Jan-2010,13.12,13.42,12.99,13.16,9602000,NYSE
GNW,12-Jan-2010,13.26,13.6,12.91,12.98,10680900,NYSE
GNW,13-Jan-2010,12.95,13.25,12.55,13.21,8270400,NYSE
GNW,14-Jan-2010,13.18,13.66,13.05,13.61,14811100,NYSE
GNW,15-Jan-2010,13.46,13.52,13.18,13.39,14028500,NYSE
GNW,19-Jan-2010,12.91,13.6,12.8,13.51,14572200,NYSE
GNW,20-Jan-2010,13.3,13.38,13.09,13.34,17655800,NYSE
GNW,21-Jan-2010,13.31,13.58,12.77,12.9,24257300,NYSE
GNW,22-Jan-2010,12.72,12.93,12.3,12.41,15618800,NYSE
GNW,25-Jan-2010,12.66,12.94,12.6,12.88,13125700,NYSE
GNW,26-Jan-2010,12.83,13.78,12.76,13.05,17494400,NYSE
GNW,27-Jan-2010,13.02,13.38,12.79,13.37,17506300,NYSE
GNW,28-Jan-2010,13.51,13.85,13.0,13.63,27928000,NYSE
GNW,29-Jan-2010,14.1,14.38,13.57,13.84,30846300,NYSE
GNW,01-Feb-2010,14.09,14.35,13.89,14.34,15045100,NYSE
GNW,02-Feb-2010,14.4,15.02,14.22,15.0,14273200,NYSE
GNW,03-Feb-2010,15.2,15.2,14.58,14.7,12642400,NYSE
GNW,04-Feb-2010,14.58,14.58,13.57,13.59,16622900,NYSE
GNW,05-Feb-2010,13.51,13.91,13.07,13.85,13781300,NYSE
GNW,08-Feb-2010,13.89,14.08,13.35,13.51,9582100,NYSE
GNW,09-Feb-2010,13.74,14.05,13.46,14.0,12123200,NYSE
GNW,10-Feb-2010,14.11,14.38,13.83,14.18,8038600,NYSE
GNW,11-Feb-2010,14.16,14.41,13.91,14.36,7885500,NYSE
GNW,12-Feb-2010,14.16,14.59,13.73,14.58,12045900,NYSE
GNW,16-Feb-2010,14.69,14.87,14.49,14.84,6771200,NYSE
GNW,17-Feb-2010,14.95,14.99,14.72,14.86,6382100,NYSE
GNW,18-Feb-2010,14.73,15.78,14.72,15.27,14861800,NYSE
GNW,19-Feb-2010,15.18,15.49,15.05,15.35,9126000,NYSE
GNW,22-Feb-2010,15.4,15.95,15.33,15.76,9850500,NYSE
GNW,23-Feb-2010,15.66,16.33,15.22,15.26,14616600,NYSE
GNW,24-Feb-2010,15.44,15.95,15.43,15.77,12329500,NYSE
GNW,25-Feb-2010,15.47,15.97,15.26,15.94,9139100,NYSE
GNW,26-Feb-2010,15.94,15.99,15.74,15.94,9170300,NYSE
GNW,01-Mar-2010,16.06,16.25,15.83,15.9,8251800,NYSE
GNW,02-Mar-2010,15.95,16.3,15.89,16.11,7591500,NYSE
GNW,03-Mar-2010,16.14,16.34,15.76,15.77,10879600,NYSE
GNW,04-Mar-2010,15.84,16.13,15.77,16.02,7769800,NYSE
GNW,05-Mar-2010,16.12,16.49,16.1,16.39,7080400,NYSE
GNW,08-Mar-2010,16.42,16.52,16.21,16.27,5625400,NYSE
GNW,09-Mar-2010,16.19,16.52,16.12,16.37,6888000,NYSE
GNW,10-Mar-2010,16.42,16.67,16.21,16.5,7950300,NYSE
GNW,11-Mar-2010,16.44,16.58,16.37,16.58,4211700,NYSE
GNW,12-Mar-2010,16.74,16.77,16.2,16.36,6838300,NYSE
GNW,15-Mar-2010,16.25,16.38,15.85,15.96,8078500,NYSE
GNW,16-Mar-2010,16.08,16.6,15.97,16.56,7765100,NYSE
GNW,17-Mar-2010,16.49,16.74,16.26,16.4,8545300,NYSE
GNW,18-Mar-2010,16.46,16.55,16.31,16.4,5788900,NYSE
GNW,19-Mar-2010,16.38,16.54,15.78,15.78,16781200,NYSE
GNW,22-Mar-2010,15.6,16.25,15.3,16.24,9852200,NYSE
GNW,23-Mar-2010,16.35,16.63,16.24,16.54,9196600,NYSE
GNW,24-Mar-2010,16.42,17.76,16.36,17.24,19727200,NYSE
GNW,25-Mar-2010,17.52,17.79,16.88,16.89,12739900,NYSE
GNW,26-Mar-2010,17.12,17.8,17.06,17.53,12882200,NYSE
GNW,29-Mar-2010,17.71,17.77,17.41,17.6,7247000,NYSE
GNW,30-Mar-2010,17.64,17.75,17.26,17.45,6168200,NYSE
GNW,31-Mar-2010,17.35,18.7,17.25,18.34,22879100,NYSE
GNW,01-Apr-2010,18.53,18.69,18.22,18.45,8501900,NYSE
GNW,05-Apr-2010,18.35,18.84,18.26,18.7,10081700,NYSE
GNW,06-Apr-2010,18.67,18.71,18.43,18.49,9068900,NYSE
GNW,07-Apr-2010,18.53,18.55,18.02,18.2,8067100,NYSE
GNW,08-Apr-2010,18.06,18.49,17.79,18.31,9477000,NYSE
GNW,09-Apr-2010,18.42,18.59,18.08,18.31,4606600,NYSE
GNW,12-Apr-2010,18.39,18.41,18.21,18.29,6242700,NYSE
GNW,13-Apr-2010,18.17,18.3,17.96,18.19,6245900,NYSE
GNW,14-Apr-2010,18.36,19.1,18.28,18.78,10154900,NYSE
GNW,15-Apr-2010,18.83,18.91,18.6,18.76,7587000,NYSE
GNW,16-Apr-2010,18.62,18.71,17.92,18.1,12502200,NYSE
GNW,19-Apr-2010,17.94,18.44,17.75,18.34,8369500,NYSE
GNW,20-Apr-2010,18.4,18.55,18.06,18.5,6215800,NYSE
GNW,21-Apr-2010,18.59,18.75,18.27,18.55,7572500,NYSE
GNW,22-Apr-2010,18.34,18.68,18.0,18.68,8721600,NYSE
GNW,23-Apr-2010,18.68,19.16,18.55,18.96,7724200,NYSE
GNW,26-Apr-2010,19.08,19.36,18.74,18.83,8536900,NYSE
GNW,27-Apr-2010,18.67,18.68,17.24,17.29,15558500,NYSE
GNW,28-Apr-2010,17.74,18.14,17.31,17.4,13534300,NYSE
GNW,29-Apr-2010,17.65,18.35,17.62,18.09,10554000,NYSE
GNW,30-Apr-2010,17.86,17.88,16.51,16.52,18406800,NYSE
GNW,03-May-2010,16.52,17.08,16.51,16.86,9008100,NYSE
GNW,04-May-2010,16.53,16.54,15.88,15.99,13947300,NYSE
GNW,05-May-2010,15.42,16.18,15.18,15.55,11938200,NYSE
GNW,06-May-2010,15.5,15.94,12.98,14.79,20054500,NYSE
GNW,07-May-2010,15.03,15.21,13.98,14.53,22181800,NYSE
GNW,10-May-2010,15.87,18.19,15.2,16.37,18140100,NYSE
GNW,11-May-2010,15.89,16.96,15.8,16.45,13856100,NYSE
GNW,12-May-2010,16.6,16.82,16.4,16.63,7919400,NYSE
GNW,13-May-2010,16.57,16.72,16.25,16.29,8133900,NYSE
GNW,14-May-2010,16.01,16.02,15.32,15.59,9857600,NYSE
GNW,17-May-2010,15.69,15.82,14.76,15.32,11986700,NYSE
GNW,18-May-2010,15.59,15.63,14.78,14.93,11454000,NYSE
GNW,19-May-2010,14.64,15.26,14.3,14.92,10617500,NYSE
GNW,20-May-2010,14.36,14.59,13.75,13.83,15696300,NYSE
GNW,21-May-2010,13.55,14.59,13.39,14.51,11804400,NYSE
GNW,24-May-2010,14.48,15.14,14.27,14.37,11761900,NYSE
GNW,25-May-2010,13.69,14.76,13.54,14.71,13373300,NYSE
GNW,26-May-2010,15.03,15.45,14.7,14.8,13809700,NYSE
GNW,27-May-2010,15.37,16.02,15.19,15.99,10405600,NYSE
GNW,28-May-2010,15.93,16.2,15.36,15.59,11193100,NYSE
GNW,01-Jun-2010,15.23,15.6,14.91,14.92,12541700,NYSE
GNW,02-Jun-2010,15.09,15.66,14.95,15.66,8858500,NYSE
GNW,03-Jun-2010,15.75,15.89,15.26,15.64,6695000,NYSE
GNW,04-Jun-2010,14.99,15.32,14.59,14.68,11934200,NYSE
GNW,07-Jun-2010,14.77,14.96,13.96,13.97,10122900,NYSE
GNW,08-Jun-2010,14.12,14.43,13.45,14.4,13765300,NYSE
GNW,09-Jun-2010,14.54,14.96,14.02,14.1,10501600,NYSE
GNW,10-Jun-2010,14.59,15.16,14.46,15.13,9418900,NYSE
GNW,11-Jun-2010,14.84,15.41,14.78,15.36,6659200,NYSE
GNW,14-Jun-2010,15.53,16.0,15.3,15.32,7395400,NYSE
GNW,15-Jun-2010,15.55,15.97,15.35,15.93,7906900,NYSE
GNW,16-Jun-2010,15.63,15.74,15.19,15.32,11942600,NYSE
GNW,17-Jun-2010,15.35,15.5,14.62,14.93,11919600,NYSE
GNW,18-Jun-2010,14.98,15.36,14.92,15.28,9152300,NYSE
GNW,21-Jun-2010,15.53,15.74,14.96,15.11,7387600,NYSE
GNW,22-Jun-2010,15.18,15.22,14.61,14.63,8123700,NYSE
GNW,23-Jun-2010,14.69,14.8,14.14,14.45,8451900,NYSE
GNW,24-Jun-2010,14.26,14.36,13.76,13.97,11613300,NYSE
GNW,25-Jun-2010,14.17,14.21,13.65,14.01,15712300,NYSE
GNW,28-Jun-2010,14.13,14.29,13.79,13.81,10023100,NYSE
GNW,29-Jun-2010,13.82,13.82,13.09,13.24,16384100,NYSE
GNW,30-Jun-2010,13.33,13.56,13.04,13.07,10458600,NYSE
GNW,01-Jul-2010,13.04,13.21,12.39,12.86,14309400,NYSE
GNW,02-Jul-2010,13.01,13.06,12.45,12.66,6286000,NYSE
GNW,06-Jul-2010,13.0,13.26,12.68,12.89,10129100,NYSE
GNW,07-Jul-2010,13.22,13.84,12.98,13.81,10378800,NYSE
GNW,08-Jul-2010,14.06,14.1,13.61,13.95,7447100,NYSE
GNW,09-Jul-2010,14.01,14.6,13.95,14.59,8402700,NYSE
GNW,12-Jul-2010,14.49,14.64,14.12,14.46,7744900,NYSE
GNW,13-Jul-2010,14.78,14.85,14.32,14.73,8095400,NYSE
GNW,14-Jul-2010,14.5,14.67,14.25,14.51,5137100,NYSE
GNW,15-Jul-2010,14.55,14.55,13.88,14.36,7145200,NYSE
GNW,16-Jul-2010,14.07,14.17,13.39,13.46,8752600,NYSE
GNW,19-Jul-2010,13.53,14.05,13.4,13.9,7310800,NYSE
GNW,20-Jul-2010,13.62,14.5,13.38,14.46,9990200,NYSE
GNW,21-Jul-2010,14.53,14.74,13.86,13.93,9986200,NYSE
GNW,22-Jul-2010,14.2,15.06,14.12,15.0,8879000,NYSE
GNW,23-Jul-2010,14.95,15.32,14.64,15.26,6819900,NYSE
GNW,26-Jul-2010,15.25,15.69,15.12,15.55,7486000,NYSE
GNW,27-Jul-2010,15.79,15.88,15.52,15.65,7264200,NYSE
GNW,28-Jul-2010,15.51,15.8,15.45,15.56,6224800,NYSE
GNW,29-Jul-2010,15.66,16.1,15.18,15.79,13635400,NYSE
GNW,30-Jul-2010,14.59,14.7,13.22,13.58,37216900,NYSE
GNW,02-Aug-2010,13.73,13.76,13.1,13.67,15833500,NYSE
GNW,03-Aug-2010,13.55,13.69,13.19,13.26,10176300,NYSE
GNW,04-Aug-2010,13.31,13.4,12.73,12.83,16825900,NYSE
GNW,05-Aug-2010,12.78,13.35,12.58,13.24,14463300,NYSE
GNW,06-Aug-2010,13.08,13.24,12.75,13.05,13687300,NYSE
GNW,09-Aug-2010,13.18,13.24,12.94,13.18,5409800,NYSE
GNW,10-Aug-2010,12.97,13.22,12.79,13.12,8530600,NYSE
GNW,11-Aug-2010,12.75,12.87,12.28,12.37,9690600,NYSE
GNW,12-Aug-2010,12.04,12.25,11.75,11.89,12620700,NYSE
GNW,13-Aug-2010,11.91,12.11,11.8,11.9,8560900,NYSE
GNW,16-Aug-2010,12.07,12.3,11.95,12.03,6925000,NYSE
GNW,17-Aug-2010,12.19,12.41,11.96,11.97,6957300,NYSE
GNW,18-Aug-2010,11.98,12.21,11.74,12.1,6036500,NYSE
GNW,19-Aug-2010,11.92,12.03,11.53,11.54,7336600,NYSE
GNW,20-Aug-2010,11.42,11.54,11.21,11.36,6628200,NYSE
GNW,23-Aug-2010,11.46,11.54,11.1,11.11,6244600,NYSE
GNW,24-Aug-2010,10.78,10.89,10.56,10.59,13508500,NYSE
GNW,25-Aug-2010,10.44,10.66,10.26,10.6,10202800,NYSE
GNW,26-Aug-2010,10.73,10.93,10.55,10.72,11335400,NYSE
GNW,27-Aug-2010,10.91,11.16,10.56,11.14,6338600,NYSE
GNW,30-Aug-2010,11.18,11.18,10.59,10.59,5328800,NYSE
GNW,31-Aug-2010,10.58,10.91,10.4,10.84,6728500,NYSE
GNW,01-Sep-2010,11.07,11.31,10.98,11.22,9819400,NYSE
GNW,02-Sep-2010,11.21,11.41,11.14,11.35,6924900,NYSE
GNW,03-Sep-2010,11.6,12.06,11.47,12.03,7044500,NYSE
GNW,07-Sep-2010,11.67,11.8,11.35,11.37,7683700,NYSE
GNW,08-Sep-2010,11.5,11.96,11.46,11.79,5906300,NYSE
GNW,09-Sep-2010,12.07,12.15,11.85,12.07,6929000,NYSE
GNW,10-Sep-2010,12.04,12.2,11.91,12.11,4097600,NYSE
GNW,13-Sep-2010,12.45,12.69,12.44,12.58,7210700,NYSE
GNW,14-Sep-2010,12.48,12.65,12.26,12.37,5690300,NYSE
GNW,15-Sep-2010,12.24,12.39,12.11,12.36,5207500,NYSE
GNW,16-Sep-2010,12.25,12.48,12.16,12.46,5189600,NYSE
GNW,17-Sep-2010,12.59,12.64,12.33,12.41,5451700,NYSE
GNW,20-Sep-2010,12.49,12.95,12.41,12.91,5540600,NYSE
GNW,21-Sep-2010,12.91,12.98,12.72,12.78,5113400,NYSE
GNW,22-Sep-2010,12.64,12.85,12.3,12.38,3824800,NYSE
GNW,23-Sep-2010,12.2,12.31,11.95,11.99,4198500,NYSE
GNW,24-Sep-2010,12.27,12.52,12.25,12.49,4732500,NYSE
GNW,27-Sep-2010,12.46,12.56,12.3,12.33,4276000,NYSE
GNW,28-Sep-2010,12.47,12.47,12.08,12.41,5180500,NYSE
GNW,29-Sep-2010,12.33,12.49,12.18,12.26,3460400,NYSE
GNW,30-Sep-2010,12.42,12.6,12.14,12.22,6054800,NYSE
GNW,01-Oct-2010,12.44,12.44,12.11,12.28,3615800,NYSE
GNW,04-Oct-2010,12.21,12.4,12.01,12.05,5260200,NYSE
GNW,05-Oct-2010,12.2,12.45,12.04,12.4,7080900,NYSE
GNW,06-Oct-2010,12.38,12.49,12.25,12.4,3897400,NYSE
GNW,07-Oct-2010,12.52,12.55,12.15,12.28,4506100,NYSE
GNW,08-Oct-2010,12.33,12.91,12.23,12.82,6252700,NYSE
GNW,11-Oct-2010,12.87,12.94,12.67,12.77,4124500,NYSE
GNW,12-Oct-2010,12.72,12.9,12.41,12.87,4268500,NYSE
GNW,13-Oct-2010,13.06,13.22,12.84,12.96,4860500,NYSE
GNW,14-Oct-2010,12.89,13.33,12.62,13.07,10770300,NYSE
GNW,15-Oct-2010,13.22,13.4,12.91,13.12,10591600,NYSE
GNW,18-Oct-2010,13.1,13.57,13.1,13.25,9703600,NYSE
GNW,19-Oct-2010,13.05,13.62,13.01,13.36,9776200,NYSE
GNW,20-Oct-2010,13.38,13.54,12.96,13.46,6603700,NYSE
GNW,21-Oct-2010,13.53,13.72,13.17,13.39,5409800,NYSE
GNW,22-Oct-2010,13.42,13.46,13.25,13.38,2803600,NYSE
GNW,25-Oct-2010,13.5,13.7,13.37,13.51,5194300,NYSE
GNW,26-Oct-2010,13.4,13.5,13.26,13.44,4379400,NYSE
GNW,27-Oct-2010,13.28,13.43,13.09,13.2,4544400,NYSE
GNW,28-Oct-2010,13.36,13.49,12.55,12.58,10349500,NYSE
GNW,29-Oct-2010,10.96,11.52,10.61,11.33,39620700,NYSE
GNW,01-Nov-2010,11.37,11.75,11.21,11.58,11990600,NYSE
GNW,02-Nov-2010,11.68,11.73,11.49,11.69,6699100,NYSE
GNW,03-Nov-2010,11.71,11.79,11.37,11.65,7404500,NYSE
GNW,04-Nov-2010,11.84,12.29,11.67,12.25,10908500,NYSE
GNW,05-Nov-2010,12.23,12.53,12.08,12.43,6477400,NYSE
GNW,08-Nov-2010,12.36,12.36,11.94,11.96,7771500,NYSE
GNW,09-Nov-2010,12.01,12.15,11.72,11.8,7256300,NYSE
GNW,10-Nov-2010,11.83,12.07,11.75,12.06,5909400,NYSE
GNW,11-Nov-2010,11.92,12.02,11.76,11.92,5466200,NYSE
GNW,12-Nov-2010,11.72,11.85,11.51,11.56,8844600,NYSE
GNW,15-Nov-2010,11.63,11.65,11.5,11.53,9028500,NYSE
GNW,16-Nov-2010,11.42,11.73,11.26,11.42,10249300,NYSE
GNW,17-Nov-2010,11.52,11.68,11.38,11.46,7627900,NYSE
GNW,18-Nov-2010,11.63,11.74,11.51,11.54,6075800,NYSE
GNW,19-Nov-2010,11.51,11.67,11.41,11.58,4357200,NYSE
GNW,22-Nov-2010,11.47,11.48,11.15,11.38,7815200,NYSE
GNW,23-Nov-2010,11.17,11.35,11.1,11.29,7400300,NYSE
GNW,24-Nov-2010,11.36,11.75,11.36,11.75,5764200,NYSE
GNW,26-Nov-2010,11.54,11.67,11.48,11.6,1870300,NYSE
GNW,29-Nov-2010,11.4,11.73,11.35,11.65,6182000,NYSE
GNW,30-Nov-2010,11.44,11.78,11.41,11.66,5011700,NYSE
GNW,01-Dec-2010,11.87,12.1,11.75,12.02,6052000,NYSE
GNW,02-Dec-2010,12.09,12.5,12.03,12.48,6253300,NYSE
GNW,03-Dec-2010,12.38,12.6,12.25,12.55,4558100,NYSE
GNW,06-Dec-2010,12.52,12.57,12.31,12.41,5386000,NYSE
GNW,07-Dec-2010,12.64,12.78,12.58,12.68,5902000,NYSE
GNW,08-Dec-2010,12.73,13.09,12.68,13.06,7122200,NYSE
GNW,09-Dec-2010,13.19,13.22,12.94,13.0,6686500,NYSE
GNW,10-Dec-2010,13.07,13.11,12.93,13.05,3262100,NYSE
GNW,13-Dec-2010,13.22,13.34,13.11,13.11,5194500,NYSE
GNW,14-Dec-2010,13.15,13.34,13.02,13.03,3352900,NYSE
GNW,15-Dec-2010,12.88,13.17,12.75,12.77,4553000,NYSE
GNW,16-Dec-2010,12.79,12.97,12.72,12.8,3009200,NYSE
GNW,17-Dec-2010,12.76,12.92,12.73,12.84,4115400,NYSE
GNW,20-Dec-2010,12.87,12.96,12.51,12.86,3316200,NYSE
GNW,21-Dec-2010,12.99,13.08,12.94,13.02,3027700,NYSE
GNW,22-Dec-2010,13.06,13.41,13.04,13.41,4364700,NYSE
GNW,23-Dec-2010,13.41,13.54,13.26,13.31,2414500,NYSE
GNW,27-Dec-2010,13.19,13.33,13.1,13.3,1657800,NYSE
GNW,28-Dec-2010,13.3,13.36,13.14,13.19,1965500,NYSE
GNW,29-Dec-2010,13.25,13.26,13.11,13.14,2547500,NYSE
GNW,30-Dec-2010,13.1,13.25,13.06,13.06,1890900,NYSE
GNW,31-Dec-2010,13.03,13.23,13.02,13.14,2094300,NYSE
GNW,03-Jan-2011,13.33,13.58,13.27,13.5,4920000,NYSE
GNW,04-Jan-2011,13.57,13.73,13.35,13.49,5097900,NYSE
GNW,05-Jan-2011,13.37,13.58,13.33,13.54,4114800,NYSE
GNW,06-Jan-2011,13.56,14.32,13.46,14.21,14433400,NYSE
GNW,07-Jan-2011,14.4,14.75,14.0,14.12,14740500,NYSE
GNW,10-Jan-2011,13.97,14.09,13.81,13.88,10809000,NYSE
GNW,11-Jan-2011,13.96,14.77,13.88,14.23,16906400,NYSE
GNW,12-Jan-2011,14.17,14.42,14.11,14.31,5945700,NYSE
