name,date,open_price,close_price,high_price,low_price,volume,market
GOL,04-Jan-2010,77.35,77.95,76.65,76.9,640800,NYSE
GOL,05-Jan-2010,76.9,77.15,74.95,76.65,1305300,NYSE
GOL,06-Jan-2010,76.5,78.1,76.45,77.45,799300,NYSE
GOL,07-Jan-2010,76.7,77.7,75.4,76.95,733100,NYSE
GOL,08-Jan-2010,79.5,82.95,78.45,82.4,1601600,NYSE
GOL,11-Jan-2010,83.95,84.35,81.4,82.2,834600,NYSE
GOL,12-Jan-2010,79.75,80.4,78.65,80.15,1419500,NYSE
GOL,13-Jan-2010,80.65,80.85,79.0,79.95,631700,NYSE
GOL,14-Jan-2010,79.0,79.1,76.8,77.65,1072300,NYSE
GOL,15-Jan-2010,77.55,77.65,74.25,75.1,1084200,NYSE
GOL,19-Jan-2010,74.15,77.1,74.15,76.8,767900,NYSE
GOL,20-Jan-2010,74.05,74.5,71.75,73.9,742400,NYSE
GOL,21-Jan-2010,74.05,74.05,67.6,68.45,2656000,NYSE
GOL,22-Jan-2010,65.9,67.9,63.2,63.95,1892600,NYSE
GOL,25-Jan-2010,64.45,66.1,62.55,64.4,1116600,NYSE
GOL,26-Jan-2010,62.75,67.05,62.35,65.1,1099400,NYSE
GOL,27-Jan-2010,65.7,66.5,63.0,65.2,627300,NYSE
GOL,28-Jan-2010,66.25,66.25,63.05,64.15,837200,NYSE
GOL,29-Jan-2010,64.75,65.65,60.1,61.0,1138400,NYSE
GOL,01-Feb-2010,61.5,63.8,61.05,63.5,703900,NYSE
GOL,02-Feb-2010,64.8,67.6,64.4,67.35,732500,NYSE
GOL,03-Feb-2010,68.85,68.85,65.0,65.55,628500,NYSE
GOL,04-Feb-2010,63.2,63.3,59.75,60.25,1103700,NYSE
GOL,05-Feb-2010,61.3,62.25,58.75,61.9,946200,NYSE
GOL,08-Feb-2010,62.5,63.95,61.35,61.75,659400,NYSE
GOL,09-Feb-2010,66.15,67.95,65.0,66.35,892800,NYSE
GOL,10-Feb-2010,68.25,68.8,66.05,66.9,846000,NYSE
GOL,11-Feb-2010,67.45,68.75,67.05,68.1,779900,NYSE
GOL,12-Feb-2010,66.6,68.55,66.05,68.4,647400,NYSE
GOL,16-Feb-2010,69.3,70.0,68.35,69.1,306000,NYSE
GOL,17-Feb-2010,70.05,70.2,68.45,69.35,528900,NYSE
GOL,18-Feb-2010,68.7,70.9,68.5,69.85,658000,NYSE
GOL,19-Feb-2010,69.1,69.3,68.0,68.45,402200,NYSE
GOL,22-Feb-2010,68.45,68.45,66.75,67.8,494800,NYSE
GOL,23-Feb-2010,67.05,68.55,65.25,66.1,645100,NYSE
GOL,24-Feb-2010,67.05,67.65,64.9,65.6,577000,NYSE
GOL,25-Feb-2010,64.0,64.15,61.8,64.0,1145600,NYSE
GOL,26-Feb-2010,65.1,68.8,64.4,68.5,1101100,NYSE
GOL,01-Mar-2010,68.75,70.25,68.45,69.8,742700,NYSE
GOL,02-Mar-2010,70.7,71.0,68.8,69.15,556600,NYSE
GOL,03-Mar-2010,69.65,70.65,67.25,68.1,929300,NYSE
GOL,04-Mar-2010,68.65,69.0,66.5,67.4,592600,NYSE
GOL,05-Mar-2010,68.35,69.1,65.85,67.0,791000,NYSE
GOL,08-Mar-2010,67.55,68.25,65.0,65.3,583600,NYSE
GOL,09-Mar-2010,65.75,67.6,65.25,66.85,629400,NYSE
GOL,10-Mar-2010,67.75,69.45,67.5,68.7,417100,NYSE
GOL,11-Mar-2010,69.25,69.3,68.1,69.3,496700,NYSE
