name,date,open_price,close_price,high_price,low_price,volume,market
GS-A,04-Jan-2010,21.93,22.11,21.91,22.03,59900,NYSE
GS-A,05-Jan-2010,22.09,22.2,22.03,22.18,61900,NYSE
GS-A,06-Jan-2010,22.17,22.24,22.02,22.02,51600,NYSE
GS-A,07-Jan-2010,22.14,22.25,22.05,22.18,42200,NYSE
GS-A,08-Jan-2010,22.38,22.38,21.9,21.91,120100,NYSE
GS-A,11-Jan-2010,22.08,22.08,21.75,21.86,118600,NYSE
GS-A,12-Jan-2010,22.16,22.16,21.82,21.95,193100,NYSE
GS-A,13-Jan-2010,21.93,22.42,21.93,22.07,191500,NYSE
GS-A,14-Jan-2010,22.17,22.24,21.96,22.0,65000,NYSE
GS-A,15-Jan-2010,22.08,22.15,21.92,22.02,48800,NYSE
GS-A,19-Jan-2010,22.13,22.37,22.1,22.3,64500,NYSE
GS-A,20-Jan-2010,22.21,22.36,22.21,22.29,66800,NYSE
GS-A,21-Jan-2010,22.22,22.37,22.22,22.34,90300,NYSE
GS-A,22-Jan-2010,22.09,22.29,21.68,21.75,65400,NYSE
GS-A,25-Jan-2010,21.44,22.09,21.44,21.81,59900,NYSE
GS-A,26-Jan-2010,21.97,22.09,21.61,21.65,77700,NYSE
GS-A,27-Jan-2010,21.69,21.87,21.28,21.29,93000,NYSE
GS-A,28-Jan-2010,21.36,21.43,21.02,21.2,92300,NYSE
GS-A,29-Jan-2010,21.28,21.43,21.06,21.1,27700,NYSE
GS-A,01-Feb-2010,21.1,21.38,21.1,21.15,33300,NYSE
GS-A,02-Feb-2010,21.2,21.83,21.13,21.13,109300,NYSE
GS-A,03-Feb-2010,21.24,21.38,21.02,21.02,117300,NYSE
GS-A,04-Feb-2010,21.0,21.08,20.68,20.72,83500,NYSE
GS-A,05-Feb-2010,20.57,20.78,20.05,20.3,145700,NYSE
GS-A,08-Feb-2010,20.44,20.44,20.06,20.09,90300,NYSE
GS-A,09-Feb-2010,20.15,20.3,19.76,19.86,155800,NYSE
GS-A,10-Feb-2010,20.33,20.33,19.81,19.85,62700,NYSE
GS-A,11-Feb-2010,19.99,20.52,19.85,20.2,64400,NYSE
GS-A,12-Feb-2010,20.2,20.35,20.16,20.34,71700,NYSE
GS-A,16-Feb-2010,20.89,20.89,20.4,20.58,97600,NYSE
GS-A,17-Feb-2010,20.82,20.96,20.68,20.94,70400,NYSE
GS-A,18-Feb-2010,20.99,21.25,20.95,21.09,230000,NYSE
GS-A,19-Feb-2010,21.05,22.4,21.05,22.1,575000,NYSE
GS-A,22-Feb-2010,22.32,22.49,22.2,22.26,76100,NYSE
GS-A,23-Feb-2010,22.35,22.59,22.14,22.5,117500,NYSE
GS-A,24-Feb-2010,22.72,22.75,22.45,22.75,73800,NYSE
GS-A,25-Feb-2010,22.73,22.74,22.39,22.6,74600,NYSE
