name,date,open_price,close_price,high_price,low_price,volume,market
GSH,04-Jan-2010,20.5,20.67,20.45,20.5,45800,NYSE
GSH,05-Jan-2010,20.54,20.75,20.5,20.68,60800,NYSE
GSH,06-Jan-2010,21.05,21.13,20.95,21.05,94100,NYSE
GSH,07-Jan-2010,20.38,20.46,20.13,20.31,82300,NYSE
GSH,08-Jan-2010,20.13,20.37,20.13,20.34,49100,NYSE
GSH,11-Jan-2010,20.71,20.85,20.62,20.74,44000,NYSE
GSH,12-Jan-2010,20.8,20.91,20.52,20.63,50500,NYSE
GSH,13-Jan-2010,20.83,20.86,20.7,20.86,23100,NYSE
GSH,14-Jan-2010,21.32,21.42,21.23,21.34,49300,NYSE
GSH,15-Jan-2010,21.29,21.29,20.95,21.06,38600,NYSE
GSH,19-Jan-2010,21.75,21.91,21.65,21.91,85800,NYSE
GSH,20-Jan-2010,21.36,21.36,20.9,21.04,69800,NYSE
GSH,21-Jan-2010,20.98,20.98,20.41,20.55,81700,NYSE
GSH,22-Jan-2010,21.1,21.16,20.73,20.87,75000,NYSE
GSH,25-Jan-2010,20.9,21.0,20.77,20.94,70900,NYSE
GSH,26-Jan-2010,20.57,20.72,20.17,20.35,52500,NYSE
GSH,27-Jan-2010,20.37,20.77,20.35,20.77,63300,NYSE
GSH,28-Jan-2010,20.87,20.87,20.32,20.38,47600,NYSE
GSH,29-Jan-2010,20.59,20.68,20.19,20.19,59600,NYSE
GSH,01-Feb-2010,20.41,20.75,20.41,20.61,31800,NYSE
GSH,02-Feb-2010,20.52,20.87,20.5,20.83,30400,NYSE
GSH,03-Feb-2010,21.26,21.26,20.9,20.94,19000,NYSE
GSH,04-Feb-2010,20.95,21.1,20.58,20.58,56500,NYSE
GSH,05-Feb-2010,20.13,20.31,19.62,19.98,66800,NYSE
GSH,08-Feb-2010,20.29,20.46,20.12,20.19,35700,NYSE
GSH,09-Feb-2010,20.33,20.54,20.18,20.53,28600,NYSE
GSH,10-Feb-2010,20.68,20.85,20.41,20.71,67800,NYSE
GSH,11-Feb-2010,20.53,20.75,20.34,20.72,37600,NYSE
GSH,12-Feb-2010,20.4,20.78,20.22,20.57,44300,NYSE
GSH,16-Feb-2010,20.5,20.75,20.47,20.75,22400,NYSE
GSH,17-Feb-2010,20.74,20.74,20.44,20.61,34600,NYSE
GSH,18-Feb-2010,20.61,20.64,20.47,20.63,10100,NYSE
GSH,19-Feb-2010,19.91,20.18,19.62,20.17,62800,NYSE
GSH,22-Feb-2010,20.04,20.29,20.01,20.02,78400,NYSE
GSH,23-Feb-2010,20.0,20.16,19.88,19.88,35300,NYSE
GSH,24-Feb-2010,20.02,20.17,19.93,20.13,21900,NYSE
GSH,25-Feb-2010,20.01,20.21,19.85,20.19,31100,NYSE
