name,date,open_price,close_price,high_price,low_price,volume,market
GSL,04-Jan-2010,1.44,1.49,1.42,1.45,175000,NYSE
GSL,05-Jan-2010,1.47,1.48,1.43,1.46,115800,NYSE
GSL,06-Jan-2010,1.48,1.48,1.45,1.47,108000,NYSE
GSL,07-Jan-2010,1.48,1.58,1.46,1.56,223100,NYSE
GSL,08-Jan-2010,1.56,1.6,1.5,1.59,141900,NYSE
GSL,11-Jan-2010,1.62,1.64,1.59,1.6,225100,NYSE
GSL,12-Jan-2010,1.59,1.59,1.52,1.55,137800,NYSE
GSL,13-Jan-2010,1.58,1.58,1.56,1.58,107900,NYSE
GSL,14-Jan-2010,1.59,1.62,1.55,1.58,75000,NYSE
GSL,15-Jan-2010,1.58,1.59,1.55,1.56,270400,NYSE
GSL,19-Jan-2010,1.56,1.61,1.52,1.6,145700,NYSE
GSL,20-Jan-2010,1.56,1.63,1.54,1.54,111400,NYSE
GSL,21-Jan-2010,1.57,1.58,1.46,1.5,117000,NYSE
GSL,22-Jan-2010,1.46,1.49,1.45,1.46,102700,NYSE
GSL,25-Jan-2010,1.48,1.65,1.4,1.65,276600,NYSE
GSL,26-Jan-2010,1.65,1.65,1.53,1.58,268800,NYSE
GSL,27-Jan-2010,1.54,1.57,1.5,1.53,147400,NYSE
GSL,28-Jan-2010,1.56,1.58,1.52,1.58,106500,NYSE
GSL,29-Jan-2010,1.59,1.59,1.52,1.59,205500,NYSE
GSL,01-Feb-2010,1.6,1.63,1.55,1.59,157700,NYSE
GSL,02-Feb-2010,1.56,1.65,1.54,1.6,145100,NYSE
GSL,03-Feb-2010,1.56,1.65,1.56,1.65,308500,NYSE
GSL,04-Feb-2010,1.64,1.65,1.56,1.61,200600,NYSE
GSL,05-Feb-2010,1.62,1.64,1.56,1.59,220800,NYSE
GSL,08-Feb-2010,1.6,1.62,1.58,1.6,66400,NYSE
GSL,09-Feb-2010,1.59,1.61,1.56,1.61,136200,NYSE
