name,date,open_price,close_price,high_price,low_price,volume,market
GWR,04-Jan-2010,32.98,33.16,32.58,33.1,178600,NYSE
GWR,05-Jan-2010,33.11,34.0,31.49,32.32,526100,NYSE
GWR,06-Jan-2010,32.25,32.42,31.44,31.87,462300,NYSE
GWR,07-Jan-2010,31.88,31.95,31.29,31.44,277300,NYSE
GWR,08-Jan-2010,31.24,32.5,31.24,32.34,191100,NYSE
GWR,11-Jan-2010,32.42,33.03,32.32,32.34,357800,NYSE
GWR,12-Jan-2010,32.0,32.1,31.5,31.61,173900,NYSE
GWR,13-Jan-2010,31.64,31.75,31.0,31.59,252400,NYSE
GWR,14-Jan-2010,31.58,31.8,31.41,31.44,175100,NYSE
GWR,15-Jan-2010,31.53,31.61,30.61,30.9,272900,NYSE
GWR,19-Jan-2010,30.8,31.13,30.41,30.7,285600,NYSE
GWR,20-Jan-2010,30.36,30.36,29.11,30.31,558600,NYSE
GWR,21-Jan-2010,30.29,31.05,29.94,30.21,385900,NYSE
GWR,22-Jan-2010,30.11,31.0,30.03,30.17,432400,NYSE
GWR,25-Jan-2010,30.43,30.6,29.95,30.17,355700,NYSE
GWR,26-Jan-2010,30.0,30.36,29.84,29.86,246500,NYSE
GWR,27-Jan-2010,29.79,30.51,29.5,30.38,214500,NYSE
GWR,28-Jan-2010,30.5,30.5,29.61,29.86,277900,NYSE
GWR,29-Jan-2010,29.92,30.34,29.04,29.47,488200,NYSE
GWR,01-Feb-2010,29.63,30.36,29.6,30.13,233300,NYSE
GWR,02-Feb-2010,29.94,30.42,29.74,29.8,293100,NYSE
GWR,03-Feb-2010,29.59,30.07,29.2,29.36,188700,NYSE
GWR,04-Feb-2010,29.06,29.3,28.75,28.93,346800,NYSE
GWR,05-Feb-2010,29.0,29.34,28.67,29.32,185300,NYSE
GWR,08-Feb-2010,29.74,29.99,28.41,29.1,293600,NYSE
GWR,09-Feb-2010,29.37,30.2,29.33,29.51,268100,NYSE
GWR,10-Feb-2010,29.46,30.2,29.16,30.07,408700,NYSE
GWR,11-Feb-2010,30.0,30.67,30.0,30.53,178400,NYSE
GWR,12-Feb-2010,30.14,31.07,30.06,31.04,255100,NYSE
GWR,16-Feb-2010,31.39,31.65,31.1,31.63,173100,NYSE
GWR,17-Feb-2010,31.83,31.9,31.3,31.6,158200,NYSE
GWR,18-Feb-2010,31.61,31.75,31.51,31.69,129500,NYSE
GWR,19-Feb-2010,31.7,32.1,31.59,31.9,132500,NYSE
GWR,22-Feb-2010,31.9,31.99,31.34,31.94,113800,NYSE
GWR,23-Feb-2010,31.79,32.34,31.35,32.14,222700,NYSE
GWR,24-Feb-2010,32.16,32.49,32.03,32.34,226900,NYSE
GWR,25-Feb-2010,31.82,32.1,31.55,32.0,224000,NYSE
GWR,26-Feb-2010,31.91,32.1,31.53,31.85,208600,NYSE
GWR,01-Mar-2010,31.94,32.39,31.88,32.31,185300,NYSE
GWR,02-Mar-2010,32.45,32.63,32.14,32.25,135600,NYSE
GWR,03-Mar-2010,32.33,32.62,32.05,32.46,206600,NYSE
GWR,04-Mar-2010,32.51,32.72,32.43,32.58,98500,NYSE
GWR,05-Mar-2010,32.71,33.27,32.6,33.2,155300,NYSE
GWR,08-Mar-2010,33.12,33.4,33.01,33.03,78500,NYSE
GWR,09-Mar-2010,33.01,33.75,32.95,33.53,124800,NYSE
GWR,10-Mar-2010,33.43,33.99,33.26,33.69,83000,NYSE
GWR,11-Mar-2010,33.47,34.28,33.41,34.22,188000,NYSE
GWR,12-Mar-2010,34.25,34.29,33.75,33.92,140600,NYSE
GWR,15-Mar-2010,33.86,34.09,33.66,33.7,111200,NYSE
GWR,16-Mar-2010,33.83,34.39,33.48,34.35,159800,NYSE
GWR,17-Mar-2010,34.33,34.76,34.07,34.45,145300,NYSE
GWR,18-Mar-2010,34.27,34.75,34.17,34.59,171800,NYSE
GWR,19-Mar-2010,34.58,34.6,33.23,34.18,390900,NYSE
GWR,22-Mar-2010,34.01,34.51,33.77,34.35,110400,NYSE
GWR,23-Mar-2010,34.31,34.53,33.84,34.44,124300,NYSE
GWR,24-Mar-2010,34.24,34.45,33.76,33.95,169600,NYSE
GWR,25-Mar-2010,34.08,34.69,33.7,33.71,125500,NYSE
GWR,26-Mar-2010,33.73,34.08,33.56,33.85,181100,NYSE
GWR,29-Mar-2010,33.86,34.32,33.75,33.99,219300,NYSE
GWR,30-Mar-2010,34.12,34.58,33.93,34.49,100800,NYSE
GWR,31-Mar-2010,34.5,34.92,34.09,34.12,175900,NYSE
GWR,01-Apr-2010,34.25,34.61,33.92,34.24,183600,NYSE
GWR,05-Apr-2010,34.45,34.82,34.1,34.76,153000,NYSE
GWR,06-Apr-2010,34.66,34.93,34.55,34.83,144000,NYSE
GWR,07-Apr-2010,34.69,34.77,34.14,34.43,137600,NYSE
GWR,08-Apr-2010,34.22,34.88,34.05,34.81,110100,NYSE
GWR,09-Apr-2010,34.74,34.82,34.35,34.61,92100,NYSE
GWR,12-Apr-2010,34.57,34.65,34.17,34.61,172300,NYSE
GWR,13-Apr-2010,34.55,36.39,34.55,36.3,268000,NYSE
GWR,14-Apr-2010,36.56,37.22,36.41,37.22,176100,NYSE
GWR,15-Apr-2010,37.33,37.79,37.16,37.19,158500,NYSE
GWR,16-Apr-2010,37.05,37.53,36.46,37.12,261400,NYSE
GWR,19-Apr-2010,36.97,37.27,36.58,36.93,129900,NYSE
GWR,20-Apr-2010,37.15,37.7,36.94,37.14,164600,NYSE
GWR,21-Apr-2010,37.07,38.04,37.05,38.04,181000,NYSE
GWR,22-Apr-2010,37.59,38.63,37.33,38.6,150700,NYSE
GWR,23-Apr-2010,38.51,38.96,38.22,38.65,225500,NYSE
GWR,26-Apr-2010,38.63,38.74,38.06,38.23,218800,NYSE
GWR,27-Apr-2010,38.05,38.45,37.62,37.77,180700,NYSE
GWR,28-Apr-2010,37.91,38.26,37.51,37.7,175300,NYSE
GWR,29-Apr-2010,38.19,41.46,38.17,41.05,479000,NYSE
GWR,30-Apr-2010,40.25,40.96,39.09,39.1,417600,NYSE
GWR,03-May-2010,39.56,40.73,39.31,40.14,332800,NYSE
GWR,04-May-2010,39.44,39.53,38.62,38.97,260100,NYSE
GWR,05-May-2010,38.51,39.04,37.69,37.92,201100,NYSE
GWR,06-May-2010,37.57,38.1,34.46,36.3,295600,NYSE
GWR,07-May-2010,36.18,36.42,34.6,34.88,316800,NYSE
GWR,10-May-2010,36.13,37.71,36.13,37.62,328300,NYSE
GWR,11-May-2010,37.16,38.37,37.16,37.63,273200,NYSE
GWR,12-May-2010,37.84,39.59,37.74,39.5,268400,NYSE
GWR,13-May-2010,39.26,39.59,38.33,38.58,208200,NYSE
GWR,14-May-2010,38.24,38.39,37.26,37.69,131600,NYSE
GWR,17-May-2010,37.86,38.42,36.52,37.49,161500,NYSE
GWR,18-May-2010,38.0,38.1,36.07,36.33,247500,NYSE
GWR,19-May-2010,36.1,36.17,34.53,35.65,253800,NYSE
GWR,20-May-2010,34.62,34.78,33.59,33.81,421200,NYSE
GWR,21-May-2010,33.21,35.43,32.82,34.98,373100,NYSE
GWR,24-May-2010,34.91,35.18,34.01,34.05,218700,NYSE
GWR,25-May-2010,33.1,34.67,32.84,34.57,232600,NYSE
GWR,26-May-2010,34.74,35.73,34.46,34.76,184500,NYSE
GWR,27-May-2010,35.75,36.31,35.03,36.29,155300,NYSE
GWR,28-May-2010,36.26,36.71,35.39,35.99,147200,NYSE
GWR,01-Jun-2010,35.56,36.3,34.83,34.83,130800,NYSE
GWR,02-Jun-2010,34.96,35.92,34.73,35.92,195600,NYSE
GWR,03-Jun-2010,36.36,36.47,35.46,36.01,187000,NYSE
GWR,04-Jun-2010,35.16,35.29,33.8,33.95,310700,NYSE
GWR,07-Jun-2010,34.03,34.44,32.86,32.92,349600,NYSE
GWR,08-Jun-2010,32.93,33.47,32.0,32.73,264500,NYSE
GWR,09-Jun-2010,35.53,36.99,34.85,35.37,832800,NYSE
GWR,10-Jun-2010,35.96,37.83,35.96,37.82,475600,NYSE
GWR,11-Jun-2010,37.35,39.01,37.18,38.99,326300,NYSE
GWR,14-Jun-2010,39.35,39.52,38.26,38.36,246800,NYSE
GWR,15-Jun-2010,38.68,39.64,38.47,39.52,277800,NYSE
GWR,16-Jun-2010,39.49,41.62,39.49,40.35,518500,NYSE
GWR,17-Jun-2010,40.35,40.88,39.03,39.67,310200,NYSE
GWR,18-Jun-2010,39.94,40.16,39.27,39.89,222900,NYSE
GWR,21-Jun-2010,40.42,41.25,39.61,39.87,151200,NYSE
GWR,22-Jun-2010,40.0,40.45,38.12,38.13,185300,NYSE
GWR,23-Jun-2010,37.98,38.49,37.43,38.15,173700,NYSE
GWR,24-Jun-2010,37.76,38.3,37.4,37.5,135900,NYSE
GWR,25-Jun-2010,37.62,38.59,37.49,38.31,188600,NYSE
GWR,28-Jun-2010,38.19,39.15,37.96,38.74,213700,NYSE
GWR,29-Jun-2010,37.89,38.57,37.6,38.04,386500,NYSE
GWR,30-Jun-2010,38.06,38.56,37.21,37.31,289400,NYSE
GWR,01-Jul-2010,37.56,37.97,36.63,37.69,281600,NYSE
GWR,02-Jul-2010,38.04,38.04,36.43,36.88,237500,NYSE
GWR,06-Jul-2010,37.49,37.88,36.21,36.46,222000,NYSE
GWR,07-Jul-2010,36.61,37.43,36.33,37.24,362000,NYSE
GWR,08-Jul-2010,37.63,38.26,37.54,38.0,404700,NYSE
GWR,09-Jul-2010,38.0,38.5,37.78,38.31,162500,NYSE
GWR,12-Jul-2010,38.27,38.96,37.57,37.95,196900,NYSE
GWR,13-Jul-2010,38.47,38.89,38.07,38.51,218900,NYSE
GWR,14-Jul-2010,38.3,39.28,37.85,39.13,321500,NYSE
GWR,15-Jul-2010,39.29,39.65,38.67,39.41,226800,NYSE
GWR,16-Jul-2010,38.97,38.99,36.86,36.98,216900,NYSE
GWR,19-Jul-2010,37.23,37.33,36.21,37.14,212500,NYSE
GWR,20-Jul-2010,36.55,38.32,36.48,38.25,168100,NYSE
GWR,21-Jul-2010,38.65,38.79,36.74,36.83,199100,NYSE
GWR,22-Jul-2010,37.52,38.73,37.43,38.42,243700,NYSE
GWR,23-Jul-2010,38.13,39.25,38.0,38.79,256000,NYSE
GWR,26-Jul-2010,38.81,41.34,38.81,41.26,472300,NYSE
GWR,27-Jul-2010,41.73,42.25,40.14,40.35,164400,NYSE
GWR,28-Jul-2010,40.07,40.36,39.14,39.34,133300,NYSE
GWR,29-Jul-2010,39.6,40.28,38.91,39.35,134800,NYSE
GWR,30-Jul-2010,38.61,41.06,38.5,40.88,422600,NYSE
GWR,02-Aug-2010,41.5,41.53,40.39,40.8,317800,NYSE
GWR,03-Aug-2010,41.15,42.68,40.39,41.52,286700,NYSE
GWR,04-Aug-2010,41.9,42.03,41.01,41.97,151900,NYSE
GWR,05-Aug-2010,41.41,42.17,40.95,41.49,162600,NYSE
GWR,06-Aug-2010,40.94,41.51,39.85,40.8,270500,NYSE
GWR,09-Aug-2010,41.28,42.5,41.1,42.38,278800,NYSE
GWR,10-Aug-2010,41.95,42.14,41.24,41.75,230400,NYSE
GWR,11-Aug-2010,40.53,40.74,39.19,39.3,256800,NYSE
GWR,12-Aug-2010,38.66,39.38,37.82,38.95,308700,NYSE
GWR,13-Aug-2010,38.75,39.24,38.03,38.6,193800,NYSE
GWR,16-Aug-2010,38.27,38.92,38.1,38.44,138600,NYSE
GWR,17-Aug-2010,39.01,40.37,38.92,39.89,226300,NYSE
GWR,18-Aug-2010,39.94,40.76,39.22,40.22,174900,NYSE
GWR,19-Aug-2010,39.94,40.02,38.32,38.49,263500,NYSE
GWR,20-Aug-2010,38.12,38.33,37.38,38.13,198100,NYSE
GWR,23-Aug-2010,38.33,38.67,37.06,37.12,248100,NYSE
GWR,24-Aug-2010,36.52,37.56,35.71,37.23,269200,NYSE
GWR,25-Aug-2010,36.83,38.04,36.62,37.94,224100,NYSE
GWR,26-Aug-2010,37.79,38.78,37.73,38.11,158000,NYSE
