name,date,open_price,close_price,high_price,low_price,volume,market
HGT,04-Jan-2010,16.35,16.57,16.35,16.55,176400,NYSE
HGT,05-Jan-2010,16.63,16.93,16.43,16.91,215600,NYSE
HGT,06-Jan-2010,17.02,17.25,16.91,17.15,176200,NYSE
HGT,07-Jan-2010,17.16,17.31,16.96,17.27,160900,NYSE
HGT,08-Jan-2010,17.25,17.58,17.13,17.54,224800,NYSE
HGT,11-Jan-2010,17.74,17.83,17.41,17.63,172800,NYSE
HGT,12-Jan-2010,17.49,17.7,17.32,17.54,145300,NYSE
HGT,13-Jan-2010,17.5,17.75,17.16,17.58,227300,NYSE
HGT,14-Jan-2010,17.54,17.73,17.5,17.61,135600,NYSE
HGT,15-Jan-2010,17.67,17.67,17.29,17.32,107100,NYSE
HGT,19-Jan-2010,17.38,18.0,17.3,17.94,304600,NYSE
HGT,20-Jan-2010,17.74,17.98,17.64,17.92,168900,NYSE
HGT,21-Jan-2010,17.95,18.06,17.7,17.78,232600,NYSE
HGT,22-Jan-2010,17.83,18.01,17.46,17.55,233800,NYSE
HGT,25-Jan-2010,17.81,18.03,17.65,17.77,197200,NYSE
HGT,26-Jan-2010,17.86,17.98,17.75,17.81,194000,NYSE
HGT,27-Jan-2010,17.79,17.85,16.71,16.76,334800,NYSE
HGT,28-Jan-2010,16.82,17.0,16.41,16.75,160600,NYSE
HGT,29-Jan-2010,16.8,17.15,16.46,16.62,136000,NYSE
HGT,01-Feb-2010,16.75,17.09,16.72,17.02,91100,NYSE
HGT,02-Feb-2010,17.18,17.71,16.94,17.62,176100,NYSE
HGT,03-Feb-2010,17.66,17.93,17.46,17.59,163700,NYSE
HGT,04-Feb-2010,17.35,17.52,16.92,16.93,208700,NYSE
HGT,05-Feb-2010,16.89,16.98,16.14,16.7,348700,NYSE
HGT,08-Feb-2010,16.58,16.93,16.42,16.67,108100,NYSE
HGT,09-Feb-2010,16.91,16.99,16.5,16.6,169100,NYSE
HGT,10-Feb-2010,16.69,16.85,16.31,16.45,167800,NYSE
HGT,11-Feb-2010,16.55,17.0,16.41,16.88,152900,NYSE
HGT,12-Feb-2010,16.83,17.33,16.67,17.28,214000,NYSE
HGT,16-Feb-2010,17.5,17.93,17.4,17.91,299300,NYSE
HGT,17-Feb-2010,17.84,17.99,17.72,17.88,193200,NYSE
HGT,18-Feb-2010,17.8,17.99,17.7,17.96,166300,NYSE
HGT,19-Feb-2010,17.94,18.18,17.83,18.06,242000,NYSE
HGT,22-Feb-2010,18.19,18.19,17.7,17.92,223000,NYSE
HGT,23-Feb-2010,17.97,17.97,17.47,17.54,254900,NYSE
HGT,24-Feb-2010,17.54,17.79,17.29,17.59,168900,NYSE
HGT,25-Feb-2010,17.46,17.73,17.29,17.68,173700,NYSE
HGT,26-Feb-2010,17.78,17.85,17.55,17.81,127700,NYSE
HGT,01-Mar-2010,17.86,17.97,17.82,17.94,109300,NYSE
HGT,02-Mar-2010,17.95,18.22,17.94,18.03,167400,NYSE
HGT,03-Mar-2010,18.05,18.25,18.01,18.03,130000,NYSE
HGT,04-Mar-2010,18.0,18.26,17.85,17.9,98400,NYSE
HGT,05-Mar-2010,17.94,18.4,17.9,18.36,154700,NYSE
HGT,08-Mar-2010,18.35,18.5,18.15,18.21,216600,NYSE
HGT,09-Mar-2010,18.09,18.45,18.09,18.25,155100,NYSE
HGT,10-Mar-2010,18.43,18.45,18.17,18.35,166800,NYSE
HGT,11-Mar-2010,18.46,18.46,18.15,18.43,116600,NYSE
HGT,12-Mar-2010,18.59,18.65,18.23,18.49,127500,NYSE
HGT,15-Mar-2010,18.49,18.49,17.77,17.83,277900,NYSE
HGT,16-Mar-2010,17.86,18.0,17.51,17.9,260400,NYSE
HGT,17-Mar-2010,17.9,17.99,17.72,17.78,185200,NYSE
HGT,18-Mar-2010,17.82,17.82,16.78,17.0,553400,NYSE
HGT,19-Mar-2010,17.09,17.09,15.0,15.0,1476100,NYSE
HGT,22-Mar-2010,15.2,16.38,15.2,16.31,853000,NYSE
HGT,23-Mar-2010,16.46,16.94,16.46,16.86,391800,NYSE
HGT,24-Mar-2010,16.85,16.96,16.51,16.59,329600,NYSE
HGT,25-Mar-2010,16.68,16.87,16.16,16.19,535100,NYSE
HGT,26-Mar-2010,16.21,16.4,15.95,16.21,400600,NYSE
HGT,29-Mar-2010,16.17,16.66,16.17,16.32,335500,NYSE
HGT,30-Mar-2010,16.41,16.41,16.16,16.28,174500,NYSE
HGT,31-Mar-2010,16.38,16.68,16.26,16.54,237600,NYSE
HGT,01-Apr-2010,16.58,16.92,16.58,16.85,249700,NYSE
HGT,05-Apr-2010,17.03,17.6,17.01,17.3,367600,NYSE
HGT,06-Apr-2010,17.3,17.75,17.24,17.59,208900,NYSE
HGT,07-Apr-2010,17.59,17.81,17.48,17.54,318700,NYSE
HGT,08-Apr-2010,17.37,17.75,17.26,17.48,211400,NYSE
HGT,09-Apr-2010,17.65,17.75,17.48,17.74,202000,NYSE
HGT,12-Apr-2010,17.76,18.23,17.58,18.05,325900,NYSE
HGT,13-Apr-2010,18.08,18.08,17.71,17.95,227700,NYSE
HGT,14-Apr-2010,18.06,18.13,17.84,17.9,270600,NYSE
HGT,15-Apr-2010,18.1,18.1,17.66,17.73,283900,NYSE
HGT,16-Apr-2010,17.65,17.81,17.4,17.41,310100,NYSE
HGT,19-Apr-2010,17.26,17.64,17.25,17.56,315600,NYSE
HGT,20-Apr-2010,17.59,18.11,17.59,18.04,481700,NYSE
HGT,21-Apr-2010,18.09,18.31,18.09,18.21,346000,NYSE
HGT,22-Apr-2010,18.19,18.49,18.1,18.35,360800,NYSE
HGT,23-Apr-2010,18.32,18.74,18.32,18.6,285200,NYSE
HGT,26-Apr-2010,18.75,19.07,18.6,18.88,458500,NYSE
HGT,27-Apr-2010,18.93,19.12,18.7,18.78,471500,NYSE
HGT,28-Apr-2010,18.89,18.89,18.36,18.58,274500,NYSE
HGT,29-Apr-2010,18.7,19.16,18.56,18.88,488700,NYSE
HGT,30-Apr-2010,18.95,19.47,18.85,18.88,492800,NYSE
HGT,03-May-2010,19.15,19.9,18.96,19.77,672400,NYSE
HGT,04-May-2010,19.61,19.71,19.38,19.54,479100,NYSE
HGT,05-May-2010,19.14,19.52,18.82,19.1,388700,NYSE
HGT,06-May-2010,18.86,19.07,16.9,18.44,662300,NYSE
HGT,07-May-2010,18.61,18.8,17.48,17.95,395800,NYSE
HGT,10-May-2010,19.19,19.19,18.52,18.78,288300,NYSE
HGT,11-May-2010,18.77,19.46,18.77,19.12,226000,NYSE
HGT,12-May-2010,19.3,19.65,19.2,19.61,240500,NYSE
HGT,13-May-2010,19.4,20.01,19.4,19.71,283600,NYSE
HGT,14-May-2010,19.48,19.78,18.68,19.19,316900,NYSE
HGT,17-May-2010,19.21,19.35,18.3,18.79,242100,NYSE
HGT,18-May-2010,19.0,19.54,18.8,18.89,251100,NYSE
HGT,19-May-2010,18.76,18.82,18.16,18.56,426200,NYSE
HGT,20-May-2010,18.15,18.41,17.7,17.72,493500,NYSE
HGT,21-May-2010,17.37,18.25,17.16,18.18,362000,NYSE
HGT,24-May-2010,18.09,18.69,18.0,18.24,246500,NYSE
HGT,25-May-2010,17.76,17.92,17.5,17.88,270800,NYSE
HGT,26-May-2010,17.98,18.57,17.93,18.11,238700,NYSE
HGT,27-May-2010,18.6,18.9,18.4,18.89,234600,NYSE
HGT,28-May-2010,18.85,19.0,18.56,18.71,175600,NYSE
HGT,01-Jun-2010,18.72,19.25,18.38,18.63,223700,NYSE
HGT,02-Jun-2010,18.65,19.25,18.34,19.2,331400,NYSE
HGT,03-Jun-2010,19.18,19.49,19.04,19.49,310600,NYSE
HGT,04-Jun-2010,19.32,19.98,18.97,19.12,372300,NYSE
HGT,07-Jun-2010,19.25,19.71,19.04,19.06,255800,NYSE
HGT,08-Jun-2010,19.18,19.42,18.96,19.27,173600,NYSE
HGT,09-Jun-2010,19.6,20.34,19.6,20.03,585800,NYSE
HGT,10-Jun-2010,20.29,21.21,20.29,21.0,495400,NYSE
HGT,11-Jun-2010,21.06,21.88,21.0,21.82,441000,NYSE
HGT,14-Jun-2010,22.13,22.13,21.15,21.45,568600,NYSE
HGT,15-Jun-2010,21.38,21.7,21.0,21.59,438900,NYSE
HGT,16-Jun-2010,21.72,21.94,21.15,21.39,335200,NYSE
HGT,17-Jun-2010,21.6,21.63,21.0,21.18,376800,NYSE
HGT,18-Jun-2010,21.49,21.64,21.2,21.45,309700,NYSE
HGT,21-Jun-2010,21.59,21.8,21.3,21.44,451600,NYSE
HGT,22-Jun-2010,21.4,21.42,20.22,20.42,423200,NYSE
HGT,23-Jun-2010,20.66,20.66,19.8,20.14,344000,NYSE
HGT,24-Jun-2010,20.3,20.7,19.9,19.98,287900,NYSE
HGT,25-Jun-2010,19.98,20.75,19.93,20.59,169400,NYSE
HGT,28-Jun-2010,20.63,20.82,20.2,20.24,120500,NYSE
HGT,29-Jun-2010,19.9,19.9,19.04,19.17,365000,NYSE
HGT,30-Jun-2010,19.11,19.24,18.87,18.98,493700,NYSE
HGT,01-Jul-2010,18.84,19.27,18.47,18.91,443700,NYSE
HGT,02-Jul-2010,19.16,19.42,18.53,18.9,170700,NYSE
HGT,06-Jul-2010,19.04,19.5,18.74,18.89,197400,NYSE
HGT,07-Jul-2010,18.85,19.45,18.85,19.42,176200,NYSE
HGT,08-Jul-2010,19.6,19.77,19.31,19.7,155900,NYSE
HGT,09-Jul-2010,19.69,20.19,19.48,20.05,214500,NYSE
HGT,12-Jul-2010,19.95,20.21,19.7,19.8,172000,NYSE
HGT,13-Jul-2010,19.96,20.11,19.71,19.76,158600,NYSE
HGT,14-Jul-2010,19.68,19.86,19.3,19.7,119700,NYSE
HGT,15-Jul-2010,19.85,19.9,19.29,19.76,140500,NYSE
HGT,16-Jul-2010,19.75,19.75,19.35,19.4,105100,NYSE
HGT,19-Jul-2010,19.28,19.58,19.1,19.37,127700,NYSE
HGT,20-Jul-2010,19.2,19.9,19.01,19.75,140200,NYSE
HGT,21-Jul-2010,20.0,20.0,19.57,19.9,132100,NYSE
HGT,22-Jul-2010,20.0,20.52,19.89,20.31,339200,NYSE
HGT,23-Jul-2010,20.16,20.98,20.08,20.75,264500,NYSE
HGT,26-Jul-2010,20.7,21.0,20.49,20.98,190600,NYSE
HGT,27-Jul-2010,21.0,21.05,20.75,20.95,131800,NYSE
HGT,28-Jul-2010,20.81,21.25,20.48,20.83,157600,NYSE
HGT,29-Jul-2010,20.88,21.27,20.8,20.96,125400,NYSE
HGT,30-Jul-2010,20.73,21.1,20.66,20.95,71000,NYSE
HGT,02-Aug-2010,21.22,21.24,20.8,20.82,129400,NYSE
HGT,03-Aug-2010,20.79,21.06,20.54,20.82,101600,NYSE
HGT,04-Aug-2010,20.81,21.39,20.74,21.14,218100,NYSE
HGT,05-Aug-2010,20.98,21.29,20.72,20.92,151100,NYSE
HGT,06-Aug-2010,20.76,20.89,20.14,20.52,213900,NYSE
HGT,09-Aug-2010,20.55,20.59,20.14,20.27,212500,NYSE
HGT,10-Aug-2010,20.12,20.45,20.07,20.1,110200,NYSE
HGT,11-Aug-2010,20.04,20.04,19.49,19.58,175200,NYSE
HGT,12-Aug-2010,19.45,19.66,19.25,19.55,119500,NYSE
HGT,13-Aug-2010,19.52,20.56,19.52,20.5,130000,NYSE
HGT,16-Aug-2010,20.3,20.4,20.0,20.21,137500,NYSE
HGT,17-Aug-2010,20.45,20.45,20.25,20.41,122600,NYSE
HGT,18-Aug-2010,20.44,20.44,20.26,20.33,74800,NYSE
HGT,19-Aug-2010,20.38,20.46,20.16,20.18,124600,NYSE
HGT,20-Aug-2010,20.22,20.27,19.77,19.97,129400,NYSE
HGT,23-Aug-2010,20.14,20.25,19.89,19.92,124400,NYSE
HGT,24-Aug-2010,19.74,19.75,19.1,19.14,240400,NYSE
HGT,25-Aug-2010,19.1,19.23,18.36,18.91,370500,NYSE
HGT,26-Aug-2010,19.02,19.13,18.55,18.64,181800,NYSE
HGT,27-Aug-2010,18.69,18.99,18.27,18.89,236800,NYSE
HGT,30-Aug-2010,18.85,18.85,18.5,18.57,121200,NYSE
HGT,31-Aug-2010,18.84,18.84,18.01,18.14,236300,NYSE
HGT,01-Sep-2010,18.35,18.84,18.19,18.43,360800,NYSE
HGT,02-Sep-2010,18.36,18.5,18.21,18.34,144300,NYSE
HGT,03-Sep-2010,18.45,18.69,18.21,18.65,159900,NYSE
HGT,07-Sep-2010,18.51,18.95,18.3,18.67,173600,NYSE
HGT,08-Sep-2010,18.81,18.91,18.52,18.57,133700,NYSE
HGT,09-Sep-2010,18.74,18.78,18.52,18.58,116900,NYSE
HGT,10-Sep-2010,18.59,18.88,18.56,18.66,132500,NYSE
HGT,13-Sep-2010,18.84,19.05,18.78,18.88,145400,NYSE
HGT,14-Sep-2010,18.78,19.1,18.61,19.0,115800,NYSE
HGT,15-Sep-2010,19.1,19.26,18.85,19.05,193000,NYSE
HGT,16-Sep-2010,19.15,19.38,19.09,19.19,90900,NYSE
HGT,17-Sep-2010,19.37,19.53,19.0,19.44,197600,NYSE
HGT,20-Sep-2010,19.46,19.75,19.26,19.49,197700,NYSE
HGT,21-Sep-2010,19.46,19.49,19.29,19.32,138200,NYSE
HGT,22-Sep-2010,19.36,19.48,19.26,19.37,189000,NYSE
HGT,23-Sep-2010,19.27,19.48,19.21,19.22,207800,NYSE
HGT,24-Sep-2010,19.36,19.49,19.21,19.25,161800,NYSE
HGT,27-Sep-2010,19.4,19.92,19.36,19.59,411600,NYSE
HGT,28-Sep-2010,19.59,19.76,19.39,19.61,245400,NYSE
HGT,29-Sep-2010,19.56,20.39,19.56,20.09,316800,NYSE
HGT,30-Sep-2010,20.34,20.35,19.65,19.99,175600,NYSE
HGT,01-Oct-2010,20.15,20.15,19.9,19.97,90900,NYSE
HGT,04-Oct-2010,19.89,20.0,19.71,19.9,155300,NYSE
HGT,05-Oct-2010,20.05,20.2,19.83,20.08,130200,NYSE
HGT,06-Oct-2010,20.15,20.32,20.08,20.15,155900,NYSE
HGT,07-Oct-2010,20.26,20.39,20.06,20.2,122400,NYSE
HGT,08-Oct-2010,20.1,20.3,20.01,20.14,209600,NYSE
HGT,11-Oct-2010,20.17,20.34,20.07,20.31,149600,NYSE
HGT,12-Oct-2010,20.35,20.5,20.11,20.4,127000,NYSE
HGT,13-Oct-2010,20.51,21.0,20.51,20.76,263300,NYSE
