name,date,open_price,close_price,high_price,low_price,volume,market
HI,04-Jan-2010,19.13,19.13,18.9,19.0,185200,NYSE
HI,05-Jan-2010,18.96,19.13,18.91,19.06,253600,NYSE
HI,06-Jan-2010,19.03,19.15,19.0,19.14,190900,NYSE
HI,07-Jan-2010,19.13,19.21,19.04,19.17,194500,NYSE
HI,08-Jan-2010,19.05,19.5,19.05,19.48,163000,NYSE
HI,11-Jan-2010,19.66,19.7,18.68,18.72,1453500,NYSE
HI,12-Jan-2010,18.75,18.77,18.55,18.61,314500,NYSE
HI,13-Jan-2010,18.58,18.85,18.58,18.67,294800,NYSE
HI,14-Jan-2010,18.65,18.68,18.42,18.47,511500,NYSE
HI,15-Jan-2010,18.5,18.5,18.18,18.25,606700,NYSE
HI,19-Jan-2010,18.31,18.37,18.21,18.32,378600,NYSE
HI,20-Jan-2010,18.35,18.39,17.95,18.05,474300,NYSE
HI,21-Jan-2010,18.15,18.16,17.85,17.91,374300,NYSE
HI,22-Jan-2010,18.0,18.05,17.9,17.91,295600,NYSE
HI,25-Jan-2010,17.95,18.16,17.86,17.89,392000,NYSE
HI,26-Jan-2010,17.89,17.95,17.81,17.85,196100,NYSE
HI,27-Jan-2010,17.85,18.18,17.8,18.12,313000,NYSE
HI,28-Jan-2010,18.24,18.47,18.13,18.35,394500,NYSE
HI,29-Jan-2010,18.58,18.63,18.34,18.35,296600,NYSE
HI,01-Feb-2010,18.5,18.5,18.13,18.3,218500,NYSE
HI,02-Feb-2010,18.25,18.46,18.1,18.42,202300,NYSE
HI,03-Feb-2010,18.29,18.66,18.17,18.56,343900,NYSE
HI,04-Feb-2010,18.63,18.97,18.32,18.54,304200,NYSE
HI,05-Feb-2010,18.63,18.77,18.26,18.5,299800,NYSE
HI,08-Feb-2010,18.42,18.79,18.42,18.6,169900,NYSE
HI,09-Feb-2010,18.73,18.93,18.59,18.77,224800,NYSE
HI,10-Feb-2010,18.8,18.94,18.73,18.94,204000,NYSE
HI,11-Feb-2010,18.92,19.09,18.76,19.09,166500,NYSE
HI,12-Feb-2010,19.0,19.5,18.77,19.5,378500,NYSE
HI,16-Feb-2010,19.46,19.6,19.15,19.25,222700,NYSE
HI,17-Feb-2010,19.16,19.43,19.05,19.39,234900,NYSE
HI,18-Feb-2010,19.32,19.5,19.29,19.43,189600,NYSE
HI,19-Feb-2010,19.5,19.88,19.36,19.77,231800,NYSE
HI,22-Feb-2010,19.91,20.16,19.79,20.05,165200,NYSE
HI,23-Feb-2010,20.09,20.09,19.92,20.0,126400,NYSE
HI,24-Feb-2010,20.01,20.35,19.85,20.05,350200,NYSE
HI,25-Feb-2010,20.0,20.19,19.43,20.19,158100,NYSE
HI,26-Feb-2010,20.09,20.24,19.99,20.05,250900,NYSE
HI,01-Mar-2010,20.03,20.55,20.03,20.47,291200,NYSE
HI,02-Mar-2010,20.53,20.98,20.42,20.91,377700,NYSE
HI,03-Mar-2010,20.9,21.25,20.8,21.07,252300,NYSE
HI,04-Mar-2010,21.1,21.14,21.01,21.06,170300,NYSE
HI,05-Mar-2010,21.11,21.22,21.06,21.19,89400,NYSE
HI,08-Mar-2010,21.31,21.31,21.03,21.25,134200,NYSE
HI,09-Mar-2010,21.18,21.32,21.13,21.23,178900,NYSE
HI,10-Mar-2010,21.13,21.32,21.11,21.28,168400,NYSE
HI,11-Mar-2010,21.18,21.42,21.18,21.42,78100,NYSE
HI,12-Mar-2010,21.49,21.73,21.33,21.72,157100,NYSE
HI,15-Mar-2010,21.48,21.78,21.41,21.72,199500,NYSE
HI,16-Mar-2010,21.71,22.15,21.65,22.08,209700,NYSE
HI,17-Mar-2010,22.13,22.18,21.93,22.05,169100,NYSE
HI,18-Mar-2010,22.12,22.14,21.85,22.03,188400,NYSE
HI,19-Mar-2010,22.01,22.16,21.98,22.09,196000,NYSE
HI,22-Mar-2010,21.91,22.25,21.91,22.09,127600,NYSE
HI,23-Mar-2010,22.13,22.3,22.0,22.27,193900,NYSE
HI,24-Mar-2010,22.27,22.48,22.19,22.27,161900,NYSE
HI,25-Mar-2010,22.29,22.29,22.0,22.1,186200,NYSE
HI,26-Mar-2010,22.04,22.1,21.99,22.02,250600,NYSE
HI,29-Mar-2010,22.0,22.14,21.75,22.06,140700,NYSE
HI,30-Mar-2010,22.0,22.17,22.0,22.11,104000,NYSE
HI,31-Mar-2010,22.16,22.25,21.99,21.99,138100,NYSE
HI,01-Apr-2010,22.07,22.7,22.07,22.48,236300,NYSE
HI,05-Apr-2010,22.56,22.65,22.39,22.47,178100,NYSE
HI,06-Apr-2010,22.37,22.75,22.3,22.64,271600,NYSE
HI,07-Apr-2010,22.68,24.11,22.68,24.07,499100,NYSE
HI,08-Apr-2010,23.97,23.99,23.53,23.73,266700,NYSE
HI,09-Apr-2010,23.58,23.76,23.4,23.69,173400,NYSE
HI,12-Apr-2010,23.78,23.81,23.58,23.81,114100,NYSE
HI,13-Apr-2010,23.86,24.27,23.76,24.02,274700,NYSE
HI,14-Apr-2010,24.21,24.27,23.9,24.15,187600,NYSE
HI,15-Apr-2010,24.22,24.68,23.96,23.98,239400,NYSE
HI,16-Apr-2010,23.82,24.26,23.8,24.04,170000,NYSE
