name,date,open_price,close_price,high_price,low_price,volume,market
HON,04-Jan-2010,39.61,40.38,39.48,40.35,7389100,NYSE
HON,05-Jan-2010,40.16,40.46,40.09,40.43,6479100,NYSE
HON,06-Jan-2010,40.44,40.54,40.23,40.43,5919700,NYSE
HON,07-Jan-2010,40.44,41.36,40.08,41.21,9787700,NYSE
HON,08-Jan-2010,40.92,42.2,40.79,42.12,6824800,NYSE
HON,11-Jan-2010,42.31,43.13,42.3,42.65,5116400,NYSE
HON,12-Jan-2010,42.4,42.51,41.86,42.17,4509700,NYSE
HON,13-Jan-2010,42.16,42.5,41.84,42.32,4097800,NYSE
HON,14-Jan-2010,42.24,42.73,42.12,42.57,3430500,NYSE
HON,15-Jan-2010,42.54,42.81,42.21,42.63,5729200,NYSE
HON,19-Jan-2010,42.72,43.21,42.48,42.85,5220300,NYSE
HON,20-Jan-2010,42.57,42.67,41.9,42.36,4616800,NYSE
HON,21-Jan-2010,42.36,42.51,40.68,40.73,7419700,NYSE
HON,22-Jan-2010,40.57,41.08,39.85,39.88,6924000,NYSE
HON,25-Jan-2010,40.29,40.67,40.08,40.22,3079300,NYSE
HON,26-Jan-2010,40.05,40.46,39.71,39.97,2775600,NYSE
HON,27-Jan-2010,40.15,40.38,39.44,40.26,5901000,NYSE
HON,28-Jan-2010,40.53,40.59,39.26,39.82,5906200,NYSE
HON,29-Jan-2010,38.5,39.17,37.58,38.64,15229000,NYSE
HON,01-Feb-2010,38.92,39.42,38.86,39.37,5141500,NYSE
HON,02-Feb-2010,39.43,39.6,39.06,39.52,7046500,NYSE
HON,03-Feb-2010,39.36,39.54,38.93,39.21,4363000,NYSE
HON,04-Feb-2010,39.16,39.16,37.68,37.73,9669100,NYSE
HON,05-Feb-2010,37.73,37.91,36.68,37.47,8519600,NYSE
HON,08-Feb-2010,37.54,37.54,36.8,36.87,6238000,NYSE
HON,09-Feb-2010,37.37,38.24,37.25,37.82,6870800,NYSE
HON,10-Feb-2010,37.72,38.0,37.37,37.72,3997900,NYSE
HON,11-Feb-2010,37.61,38.35,37.29,38.23,4424300,NYSE
HON,12-Feb-2010,37.8,38.0,37.33,37.86,5702400,NYSE
HON,16-Feb-2010,38.13,38.97,38.08,38.92,5972000,NYSE
HON,17-Feb-2010,38.91,39.22,38.74,39.09,4718000,NYSE
HON,18-Feb-2010,39.07,39.95,38.98,39.85,5311400,NYSE
HON,19-Feb-2010,39.78,40.47,39.54,40.22,5813000,NYSE
HON,22-Feb-2010,40.42,40.5,40.0,40.15,4068700,NYSE
HON,23-Feb-2010,40.15,40.47,39.79,39.93,5202100,NYSE
HON,24-Feb-2010,40.11,40.85,40.05,40.58,4823000,NYSE
HON,25-Feb-2010,40.0,40.23,39.49,40.19,5644300,NYSE
HON,26-Feb-2010,40.18,40.43,39.91,40.16,4462200,NYSE
HON,01-Mar-2010,40.25,40.84,40.25,40.57,4546300,NYSE
HON,02-Mar-2010,40.71,40.99,40.53,40.68,4049300,NYSE
HON,03-Mar-2010,40.7,41.18,40.7,40.92,5546000,NYSE
HON,04-Mar-2010,40.97,41.22,40.75,41.18,3699200,NYSE
HON,05-Mar-2010,41.34,41.92,41.23,41.91,5500800,NYSE
HON,08-Mar-2010,41.9,41.99,41.45,41.49,3514700,NYSE
HON,09-Mar-2010,41.48,42.5,41.41,42.27,5541100,NYSE
HON,10-Mar-2010,42.17,42.5,42.1,42.34,4797200,NYSE
HON,11-Mar-2010,42.23,42.62,41.96,42.62,3529600,NYSE
HON,12-Mar-2010,42.8,43.13,42.46,42.93,5554500,NYSE
HON,15-Mar-2010,42.91,43.03,42.6,42.97,4904400,NYSE
HON,16-Mar-2010,43.14,43.18,42.65,43.03,6399600,NYSE
HON,17-Mar-2010,43.22,43.37,42.64,42.91,5122400,NYSE
HON,18-Mar-2010,42.92,43.53,42.79,43.43,4962300,NYSE
HON,19-Mar-2010,43.99,44.29,43.6,43.82,9693000,NYSE
HON,22-Mar-2010,43.54,43.99,43.41,43.56,4772400,NYSE
HON,23-Mar-2010,43.67,44.33,43.59,44.19,5539000,NYSE
HON,24-Mar-2010,44.23,45.05,44.05,44.48,7845700,NYSE
HON,25-Mar-2010,44.75,45.28,44.3,44.34,6026100,NYSE
HON,26-Mar-2010,44.43,44.99,44.35,44.6,4455500,NYSE
HON,29-Mar-2010,44.91,45.13,44.75,44.87,4319700,NYSE
HON,30-Mar-2010,45.01,45.28,44.55,44.95,4885100,NYSE
HON,31-Mar-2010,45.63,45.78,45.1,45.27,8920300,NYSE
HON,01-Apr-2010,45.51,45.85,44.72,45.03,6706300,NYSE
HON,05-Apr-2010,45.28,45.64,45.08,45.45,4204300,NYSE
HON,06-Apr-2010,45.45,45.75,45.35,45.46,3965700,NYSE
HON,07-Apr-2010,45.5,45.76,45.08,45.25,4993600,NYSE
HON,08-Apr-2010,45.21,45.61,45.01,45.49,4207500,NYSE
HON,09-Apr-2010,45.67,45.98,45.37,45.77,3769300,NYSE
HON,12-Apr-2010,45.86,46.17,45.79,45.99,3235700,NYSE
HON,13-Apr-2010,45.97,46.07,45.52,45.66,3729200,NYSE
HON,14-Apr-2010,45.8,46.37,45.77,46.33,4576600,NYSE
HON,15-Apr-2010,46.3,46.53,46.1,46.47,3341600,NYSE
HON,16-Apr-2010,46.44,46.51,45.32,45.82,7864500,NYSE
HON,19-Apr-2010,45.45,45.86,45.18,45.75,4869900,NYSE
HON,20-Apr-2010,46.06,46.43,45.72,46.38,4647200,NYSE
HON,21-Apr-2010,46.49,46.73,46.14,46.69,4515400,NYSE
HON,22-Apr-2010,46.32,47.46,45.87,47.44,7163500,NYSE
