name,date,open_price,close_price,high_price,low_price,volume,market
INN,09-Feb-2011,9.9,9.97,9.61,9.69,16636900,NYSE
INN,10-Feb-2011,9.45,9.9,9.26,9.85,1611800,NYSE
INN,11-Feb-2011,9.88,9.88,9.6,9.8,621900,NYSE
INN,14-Feb-2011,10.3,10.4,9.83,9.83,352600,NYSE
INN,15-Feb-2011,9.81,9.94,9.61,9.8,145500,NYSE
INN,16-Feb-2011,9.94,9.99,9.75,9.78,153200,NYSE
INN,17-Feb-2011,9.66,9.82,9.59,9.7,163900,NYSE
INN,18-Feb-2011,9.7,9.82,9.62,9.67,456200,NYSE
INN,22-Feb-2011,9.74,9.77,9.6,9.62,154900,NYSE
INN,23-Feb-2011,9.64,9.68,9.55,9.56,180800,NYSE
INN,24-Feb-2011,9.61,9.74,9.37,9.58,84100,NYSE
INN,25-Feb-2011,9.55,9.86,9.5,9.8,235800,NYSE
INN,28-Feb-2011,9.75,9.87,9.6,9.75,183000,NYSE
INN,01-Mar-2011,9.75,9.85,9.68,9.85,190900,NYSE
INN,02-Mar-2011,9.77,9.9,9.68,9.85,66900,NYSE
INN,03-Mar-2011,9.86,9.9,9.73,9.8,63400,NYSE
INN,04-Mar-2011,9.76,9.89,9.76,9.87,72200,NYSE
INN,07-Mar-2011,9.87,9.88,9.65,9.86,202700,NYSE
INN,08-Mar-2011,9.87,9.9,9.8,9.9,126900,NYSE
INN,09-Mar-2011,9.9,9.9,9.7,9.9,65100,NYSE
INN,10-Mar-2011,9.77,9.87,9.62,9.72,107100,NYSE
INN,11-Mar-2011,9.64,9.83,9.64,9.77,76200,NYSE
INN,14-Mar-2011,9.74,9.85,9.68,9.73,63700,NYSE
INN,15-Mar-2011,9.76,9.9,9.56,9.82,131900,NYSE
INN,16-Mar-2011,9.88,9.9,9.76,9.85,313826,NYSE
INN,17-Mar-2011,9.85,9.93,9.7,9.86,161300,NYSE
INN,18-Mar-2011,9.9,9.96,9.8,9.86,281700,NYSE
INN,21-Mar-2011,9.99,10.2,9.72,9.96,253700,NYSE
INN,22-Mar-2011,10.05,10.11,9.88,10.08,192400,NYSE
INN,23-Mar-2011,10.1,10.1,9.81,9.98,125500,NYSE
INN,24-Mar-2011,10.04,10.04,9.82,9.95,133400,NYSE
INN,25-Mar-2011,10.0,10.05,9.88,9.99,96100,NYSE
INN,28-Mar-2011,9.99,10.0,9.82,9.87,162900,NYSE
INN,29-Mar-2011,9.86,9.96,9.81,9.86,229800,NYSE
INN,30-Mar-2011,9.86,9.91,9.56,9.87,165500,NYSE
INN,31-Mar-2011,9.85,9.97,9.69,9.94,2359000,NYSE
INN,01-Apr-2011,9.94,10.04,9.9,10.0,216300,NYSE
INN,04-Apr-2011,9.96,10.05,9.95,10.01,290200,NYSE
INN,05-Apr-2011,9.96,10.1,9.96,10.1,243500,NYSE
INN,06-Apr-2011,10.05,10.75,9.99,10.4,298500,NYSE
INN,07-Apr-2011,10.45,10.45,10.16,10.36,90100,NYSE
INN,08-Apr-2011,10.42,10.54,10.25,10.32,100700,NYSE
INN,11-Apr-2011,10.49,10.65,10.12,10.22,244100,NYSE
INN,12-Apr-2011,10.2,10.41,10.17,10.25,316900,NYSE
INN,13-Apr-2011,10.26,10.38,9.95,9.99,324700,NYSE
INN,14-Apr-2011,9.9,10.39,9.9,10.23,142100,NYSE
INN,15-Apr-2011,10.26,10.42,10.06,10.3,212000,NYSE
INN,18-Apr-2011,10.21,10.34,10.16,10.27,52300,NYSE
INN,19-Apr-2011,10.32,10.4,10.22,10.25,48200,NYSE
INN,20-Apr-2011,10.36,10.4,10.22,10.23,56500,NYSE
INN,21-Apr-2011,10.24,10.4,10.22,10.25,69400,NYSE
INN,25-Apr-2011,10.29,10.46,10.25,10.38,29500,NYSE
INN,26-Apr-2011,10.36,10.63,10.08,10.62,196800,NYSE
INN,27-Apr-2011,10.58,10.63,10.51,10.62,17200,NYSE
INN,28-Apr-2011,10.63,10.94,10.6,10.94,62900,NYSE
INN,29-Apr-2011,10.98,11.34,10.93,11.33,87200,NYSE
INN,02-May-2011,11.26,11.33,11.08,11.2,76500,NYSE
INN,03-May-2011,11.25,11.25,10.98,11.0,120900,NYSE
INN,04-May-2011,11.0,11.14,10.9,11.01,84200,NYSE
INN,05-May-2011,10.95,11.23,10.85,11.01,80900,NYSE
INN,06-May-2011,11.01,11.31,11.01,11.21,104300,NYSE
INN,09-May-2011,11.17,11.3,10.88,10.91,103800,NYSE
INN,10-May-2011,11.03,11.27,10.98,11.21,56300,NYSE
INN,11-May-2011,11.16,11.19,10.97,11.06,53500,NYSE
INN,12-May-2011,11.05,11.29,10.84,11.28,101800,NYSE
INN,13-May-2011,11.25,11.25,10.62,10.65,253400,NYSE
INN,16-May-2011,10.65,10.83,10.56,10.56,92200,NYSE
INN,17-May-2011,10.54,10.72,10.54,10.61,62300,NYSE
INN,18-May-2011,10.6,11.03,10.6,10.97,109900,NYSE
INN,19-May-2011,10.97,11.08,10.83,11.03,64900,NYSE
INN,20-May-2011,11.0,11.02,10.94,11.0,107600,NYSE
INN,23-May-2011,10.91,10.95,10.75,10.81,76500,NYSE
INN,24-May-2011,10.79,10.96,10.75,10.87,78600,NYSE
INN,25-May-2011,10.88,11.05,10.88,11.01,25500,NYSE
INN,26-May-2011,10.99,11.34,10.87,11.33,64800,NYSE
INN,27-May-2011,11.34,11.63,11.25,11.32,47900,NYSE
