name,date,open_price,close_price,high_price,low_price,volume,market
IP,04-Jan-2010,27.2,27.45,27.04,27.18,3979100,NYSE
IP,05-Jan-2010,27.17,28.45,27.01,28.14,5177000,NYSE
IP,06-Jan-2010,27.8,28.61,27.63,27.82,5783800,NYSE
IP,07-Jan-2010,27.67,27.7,26.67,26.76,6977000,NYSE
IP,08-Jan-2010,26.76,27.03,26.23,26.93,4530900,NYSE
IP,11-Jan-2010,27.24,27.24,26.36,26.61,4401300,NYSE
IP,12-Jan-2010,26.28,27.52,26.28,26.68,8009800,NYSE
IP,13-Jan-2010,26.75,27.02,26.38,26.62,3667300,NYSE
IP,14-Jan-2010,26.58,26.6,26.09,26.23,3255900,NYSE
IP,15-Jan-2010,26.19,26.56,25.7,26.08,4845200,NYSE
IP,19-Jan-2010,26.12,26.99,25.92,26.96,4563100,NYSE
IP,20-Jan-2010,26.62,26.79,25.95,26.28,3559300,NYSE
IP,21-Jan-2010,26.39,26.48,24.44,24.45,7530300,NYSE
IP,22-Jan-2010,24.54,25.02,23.8,24.43,8590800,NYSE
IP,25-Jan-2010,25.08,25.42,24.45,24.5,4890400,NYSE
IP,26-Jan-2010,24.24,24.9,24.2,24.47,4368300,NYSE
IP,27-Jan-2010,24.34,24.35,23.13,23.88,7613200,NYSE
IP,28-Jan-2010,24.03,24.03,22.63,23.07,6749900,NYSE
IP,29-Jan-2010,23.27,23.53,22.82,22.91,4221600,NYSE
IP,01-Feb-2010,23.24,23.93,23.0,23.9,5553800,NYSE
IP,02-Feb-2010,23.94,24.32,23.65,24.02,6413000,NYSE
IP,03-Feb-2010,22.69,23.24,22.12,22.67,15262300,NYSE
IP,04-Feb-2010,22.77,22.77,21.85,22.15,9766700,NYSE
IP,05-Feb-2010,22.15,22.73,21.66,22.67,11822400,NYSE
IP,08-Feb-2010,22.6,23.05,22.13,22.51,7465900,NYSE
IP,09-Feb-2010,22.86,23.3,22.5,22.92,6754400,NYSE
IP,10-Feb-2010,22.91,23.01,22.05,22.41,5966800,NYSE
IP,11-Feb-2010,22.28,22.66,22.17,22.37,6867000,NYSE
IP,12-Feb-2010,22.19,22.6,21.68,22.57,6650300,NYSE
IP,16-Feb-2010,22.77,24.15,22.77,24.1,10236200,NYSE
IP,17-Feb-2010,24.05,24.47,23.55,23.71,5980700,NYSE
IP,18-Feb-2010,23.56,24.45,23.51,24.23,4738200,NYSE
IP,19-Feb-2010,24.03,24.59,23.85,24.25,4558700,NYSE
IP,22-Feb-2010,24.26,24.44,23.32,23.99,5380900,NYSE
IP,23-Feb-2010,24.02,24.88,23.87,24.01,7005900,NYSE
IP,24-Feb-2010,24.01,24.31,23.77,23.9,3995400,NYSE
IP,25-Feb-2010,23.69,24.03,23.29,23.89,5215700,NYSE
IP,26-Feb-2010,23.89,23.97,23.12,23.17,6694400,NYSE
IP,01-Mar-2010,23.4,24.21,23.3,24.18,5952500,NYSE
IP,02-Mar-2010,24.38,25.16,23.51,25.03,8625200,NYSE
IP,03-Mar-2010,25.11,25.6,24.91,25.2,6232200,NYSE
IP,04-Mar-2010,25.33,25.5,24.58,24.98,4402200,NYSE
IP,05-Mar-2010,25.19,25.52,25.07,25.35,6017600,NYSE
IP,08-Mar-2010,25.35,25.42,24.96,25.25,4413100,NYSE
IP,09-Mar-2010,25.15,25.44,24.92,25.09,5830100,NYSE
IP,10-Mar-2010,25.07,25.51,24.88,25.11,4836900,NYSE
IP,11-Mar-2010,25.0,25.22,24.79,25.2,5900900,NYSE
IP,12-Mar-2010,25.45,25.71,25.25,25.34,6144900,NYSE
IP,15-Mar-2010,25.22,25.29,24.74,24.91,4808700,NYSE
IP,16-Mar-2010,25.11,25.5,25.03,25.38,7948600,NYSE
IP,17-Mar-2010,25.48,27.29,25.48,27.02,15638100,NYSE
IP,18-Mar-2010,26.86,26.99,26.14,26.42,6987500,NYSE
IP,19-Mar-2010,26.7,26.73,25.74,25.82,6889300,NYSE
IP,22-Mar-2010,25.81,26.16,25.55,26.05,8061500,NYSE
IP,23-Mar-2010,26.05,26.2,25.8,26.16,8900300,NYSE
IP,24-Mar-2010,26.1,26.47,25.82,26.21,9167500,NYSE
IP,25-Mar-2010,26.5,26.58,25.21,25.21,7859200,NYSE
IP,26-Mar-2010,25.38,25.62,24.95,24.99,9100500,NYSE
IP,29-Mar-2010,25.24,25.48,25.06,25.15,6509000,NYSE
IP,30-Mar-2010,25.24,25.52,24.9,25.26,4211200,NYSE
IP,31-Mar-2010,25.11,25.12,24.53,24.61,5603000,NYSE
IP,01-Apr-2010,24.83,25.29,24.83,25.24,6252800,NYSE
IP,05-Apr-2010,25.37,25.57,25.2,25.5,5888700,NYSE
IP,06-Apr-2010,25.32,25.93,25.2,25.91,7871600,NYSE
IP,07-Apr-2010,26.05,27.33,26.05,27.01,14237400,NYSE
IP,08-Apr-2010,26.8,27.49,26.48,27.42,7859400,NYSE
IP,09-Apr-2010,27.42,27.7,27.04,27.47,5240700,NYSE
IP,12-Apr-2010,27.62,27.62,26.94,27.14,6067100,NYSE
IP,13-Apr-2010,27.07,27.31,26.86,27.23,5852100,NYSE
IP,14-Apr-2010,27.43,28.15,27.43,28.1,5391500,NYSE
IP,15-Apr-2010,27.93,28.47,27.82,28.1,5679100,NYSE
IP,16-Apr-2010,27.94,28.58,27.45,27.85,8331100,NYSE
IP,19-Apr-2010,27.65,27.83,26.91,27.44,5860900,NYSE
IP,20-Apr-2010,27.71,28.06,27.23,27.42,7414300,NYSE
IP,21-Apr-2010,27.47,28.43,27.47,28.17,7680800,NYSE
IP,22-Apr-2010,27.84,28.42,27.57,28.37,4167400,NYSE
IP,23-Apr-2010,28.41,28.8,28.16,28.63,4585000,NYSE
IP,26-Apr-2010,28.67,29.25,28.12,28.41,5895000,NYSE
IP,27-Apr-2010,28.31,28.31,26.91,27.05,6458900,NYSE
IP,28-Apr-2010,27.17,27.66,26.86,27.18,5965600,NYSE
IP,29-Apr-2010,27.99,29.14,27.78,28.0,8545200,NYSE
IP,30-Apr-2010,28.27,28.45,26.73,26.74,7447400,NYSE
IP,03-May-2010,26.95,27.13,25.99,26.64,9033100,NYSE
IP,04-May-2010,26.19,26.19,24.81,25.01,11181000,NYSE
IP,05-May-2010,24.6,25.45,24.3,24.76,7925900,NYSE
IP,06-May-2010,24.55,25.16,20.5,23.34,15296800,NYSE
IP,07-May-2010,23.1,23.8,21.53,23.16,15103700,NYSE
IP,10-May-2010,25.01,25.45,24.22,24.79,8014400,NYSE
IP,11-May-2010,24.49,24.88,24.11,24.29,5764300,NYSE
IP,12-May-2010,24.47,24.96,24.33,24.93,6070800,NYSE
IP,13-May-2010,24.72,24.92,24.22,24.31,5679800,NYSE
IP,14-May-2010,23.96,24.04,23.46,23.78,8891000,NYSE
IP,17-May-2010,23.92,24.37,23.03,23.6,9227200,NYSE
IP,18-May-2010,23.97,24.33,22.87,22.93,6303200,NYSE
IP,19-May-2010,22.66,22.84,21.72,22.52,10137300,NYSE
IP,20-May-2010,21.68,22.3,21.23,21.76,13972900,NYSE
IP,21-May-2010,21.18,22.72,21.09,22.28,10002600,NYSE
IP,24-May-2010,22.13,22.53,21.74,21.75,6264300,NYSE
IP,25-May-2010,20.94,22.26,20.77,22.23,9357700,NYSE
IP,26-May-2010,22.58,23.25,22.06,22.34,7416100,NYSE
IP,27-May-2010,23.04,23.77,22.74,23.76,7515400,NYSE
IP,28-May-2010,23.7,23.83,23.0,23.23,5955300,NYSE
IP,01-Jun-2010,22.82,23.35,22.23,22.24,5560300,NYSE
IP,02-Jun-2010,22.34,22.99,22.25,22.97,5731000,NYSE
IP,03-Jun-2010,23.09,23.68,22.84,23.39,7189400,NYSE
IP,04-Jun-2010,22.74,23.12,21.86,21.93,7961000,NYSE
IP,07-Jun-2010,22.01,22.06,21.05,21.08,10441200,NYSE
IP,08-Jun-2010,21.17,21.72,21.04,21.64,8778500,NYSE
IP,09-Jun-2010,21.9,22.69,21.75,21.87,7333000,NYSE
IP,10-Jun-2010,22.34,23.03,22.34,23.02,5832600,NYSE
IP,11-Jun-2010,23.29,24.37,23.02,24.3,9241800,NYSE
IP,14-Jun-2010,24.71,25.7,24.67,25.05,12753600,NYSE
IP,15-Jun-2010,25.4,26.23,25.08,26.2,9696000,NYSE
IP,16-Jun-2010,25.83,26.04,25.48,25.66,6393700,NYSE
IP,17-Jun-2010,25.8,25.85,25.05,25.52,6441400,NYSE
IP,18-Jun-2010,25.64,25.92,25.48,25.73,6488600,NYSE
IP,21-Jun-2010,26.48,26.97,26.16,26.31,7589700,NYSE
IP,22-Jun-2010,26.26,26.57,24.26,24.35,11030400,NYSE
IP,23-Jun-2010,24.26,25.27,23.98,25.2,10844200,NYSE
IP,24-Jun-2010,25.05,25.15,23.61,23.72,9395500,NYSE
IP,25-Jun-2010,23.79,24.64,23.54,24.59,16777400,NYSE
IP,28-Jun-2010,24.48,24.72,23.79,23.99,6895700,NYSE
IP,29-Jun-2010,23.46,23.46,22.18,22.39,11885900,NYSE
IP,30-Jun-2010,22.38,23.29,22.3,22.63,10432500,NYSE
IP,01-Jul-2010,22.82,23.18,21.96,22.94,9477900,NYSE
IP,02-Jul-2010,23.04,23.33,22.25,22.59,6309000,NYSE
IP,06-Jul-2010,23.22,23.34,22.04,22.33,5704500,NYSE
IP,07-Jul-2010,22.23,23.14,22.23,23.13,6368400,NYSE
IP,08-Jul-2010,23.28,23.5,22.73,23.15,8241500,NYSE
IP,09-Jul-2010,23.1,23.86,23.1,23.67,5006900,NYSE
IP,12-Jul-2010,23.7,23.81,23.09,23.32,6208100,NYSE
IP,13-Jul-2010,23.71,24.41,23.71,24.14,6460400,NYSE
IP,14-Jul-2010,24.12,24.12,23.43,23.79,6305800,NYSE
IP,15-Jul-2010,23.81,23.81,22.97,23.59,5336900,NYSE
IP,16-Jul-2010,23.44,23.57,22.71,22.78,6507300,NYSE
IP,19-Jul-2010,23.13,23.17,22.4,23.06,5504500,NYSE
IP,20-Jul-2010,22.74,24.28,22.49,24.28,7402800,NYSE
IP,21-Jul-2010,24.53,24.65,23.33,23.49,6049700,NYSE
IP,22-Jul-2010,23.84,24.75,23.76,24.59,5677500,NYSE
IP,23-Jul-2010,24.56,25.06,24.36,24.98,5475800,NYSE
IP,26-Jul-2010,25.16,25.52,24.82,25.5,5461700,NYSE
IP,27-Jul-2010,25.74,25.79,25.0,25.49,7048500,NYSE
IP,28-Jul-2010,24.62,24.85,23.44,24.12,13189400,NYSE
IP,29-Jul-2010,24.42,24.79,23.82,24.09,8545200,NYSE
IP,30-Jul-2010,23.75,24.34,23.63,24.2,4836500,NYSE
IP,02-Aug-2010,24.66,25.28,24.56,25.18,6269400,NYSE
IP,03-Aug-2010,24.82,25.0,24.39,24.51,5254000,NYSE
IP,04-Aug-2010,24.75,24.88,24.28,24.54,3814800,NYSE
IP,05-Aug-2010,24.39,24.83,24.3,24.63,4644600,NYSE
IP,06-Aug-2010,24.35,24.67,23.49,24.06,6678800,NYSE
IP,09-Aug-2010,24.28,24.46,23.66,23.69,5109800,NYSE
IP,10-Aug-2010,23.45,23.49,22.65,22.91,9075600,NYSE
IP,11-Aug-2010,22.51,22.54,21.84,21.87,6771300,NYSE
IP,12-Aug-2010,21.45,22.14,21.18,21.87,6113900,NYSE
IP,13-Aug-2010,21.75,22.16,21.67,21.87,4363500,NYSE
IP,16-Aug-2010,21.72,22.22,21.42,21.59,8049200,NYSE
IP,17-Aug-2010,21.97,22.22,21.65,21.99,6258900,NYSE
IP,18-Aug-2010,22.08,22.09,21.59,21.87,3964000,NYSE
IP,19-Aug-2010,21.65,21.82,21.11,21.28,5308400,NYSE
IP,20-Aug-2010,21.03,21.42,20.95,21.21,4718400,NYSE
IP,23-Aug-2010,21.48,21.8,20.99,21.01,5069500,NYSE
IP,24-Aug-2010,20.67,21.05,20.46,20.54,6011800,NYSE
IP,25-Aug-2010,20.19,20.44,19.69,20.32,11167500,NYSE
IP,26-Aug-2010,20.42,20.76,19.87,19.88,6749400,NYSE
IP,27-Aug-2010,20.15,20.43,19.33,20.38,8435200,NYSE
IP,30-Aug-2010,20.45,20.45,19.97,19.97,4410400,NYSE
IP,31-Aug-2010,19.77,20.73,19.72,20.46,6929600,NYSE
IP,01-Sep-2010,20.97,21.62,20.8,21.58,6811100,NYSE
IP,02-Sep-2010,21.6,22.01,21.43,21.99,6466900,NYSE
IP,03-Sep-2010,22.29,22.9,22.25,22.39,6839400,NYSE
IP,07-Sep-2010,22.35,22.35,21.81,22.01,5164500,NYSE
IP,08-Sep-2010,22.03,22.16,21.33,21.58,7785100,NYSE
IP,09-Sep-2010,22.16,22.22,21.69,22.05,6990200,NYSE
IP,10-Sep-2010,22.14,22.45,22.04,22.39,5558200,NYSE
IP,13-Sep-2010,22.65,23.07,22.54,23.06,5344100,NYSE
IP,14-Sep-2010,22.98,23.04,22.6,22.68,6269700,NYSE
IP,15-Sep-2010,22.6,23.1,22.6,22.9,5242700,NYSE
IP,16-Sep-2010,22.75,23.14,22.6,22.78,3965600,NYSE
IP,17-Sep-2010,22.96,23.64,22.69,23.46,8569100,NYSE
IP,20-Sep-2010,21.61,22.05,20.91,21.97,20279300,NYSE
IP,21-Sep-2010,22.04,22.17,21.72,21.99,8811900,NYSE
IP,22-Sep-2010,21.77,22.19,21.27,21.35,10951000,NYSE
IP,23-Sep-2010,21.12,21.18,20.77,20.87,12164800,NYSE
IP,24-Sep-2010,21.41,21.91,21.33,21.83,6677900,NYSE
IP,27-Sep-2010,21.75,21.92,21.53,21.72,3942300,NYSE
IP,28-Sep-2010,21.72,21.77,21.08,21.41,9253200,NYSE
IP,29-Sep-2010,21.39,21.55,21.1,21.43,6128700,NYSE
IP,30-Sep-2010,21.66,21.94,21.5,21.75,8554400,NYSE
IP,01-Oct-2010,22.06,22.52,21.96,22.36,6698900,NYSE
IP,04-Oct-2010,22.3,22.33,21.44,21.52,7139600,NYSE
IP,05-Oct-2010,21.79,22.37,21.53,22.27,9490000,NYSE
IP,06-Oct-2010,22.31,22.43,22.04,22.35,8096300,NYSE
