name,date,open_price,close_price,high_price,low_price,volume,market
IR,04-Jan-2010,36.0,36.45,35.9,36.25,2368300,NYSE
IR,05-Jan-2010,36.1,36.26,35.64,35.89,2014900,NYSE
IR,06-Jan-2010,35.89,35.98,35.39,35.63,2615200,NYSE
IR,07-Jan-2010,35.65,36.5,35.43,35.99,3166200,NYSE
IR,08-Jan-2010,35.83,36.68,35.66,36.61,2461000,NYSE
IR,11-Jan-2010,36.87,37.86,36.74,37.51,3391500,NYSE
IR,12-Jan-2010,37.12,37.23,36.44,36.72,2503700,NYSE
IR,13-Jan-2010,36.78,36.85,36.42,36.68,2315700,NYSE
IR,14-Jan-2010,36.6,37.03,36.52,36.99,1556700,NYSE
IR,15-Jan-2010,37.02,37.26,36.73,37.06,2685400,NYSE
IR,19-Jan-2010,36.98,37.82,36.91,37.49,4934500,NYSE
IR,20-Jan-2010,37.21,37.28,36.45,37.24,4012400,NYSE
IR,21-Jan-2010,37.39,37.44,36.56,36.67,4220100,NYSE
IR,22-Jan-2010,36.59,36.78,35.23,35.24,3253800,NYSE
IR,25-Jan-2010,35.53,35.79,35.0,35.01,3013600,NYSE
IR,26-Jan-2010,34.88,35.1,34.18,34.76,3816000,NYSE
IR,27-Jan-2010,34.48,34.5,33.19,33.88,5856500,NYSE
IR,28-Jan-2010,33.91,34.0,32.76,33.29,3643900,NYSE
IR,29-Jan-2010,33.4,33.62,32.44,32.46,4099000,NYSE
IR,01-Feb-2010,33.06,33.36,32.63,33.03,4565200,NYSE
IR,02-Feb-2010,33.31,34.79,33.15,34.49,5106600,NYSE
IR,03-Feb-2010,34.24,34.85,34.13,34.54,2140600,NYSE
IR,04-Feb-2010,34.28,34.28,33.01,33.06,2967600,NYSE
IR,05-Feb-2010,32.98,33.09,31.92,32.91,5237500,NYSE
IR,08-Feb-2010,32.82,33.5,32.31,32.88,2251800,NYSE
IR,09-Feb-2010,34.01,34.91,33.47,33.56,4430400,NYSE
IR,10-Feb-2010,33.54,33.98,33.19,33.39,3754500,NYSE
IR,11-Feb-2010,33.38,34.07,33.08,33.98,4163100,NYSE
IR,12-Feb-2010,30.98,31.64,30.12,31.26,17390500,NYSE
IR,16-Feb-2010,31.44,31.99,31.19,31.88,3767600,NYSE
IR,17-Feb-2010,31.94,32.8,31.67,32.53,4253900,NYSE
IR,18-Feb-2010,32.5,33.4,32.3,33.24,3459200,NYSE
IR,19-Feb-2010,33.1,33.58,32.9,33.36,2511900,NYSE
IR,22-Feb-2010,33.43,33.6,33.21,33.27,2803200,NYSE
IR,23-Feb-2010,33.02,33.26,32.28,32.51,4823900,NYSE
IR,24-Feb-2010,32.57,32.67,31.95,32.4,4408500,NYSE
IR,25-Feb-2010,31.96,32.11,31.47,31.99,5237300,NYSE
IR,26-Feb-2010,31.99,32.05,31.59,31.91,3647500,NYSE
IR,01-Mar-2010,31.94,32.83,31.92,32.69,4473000,NYSE
IR,02-Mar-2010,32.95,32.98,32.63,32.83,5589900,NYSE
IR,03-Mar-2010,33.0,34.05,32.98,33.65,4963900,NYSE
IR,04-Mar-2010,33.95,34.02,33.01,33.18,5841800,NYSE
IR,05-Mar-2010,33.51,34.12,33.46,33.94,3301600,NYSE
IR,08-Mar-2010,33.93,34.15,33.63,34.03,2354100,NYSE
IR,09-Mar-2010,33.72,34.33,33.69,33.84,2710400,NYSE
IR,10-Mar-2010,33.85,34.06,33.55,33.89,2273700,NYSE
IR,11-Mar-2010,33.77,34.76,33.59,34.72,4943600,NYSE
IR,12-Mar-2010,34.67,35.0,34.5,34.81,5553300,NYSE
IR,15-Mar-2010,34.54,35.08,34.4,34.94,3046700,NYSE
IR,16-Mar-2010,35.15,35.9,35.0,35.7,3934000,NYSE
IR,17-Mar-2010,35.71,35.87,35.07,35.19,4170500,NYSE
IR,18-Mar-2010,35.27,35.45,34.89,35.33,2770300,NYSE
IR,19-Mar-2010,35.47,35.63,34.52,34.87,4122200,NYSE
IR,22-Mar-2010,34.53,35.66,34.41,35.61,3096500,NYSE
IR,23-Mar-2010,35.52,36.21,35.52,36.15,2823700,NYSE
IR,24-Mar-2010,35.95,36.07,34.81,34.9,4126700,NYSE
IR,25-Mar-2010,35.16,35.63,34.52,34.52,4101700,NYSE
IR,26-Mar-2010,34.54,34.92,34.36,34.64,3496500,NYSE
IR,29-Mar-2010,34.82,35.1,34.61,34.65,1876300,NYSE
IR,30-Mar-2010,34.82,35.6,34.7,34.88,3184900,NYSE
IR,31-Mar-2010,34.74,35.11,34.63,34.87,2323100,NYSE
IR,01-Apr-2010,35.2,35.98,35.18,35.55,2290300,NYSE
IR,05-Apr-2010,35.65,36.4,35.65,36.3,2621800,NYSE
IR,06-Apr-2010,36.01,36.58,35.96,36.44,3185100,NYSE
IR,07-Apr-2010,36.21,36.82,36.11,36.66,5057200,NYSE
IR,08-Apr-2010,36.24,36.91,36.06,36.81,4419600,NYSE
IR,09-Apr-2010,36.95,37.37,36.67,37.33,3952500,NYSE
IR,12-Apr-2010,37.9,37.95,37.24,37.45,5140400,NYSE
IR,13-Apr-2010,37.44,37.44,36.79,37.0,3894600,NYSE
IR,14-Apr-2010,37.29,37.43,37.01,37.35,3129400,NYSE
IR,15-Apr-2010,37.26,38.07,37.09,37.82,4833100,NYSE
IR,16-Apr-2010,37.76,37.98,36.99,37.16,3730600,NYSE
IR,19-Apr-2010,36.92,37.29,36.6,37.26,2997300,NYSE
IR,20-Apr-2010,37.61,38.3,37.61,38.05,5396800,NYSE
IR,21-Apr-2010,38.09,38.26,37.9,38.24,5233500,NYSE
IR,22-Apr-2010,38.04,39.41,37.51,39.0,5366500,NYSE
IR,23-Apr-2010,36.8,37.23,35.7,37.1,15621800,NYSE
IR,26-Apr-2010,37.33,38.42,37.07,37.84,5272000,NYSE
IR,27-Apr-2010,37.79,37.99,36.5,36.69,4457100,NYSE
IR,28-Apr-2010,36.96,37.19,36.37,36.55,4428400,NYSE
IR,29-Apr-2010,36.94,37.38,36.79,37.26,3883200,NYSE
IR,30-Apr-2010,37.22,38.0,36.74,36.98,3523500,NYSE
IR,03-May-2010,37.16,38.1,37.14,38.05,2978000,NYSE
IR,04-May-2010,37.38,37.41,36.39,36.61,3914200,NYSE
IR,05-May-2010,36.11,37.88,35.76,37.35,8398500,NYSE
IR,06-May-2010,36.93,37.71,33.96,36.2,10679800,NYSE
IR,07-May-2010,35.98,37.11,34.89,35.24,8741100,NYSE
IR,10-May-2010,37.02,38.11,36.4,37.61,6222800,NYSE
IR,11-May-2010,37.04,38.42,36.97,38.11,4681700,NYSE
IR,12-May-2010,38.55,39.63,38.48,39.61,6743200,NYSE
IR,13-May-2010,39.3,40.6,39.08,40.01,5472600,NYSE
IR,14-May-2010,39.66,39.66,38.37,38.75,3783700,NYSE
IR,17-May-2010,38.91,39.0,37.81,38.74,4914500,NYSE
IR,18-May-2010,38.07,38.98,37.85,38.01,5190700,NYSE
IR,19-May-2010,37.84,38.23,36.65,37.05,5148000,NYSE
IR,20-May-2010,36.2,36.38,35.13,35.5,4605100,NYSE
IR,21-May-2010,34.89,36.04,34.69,35.88,4628300,NYSE
IR,24-May-2010,35.7,36.39,35.56,35.7,3711700,NYSE
IR,25-May-2010,34.77,35.76,34.36,35.66,4566700,NYSE
IR,26-May-2010,36.08,36.83,35.93,36.13,3883900,NYSE
IR,27-May-2010,37.0,37.77,36.93,37.68,3398300,NYSE
IR,28-May-2010,37.93,37.93,36.96,37.31,2759500,NYSE
IR,01-Jun-2010,36.78,38.27,36.78,37.48,5319700,NYSE
IR,02-Jun-2010,37.65,38.51,37.28,38.51,3361100,NYSE
IR,03-Jun-2010,38.68,39.29,38.65,39.17,3874400,NYSE
IR,04-Jun-2010,38.39,38.66,37.02,37.23,3217300,NYSE
IR,07-Jun-2010,37.23,37.52,36.2,36.3,5125100,NYSE
IR,08-Jun-2010,36.3,36.6,35.69,36.47,4707600,NYSE
IR,09-Jun-2010,36.86,37.19,36.05,36.21,3729000,NYSE
IR,10-Jun-2010,37.0,37.46,36.63,37.3,3255200,NYSE
IR,11-Jun-2010,36.63,37.75,36.63,37.71,2605300,NYSE
IR,14-Jun-2010,37.99,38.83,37.99,38.08,2862200,NYSE
IR,15-Jun-2010,38.54,39.69,38.48,39.64,4266200,NYSE
IR,16-Jun-2010,39.14,39.86,39.13,39.56,3843500,NYSE
IR,17-Jun-2010,39.79,39.89,38.77,39.25,2931400,NYSE
IR,18-Jun-2010,39.29,39.71,39.0,39.42,3003900,NYSE
