name,date,open_price,close_price,high_price,low_price,volume,market
ITT,04-Jan-2010,25.1,25.1,24.73,24.775,2025300,NYSE
ITT,05-Jan-2010,24.685,24.745,24.28,24.425,3346800,NYSE
ITT,06-Jan-2010,24.325,24.54,24.025,24.27,3277700,NYSE
ITT,07-Jan-2010,24.27,24.7,24.095,24.4,5501900,NYSE
ITT,08-Jan-2010,24.355,25.4,24.355,25.325,4256500,NYSE
ITT,11-Jan-2010,25.325,25.495,24.77,25.4,2132800,NYSE
ITT,12-Jan-2010,25.22,25.255,24.8,24.865,3103600,NYSE
ITT,13-Jan-2010,24.82,25.615,24.815,25.46,2410900,NYSE
ITT,14-Jan-2010,25.35,25.73,25.155,25.695,1598800,NYSE
ITT,15-Jan-2010,25.71,25.865,25.33,25.71,2393700,NYSE
ITT,19-Jan-2010,25.665,25.895,25.505,25.68,1549400,NYSE
ITT,20-Jan-2010,25.505,25.51,25.035,25.34,1705700,NYSE
ITT,21-Jan-2010,25.305,25.33,24.59,24.725,2113400,NYSE
ITT,22-Jan-2010,24.68,24.945,24.5,24.515,1760700,NYSE
ITT,25-Jan-2010,24.65,24.765,24.465,24.59,1566000,NYSE
ITT,26-Jan-2010,24.575,24.63,24.375,24.49,1439200,NYSE
ITT,27-Jan-2010,24.405,24.655,24.125,24.655,1460600,NYSE
ITT,28-Jan-2010,24.8,24.865,24.18,24.48,1677100,NYSE
ITT,29-Jan-2010,24.625,24.625,24.07,24.155,1408400,NYSE
ITT,01-Feb-2010,24.285,24.395,23.865,24.38,1455500,NYSE
ITT,02-Feb-2010,24.475,25.24,24.355,25.225,3809200,NYSE
ITT,03-Feb-2010,24.4,25.645,24.4,24.86,2578300,NYSE
ITT,04-Feb-2010,24.77,25.23,24.285,24.435,3897200,NYSE
ITT,05-Feb-2010,24.47,24.545,23.76,24.255,2139000,NYSE
ITT,08-Feb-2010,24.275,24.275,23.705,23.755,1982700,NYSE
ITT,09-Feb-2010,24.025,24.49,23.925,24.32,1506800,NYSE
ITT,10-Feb-2010,24.295,24.375,24.01,24.15,928600,NYSE
ITT,11-Feb-2010,24.045,24.54,23.93,24.525,1291300,NYSE
ITT,12-Feb-2010,24.275,24.69,24.055,24.635,2232400,NYSE
ITT,16-Feb-2010,24.935,24.97,24.485,24.735,1756300,NYSE
ITT,17-Feb-2010,24.955,25.01,24.65,24.78,1748300,NYSE
ITT,18-Feb-2010,24.735,25.495,24.69,25.42,1646700,NYSE
ITT,19-Feb-2010,25.405,25.78,25.405,25.665,1850600,NYSE
ITT,22-Feb-2010,25.775,25.845,25.51,25.73,1202800,NYSE
ITT,23-Feb-2010,25.815,25.89,25.4,25.52,1759700,NYSE
ITT,24-Feb-2010,25.655,25.745,25.375,25.62,932800,NYSE
ITT,25-Feb-2010,25.43,25.53,25.0,25.505,1318300,NYSE
ITT,26-Feb-2010,25.555,25.69,25.375,25.615,798600,NYSE
ITT,01-Mar-2010,25.635,25.98,25.615,25.945,1451100,NYSE
ITT,02-Mar-2010,26.06,26.165,25.835,26.11,1336000,NYSE
ITT,03-Mar-2010,26.11,26.345,25.915,26.065,1620700,NYSE
ITT,04-Mar-2010,25.69,26.3,25.69,26.26,1259500,NYSE
ITT,05-Mar-2010,26.32,26.795,26.29,26.745,1180400,NYSE
ITT,08-Mar-2010,26.675,26.775,26.385,26.5,1264300,NYSE
ITT,09-Mar-2010,26.445,26.77,26.41,26.675,1487500,NYSE
ITT,10-Mar-2010,26.605,27.805,26.36,26.51,2785000,NYSE
ITT,11-Mar-2010,26.455,26.485,26.26,26.485,939600,NYSE
ITT,12-Mar-2010,26.5,26.585,26.18,26.505,868900,NYSE
ITT,15-Mar-2010,26.43,26.47,26.21,26.41,937400,NYSE
ITT,16-Mar-2010,26.48,26.645,26.425,26.595,1262500,NYSE
ITT,17-Mar-2010,26.685,26.915,26.685,26.815,1064300,NYSE
ITT,18-Mar-2010,26.815,26.83,26.585,26.7,1097100,NYSE
ITT,19-Mar-2010,26.435,26.665,26.015,26.295,3119900,NYSE
ITT,22-Mar-2010,26.19,26.45,25.97,26.425,1583900,NYSE
ITT,23-Mar-2010,26.5,26.665,26.235,26.65,1384200,NYSE
ITT,24-Mar-2010,26.595,26.615,26.3,26.345,1296300,NYSE
ITT,25-Mar-2010,26.545,26.675,26.23,26.28,1093100,NYSE
ITT,26-Mar-2010,26.335,26.53,26.225,26.37,868300,NYSE
ITT,29-Mar-2010,26.945,27.11,26.73,26.965,2099400,NYSE
ITT,30-Mar-2010,27.065,27.14,26.785,26.865,1553100,NYSE
ITT,31-Mar-2010,26.79,27.015,26.725,26.805,1200300,NYSE
ITT,01-Apr-2010,26.965,27.21,26.725,26.97,1195500,NYSE
ITT,05-Apr-2010,27.125,27.32,27.03,27.22,868200,NYSE
ITT,06-Apr-2010,27.13,27.13,26.945,26.97,1368900,NYSE
ITT,07-Apr-2010,26.83,27.1,26.75,26.935,1287800,NYSE
ITT,08-Apr-2010,26.825,27.1,26.71,27.065,1144100,NYSE
ITT,09-Apr-2010,27.07,27.215,26.95,27.19,805300,NYSE
ITT,12-Apr-2010,27.13,27.49,27.13,27.335,1533200,NYSE
ITT,13-Apr-2010,27.395,27.63,27.17,27.61,1344800,NYSE
ITT,14-Apr-2010,27.655,27.95,27.565,27.935,1506700,NYSE
ITT,15-Apr-2010,27.84,28.095,27.73,27.965,1438000,NYSE
ITT,16-Apr-2010,27.91,28.03,27.66,27.935,2209900,NYSE
ITT,19-Apr-2010,27.895,28.055,27.83,28.02,1773000,NYSE
ITT,20-Apr-2010,28.155,28.385,27.95,28.365,2168900,NYSE
ITT,21-Apr-2010,28.33,28.67,28.3,28.515,2332500,NYSE
ITT,22-Apr-2010,28.335,28.775,28.3,28.745,1654300,NYSE
ITT,23-Apr-2010,28.865,28.865,28.485,28.815,2240600,NYSE
ITT,26-Apr-2010,28.665,28.83,28.49,28.5,1546200,NYSE
ITT,27-Apr-2010,28.43,28.62,28.07,28.22,3128900,NYSE
ITT,28-Apr-2010,28.385,28.465,27.945,28.215,1333400,NYSE
ITT,29-Apr-2010,28.45,28.995,28.375,28.985,1915600,NYSE
ITT,30-Apr-2010,28.865,28.93,27.665,27.785,3976400,NYSE
ITT,03-May-2010,27.91,28.045,27.715,27.91,1679500,NYSE
ITT,04-May-2010,27.58,27.6,26.65,26.87,1708900,NYSE
ITT,05-May-2010,26.61,26.92,26.515,26.695,1379000,NYSE
ITT,06-May-2010,26.62,26.865,24.29,25.88,2104100,NYSE
ITT,07-May-2010,25.71,26.005,24.855,24.995,5902700,NYSE
ITT,10-May-2010,25.9,26.5,25.9,26.205,2619900,NYSE
ITT,11-May-2010,26.005,26.66,25.825,26.295,1389200,NYSE
ITT,12-May-2010,26.34,26.705,26.295,26.6,1564400,NYSE
ITT,13-May-2010,26.505,26.635,26.19,26.225,995000,NYSE
ITT,14-May-2010,26.005,26.19,25.62,25.84,2226400,NYSE
ITT,17-May-2010,25.98,26.27,25.545,25.99,1852700,NYSE
ITT,18-May-2010,26.135,26.37,25.47,25.525,1625700,NYSE
ITT,19-May-2010,25.22,25.325,24.625,24.945,2365000,NYSE
ITT,20-May-2010,24.39,24.575,23.85,23.875,2607000,NYSE
ITT,21-May-2010,23.365,24.455,23.34,24.28,2429400,NYSE
ITT,24-May-2010,24.095,24.38,23.94,23.985,1677900,NYSE
ITT,25-May-2010,23.41,23.995,23.155,23.98,2026900,NYSE
ITT,26-May-2010,24.065,24.35,23.715,23.765,3062300,NYSE
ITT,27-May-2010,24.46,24.565,24.09,24.465,2546200,NYSE
ITT,28-May-2010,24.315,24.42,24.01,24.14,1564100,NYSE
