name,date,open_price,close_price,high_price,low_price,volume,market
JBR,04-Jan-2010,19.56,19.7,19.55,19.64,3400,NYSE
JBR,05-Jan-2010,19.65,19.65,19.55,19.65,3900,NYSE
JBR,06-Jan-2010,19.77,19.86,19.77,19.86,1300,NYSE
JBR,07-Jan-2010,19.9,20.28,19.9,20.28,1300,NYSE
JBR,08-Jan-2010,20.32,20.33,20.03,20.24,2000,NYSE
JBR,11-Jan-2010,20.24,20.55,20.24,20.55,1700,NYSE
JBR,12-Jan-2010,20.55,20.62,20.29,20.41,3100,NYSE
JBR,13-Jan-2010,20.43,20.43,20.43,20.43,100,NYSE
JBR,14-Jan-2010,20.43,20.43,20.43,20.43,0,NYSE
JBR,15-Jan-2010,20.27,20.55,20.27,20.55,3000,NYSE
JBR,19-Jan-2010,20.6,20.79,20.34,20.79,2400,NYSE
JBR,20-Jan-2010,20.79,20.9,20.75,20.75,700,NYSE
JBR,21-Jan-2010,20.65,21.48,20.65,20.7,7700,NYSE
JBR,22-Jan-2010,20.72,20.74,20.65,20.65,2600,NYSE
JBR,25-Jan-2010,20.72,20.87,20.65,20.65,1300,NYSE
JBR,26-Jan-2010,20.7,21.1,20.65,20.8,3300,NYSE
JBR,27-Jan-2010,20.7,20.7,20.63,20.65,900,NYSE
JBR,28-Jan-2010,20.69,20.69,20.65,20.65,1300,NYSE
JBR,29-Jan-2010,20.67,20.9,20.45,20.51,2600,NYSE
JBR,01-Feb-2010,20.5,20.62,20.36,20.36,2800,NYSE
JBR,02-Feb-2010,20.57,20.57,20.35,20.4,900,NYSE
JBR,03-Feb-2010,20.46,20.85,20.46,20.51,3100,NYSE
JBR,04-Feb-2010,20.59,20.92,20.5,20.5,3000,NYSE
JBR,05-Feb-2010,20.5,20.75,20.5,20.69,500,NYSE
JBR,08-Feb-2010,20.69,20.69,20.69,20.69,0,NYSE
JBR,09-Feb-2010,20.8,20.95,20.65,20.65,400,NYSE
JBR,10-Feb-2010,20.63,20.63,20.63,20.63,100,NYSE
JBR,11-Feb-2010,20.73,20.75,20.73,20.73,500,NYSE
JBR,12-Feb-2010,20.88,20.9,20.88,20.9,500,NYSE
JBR,16-Feb-2010,20.73,20.77,20.58,20.58,700,NYSE
JBR,17-Feb-2010,20.72,20.85,20.7,20.7,1700,NYSE
JBR,18-Feb-2010,20.85,21.14,20.85,21.1,3100,NYSE
JBR,19-Feb-2010,21.1,21.4,21.1,21.35,1000,NYSE
JBR,22-Feb-2010,21.35,21.63,21.35,21.53,3300,NYSE
JBR,23-Feb-2010,21.67,21.8,21.58,21.59,2300,NYSE
JBR,24-Feb-2010,21.2,21.2,20.78,20.78,2700,NYSE
JBR,25-Feb-2010,20.82,21.0,20.42,20.58,5800,NYSE
JBR,26-Feb-2010,20.5,20.89,20.42,20.89,2900,NYSE
JBR,01-Mar-2010,20.89,20.97,20.74,20.9,2800,NYSE
JBR,02-Mar-2010,20.98,20.99,20.98,20.99,400,NYSE
JBR,03-Mar-2010,20.99,21.06,20.99,21.01,700,NYSE
JBR,04-Mar-2010,21.15,21.25,20.99,21.01,1200,NYSE
JBR,05-Mar-2010,21.25,21.25,21.25,21.25,200,NYSE
JBR,08-Mar-2010,21.25,21.4,21.24,21.35,700,NYSE
JBR,09-Mar-2010,21.4,21.4,21.11,21.4,600,NYSE
JBR,10-Mar-2010,21.06,21.3,20.8,20.8,5800,NYSE
JBR,11-Mar-2010,20.95,21.09,20.94,21.09,900,NYSE
JBR,12-Mar-2010,21.09,21.09,21.09,21.09,0,NYSE
JBR,15-Mar-2010,20.94,20.94,20.61,20.89,3100,NYSE
JBR,16-Mar-2010,20.93,20.95,20.93,20.95,200,NYSE
JBR,17-Mar-2010,20.89,21.18,20.89,21.17,2400,NYSE
JBR,18-Mar-2010,20.96,21.25,20.94,21.1,2600,NYSE
JBR,19-Mar-2010,21.09,21.09,20.89,20.89,1400,NYSE
JBR,22-Mar-2010,21.04,21.04,21.04,21.04,600,NYSE
JBR,23-Mar-2010,21.01,21.09,21.0,21.0,700,NYSE
JBR,24-Mar-2010,20.92,21.04,20.9,20.9,1300,NYSE
JBR,25-Mar-2010,21.04,21.29,21.04,21.29,1900,NYSE
JBR,26-Mar-2010,21.25,21.26,21.25,21.25,3200,NYSE
JBR,29-Mar-2010,21.25,21.25,21.25,21.25,0,NYSE
JBR,30-Mar-2010,21.25,21.47,21.02,21.47,5500,NYSE
JBR,31-Mar-2010,21.47,21.69,21.47,21.63,700,NYSE
JBR,01-Apr-2010,21.5,21.65,21.5,21.65,2100,NYSE
JBR,05-Apr-2010,21.45,21.5,21.41,21.5,700,NYSE
JBR,06-Apr-2010,21.52,21.52,21.5,21.5,200,NYSE
JBR,07-Apr-2010,21.5,21.5,21.21,21.35,1100,NYSE
JBR,08-Apr-2010,21.5,21.75,21.49,21.75,1900,NYSE
JBR,09-Apr-2010,21.75,21.94,21.75,21.9,500,NYSE
JBR,12-Apr-2010,21.81,21.82,21.67,21.82,1700,NYSE
JBR,13-Apr-2010,21.82,22.15,21.82,22.0,4500,NYSE
JBR,14-Apr-2010,21.99,21.99,21.99,21.99,100,NYSE
JBR,15-Apr-2010,22.0,22.05,21.92,21.92,400,NYSE
JBR,16-Apr-2010,21.72,22.06,21.7,22.06,1400,NYSE
JBR,19-Apr-2010,22.31,22.32,21.91,21.91,2100,NYSE
JBR,20-Apr-2010,22.17,22.2,22.17,22.2,700,NYSE
JBR,21-Apr-2010,22.06,22.06,21.91,22.0,800,NYSE
JBR,22-Apr-2010,21.91,21.94,21.52,21.94,7500,NYSE
JBR,23-Apr-2010,21.69,22.09,21.69,22.09,1300,NYSE
JBR,26-Apr-2010,22.0,22.22,21.86,22.22,1700,NYSE
JBR,27-Apr-2010,21.93,21.95,21.82,21.92,1000,NYSE
JBR,28-Apr-2010,21.82,21.98,21.71,21.75,5300,NYSE
JBR,29-Apr-2010,21.68,21.96,21.68,21.81,800,NYSE
JBR,30-Apr-2010,21.69,21.69,21.6,21.6,1900,NYSE
JBR,03-May-2010,21.6,21.75,21.51,21.51,2000,NYSE
JBR,04-May-2010,21.5,21.6,21.2,21.6,5000,NYSE
JBR,05-May-2010,21.6,21.61,21.34,21.6,3700,NYSE
JBR,06-May-2010,21.47,21.47,21.32,21.32,300,NYSE
JBR,07-May-2010,21.17,21.17,19.25,20.95,13000,NYSE
JBR,10-May-2010,21.1,21.8,21.05,21.55,5800,NYSE
JBR,11-May-2010,21.5,21.8,21.5,21.65,1000,NYSE
JBR,12-May-2010,21.3,21.87,21.3,21.86,1400,NYSE
JBR,13-May-2010,21.5,21.75,21.37,21.37,1900,NYSE
JBR,14-May-2010,21.5,21.5,20.77,21.25,3100,NYSE
JBR,17-May-2010,21.07,21.2,21.04,21.2,1500,NYSE
JBR,18-May-2010,21.24,21.25,21.02,21.15,2200,NYSE
JBR,19-May-2010,21.25,21.35,21.11,21.35,1900,NYSE
JBR,20-May-2010,20.61,21.2,20.61,20.89,2900,NYSE
JBR,21-May-2010,20.5,21.09,20.5,21.09,2200,NYSE
JBR,24-May-2010,20.8,20.8,20.8,20.8,300,NYSE
JBR,25-May-2010,20.71,20.75,20.31,20.46,1500,NYSE
