name,date,open_price,close_price,high_price,low_price,volume,market
JPM,04-Jan-2010,41.79,42.99,41.67,42.85,35463300,NYSE
JPM,05-Jan-2010,42.79,43.84,42.78,43.68,41214100,NYSE
JPM,06-Jan-2010,43.45,44.09,43.31,43.92,27731200,NYSE
JPM,07-Jan-2010,43.79,45.12,43.61,44.79,44864600,NYSE
JPM,08-Jan-2010,44.37,44.7,44.08,44.68,33110000,NYSE
JPM,11-Jan-2010,45.08,45.19,44.31,44.53,31864200,NYSE
JPM,12-Jan-2010,43.99,44.15,42.94,43.49,47115000,NYSE
JPM,13-Jan-2010,43.55,44.53,42.87,44.25,39622000,NYSE
JPM,14-Jan-2010,44.2,44.79,44.1,44.69,38002300,NYSE
JPM,15-Jan-2010,44.3,44.43,43.34,43.68,69730200,NYSE
JPM,19-Jan-2010,43.4,43.75,42.9,43.28,41740200,NYSE
JPM,20-Jan-2010,43.01,43.68,42.71,43.4,39938400,NYSE
JPM,21-Jan-2010,43.04,43.15,40.32,40.54,137547300,NYSE
JPM,22-Jan-2010,40.65,41.2,38.82,39.16,106634800,NYSE
JPM,25-Jan-2010,39.76,39.89,38.84,39.21,56576800,NYSE
JPM,26-Jan-2010,39.0,39.84,38.28,38.44,52975200,NYSE
JPM,27-Jan-2010,38.35,39.49,38.07,39.33,66324000,NYSE
JPM,28-Jan-2010,39.68,40.04,38.72,39.48,65073500,NYSE
JPM,29-Jan-2010,39.65,39.85,38.8,38.94,53655100,NYSE
JPM,01-Feb-2010,39.1,39.93,38.95,39.63,37406700,NYSE
JPM,02-Feb-2010,39.8,40.68,39.7,40.55,46019100,NYSE
JPM,03-Feb-2010,40.58,41.1,40.17,40.29,37377600,NYSE
JPM,04-Feb-2010,39.79,39.92,38.35,38.35,57211700,NYSE
JPM,05-Feb-2010,38.64,38.88,37.02,38.3,75224100,NYSE
JPM,08-Feb-2010,38.29,38.29,37.32,37.7,58320900,NYSE
JPM,09-Feb-2010,38.19,38.7,37.84,38.39,45179600,NYSE
JPM,10-Feb-2010,38.64,39.5,38.52,38.87,39331700,NYSE
JPM,11-Feb-2010,38.84,39.37,38.36,39.02,33839300,NYSE
JPM,12-Feb-2010,38.67,39.18,38.36,38.95,38055600,NYSE
JPM,16-Feb-2010,39.33,40.14,38.75,40.07,46425200,NYSE
JPM,17-Feb-2010,40.26,40.45,39.76,40.04,34650600,NYSE
JPM,18-Feb-2010,39.94,40.51,39.77,40.41,31809500,NYSE
JPM,19-Feb-2010,40.11,40.7,39.9,40.03,40295700,NYSE
JPM,22-Feb-2010,40.4,41.3,40.25,40.85,43898800,NYSE
JPM,23-Feb-2010,40.9,41.25,39.76,39.88,52233000,NYSE
JPM,24-Feb-2010,40.05,40.97,40.0,40.85,44653500,NYSE
JPM,25-Feb-2010,40.16,40.69,39.7,40.64,46723700,NYSE
JPM,26-Feb-2010,40.69,42.31,40.6,41.97,67703100,NYSE
JPM,01-Mar-2010,42.03,42.18,41.41,41.83,34615900,NYSE
JPM,02-Mar-2010,41.98,42.4,41.36,41.62,33898000,NYSE
JPM,03-Mar-2010,41.65,42.06,41.34,41.53,27564900,NYSE
JPM,04-Mar-2010,41.91,42.08,41.66,41.92,25459100,NYSE
JPM,05-Mar-2010,42.32,42.87,42.19,42.81,34794200,NYSE
JPM,08-Mar-2010,42.85,43.03,42.47,42.59,28530100,NYSE
JPM,09-Mar-2010,42.39,42.82,42.05,42.42,37107000,NYSE
JPM,10-Mar-2010,42.87,43.49,42.81,42.93,40903600,NYSE
JPM,11-Mar-2010,42.91,43.2,42.8,43.18,30128500,NYSE
JPM,12-Mar-2010,43.34,43.54,42.85,43.15,31371900,NYSE
JPM,15-Mar-2010,42.92,43.21,42.6,43.07,29148100,NYSE
JPM,16-Mar-2010,43.35,43.38,42.69,43.24,28553700,NYSE
JPM,17-Mar-2010,43.31,44.11,43.27,43.79,32920400,NYSE
JPM,18-Mar-2010,43.75,43.79,43.15,43.64,26010800,NYSE
JPM,19-Mar-2010,43.72,43.89,43.13,43.45,37014300,NYSE
JPM,22-Mar-2010,43.07,43.79,43.04,43.74,23257200,NYSE
JPM,23-Mar-2010,43.85,44.74,43.78,44.58,33740000,NYSE
JPM,24-Mar-2010,44.44,44.97,44.2,44.94,36058900,NYSE
JPM,25-Mar-2010,44.98,46.05,44.89,44.94,45023800,NYSE
JPM,26-Mar-2010,45.04,45.89,44.8,45.02,39731900,NYSE
JPM,29-Mar-2010,45.25,45.38,44.46,44.86,30634300,NYSE
JPM,30-Mar-2010,44.9,45.05,44.36,44.58,30297900,NYSE
JPM,31-Mar-2010,44.31,45.0,44.25,44.75,39047900,NYSE
JPM,01-Apr-2010,45.03,45.31,44.99,45.18,23901900,NYSE
JPM,05-Apr-2010,45.28,45.4,44.79,45.34,21347900,NYSE
JPM,06-Apr-2010,45.23,45.94,45.15,45.84,28197600,NYSE
JPM,07-Apr-2010,45.83,46.05,45.02,45.32,28895400,NYSE
JPM,08-Apr-2010,45.16,45.97,44.81,45.76,28875000,NYSE
JPM,09-Apr-2010,45.88,46.22,45.45,45.98,22889900,NYSE
JPM,12-Apr-2010,46.03,46.47,45.9,46.14,24645800,NYSE
JPM,13-Apr-2010,46.04,46.38,45.85,45.87,27988800,NYSE
JPM,14-Apr-2010,47.4,47.93,46.78,47.73,72533000,NYSE
JPM,15-Apr-2010,47.65,48.2,47.49,47.81,45420900,NYSE
JPM,16-Apr-2010,47.67,47.75,45.14,45.55,121206500,NYSE
JPM,19-Apr-2010,45.23,45.7,44.59,45.39,72141800,NYSE
JPM,20-Apr-2010,45.77,46.15,45.56,45.88,39314000,NYSE
JPM,21-Apr-2010,46.04,46.39,45.0,45.35,46327700,NYSE
JPM,22-Apr-2010,44.91,45.12,44.03,44.74,63176800,NYSE
JPM,23-Apr-2010,44.73,45.07,44.25,44.94,32489100,NYSE
JPM,26-Apr-2010,44.78,44.81,43.73,43.89,42889200,NYSE
JPM,27-Apr-2010,43.48,44.37,42.3,42.41,66296000,NYSE
JPM,28-Apr-2010,42.84,43.71,42.78,43.46,48583700,NYSE
JPM,29-Apr-2010,43.89,44.33,43.6,44.0,36520200,NYSE
JPM,30-Apr-2010,44.02,44.05,42.23,42.58,54121000,NYSE
JPM,03-May-2010,42.97,43.73,42.89,43.53,31230800,NYSE
JPM,04-May-2010,42.97,43.36,42.25,42.47,48990300,NYSE
JPM,05-May-2010,42.11,43.37,41.62,42.63,42785400,NYSE
JPM,06-May-2010,42.63,42.78,39.29,40.81,78170800,NYSE
JPM,07-May-2010,41.03,41.84,39.78,40.76,72976200,NYSE
JPM,10-May-2010,42.32,43.3,41.42,41.95,66578200,NYSE
JPM,11-May-2010,41.46,42.55,41.15,41.55,50771300,NYSE
JPM,12-May-2010,41.74,41.79,40.81,41.69,47704000,NYSE
JPM,13-May-2010,41.44,41.6,40.78,40.81,35332100,NYSE
JPM,14-May-2010,40.1,40.1,39.21,39.89,60719800,NYSE
JPM,17-May-2010,39.93,40.04,38.77,39.84,56506800,NYSE
JPM,18-May-2010,40.62,40.62,38.55,39.02,61746000,NYSE
JPM,19-May-2010,38.54,39.66,38.52,39.38,64602600,NYSE
JPM,20-May-2010,38.55,39.25,37.31,37.83,76565500,NYSE
JPM,21-May-2010,37.02,40.16,37.02,40.05,89588700,NYSE
JPM,24-May-2010,40.16,40.25,38.5,38.62,49242300,NYSE
JPM,25-May-2010,37.67,39.01,37.35,38.94,66813600,NYSE
JPM,26-May-2010,39.19,39.5,38.47,38.78,50722200,NYSE
JPM,27-May-2010,39.58,40.49,39.4,40.42,44851600,NYSE
JPM,28-May-2010,40.33,40.35,39.36,39.58,41252300,NYSE
JPM,01-Jun-2010,39.32,39.96,38.5,38.54,37848500,NYSE
JPM,02-Jun-2010,39.17,39.62,38.67,39.55,39618400,NYSE
JPM,03-Jun-2010,39.86,39.94,38.62,39.1,30956900,NYSE
JPM,04-Jun-2010,38.49,38.7,37.5,37.62,52868800,NYSE
JPM,07-Jun-2010,37.79,38.13,36.66,36.72,44528200,NYSE
JPM,08-Jun-2010,36.86,37.8,36.55,37.78,51017800,NYSE
JPM,09-Jun-2010,38.15,38.16,37.01,37.12,42585900,NYSE
JPM,10-Jun-2010,37.68,38.37,37.41,38.29,44302500,NYSE
JPM,11-Jun-2010,37.79,38.17,37.52,38.09,31147500,NYSE
JPM,14-Jun-2010,37.97,38.27,37.23,37.33,48662100,NYSE
JPM,15-Jun-2010,37.55,38.27,37.26,38.25,45364100,NYSE
JPM,16-Jun-2010,38.02,38.88,37.99,38.52,37220600,NYSE
JPM,17-Jun-2010,38.6,38.9,37.92,38.44,34755000,NYSE
JPM,18-Jun-2010,38.6,39.27,38.38,39.18,37270700,NYSE
JPM,21-Jun-2010,39.55,39.78,38.66,38.87,33665000,NYSE
JPM,22-Jun-2010,38.93,39.58,38.22,38.33,42253300,NYSE
JPM,23-Jun-2010,38.29,39.11,38.02,38.89,45046000,NYSE
JPM,24-Jun-2010,38.55,38.7,37.42,38.03,73853600,NYSE
JPM,25-Jun-2010,38.78,39.6,38.28,39.44,70742400,NYSE
JPM,28-Jun-2010,39.55,39.64,38.47,38.54,39968400,NYSE
JPM,29-Jun-2010,37.91,37.91,36.88,37.06,56696700,NYSE
JPM,30-Jun-2010,37.02,37.49,36.51,36.61,35336300,NYSE
JPM,01-Jul-2010,36.54,36.69,35.16,36.08,56647100,NYSE
JPM,02-Jul-2010,36.31,36.69,35.34,35.83,36802700,NYSE
JPM,06-Jul-2010,36.69,36.89,35.86,36.33,35955300,NYSE
JPM,07-Jul-2010,36.64,38.24,36.41,38.15,44604100,NYSE
JPM,08-Jul-2010,38.78,38.82,37.15,38.16,41500800,NYSE
JPM,09-Jul-2010,37.75,38.89,37.68,38.85,30427900,NYSE
JPM,12-Jul-2010,38.86,39.34,38.6,39.19,25000300,NYSE
JPM,13-Jul-2010,39.81,40.69,39.74,40.48,48564700,NYSE
