name,date,open_price,close_price,high_price,low_price,volume,market
JRO,04-Jan-2010,10.86,10.86,10.71,10.86,159500,NYSE
JRO,05-Jan-2010,10.89,10.89,10.76,10.82,148100,NYSE
JRO,06-Jan-2010,10.89,10.95,10.79,10.86,250700,NYSE
JRO,07-Jan-2010,10.91,10.96,10.79,10.94,180400,NYSE
JRO,08-Jan-2010,10.99,11.05,10.95,11.01,239700,NYSE
JRO,11-Jan-2010,11.04,11.16,11.03,11.13,191600,NYSE
JRO,12-Jan-2010,11.17,11.18,11.09,11.16,110200,NYSE
JRO,13-Jan-2010,11.15,11.22,11.01,11.2,218300,NYSE
JRO,14-Jan-2010,11.26,11.26,11.14,11.23,213200,NYSE
JRO,15-Jan-2010,11.22,11.26,11.2,11.22,202400,NYSE
JRO,19-Jan-2010,11.22,11.31,11.17,11.3,291900,NYSE
JRO,20-Jan-2010,11.35,11.41,11.25,11.3,220500,NYSE
JRO,21-Jan-2010,11.38,11.42,11.28,11.33,217700,NYSE
JRO,22-Jan-2010,11.36,11.44,11.31,11.42,165200,NYSE
JRO,25-Jan-2010,11.53,11.65,11.37,11.55,317200,NYSE
JRO,26-Jan-2010,11.58,11.72,11.45,11.45,251700,NYSE
JRO,27-Jan-2010,11.7,11.7,11.32,11.55,229900,NYSE
JRO,28-Jan-2010,11.65,11.65,11.28,11.29,184800,NYSE
JRO,29-Jan-2010,11.55,11.55,11.19,11.2,171400,NYSE
JRO,01-Feb-2010,11.4,11.4,11.23,11.36,132100,NYSE
JRO,02-Feb-2010,11.42,11.42,11.32,11.42,114100,NYSE
JRO,03-Feb-2010,11.4,11.4,11.31,11.34,131400,NYSE
JRO,04-Feb-2010,11.36,11.38,11.17,11.23,182800,NYSE
JRO,05-Feb-2010,11.17,11.25,10.98,11.07,150000,NYSE
JRO,08-Feb-2010,11.17,11.17,11.08,11.11,88000,NYSE
JRO,09-Feb-2010,11.21,11.43,11.14,11.4,234500,NYSE
JRO,10-Feb-2010,11.35,11.45,11.3,11.34,160000,NYSE
JRO,11-Feb-2010,11.44,11.44,11.28,11.35,156200,NYSE
JRO,12-Feb-2010,11.36,11.44,11.28,11.39,146400,NYSE
JRO,16-Feb-2010,11.42,11.48,11.27,11.48,110700,NYSE
JRO,17-Feb-2010,11.7,11.7,11.27,11.29,120700,NYSE
JRO,18-Feb-2010,11.36,11.36,11.14,11.18,204800,NYSE
JRO,19-Feb-2010,11.22,11.33,11.17,11.22,127500,NYSE
JRO,22-Feb-2010,11.2,11.26,11.09,11.12,149200,NYSE
JRO,23-Feb-2010,11.12,11.19,11.07,11.18,133700,NYSE
JRO,24-Feb-2010,11.26,11.44,11.26,11.39,198900,NYSE
JRO,25-Feb-2010,11.4,11.47,11.33,11.44,176600,NYSE
JRO,26-Feb-2010,11.47,11.48,11.36,11.45,108700,NYSE
JRO,01-Mar-2010,11.51,11.94,11.49,11.7,227700,NYSE
JRO,02-Mar-2010,11.75,11.77,11.68,11.74,126700,NYSE
JRO,03-Mar-2010,11.78,11.83,11.56,11.64,237600,NYSE
JRO,04-Mar-2010,11.57,11.6,11.43,11.49,263900,NYSE
JRO,05-Mar-2010,11.47,11.55,11.4,11.4,206000,NYSE
JRO,08-Mar-2010,11.48,11.63,11.45,11.62,190100,NYSE
JRO,09-Mar-2010,11.63,11.75,11.63,11.73,192900,NYSE
JRO,10-Mar-2010,11.75,11.84,11.75,11.78,254100,NYSE
JRO,11-Mar-2010,11.75,11.87,11.67,11.72,164000,NYSE
JRO,12-Mar-2010,11.77,11.84,11.7,11.78,137300,NYSE
JRO,15-Mar-2010,11.83,11.87,11.7,11.75,122200,NYSE
JRO,16-Mar-2010,11.84,11.92,11.79,11.92,172700,NYSE
JRO,17-Mar-2010,11.98,12.12,11.94,11.96,229300,NYSE
JRO,18-Mar-2010,12.03,12.08,11.87,11.91,129000,NYSE
JRO,19-Mar-2010,12.0,12.03,11.91,12.03,156000,NYSE
JRO,22-Mar-2010,12.05,12.05,11.96,11.97,80500,NYSE
JRO,23-Mar-2010,12.02,12.1,12.02,12.08,134100,NYSE
JRO,24-Mar-2010,12.1,12.25,12.1,12.22,186200,NYSE
JRO,25-Mar-2010,12.34,12.35,12.16,12.17,136400,NYSE
JRO,26-Mar-2010,12.12,12.18,11.96,11.99,130800,NYSE
JRO,29-Mar-2010,12.14,12.19,12.0,12.07,114200,NYSE
JRO,30-Mar-2010,12.16,12.25,12.1,12.15,151100,NYSE
JRO,31-Mar-2010,12.24,12.25,12.17,12.18,163700,NYSE
JRO,01-Apr-2010,12.33,12.4,12.3,12.35,162500,NYSE
JRO,05-Apr-2010,12.39,12.44,12.31,12.32,162000,NYSE
JRO,06-Apr-2010,12.37,12.39,12.32,12.38,116500,NYSE
JRO,07-Apr-2010,12.43,12.48,12.36,12.39,187700,NYSE
JRO,08-Apr-2010,12.43,12.63,12.43,12.63,134300,NYSE
JRO,09-Apr-2010,12.72,12.9,12.72,12.77,307200,NYSE
JRO,12-Apr-2010,12.77,12.77,12.68,12.69,159000,NYSE
JRO,13-Apr-2010,12.68,12.79,12.64,12.77,163500,NYSE
JRO,14-Apr-2010,12.85,12.91,12.78,12.82,182400,NYSE
JRO,15-Apr-2010,12.71,12.82,12.61,12.68,211800,NYSE
JRO,16-Apr-2010,12.68,12.77,12.59,12.69,187300,NYSE
JRO,19-Apr-2010,12.74,12.75,12.53,12.55,121600,NYSE
JRO,20-Apr-2010,12.64,12.76,12.5,12.58,218200,NYSE
JRO,21-Apr-2010,12.62,12.69,12.46,12.48,143100,NYSE
JRO,22-Apr-2010,12.53,12.62,12.49,12.6,112400,NYSE
JRO,23-Apr-2010,12.65,12.83,12.64,12.78,177900,NYSE
JRO,26-Apr-2010,12.84,12.96,12.79,12.96,197600,NYSE
JRO,27-Apr-2010,12.85,12.96,12.77,12.78,221500,NYSE
JRO,28-Apr-2010,12.91,12.91,12.31,12.52,294100,NYSE
JRO,29-Apr-2010,12.64,12.69,12.56,12.62,139000,NYSE
JRO,30-Apr-2010,12.62,12.76,12.62,12.69,78000,NYSE
JRO,03-May-2010,12.75,12.87,12.74,12.85,155800,NYSE
JRO,04-May-2010,12.73,12.85,12.73,12.79,144200,NYSE
JRO,05-May-2010,12.75,12.75,11.97,12.1,342700,NYSE
JRO,06-May-2010,12.01,12.9,4.47,11.18,653300,NYSE
JRO,07-May-2010,11.19,11.49,10.61,11.37,239100,NYSE
JRO,10-May-2010,11.6,11.74,11.45,11.63,141600,NYSE
JRO,11-May-2010,11.54,11.94,11.51,11.94,92200,NYSE
JRO,12-May-2010,11.97,12.01,11.8,12.01,115200,NYSE
JRO,13-May-2010,12.09,12.12,11.85,12.07,132700,NYSE
JRO,14-May-2010,12.08,12.09,11.65,11.86,200700,NYSE
JRO,17-May-2010,11.91,11.94,11.18,11.65,144100,NYSE
JRO,18-May-2010,11.79,11.9,11.37,11.37,78800,NYSE
JRO,19-May-2010,11.31,11.43,10.78,11.21,160300,NYSE
JRO,20-May-2010,10.86,10.9,10.35,10.63,239400,NYSE
JRO,21-May-2010,10.2,10.9,10.13,10.9,229300,NYSE
JRO,24-May-2010,10.81,11.0,10.78,11.0,91700,NYSE
JRO,25-May-2010,10.82,10.87,10.58,10.85,92600,NYSE
JRO,26-May-2010,10.96,11.15,10.86,10.98,93100,NYSE
JRO,27-May-2010,11.22,11.24,10.98,11.15,81200,NYSE
JRO,28-May-2010,11.22,11.23,11.01,11.1,60600,NYSE
JRO,01-Jun-2010,10.81,11.35,10.81,11.22,123100,NYSE
JRO,02-Jun-2010,11.24,11.3,11.02,11.18,73100,NYSE
JRO,03-Jun-2010,11.3,11.33,11.1,11.22,60200,NYSE
JRO,04-Jun-2010,11.14,11.15,10.88,11.02,87500,NYSE
