name,date,open_price,close_price,high_price,low_price,volume,market
KKR,15-Jul-2010,10.5,11.08,10.2,10.2,8791300,NYSE
KKR,16-Jul-2010,10.25,10.33,9.4,9.69,428300,NYSE
KKR,19-Jul-2010,9.95,9.97,9.68,9.79,272500,NYSE
KKR,20-Jul-2010,10.18,10.18,8.83,9.25,3116500,NYSE
KKR,21-Jul-2010,9.26,9.29,8.64,8.8,746700,NYSE
KKR,22-Jul-2010,8.8,9.35,8.8,9.3,2691600,NYSE
KKR,23-Jul-2010,9.28,9.5,9.28,9.5,257300,NYSE
KKR,26-Jul-2010,9.98,9.98,9.62,9.69,1613200,NYSE
KKR,27-Jul-2010,9.9,10.18,9.65,9.85,1159800,NYSE
KKR,28-Jul-2010,9.95,10.02,9.56,9.59,789100,NYSE
KKR,29-Jul-2010,9.71,9.76,9.35,9.48,626200,NYSE
KKR,30-Jul-2010,9.52,9.52,9.02,9.05,2072100,NYSE
KKR,02-Aug-2010,9.49,9.84,9.19,9.44,1032900,NYSE
KKR,03-Aug-2010,9.5,9.59,9.3,9.53,367200,NYSE
KKR,04-Aug-2010,9.54,9.63,9.44,9.54,2207500,NYSE
KKR,05-Aug-2010,9.6,9.97,9.6,9.9,3230800,NYSE
KKR,06-Aug-2010,9.88,9.9,9.66,9.86,533600,NYSE
KKR,09-Aug-2010,10.0,10.01,9.8,9.89,1148300,NYSE
KKR,10-Aug-2010,9.93,9.94,9.8,9.83,832700,NYSE
KKR,11-Aug-2010,9.81,9.85,9.57,9.82,667900,NYSE
KKR,12-Aug-2010,9.8,10.14,9.71,10.06,797600,NYSE
KKR,13-Aug-2010,10.11,10.18,9.98,10.16,1260100,NYSE
KKR,16-Aug-2010,10.04,10.1,9.95,9.99,1044900,NYSE
KKR,17-Aug-2010,10.0,10.5,9.99,10.39,1047700,NYSE
KKR,18-Aug-2010,10.85,10.85,10.2,10.54,2044900,NYSE
KKR,19-Aug-2010,10.55,10.7,10.3,10.42,1918600,NYSE
KKR,20-Aug-2010,10.41,10.47,10.24,10.3,1029900,NYSE
KKR,23-Aug-2010,10.34,10.39,10.11,10.11,2007900,NYSE
KKR,24-Aug-2010,10.03,10.25,9.93,10.17,615700,NYSE
KKR,25-Aug-2010,10.18,10.2,10.0,10.12,1014100,NYSE
KKR,26-Aug-2010,10.04,10.16,10.02,10.06,274600,NYSE
KKR,27-Aug-2010,10.1,10.26,10.0,10.23,595700,NYSE
KKR,30-Aug-2010,10.18,10.21,9.96,10.04,518000,NYSE
KKR,31-Aug-2010,10.0,10.08,9.92,10.02,1000300,NYSE
KKR,01-Sep-2010,10.12,10.77,10.06,10.24,1323500,NYSE
KKR,02-Sep-2010,10.17,10.29,10.05,10.21,1362800,NYSE
KKR,03-Sep-2010,10.25,10.29,10.15,10.25,444500,NYSE
KKR,07-Sep-2010,10.11,10.35,10.11,10.25,1210300,NYSE
KKR,08-Sep-2010,10.24,10.74,9.77,10.25,1662100,NYSE
KKR,09-Sep-2010,10.23,10.3,10.08,10.17,436200,NYSE
KKR,10-Sep-2010,10.17,10.25,10.04,10.16,956400,NYSE
KKR,13-Sep-2010,10.24,10.29,10.05,10.28,1713100,NYSE
KKR,14-Sep-2010,10.2,10.29,10.05,10.11,358300,NYSE
KKR,15-Sep-2010,10.11,10.25,10.05,10.18,451400,NYSE
KKR,16-Sep-2010,10.08,10.24,10.08,10.2,422900,NYSE
KKR,17-Sep-2010,10.25,10.25,10.08,10.2,275800,NYSE
KKR,20-Sep-2010,10.2,10.21,10.05,10.11,760600,NYSE
KKR,21-Sep-2010,10.1,10.23,10.01,10.1,1372300,NYSE
KKR,22-Sep-2010,10.07,10.35,10.02,10.25,1076600,NYSE
KKR,23-Sep-2010,10.23,10.4,10.1,10.28,781900,NYSE
KKR,24-Sep-2010,10.27,10.69,10.27,10.64,338700,NYSE
KKR,27-Sep-2010,10.68,11.0,10.5,10.68,1024700,NYSE
KKR,28-Sep-2010,10.76,10.79,10.41,10.49,16616200,NYSE
KKR,29-Sep-2010,10.35,10.65,10.26,10.6,761400,NYSE
KKR,30-Sep-2010,10.65,11.0,10.4,10.6,984300,NYSE
KKR,01-Oct-2010,10.65,10.9,10.62,10.84,1459500,NYSE
KKR,04-Oct-2010,10.85,10.92,10.73,10.73,865900,NYSE
KKR,05-Oct-2010,10.7,10.93,10.66,10.83,1475500,NYSE
KKR,06-Oct-2010,10.78,10.87,10.4,10.5,999800,NYSE
KKR,07-Oct-2010,10.49,10.63,10.4,10.58,292100,NYSE
KKR,08-Oct-2010,10.63,11.18,10.63,11.1,3009800,NYSE
KKR,11-Oct-2010,11.12,11.12,10.81,11.0,1110900,NYSE
KKR,12-Oct-2010,11.0,11.43,11.0,11.29,1068300,NYSE
KKR,13-Oct-2010,11.33,11.55,11.2,11.36,1899500,NYSE
KKR,14-Oct-2010,11.28,11.35,11.09,11.2,697600,NYSE
KKR,15-Oct-2010,11.18,11.25,10.95,10.98,354300,NYSE
KKR,18-Oct-2010,11.0,11.23,10.98,11.22,290800,NYSE
KKR,19-Oct-2010,11.15,11.24,10.85,10.95,311500,NYSE
KKR,20-Oct-2010,10.94,11.44,10.94,11.38,330000,NYSE
KKR,21-Oct-2010,11.54,12.18,11.41,11.8,3250800,NYSE
KKR,22-Oct-2010,11.77,12.0,11.74,11.76,1105600,NYSE
KKR,25-Oct-2010,11.94,12.12,11.88,11.96,839500,NYSE
KKR,26-Oct-2010,11.99,12.01,11.77,11.93,729100,NYSE
KKR,27-Oct-2010,11.97,12.25,11.81,12.11,1082200,NYSE
KKR,28-Oct-2010,12.26,12.62,11.19,12.36,2549100,NYSE
KKR,29-Oct-2010,12.02,12.97,11.75,12.68,2954100,NYSE
KKR,01-Nov-2010,12.84,12.94,12.41,12.51,1660600,NYSE
KKR,02-Nov-2010,12.64,12.79,12.43,12.65,1176300,NYSE
KKR,03-Nov-2010,12.7,12.78,12.4,12.7,1138200,NYSE
KKR,04-Nov-2010,13.0,13.45,12.8,13.39,2631300,NYSE
KKR,05-Nov-2010,13.2,13.75,13.11,13.25,4005900,NYSE
KKR,08-Nov-2010,13.2,13.34,13.16,13.22,625100,NYSE
KKR,09-Nov-2010,13.12,13.46,12.62,12.76,1443300,NYSE
KKR,10-Nov-2010,12.85,13.05,12.84,12.93,1195000,NYSE
KKR,11-Nov-2010,12.97,13.41,12.89,13.27,1579400,NYSE
KKR,12-Nov-2010,13.25,13.32,12.94,13.2,821900,NYSE
KKR,15-Nov-2010,13.21,13.35,12.98,13.04,848200,NYSE
KKR,16-Nov-2010,12.91,12.95,12.65,12.74,941800,NYSE
KKR,17-Nov-2010,12.79,12.79,12.65,12.65,252400,NYSE
KKR,18-Nov-2010,12.85,12.99,12.65,12.75,4297600,NYSE
KKR,19-Nov-2010,12.75,12.93,12.65,12.8,752000,NYSE
KKR,22-Nov-2010,12.85,13.03,12.75,12.78,1637900,NYSE
KKR,23-Nov-2010,12.67,12.81,12.6,12.76,1066800,NYSE
KKR,24-Nov-2010,12.83,12.89,12.73,12.84,686400,NYSE
KKR,26-Nov-2010,12.79,12.94,12.68,12.83,541500,NYSE
KKR,29-Nov-2010,13.35,13.35,12.5,12.74,1260900,NYSE
KKR,30-Nov-2010,12.73,12.75,12.57,12.58,1024400,NYSE
KKR,01-Dec-2010,12.94,12.94,12.52,12.65,1510200,NYSE
KKR,02-Dec-2010,12.62,12.85,12.62,12.77,751200,NYSE
KKR,03-Dec-2010,12.75,12.9,12.74,12.77,892500,NYSE
KKR,06-Dec-2010,12.88,12.95,12.8,12.89,1192400,NYSE
KKR,07-Dec-2010,12.96,13.12,12.94,13.07,2362800,NYSE
KKR,08-Dec-2010,13.07,13.28,12.99,13.28,1915600,NYSE
KKR,09-Dec-2010,13.4,13.54,13.24,13.38,2391200,NYSE
KKR,10-Dec-2010,13.48,13.48,13.29,13.41,3214600,NYSE
KKR,13-Dec-2010,13.41,13.46,13.3,13.44,1621300,NYSE
KKR,14-Dec-2010,13.46,13.5,13.3,13.47,2293000,NYSE
KKR,15-Dec-2010,13.52,13.7,13.48,13.55,1770300,NYSE
KKR,16-Dec-2010,13.44,13.56,13.25,13.33,928200,NYSE
KKR,17-Dec-2010,13.46,13.49,13.26,13.38,1267400,NYSE
KKR,20-Dec-2010,13.45,13.75,13.38,13.57,1483200,NYSE
KKR,21-Dec-2010,13.68,14.56,13.68,14.49,3073300,NYSE
KKR,22-Dec-2010,14.68,14.81,14.32,14.53,2025900,NYSE
KKR,23-Dec-2010,14.6,14.6,14.39,14.5,668300,NYSE
KKR,27-Dec-2010,14.42,14.51,14.15,14.42,514300,NYSE
KKR,28-Dec-2010,14.43,14.45,14.1,14.15,1246900,NYSE
KKR,29-Dec-2010,14.15,14.49,14.0,14.4,759300,NYSE
KKR,30-Dec-2010,14.49,14.66,14.33,14.33,1190700,NYSE
KKR,31-Dec-2010,14.45,14.55,14.09,14.2,1102200,NYSE
KKR,03-Jan-2011,14.43,14.52,14.35,14.5,2419700,NYSE
KKR,04-Jan-2011,14.5,14.68,14.23,14.45,1251000,NYSE
KKR,05-Jan-2011,14.41,15.2,14.15,15.14,1623100,NYSE
KKR,06-Jan-2011,15.06,15.29,14.83,15.23,2225700,NYSE
KKR,07-Jan-2011,15.3,15.4,14.93,14.97,1006700,NYSE
KKR,10-Jan-2011,15.04,15.2,14.91,15.09,1454500,NYSE
KKR,11-Jan-2011,15.48,15.5,14.82,15.0,1286000,NYSE
KKR,12-Jan-2011,15.1,15.3,15.06,15.22,1177800,NYSE
KKR,13-Jan-2011,15.32,15.65,15.15,15.65,3661100,NYSE
