name,date,open_price,close_price,high_price,low_price,volume,market
KO,04-Jan-2010,28.58,28.61,28.45,28.52,6935200,NYSE
KO,05-Jan-2010,28.425,28.495,28.07,28.175,11586500,NYSE
KO,06-Jan-2010,28.175,28.22,27.99,28.165,9632700,NYSE
KO,07-Jan-2010,28.165,28.185,27.875,28.095,6617200,NYSE
KO,08-Jan-2010,27.73,27.82,27.375,27.575,14358700,NYSE
KO,11-Jan-2010,27.575,28.225,27.4,28.135,14321600,NYSE
KO,12-Jan-2010,28.045,28.5,28.03,28.44,11634800,NYSE
KO,13-Jan-2010,28.43,28.715,28.345,28.515,7578800,NYSE
KO,14-Jan-2010,28.52,28.625,28.385,28.565,6196200,NYSE
KO,15-Jan-2010,28.475,28.675,28.02,28.145,13730900,NYSE
KO,19-Jan-2010,28.11,28.245,27.96,28.21,7307600,NYSE
KO,20-Jan-2010,28.08,28.195,27.645,27.75,9406600,NYSE
KO,21-Jan-2010,27.775,27.79,27.095,27.185,13700300,NYSE
KO,22-Jan-2010,27.175,27.43,26.99,27.12,11775800,NYSE
KO,25-Jan-2010,27.245,27.27,26.94,27.175,8426500,NYSE
KO,26-Jan-2010,27.035,27.25,26.935,27.07,7757500,NYSE
KO,27-Jan-2010,27.0,27.33,26.85,27.255,10141100,NYSE
KO,28-Jan-2010,27.355,27.42,27.065,27.09,10453900,NYSE
KO,29-Jan-2010,27.22,27.47,26.95,27.125,11074500,NYSE
KO,01-Feb-2010,27.255,27.28,27.0,27.19,7267500,NYSE
KO,02-Feb-2010,27.265,27.605,27.075,27.525,8444300,NYSE
KO,03-Feb-2010,27.46,27.48,27.265,27.435,7949700,NYSE
KO,04-Feb-2010,27.275,27.34,26.7,26.715,10672100,NYSE
KO,05-Feb-2010,26.62,26.715,26.265,26.545,14643900,NYSE
KO,08-Feb-2010,26.635,26.635,26.285,26.325,8362600,NYSE
KO,09-Feb-2010,26.845,27.49,26.685,27.005,15747900,NYSE
KO,10-Feb-2010,27.3,27.3,26.585,26.895,9358700,NYSE
KO,11-Feb-2010,26.8,27.165,26.635,27.11,13163500,NYSE
KO,12-Feb-2010,26.96,27.2,26.81,26.99,12320400,NYSE
KO,16-Feb-2010,27.255,27.41,26.965,27.41,9669600,NYSE
KO,17-Feb-2010,27.405,27.775,27.38,27.665,8532200,NYSE
KO,18-Feb-2010,27.575,27.96,27.575,27.955,8633900,NYSE
KO,19-Feb-2010,27.9,27.95,27.59,27.86,9472300,NYSE
KO,22-Feb-2010,27.9,27.93,27.635,27.69,6743700,NYSE
KO,23-Feb-2010,27.705,27.8,27.395,27.415,7417700,NYSE
