name,date,open_price,close_price,high_price,low_price,volume,market
KT,04-Jan-2010,17.24,17.24,17.04,17.12,242100,NYSE
KT,05-Jan-2010,17.68,17.97,17.65,17.85,510500,NYSE
KT,06-Jan-2010,18.37,18.37,18.03,18.06,501600,NYSE
KT,07-Jan-2010,18.54,18.63,18.45,18.58,664100,NYSE
KT,08-Jan-2010,19.5,19.97,19.5,19.67,1118300,NYSE
KT,11-Jan-2010,19.96,19.96,19.67,19.77,274400,NYSE
KT,12-Jan-2010,19.31,19.5,19.17,19.25,723700,NYSE
KT,13-Jan-2010,19.69,19.81,19.43,19.51,878800,NYSE
KT,14-Jan-2010,19.2,19.38,19.18,19.25,1027200,NYSE
KT,15-Jan-2010,19.92,20.08,19.69,20.04,1095800,NYSE
KT,19-Jan-2010,20.13,20.34,20.02,20.12,633700,NYSE
KT,20-Jan-2010,20.98,21.38,20.93,21.08,1018200,NYSE
KT,21-Jan-2010,21.39,21.47,20.92,20.93,1139000,NYSE
KT,22-Jan-2010,20.98,21.06,20.73,20.73,939100,NYSE
KT,25-Jan-2010,20.58,20.58,20.4,20.51,942400,NYSE
KT,26-Jan-2010,20.29,20.4,20.04,20.11,756200,NYSE
KT,27-Jan-2010,21.43,21.64,21.3,21.43,1574900,NYSE
KT,28-Jan-2010,21.65,21.65,21.13,21.23,1107100,NYSE
KT,29-Jan-2010,21.72,21.78,21.02,21.13,1128400,NYSE
KT,01-Feb-2010,21.32,21.32,21.02,21.17,1144100,NYSE
KT,02-Feb-2010,21.3,21.33,21.2,21.25,1514200,NYSE
KT,03-Feb-2010,20.9,21.05,20.48,20.56,830900,NYSE
KT,04-Feb-2010,20.75,20.82,20.11,20.16,1452800,NYSE
KT,05-Feb-2010,19.99,19.99,19.15,19.44,743400,NYSE
KT,08-Feb-2010,20.36,20.36,19.86,19.99,966100,NYSE
KT,09-Feb-2010,19.92,20.11,19.82,20.08,794000,NYSE
KT,10-Feb-2010,20.04,20.06,19.75,20.05,415400,NYSE
KT,11-Feb-2010,20.22,20.39,19.91,20.34,313300,NYSE
KT,12-Feb-2010,20.28,20.46,20.23,20.35,616600,NYSE
KT,16-Feb-2010,20.26,20.26,19.87,20.12,1257300,NYSE
KT,17-Feb-2010,20.45,20.46,20.31,20.39,2522800,NYSE
KT,18-Feb-2010,20.28,20.5,20.24,20.49,505700,NYSE
KT,19-Feb-2010,20.21,20.32,20.0,20.04,962300,NYSE
KT,22-Feb-2010,20.42,20.42,20.19,20.37,393900,NYSE
KT,23-Feb-2010,20.12,20.24,19.6,19.62,595900,NYSE
KT,24-Feb-2010,19.35,19.37,19.17,19.28,696400,NYSE
KT,25-Feb-2010,18.8,18.86,18.65,18.81,646100,NYSE
KT,26-Feb-2010,19.02,19.19,18.99,19.18,427200,NYSE
KT,01-Mar-2010,19.02,19.43,19.02,19.36,300000,NYSE
KT,02-Mar-2010,19.27,19.47,19.14,19.36,568000,NYSE
KT,03-Mar-2010,19.53,19.54,19.36,19.39,260900,NYSE
KT,04-Mar-2010,19.15,19.16,18.97,19.08,730300,NYSE
KT,05-Mar-2010,19.08,19.67,19.05,19.64,1480100,NYSE
KT,08-Mar-2010,20.29,20.58,20.29,20.5,688100,NYSE
KT,09-Mar-2010,20.63,20.9,20.6,20.75,1315300,NYSE
KT,10-Mar-2010,20.77,20.93,20.61,20.79,441300,NYSE
KT,11-Mar-2010,20.61,20.61,20.33,20.5,294300,NYSE
KT,12-Mar-2010,20.65,20.69,20.54,20.69,420700,NYSE
KT,15-Mar-2010,20.54,20.54,20.29,20.33,248300,NYSE
KT,16-Mar-2010,20.39,20.43,20.26,20.43,248600,NYSE
KT,17-Mar-2010,20.39,20.49,20.26,20.36,302800,NYSE
KT,18-Mar-2010,20.23,20.27,20.09,20.21,192200,NYSE
KT,19-Mar-2010,20.49,20.57,20.39,20.4,713700,NYSE
KT,22-Mar-2010,20.5,20.73,20.5,20.69,223500,NYSE
KT,23-Mar-2010,20.67,20.71,20.56,20.69,419800,NYSE
KT,24-Mar-2010,20.66,20.69,20.51,20.59,297300,NYSE
KT,25-Mar-2010,20.77,20.83,20.61,20.7,400700,NYSE
KT,26-Mar-2010,20.86,21.16,20.8,20.94,370000,NYSE
KT,29-Mar-2010,20.91,21.0,20.78,20.94,276200,NYSE
KT,30-Mar-2010,20.89,20.9,20.65,20.72,192700,NYSE
KT,31-Mar-2010,20.72,20.92,20.6,20.76,367400,NYSE
KT,01-Apr-2010,21.06,21.18,20.98,21.16,601000,NYSE
KT,05-Apr-2010,20.39,20.49,20.05,20.11,432000,NYSE
KT,06-Apr-2010,20.19,20.36,20.15,20.33,392100,NYSE
KT,07-Apr-2010,20.65,20.82,20.55,20.82,321200,NYSE
KT,08-Apr-2010,20.82,20.93,20.72,20.82,225200,NYSE
KT,09-Apr-2010,20.93,21.1,20.85,21.1,247800,NYSE
KT,12-Apr-2010,20.94,21.03,20.76,20.77,360600,NYSE
KT,13-Apr-2010,20.83,20.89,20.71,20.87,219000,NYSE
KT,14-Apr-2010,20.74,20.81,20.63,20.81,204300,NYSE
KT,15-Apr-2010,20.75,20.95,20.75,20.94,158800,NYSE
KT,16-Apr-2010,20.75,20.86,20.38,20.53,305600,NYSE
KT,19-Apr-2010,20.55,20.56,20.39,20.4,333700,NYSE
KT,20-Apr-2010,21.07,21.36,21.07,21.35,648500,NYSE
KT,21-Apr-2010,21.56,21.56,21.32,21.38,670000,NYSE
KT,22-Apr-2010,21.3,21.61,21.16,21.53,468700,NYSE
KT,23-Apr-2010,21.75,21.85,21.52,21.84,408200,NYSE
KT,26-Apr-2010,21.83,21.85,21.69,21.77,364500,NYSE
KT,27-Apr-2010,21.3,21.34,20.92,20.92,623500,NYSE
KT,28-Apr-2010,20.9,20.91,20.68,20.82,429600,NYSE
KT,29-Apr-2010,21.2,21.64,21.2,21.5,342100,NYSE
KT,30-Apr-2010,21.97,22.81,21.86,22.6,2558600,NYSE
KT,03-May-2010,22.44,22.66,22.44,22.62,721200,NYSE
KT,04-May-2010,22.25,22.28,21.51,21.64,695400,NYSE
KT,05-May-2010,21.54,21.58,21.23,21.44,770400,NYSE
KT,06-May-2010,21.26,21.43,20.94,21.34,1677500,NYSE
KT,07-May-2010,20.97,21.14,20.39,20.95,1530800,NYSE
KT,10-May-2010,21.39,21.7,21.29,21.69,1153000,NYSE
KT,11-May-2010,20.99,21.18,20.69,21.11,1014500,NYSE
KT,12-May-2010,20.87,21.08,20.79,20.89,580600,NYSE
KT,13-May-2010,21.07,21.27,20.92,21.12,369000,NYSE
KT,14-May-2010,21.8,21.82,21.25,21.36,395700,NYSE
KT,17-May-2010,20.93,20.99,20.19,20.43,689000,NYSE
KT,18-May-2010,20.89,20.96,20.68,20.85,1041500,NYSE
KT,19-May-2010,20.29,20.54,20.19,20.32,464800,NYSE
KT,20-May-2010,19.84,19.86,19.0,19.14,914700,NYSE
KT,21-May-2010,18.97,19.61,18.94,19.59,289200,NYSE
KT,24-May-2010,19.48,19.85,19.42,19.71,1125400,NYSE
KT,25-May-2010,19.01,19.01,18.25,18.82,1118500,NYSE
KT,26-May-2010,18.63,18.89,18.54,18.69,1363500,NYSE
KT,27-May-2010,18.81,19.1,18.68,19.03,2217500,NYSE
KT,28-May-2010,18.88,18.88,18.39,18.61,1126800,NYSE
KT,01-Jun-2010,18.74,19.12,18.66,18.84,419400,NYSE
KT,02-Jun-2010,18.94,19.25,18.84,19.16,988500,NYSE
KT,03-Jun-2010,19.49,19.96,19.49,19.9,1424200,NYSE
KT,04-Jun-2010,19.59,19.7,19.49,19.58,864600,NYSE
KT,07-Jun-2010,19.6,19.61,19.03,19.03,683000,NYSE
KT,08-Jun-2010,19.16,19.57,19.05,19.52,1191000,NYSE
KT,09-Jun-2010,19.75,20.17,19.72,19.95,1911500,NYSE
KT,10-Jun-2010,20.11,20.54,20.06,20.49,1561400,NYSE
KT,11-Jun-2010,20.2,20.36,20.11,20.36,968300,NYSE
KT,14-Jun-2010,20.41,20.41,20.19,20.26,351900,NYSE
KT,15-Jun-2010,19.95,20.38,19.89,20.37,788200,NYSE
KT,16-Jun-2010,19.72,19.9,19.67,19.8,545300,NYSE
KT,17-Jun-2010,19.58,19.75,19.18,19.72,504400,NYSE
KT,18-Jun-2010,19.47,19.87,19.47,19.86,758200,NYSE
KT,21-Jun-2010,19.99,20.08,19.77,19.89,646500,NYSE
KT,22-Jun-2010,19.93,20.07,19.65,19.66,568900,NYSE
KT,23-Jun-2010,19.75,19.9,19.55,19.73,397800,NYSE
KT,24-Jun-2010,19.47,19.52,19.29,19.34,265600,NYSE
KT,25-Jun-2010,19.12,19.33,18.95,19.25,420000,NYSE
KT,28-Jun-2010,19.25,19.32,19.18,19.24,203900,NYSE
KT,29-Jun-2010,19.13,19.27,18.87,18.99,1068200,NYSE
KT,30-Jun-2010,19.03,19.33,18.89,19.17,813000,NYSE
KT,01-Jul-2010,18.86,19.09,18.73,19.04,688200,NYSE
KT,02-Jul-2010,19.0,19.07,18.86,18.95,598300,NYSE
KT,06-Jul-2010,18.91,19.0,18.54,18.66,1206200,NYSE
KT,07-Jul-2010,18.54,18.85,18.48,18.81,632400,NYSE
KT,08-Jul-2010,18.82,18.88,18.72,18.76,731300,NYSE
KT,09-Jul-2010,18.84,19.5,18.82,19.47,983600,NYSE
KT,12-Jul-2010,19.31,19.31,19.1,19.1,714500,NYSE
KT,13-Jul-2010,18.92,19.22,18.92,19.12,640200,NYSE
KT,14-Jul-2010,18.61,18.63,18.29,18.46,917300,NYSE
KT,15-Jul-2010,17.97,17.97,17.48,17.79,1845400,NYSE
KT,16-Jul-2010,17.81,17.98,17.74,17.85,1766500,NYSE
KT,19-Jul-2010,17.72,17.88,17.7,17.85,548700,NYSE
KT,20-Jul-2010,17.74,18.15,17.74,18.07,663900,NYSE
KT,21-Jul-2010,18.05,18.29,17.95,17.97,1253000,NYSE
KT,22-Jul-2010,18.04,18.27,17.99,18.23,970000,NYSE
KT,23-Jul-2010,18.45,18.51,18.33,18.42,809900,NYSE
KT,26-Jul-2010,18.56,18.81,18.36,18.8,980300,NYSE
KT,27-Jul-2010,18.8,18.95,18.58,18.84,788400,NYSE
KT,28-Jul-2010,18.79,18.81,18.62,18.73,571500,NYSE
KT,29-Jul-2010,18.87,18.89,18.68,18.73,610600,NYSE
KT,30-Jul-2010,18.71,18.92,18.71,18.85,518000,NYSE
KT,02-Aug-2010,19.14,19.28,19.08,19.25,923000,NYSE
KT,03-Aug-2010,19.19,19.28,19.07,19.18,532200,NYSE
KT,04-Aug-2010,19.15,19.15,18.71,18.77,1117800,NYSE
KT,05-Aug-2010,18.78,18.82,18.67,18.78,897900,NYSE
KT,06-Aug-2010,18.74,19.07,18.74,18.94,305400,NYSE
KT,09-Aug-2010,19.03,19.03,18.94,19.0,330100,NYSE
KT,10-Aug-2010,18.86,18.86,18.69,18.76,634500,NYSE
KT,11-Aug-2010,18.51,18.53,18.01,18.05,1463500,NYSE
KT,12-Aug-2010,17.97,18.13,17.93,18.06,406800,NYSE
KT,13-Aug-2010,18.11,18.3,18.11,18.2,297500,NYSE
KT,16-Aug-2010,18.44,18.73,18.44,18.45,815600,NYSE
KT,17-Aug-2010,18.86,18.89,18.78,18.83,944300,NYSE
KT,18-Aug-2010,18.92,19.46,18.92,19.32,1175800,NYSE
KT,19-Aug-2010,19.33,19.92,19.27,19.91,2273200,NYSE
KT,20-Aug-2010,19.7,19.74,19.49,19.68,892100,NYSE
KT,23-Aug-2010,19.64,19.64,19.47,19.48,625300,NYSE
KT,24-Aug-2010,19.21,19.21,18.74,18.91,2166000,NYSE
KT,25-Aug-2010,18.93,18.97,18.68,18.79,1200600,NYSE
KT,26-Aug-2010,18.94,19.02,18.79,18.84,1141900,NYSE
KT,27-Aug-2010,18.84,18.93,18.69,18.86,1071200,NYSE
KT,30-Aug-2010,18.81,18.87,18.64,18.64,259100,NYSE
KT,31-Aug-2010,18.63,18.75,18.52,18.67,1084400,NYSE
KT,01-Sep-2010,19.04,19.41,19.01,19.39,474900,NYSE
KT,02-Sep-2010,19.21,19.33,19.03,19.18,662400,NYSE
KT,03-Sep-2010,19.25,19.35,19.14,19.25,647500,NYSE
KT,07-Sep-2010,19.08,19.18,18.82,18.89,678400,NYSE
KT,08-Sep-2010,18.76,18.76,18.51,18.58,833100,NYSE
KT,09-Sep-2010,18.8,19.24,18.73,19.13,1019900,NYSE
KT,10-Sep-2010,19.21,19.31,19.16,19.23,392400,NYSE
KT,13-Sep-2010,19.13,19.47,19.12,19.45,940100,NYSE
KT,14-Sep-2010,19.34,19.38,19.13,19.27,1846000,NYSE
KT,15-Sep-2010,19.04,19.3,19.04,19.3,1074100,NYSE
KT,16-Sep-2010,19.04,19.11,18.91,19.09,784800,NYSE
KT,17-Sep-2010,19.09,19.14,18.96,19.07,476000,NYSE
KT,20-Sep-2010,19.19,19.54,19.19,19.51,639600,NYSE
KT,21-Sep-2010,19.45,19.54,19.3,19.46,839300,NYSE
KT,22-Sep-2010,19.41,19.52,19.26,19.32,701900,NYSE
KT,23-Sep-2010,19.24,19.35,19.19,19.19,299700,NYSE
KT,24-Sep-2010,19.39,19.52,19.34,19.47,503400,NYSE
KT,27-Sep-2010,19.68,20.11,19.63,20.02,876400,NYSE
KT,28-Sep-2010,20.09,20.36,20.06,20.31,1122200,NYSE
KT,29-Sep-2010,20.52,20.71,20.34,20.37,1033600,NYSE
KT,30-Sep-2010,20.57,20.8,20.46,20.46,767900,NYSE
KT,01-Oct-2010,20.65,20.84,20.63,20.77,836700,NYSE
KT,04-Oct-2010,20.91,21.27,20.91,21.15,820200,NYSE
KT,05-Oct-2010,21.29,21.53,21.25,21.53,987500,NYSE
KT,06-Oct-2010,21.48,21.74,21.45,21.7,853200,NYSE
KT,07-Oct-2010,21.63,21.74,21.58,21.64,807900,NYSE
KT,08-Oct-2010,21.53,21.57,21.38,21.55,454800,NYSE
KT,11-Oct-2010,21.52,22.12,21.47,21.81,686700,NYSE
KT,12-Oct-2010,21.51,21.65,21.3,21.42,1303800,NYSE
KT,13-Oct-2010,21.59,21.71,21.32,21.67,1040500,NYSE
KT,14-Oct-2010,21.59,21.69,21.5,21.65,1033300,NYSE
KT,15-Oct-2010,21.6,21.68,21.46,21.54,1095800,NYSE
KT,18-Oct-2010,21.43,21.57,21.33,21.57,464400,NYSE
KT,19-Oct-2010,21.23,21.29,20.88,20.95,911200,NYSE
KT,20-Oct-2010,21.1,21.28,21.04,21.21,830000,NYSE
KT,21-Oct-2010,21.36,21.5,21.07,21.16,808200,NYSE
KT,22-Oct-2010,21.08,21.1,20.75,20.99,1080700,NYSE
KT,25-Oct-2010,21.13,21.15,20.86,20.87,1045500,NYSE
KT,26-Oct-2010,20.78,20.81,20.61,20.64,676700,NYSE
KT,27-Oct-2010,20.71,20.73,20.19,20.29,978200,NYSE
KT,28-Oct-2010,20.48,20.66,20.47,20.63,1032700,NYSE
KT,29-Oct-2010,20.5,20.69,20.33,20.69,1418900,NYSE
KT,01-Nov-2010,20.72,21.02,20.68,20.91,655700,NYSE
KT,02-Nov-2010,20.88,21.31,20.85,21.27,1092000,NYSE
KT,03-Nov-2010,21.15,21.43,21.0,21.34,1224300,NYSE
KT,04-Nov-2010,21.16,21.23,21.09,21.13,1029500,NYSE
KT,05-Nov-2010,21.26,21.43,21.01,21.04,836100,NYSE
KT,08-Nov-2010,21.2,21.36,21.18,21.34,556600,NYSE
KT,09-Nov-2010,21.73,21.78,21.58,21.62,1240000,NYSE
KT,10-Nov-2010,21.74,22.07,21.69,22.07,865100,NYSE
KT,11-Nov-2010,21.79,22.04,21.69,22.02,1458900,NYSE
KT,12-Nov-2010,21.82,22.07,21.52,21.8,1695100,NYSE
KT,15-Nov-2010,21.97,22.11,21.84,21.92,830000,NYSE
KT,16-Nov-2010,21.83,21.93,21.38,21.43,1005300,NYSE
KT,17-Nov-2010,21.35,21.58,21.35,21.41,989000,NYSE
KT,18-Nov-2010,21.72,22.11,21.69,21.97,849300,NYSE
KT,19-Nov-2010,21.83,21.83,21.44,21.52,752600,NYSE
KT,22-Nov-2010,21.5,21.52,21.27,21.38,743000,NYSE
KT,23-Nov-2010,20.99,21.04,20.37,20.72,840300,NYSE
KT,24-Nov-2010,20.85,20.88,20.69,20.82,762400,NYSE
KT,26-Nov-2010,20.47,20.59,20.37,20.45,439300,NYSE
KT,29-Nov-2010,20.5,20.58,20.26,20.34,463400,NYSE
KT,30-Nov-2010,20.33,20.45,20.27,20.34,1148800,NYSE
KT,01-Dec-2010,20.59,20.7,20.41,20.5,615200,NYSE
KT,02-Dec-2010,20.5,20.67,20.36,20.67,407400,NYSE
KT,03-Dec-2010,20.7,20.7,20.43,20.69,242700,NYSE
KT,06-Dec-2010,20.7,20.93,20.63,20.92,779500,NYSE
KT,07-Dec-2010,20.98,21.03,20.83,20.89,750200,NYSE
KT,08-Dec-2010,20.77,20.84,20.39,20.53,957200,NYSE
KT,09-Dec-2010,20.6,20.71,20.35,20.51,926400,NYSE
KT,10-Dec-2010,20.65,20.86,20.61,20.78,732300,NYSE
KT,13-Dec-2010,21.13,21.36,21.09,21.14,522400,NYSE
KT,14-Dec-2010,21.3,21.47,21.23,21.39,487800,NYSE
KT,15-Dec-2010,21.25,21.29,20.77,20.83,701400,NYSE
KT,16-Dec-2010,20.98,21.42,20.98,21.2,714800,NYSE
KT,17-Dec-2010,21.2,21.24,20.96,21.0,453200,NYSE
KT,20-Dec-2010,21.08,21.15,21.02,21.11,425600,NYSE
KT,21-Dec-2010,21.38,21.38,21.0,21.01,1146100,NYSE
KT,22-Dec-2010,21.11,21.25,21.06,21.25,425300,NYSE
KT,23-Dec-2010,21.24,21.34,21.16,21.34,319500,NYSE
KT,27-Dec-2010,21.65,21.7,21.46,21.47,454700,NYSE
KT,28-Dec-2010,21.59,21.7,21.59,21.64,423300,NYSE
KT,29-Dec-2010,20.9,20.98,20.54,20.76,888900,NYSE
KT,30-Dec-2010,20.83,20.83,20.63,20.76,300500,NYSE
KT,31-Dec-2010,20.67,20.85,20.67,20.8,88400,NYSE
KT,03-Jan-2011,20.86,20.86,20.61,20.72,453100,NYSE
KT,04-Jan-2011,20.65,20.65,20.3,20.38,917800,NYSE
KT,05-Jan-2011,20.39,20.39,20.18,20.37,1032700,NYSE
KT,06-Jan-2011,20.47,20.47,20.28,20.39,410000,NYSE
