name,date,open_price,close_price,high_price,low_price,volume,market
LXU,04-Jan-2010,14.3,14.5,13.91,14.12,134000,NYSE
LXU,05-Jan-2010,14.07,15.34,14.04,15.05,326200,NYSE
LXU,06-Jan-2010,15.08,15.83,14.96,15.7,181500,NYSE
LXU,07-Jan-2010,15.77,15.99,15.53,15.57,93600,NYSE
LXU,08-Jan-2010,15.57,15.57,14.78,15.12,203000,NYSE
LXU,11-Jan-2010,15.23,15.4,14.95,15.0,116400,NYSE
LXU,12-Jan-2010,14.87,15.01,14.59,14.67,90100,NYSE
LXU,13-Jan-2010,14.67,15.11,14.67,15.01,61700,NYSE
LXU,14-Jan-2010,15.0,15.03,14.77,14.9,43800,NYSE
LXU,15-Jan-2010,14.97,15.1,14.66,14.85,94400,NYSE
LXU,19-Jan-2010,14.83,15.55,14.75,15.42,115600,NYSE
LXU,20-Jan-2010,15.24,15.24,14.44,14.84,96400,NYSE
LXU,21-Jan-2010,14.81,14.91,14.2,14.21,124900,NYSE
LXU,22-Jan-2010,14.16,14.31,13.87,13.89,74100,NYSE
LXU,25-Jan-2010,13.92,14.2,13.92,14.11,50300,NYSE
LXU,26-Jan-2010,14.01,14.12,13.79,13.8,37100,NYSE
LXU,27-Jan-2010,13.7,13.94,13.55,13.82,78100,NYSE
LXU,28-Jan-2010,13.81,14.07,13.46,13.48,50600,NYSE
LXU,29-Jan-2010,13.51,13.7,13.08,13.15,108700,NYSE
LXU,01-Feb-2010,13.18,13.75,13.0,13.67,98300,NYSE
LXU,02-Feb-2010,13.69,13.9,13.43,13.74,91800,NYSE
LXU,03-Feb-2010,13.68,13.92,13.46,13.71,40100,NYSE
LXU,04-Feb-2010,13.59,13.59,13.06,13.27,76400,NYSE
LXU,05-Feb-2010,13.19,13.25,12.61,13.09,73400,NYSE
LXU,08-Feb-2010,13.13,13.23,12.89,13.0,104700,NYSE
LXU,09-Feb-2010,13.16,13.24,12.91,12.97,62300,NYSE
LXU,10-Feb-2010,13.07,13.19,13.0,13.1,55300,NYSE
LXU,11-Feb-2010,13.13,13.29,13.04,13.28,74700,NYSE
LXU,12-Feb-2010,13.13,13.37,13.05,13.17,79600,NYSE
LXU,16-Feb-2010,13.23,14.14,13.23,14.03,129200,NYSE
LXU,17-Feb-2010,14.11,14.6,14.11,14.58,110100,NYSE
LXU,18-Feb-2010,14.61,14.8,14.3,14.45,63100,NYSE
LXU,19-Feb-2010,14.35,14.5,14.14,14.34,71300,NYSE
LXU,22-Feb-2010,14.34,14.62,14.18,14.25,49700,NYSE
LXU,23-Feb-2010,14.27,14.39,13.85,14.01,79600,NYSE
LXU,24-Feb-2010,14.0,14.38,13.9,13.99,61500,NYSE
LXU,25-Feb-2010,13.79,14.33,13.6,14.29,104700,NYSE
LXU,26-Feb-2010,14.32,14.44,13.95,14.21,45500,NYSE
LXU,01-Mar-2010,14.23,14.39,14.11,14.21,107100,NYSE
LXU,02-Mar-2010,14.3,14.83,14.25,14.53,102900,NYSE
LXU,03-Mar-2010,14.61,14.97,14.58,14.71,81900,NYSE
LXU,04-Mar-2010,14.71,15.04,14.71,14.89,64100,NYSE
LXU,05-Mar-2010,14.93,15.43,14.88,15.38,129200,NYSE
LXU,08-Mar-2010,15.42,15.44,15.0,15.08,127000,NYSE
LXU,09-Mar-2010,14.38,14.6,14.0,14.26,304900,NYSE
LXU,10-Mar-2010,14.17,14.51,14.05,14.24,129800,NYSE
LXU,11-Mar-2010,14.1,14.45,14.03,14.39,85700,NYSE
LXU,12-Mar-2010,14.48,14.5,14.12,14.37,87900,NYSE
LXU,15-Mar-2010,14.3,14.48,14.21,14.45,87400,NYSE
