name,date,open_price,close_price,high_price,low_price,volume,market
MCD,04-Jan-2010,62.58,63.07,62.31,62.78,5839200,NYSE
MCD,05-Jan-2010,62.66,62.75,62.19,62.3,7098900,NYSE
MCD,06-Jan-2010,62.2,62.41,61.06,61.45,10551800,NYSE
MCD,07-Jan-2010,61.25,62.34,61.11,61.9,7517600,NYSE
MCD,08-Jan-2010,62.27,62.41,61.6,61.84,6107200,NYSE
MCD,11-Jan-2010,62.02,62.43,61.85,62.32,6081600,NYSE
MCD,12-Jan-2010,62.03,62.66,62.0,62.66,7199300,NYSE
MCD,13-Jan-2010,62.86,63.29,62.56,62.59,8623200,NYSE
MCD,14-Jan-2010,62.56,62.73,62.09,62.65,7095500,NYSE
MCD,15-Jan-2010,62.67,62.98,62.05,62.28,9429500,NYSE
MCD,19-Jan-2010,62.9,63.82,62.77,63.48,8551500,NYSE
MCD,20-Jan-2010,63.49,63.6,62.75,63.01,6997100,NYSE
MCD,21-Jan-2010,62.97,63.6,62.8,63.2,11725200,NYSE
MCD,22-Jan-2010,63.23,64.78,62.81,63.39,15647100,NYSE
MCD,25-Jan-2010,63.34,63.6,62.92,63.09,6382600,NYSE
MCD,26-Jan-2010,62.75,64.0,62.75,63.81,9297400,NYSE
MCD,27-Jan-2010,63.67,64.0,63.3,63.73,8080700,NYSE
MCD,28-Jan-2010,63.85,63.87,62.75,62.83,8560900,NYSE
MCD,29-Jan-2010,62.82,63.22,62.39,62.43,7591200,NYSE
MCD,01-Feb-2010,62.83,63.97,62.83,63.89,8069400,NYSE
MCD,02-Feb-2010,63.87,64.05,63.35,64.03,7272500,NYSE
MCD,03-Feb-2010,64.63,65.75,64.61,65.21,13695200,NYSE
MCD,04-Feb-2010,65.19,65.27,64.02,64.06,10873500,NYSE
MCD,05-Feb-2010,64.07,64.34,62.63,63.37,14010900,NYSE
MCD,08-Feb-2010,63.48,63.8,62.92,62.92,6976800,NYSE
MCD,09-Feb-2010,63.15,63.85,62.77,63.57,10131400,NYSE
MCD,10-Feb-2010,63.54,63.83,62.97,63.25,6161300,NYSE
MCD,11-Feb-2010,63.25,63.84,62.54,63.79,7478900,NYSE
MCD,12-Feb-2010,63.21,63.89,63.19,63.59,6750000,NYSE
MCD,16-Feb-2010,63.5,64.18,63.28,64.01,7090100,NYSE
MCD,17-Feb-2010,64.21,64.35,63.77,64.26,5424500,NYSE
MCD,18-Feb-2010,64.11,64.62,64.0,64.48,4976200,NYSE
MCD,19-Feb-2010,64.46,64.89,64.3,64.74,5622500,NYSE
MCD,22-Feb-2010,64.93,64.93,64.63,64.77,4274900,NYSE
MCD,23-Feb-2010,64.78,65.05,64.7,64.87,7485600,NYSE
MCD,24-Feb-2010,64.96,65.55,64.77,65.26,7579600,NYSE
MCD,25-Feb-2010,64.29,64.64,63.76,64.38,8499900,NYSE
MCD,26-Feb-2010,64.46,64.73,63.85,63.85,8288500,NYSE
MCD,01-Mar-2010,63.98,64.14,63.67,63.98,6320200,NYSE
MCD,02-Mar-2010,64.42,64.42,63.91,64.07,6271600,NYSE
MCD,03-Mar-2010,64.25,64.34,63.45,63.63,6396000,NYSE
MCD,04-Mar-2010,63.79,63.79,63.3,63.43,5958100,NYSE
MCD,05-Mar-2010,63.72,63.76,63.25,63.67,8154900,NYSE
MCD,08-Mar-2010,64.41,65.54,64.23,65.12,11826100,NYSE
MCD,09-Mar-2010,64.99,65.5,64.84,65.1,7126800,NYSE
MCD,10-Mar-2010,65.02,65.24,64.73,64.94,6900200,NYSE
MCD,11-Mar-2010,64.8,65.21,64.67,65.21,4350500,NYSE
MCD,12-Mar-2010,65.46,65.98,65.36,65.53,6601600,NYSE
MCD,15-Mar-2010,65.7,66.19,65.69,65.93,5715100,NYSE
MCD,16-Mar-2010,66.22,66.24,65.8,66.07,5705500,NYSE
MCD,17-Mar-2010,66.23,66.44,65.87,66.38,4818700,NYSE
MCD,18-Mar-2010,66.47,66.74,66.36,66.68,6208600,NYSE
MCD,19-Mar-2010,66.89,66.91,66.0,66.53,10230000,NYSE
MCD,22-Mar-2010,66.07,67.25,65.9,67.01,7386400,NYSE
MCD,23-Mar-2010,67.14,67.35,66.83,67.35,8057600,NYSE
MCD,24-Mar-2010,66.99,67.19,66.58,66.8,6363600,NYSE
MCD,25-Mar-2010,67.13,67.44,66.84,66.9,5705500,NYSE
MCD,26-Mar-2010,67.09,67.45,66.93,67.26,5984000,NYSE
MCD,29-Mar-2010,67.46,67.48,66.59,67.07,6522500,NYSE
MCD,30-Mar-2010,67.11,67.49,66.92,67.24,5093700,NYSE
MCD,31-Mar-2010,67.15,67.39,66.63,66.72,5765700,NYSE
MCD,01-Apr-2010,67.06,67.71,67.06,67.58,5475600,NYSE
MCD,05-Apr-2010,67.76,68.2,67.76,68.03,4875500,NYSE
MCD,06-Apr-2010,67.77,67.96,67.65,67.81,3318500,NYSE
MCD,07-Apr-2010,67.8,68.13,67.26,67.7,6623600,NYSE
MCD,08-Apr-2010,67.9,69.03,67.87,68.76,7140900,NYSE
MCD,09-Apr-2010,68.66,68.77,68.14,68.68,5623100,NYSE
MCD,12-Apr-2010,68.77,68.85,68.37,68.53,4025200,NYSE
MCD,13-Apr-2010,68.68,69.05,68.31,68.92,5653900,NYSE
MCD,14-Apr-2010,69.18,69.53,69.05,69.42,6194200,NYSE
MCD,15-Apr-2010,69.31,69.49,68.97,69.16,4767100,NYSE
MCD,16-Apr-2010,69.11,69.28,68.33,69.03,7876400,NYSE
MCD,19-Apr-2010,69.0,69.97,68.99,69.92,7158200,NYSE
MCD,20-Apr-2010,69.98,70.59,69.95,70.34,7347000,NYSE
MCD,21-Apr-2010,70.62,71.19,70.05,70.36,10738100,NYSE
MCD,22-Apr-2010,70.25,71.47,70.12,71.03,7139600,NYSE
MCD,23-Apr-2010,71.22,71.35,70.75,71.15,5923600,NYSE
MCD,26-Apr-2010,71.3,71.42,70.73,71.02,6035700,NYSE
MCD,27-Apr-2010,70.71,71.33,70.4,70.53,8155300,NYSE
MCD,28-Apr-2010,70.48,70.73,69.76,70.34,7589300,NYSE
MCD,29-Apr-2010,70.58,71.7,70.58,71.52,7357300,NYSE
MCD,30-Apr-2010,71.53,71.71,70.39,70.59,6966500,NYSE
MCD,03-May-2010,70.88,71.84,70.65,71.42,5991700,NYSE
MCD,04-May-2010,71.15,71.3,70.3,70.64,7240800,NYSE
MCD,05-May-2010,70.4,71.06,70.13,70.66,9574900,NYSE
MCD,06-May-2010,70.45,71.49,67.49,69.42,16491200,NYSE
MCD,07-May-2010,69.02,69.32,67.42,68.01,15285500,NYSE
MCD,10-May-2010,70.07,71.05,69.75,70.58,10903200,NYSE
MCD,11-May-2010,70.17,71.1,70.13,70.48,6710000,NYSE
MCD,12-May-2010,70.73,70.94,70.15,70.67,5655500,NYSE
MCD,13-May-2010,70.71,71.3,70.45,70.5,5735300,NYSE
MCD,14-May-2010,70.28,70.45,69.1,69.59,9112200,NYSE
MCD,17-May-2010,69.82,70.25,69.35,70.14,7468100,NYSE
MCD,18-May-2010,70.53,70.81,69.84,70.02,6899400,NYSE
MCD,19-May-2010,69.66,69.95,68.9,69.4,7814300,NYSE
MCD,20-May-2010,68.54,69.36,67.63,67.66,13573100,NYSE
MCD,21-May-2010,67.07,68.04,65.55,67.86,12615200,NYSE
MCD,24-May-2010,67.84,68.51,67.26,67.66,6744400,NYSE
MCD,25-May-2010,66.59,67.84,66.2,67.84,9257900,NYSE
MCD,26-May-2010,67.89,68.06,66.0,66.01,11525800,NYSE
MCD,27-May-2010,66.41,67.2,66.02,67.2,9728100,NYSE
MCD,28-May-2010,67.24,67.63,66.75,66.87,7164700,NYSE
MCD,01-Jun-2010,66.23,67.31,66.04,66.36,5367600,NYSE
MCD,02-Jun-2010,66.53,67.8,66.2,67.77,5750500,NYSE
MCD,03-Jun-2010,67.8,68.25,67.44,67.85,4402400,NYSE
MCD,04-Jun-2010,66.82,68.09,66.52,66.7,7557900,NYSE
MCD,07-Jun-2010,66.64,67.82,66.25,66.75,9808800,NYSE
MCD,08-Jun-2010,67.16,68.45,65.81,68.38,13568200,NYSE
MCD,09-Jun-2010,68.68,68.9,68.04,68.26,8925900,NYSE
MCD,10-Jun-2010,68.98,69.41,68.71,69.37,6743500,NYSE
MCD,11-Jun-2010,68.86,69.55,68.75,69.54,5367600,NYSE
MCD,14-Jun-2010,69.95,69.98,69.3,69.3,4525300,NYSE
MCD,15-Jun-2010,69.94,70.49,69.85,70.4,6419900,NYSE
