name,date,open_price,close_price,high_price,low_price,volume,market
MDU,04-Jan-2010,23.91,24.15,23.81,23.91,461900,NYSE
MDU,05-Jan-2010,23.92,24.06,23.73,23.85,540800,NYSE
MDU,06-Jan-2010,23.25,24.08,23.23,23.58,692300,NYSE
MDU,07-Jan-2010,23.12,23.67,23.12,23.61,291500,NYSE
MDU,08-Jan-2010,23.6,23.64,23.37,23.63,252400,NYSE
MDU,11-Jan-2010,23.65,23.87,23.64,23.72,355900,NYSE
MDU,12-Jan-2010,23.6,23.74,23.44,23.53,433000,NYSE
MDU,13-Jan-2010,23.51,23.84,23.41,23.79,262900,NYSE
MDU,14-Jan-2010,23.67,23.86,23.56,23.84,260800,NYSE
MDU,15-Jan-2010,23.73,23.73,23.21,23.35,609700,NYSE
MDU,19-Jan-2010,23.36,23.4,23.2,23.25,849300,NYSE
MDU,20-Jan-2010,23.12,23.44,23.1,23.37,623400,NYSE
MDU,21-Jan-2010,23.46,23.84,23.42,23.59,993000,NYSE
MDU,22-Jan-2010,23.72,23.74,23.1,23.13,742900,NYSE
MDU,25-Jan-2010,23.32,23.4,23.1,23.13,787100,NYSE
MDU,26-Jan-2010,23.1,23.19,22.96,22.99,842300,NYSE
MDU,27-Jan-2010,22.99,23.13,22.62,22.85,1128200,NYSE
MDU,28-Jan-2010,22.92,23.01,22.38,22.4,621500,NYSE
MDU,29-Jan-2010,22.5,22.59,21.94,22.02,1132800,NYSE
MDU,01-Feb-2010,20.82,21.15,20.0,20.85,1823200,NYSE
MDU,02-Feb-2010,20.88,21.64,20.77,21.6,1161900,NYSE
MDU,03-Feb-2010,21.47,21.49,21.17,21.23,872200,NYSE
MDU,04-Feb-2010,21.03,21.03,20.35,20.39,984300,NYSE
MDU,05-Feb-2010,20.28,20.28,19.58,19.89,1399900,NYSE
MDU,08-Feb-2010,19.95,19.95,19.54,19.62,918600,NYSE
MDU,09-Feb-2010,19.78,20.24,19.65,20.02,1475700,NYSE
MDU,10-Feb-2010,20.02,20.11,19.69,19.92,812500,NYSE
MDU,11-Feb-2010,19.91,20.08,19.75,19.99,781000,NYSE
MDU,12-Feb-2010,19.79,19.84,19.57,19.8,926100,NYSE
MDU,16-Feb-2010,19.92,20.34,19.84,20.34,796500,NYSE
MDU,17-Feb-2010,20.34,20.69,20.18,20.32,916900,NYSE
MDU,18-Feb-2010,20.25,20.61,20.24,20.59,928300,NYSE
MDU,19-Feb-2010,20.6,20.83,20.46,20.74,950900,NYSE
MDU,22-Feb-2010,20.85,20.85,20.61,20.66,518200,NYSE
MDU,23-Feb-2010,20.61,20.66,20.3,20.4,1278900,NYSE
MDU,24-Feb-2010,20.4,20.57,20.23,20.5,603700,NYSE
MDU,25-Feb-2010,20.28,20.51,20.13,20.5,612700,NYSE
MDU,26-Feb-2010,20.47,20.49,20.23,20.44,768400,NYSE
MDU,01-Mar-2010,20.47,20.75,20.47,20.74,768100,NYSE
MDU,02-Mar-2010,20.88,20.99,20.77,20.9,760700,NYSE
MDU,03-Mar-2010,20.98,21.15,20.89,21.02,483300,NYSE
MDU,04-Mar-2010,21.07,21.14,20.93,21.05,564600,NYSE
MDU,05-Mar-2010,21.17,21.52,21.17,21.52,515100,NYSE
MDU,08-Mar-2010,21.5,21.65,21.47,21.63,432000,NYSE
MDU,09-Mar-2010,21.42,21.57,21.38,21.48,600500,NYSE
MDU,10-Mar-2010,21.36,21.55,21.23,21.41,976900,NYSE
MDU,11-Mar-2010,21.3,21.58,21.28,21.58,339400,NYSE
MDU,12-Mar-2010,21.59,21.63,21.4,21.63,451000,NYSE
MDU,15-Mar-2010,21.7,21.7,21.45,21.6,410400,NYSE
MDU,16-Mar-2010,21.78,21.97,21.56,21.97,861600,NYSE
MDU,17-Mar-2010,21.97,22.38,21.91,22.24,923300,NYSE
MDU,18-Mar-2010,22.2,22.2,21.84,21.85,670700,NYSE
MDU,19-Mar-2010,21.84,22.14,21.79,21.96,1024200,NYSE
MDU,22-Mar-2010,21.84,22.1,21.75,21.95,521100,NYSE
MDU,23-Mar-2010,22.01,22.08,21.92,21.95,646000,NYSE
MDU,24-Mar-2010,21.89,22.04,21.79,21.79,600200,NYSE
MDU,25-Mar-2010,21.99,22.0,21.72,21.77,744300,NYSE
MDU,26-Mar-2010,21.75,21.84,21.57,21.67,686300,NYSE
MDU,29-Mar-2010,21.7,21.98,21.59,21.89,903800,NYSE
MDU,30-Mar-2010,21.89,22.0,21.78,21.9,423900,NYSE
MDU,31-Mar-2010,21.78,21.79,21.5,21.58,1026500,NYSE
MDU,01-Apr-2010,21.69,22.0,21.67,21.91,656500,NYSE
MDU,05-Apr-2010,21.95,22.32,21.91,22.32,541700,NYSE
MDU,06-Apr-2010,22.24,22.37,22.06,22.37,714500,NYSE
MDU,07-Apr-2010,22.23,22.31,21.88,22.01,696700,NYSE
MDU,08-Apr-2010,21.87,21.93,21.65,21.85,645300,NYSE
MDU,09-Apr-2010,21.76,21.94,21.57,21.93,829600,NYSE
MDU,12-Apr-2010,22.0,22.06,21.91,22.0,769900,NYSE
MDU,13-Apr-2010,21.91,22.1,21.8,21.95,1181100,NYSE
MDU,14-Apr-2010,21.99,22.06,21.8,22.06,747000,NYSE
MDU,15-Apr-2010,21.98,22.01,21.78,21.89,735800,NYSE
MDU,16-Apr-2010,21.78,22.05,21.77,21.86,861000,NYSE
MDU,19-Apr-2010,21.74,21.91,21.62,21.77,638000,NYSE
MDU,20-Apr-2010,21.89,22.1,21.78,22.07,512000,NYSE
MDU,21-Apr-2010,22.06,22.21,21.94,22.01,608100,NYSE
MDU,22-Apr-2010,21.9,22.32,21.81,22.32,572800,NYSE
MDU,23-Apr-2010,22.29,22.74,22.15,22.74,621600,NYSE
MDU,26-Apr-2010,22.62,22.9,22.58,22.72,863200,NYSE
MDU,27-Apr-2010,22.64,22.81,22.27,22.37,876000,NYSE
MDU,28-Apr-2010,22.45,22.58,22.26,22.42,478900,NYSE
MDU,29-Apr-2010,22.53,22.73,22.4,22.52,580400,NYSE
MDU,30-Apr-2010,22.49,22.49,21.18,21.2,1577400,NYSE
MDU,03-May-2010,21.24,21.35,20.21,20.46,1373000,NYSE
MDU,04-May-2010,20.16,20.6,19.79,19.87,1653400,NYSE
MDU,05-May-2010,19.66,20.03,19.57,19.76,1147200,NYSE
MDU,06-May-2010,19.76,19.82,17.53,18.71,1611300,NYSE
MDU,07-May-2010,18.72,18.98,18.2,18.47,1768600,NYSE
MDU,10-May-2010,19.26,19.47,18.87,19.0,1659100,NYSE
MDU,11-May-2010,18.87,19.52,18.87,19.36,2084500,NYSE
MDU,12-May-2010,19.4,19.52,19.33,19.38,1241700,NYSE
MDU,13-May-2010,19.39,19.9,19.21,19.67,1249200,NYSE
MDU,14-May-2010,19.57,19.67,19.23,19.44,1079700,NYSE
MDU,17-May-2010,19.48,19.66,18.85,19.15,1010600,NYSE
MDU,18-May-2010,19.29,19.34,18.82,18.91,1285000,NYSE
MDU,19-May-2010,18.91,18.99,18.41,18.61,1562000,NYSE
MDU,20-May-2010,18.26,18.43,17.98,17.98,1561700,NYSE
MDU,21-May-2010,17.75,18.08,17.65,17.98,1828800,NYSE
MDU,24-May-2010,17.98,18.1,17.78,17.9,1179600,NYSE
MDU,25-May-2010,17.54,17.63,17.11,17.56,1514400,NYSE
MDU,26-May-2010,17.66,18.1,17.58,17.79,1013600,NYSE
MDU,27-May-2010,18.05,18.28,18.0,18.22,644500,NYSE
