name,date,open_price,close_price,high_price,low_price,volume,market
MIN,04-Jan-2010,6.71,6.71,6.65,6.68,593600,NYSE
MIN,05-Jan-2010,6.66,6.73,6.66,6.72,361500,NYSE
MIN,06-Jan-2010,6.7,6.79,6.7,6.78,408100,NYSE
MIN,07-Jan-2010,6.76,6.78,6.74,6.75,467300,NYSE
MIN,08-Jan-2010,6.79,6.79,6.73,6.76,343000,NYSE
MIN,11-Jan-2010,6.75,6.8,6.75,6.79,426900,NYSE
MIN,12-Jan-2010,6.78,6.78,6.69,6.72,498000,NYSE
MIN,13-Jan-2010,6.73,6.77,6.72,6.76,328400,NYSE
MIN,14-Jan-2010,6.74,6.75,6.72,6.75,397800,NYSE
MIN,15-Jan-2010,6.71,6.77,6.71,6.76,344900,NYSE
MIN,19-Jan-2010,6.75,6.78,6.73,6.76,403700,NYSE
MIN,20-Jan-2010,6.76,6.77,6.74,6.77,331400,NYSE
MIN,21-Jan-2010,6.77,6.78,6.76,6.78,430200,NYSE
MIN,22-Jan-2010,6.75,6.79,6.75,6.77,534900,NYSE
MIN,25-Jan-2010,6.76,6.79,6.76,6.79,477200,NYSE
MIN,26-Jan-2010,6.78,6.8,6.78,6.8,573800,NYSE
MIN,27-Jan-2010,6.8,6.8,6.76,6.77,708300,NYSE
MIN,28-Jan-2010,6.78,6.79,6.77,6.78,519200,NYSE
MIN,29-Jan-2010,6.79,6.79,6.76,6.76,493900,NYSE
MIN,01-Feb-2010,6.75,6.78,6.75,6.76,466700,NYSE
MIN,02-Feb-2010,6.78,6.78,6.76,6.78,656600,NYSE
MIN,03-Feb-2010,6.77,6.79,6.76,6.78,546800,NYSE
MIN,04-Feb-2010,6.76,6.77,6.72,6.75,431200,NYSE
MIN,05-Feb-2010,6.75,6.8,6.75,6.79,599700,NYSE
MIN,08-Feb-2010,6.75,6.79,6.7,6.78,657100,NYSE
MIN,09-Feb-2010,6.76,6.76,6.72,6.75,810600,NYSE
MIN,10-Feb-2010,6.74,6.82,6.74,6.82,430500,NYSE
MIN,11-Feb-2010,6.83,6.83,6.77,6.79,426200,NYSE
MIN,12-Feb-2010,6.78,6.82,6.75,6.82,441500,NYSE
MIN,16-Feb-2010,6.82,6.84,6.78,6.82,416600,NYSE
MIN,17-Feb-2010,6.83,6.87,6.82,6.86,363400,NYSE
MIN,18-Feb-2010,6.86,6.9,6.76,6.76,548400,NYSE
MIN,19-Feb-2010,6.77,6.78,6.7,6.74,532800,NYSE
MIN,22-Feb-2010,6.76,6.76,6.7,6.72,415400,NYSE
MIN,23-Feb-2010,6.73,6.74,6.7,6.73,543900,NYSE
MIN,24-Feb-2010,6.74,6.83,6.73,6.82,526000,NYSE
MIN,25-Feb-2010,6.8,6.83,6.79,6.82,348100,NYSE
MIN,26-Feb-2010,6.85,6.85,6.81,6.85,339500,NYSE
MIN,01-Mar-2010,6.88,6.89,6.82,6.86,361700,NYSE
MIN,02-Mar-2010,6.86,6.88,6.86,6.88,337700,NYSE
MIN,03-Mar-2010,6.86,6.88,6.83,6.83,412400,NYSE
MIN,04-Mar-2010,6.84,6.86,6.84,6.85,482800,NYSE
MIN,05-Mar-2010,6.85,6.89,6.85,6.86,398400,NYSE
MIN,08-Mar-2010,6.86,6.88,6.86,6.88,346300,NYSE
MIN,09-Mar-2010,6.86,6.86,6.8,6.85,355800,NYSE
MIN,10-Mar-2010,6.87,6.87,6.83,6.85,258800,NYSE
MIN,11-Mar-2010,6.85,6.87,6.84,6.87,332000,NYSE
MIN,12-Mar-2010,6.88,6.88,6.85,6.86,352600,NYSE
MIN,15-Mar-2010,6.9,6.9,6.83,6.84,302000,NYSE
MIN,16-Mar-2010,6.83,6.87,6.82,6.86,236400,NYSE
MIN,17-Mar-2010,6.87,6.88,6.84,6.85,413900,NYSE
MIN,18-Mar-2010,6.86,6.86,6.83,6.85,426800,NYSE
MIN,19-Mar-2010,6.83,6.85,6.83,6.83,350500,NYSE
MIN,22-Mar-2010,6.84,6.84,6.82,6.83,330800,NYSE
MIN,23-Mar-2010,6.84,6.86,6.84,6.86,430000,NYSE
MIN,24-Mar-2010,6.85,6.89,6.85,6.89,468500,NYSE
MIN,25-Mar-2010,6.89,6.93,6.88,6.9,524300,NYSE
MIN,26-Mar-2010,6.89,6.93,6.86,6.9,653100,NYSE
MIN,29-Mar-2010,6.89,6.9,6.83,6.85,656400,NYSE
MIN,30-Mar-2010,6.84,6.85,6.83,6.83,300400,NYSE
MIN,31-Mar-2010,6.86,6.86,6.8,6.82,404200,NYSE
MIN,01-Apr-2010,6.83,6.83,6.77,6.81,662900,NYSE
MIN,05-Apr-2010,6.79,6.79,6.71,6.72,726700,NYSE
MIN,06-Apr-2010,6.72,6.73,6.6,6.61,874400,NYSE
MIN,07-Apr-2010,6.65,6.69,6.6,6.63,576100,NYSE
MIN,08-Apr-2010,6.61,6.74,6.61,6.74,441300,NYSE
MIN,09-Apr-2010,6.72,6.77,6.71,6.73,452700,NYSE
MIN,12-Apr-2010,6.7,6.7,6.61,6.63,539900,NYSE
MIN,13-Apr-2010,6.64,6.66,6.57,6.61,659800,NYSE
MIN,14-Apr-2010,6.61,6.63,6.54,6.56,814500,NYSE
MIN,15-Apr-2010,6.57,6.57,6.42,6.49,1099900,NYSE
MIN,16-Apr-2010,6.47,6.53,6.42,6.49,656200,NYSE
MIN,19-Apr-2010,6.49,6.6,6.45,6.6,449800,NYSE
MIN,20-Apr-2010,6.63,6.65,6.53,6.57,382600,NYSE
MIN,21-Apr-2010,6.62,6.62,6.5,6.52,543000,NYSE
MIN,22-Apr-2010,6.53,6.56,6.47,6.5,411700,NYSE
MIN,23-Apr-2010,6.51,6.56,6.49,6.54,502500,NYSE
MIN,26-Apr-2010,6.53,6.63,6.53,6.56,468500,NYSE
MIN,27-Apr-2010,6.56,6.61,6.55,6.6,282300,NYSE
MIN,28-Apr-2010,6.64,6.66,6.59,6.66,472900,NYSE
MIN,29-Apr-2010,6.65,6.66,6.58,6.58,448700,NYSE
MIN,30-Apr-2010,6.63,6.63,6.58,6.62,262800,NYSE
MIN,03-May-2010,6.65,6.69,6.62,6.69,412600,NYSE
MIN,04-May-2010,6.67,6.69,6.63,6.64,242800,NYSE
MIN,05-May-2010,6.6,6.65,6.55,6.59,370800,NYSE
MIN,06-May-2010,6.54,6.6,5.89,6.16,1799100,NYSE
MIN,07-May-2010,6.29,6.45,6.23,6.41,944200,NYSE
MIN,10-May-2010,6.58,6.66,6.5,6.53,485100,NYSE
MIN,11-May-2010,6.52,6.55,6.51,6.54,389600,NYSE
MIN,12-May-2010,6.55,6.58,6.48,6.52,604200,NYSE
MIN,13-May-2010,6.56,6.57,6.49,6.57,318700,NYSE
MIN,14-May-2010,6.53,6.54,6.5,6.52,358600,NYSE
MIN,17-May-2010,6.54,6.54,6.45,6.51,354700,NYSE
MIN,18-May-2010,6.54,6.58,6.47,6.58,797900,NYSE
MIN,19-May-2010,6.55,6.59,6.48,6.56,387100,NYSE
MIN,20-May-2010,6.51,6.51,6.41,6.49,483600,NYSE
MIN,21-May-2010,6.42,6.55,6.41,6.47,374100,NYSE
MIN,24-May-2010,6.46,6.52,6.42,6.48,358000,NYSE
MIN,25-May-2010,6.45,6.53,6.4,6.53,290900,NYSE
MIN,26-May-2010,6.59,6.6,6.5,6.55,278900,NYSE
MIN,27-May-2010,6.59,6.62,6.54,6.59,263900,NYSE
MIN,28-May-2010,6.71,6.71,6.56,6.62,214500,NYSE
MIN,01-Jun-2010,6.55,6.66,6.55,6.62,406800,NYSE
MIN,02-Jun-2010,6.66,6.66,6.57,6.6,303900,NYSE
MIN,03-Jun-2010,6.62,6.7,6.6,6.7,350100,NYSE
MIN,04-Jun-2010,6.68,6.69,6.63,6.66,349800,NYSE
MIN,07-Jun-2010,6.7,6.71,6.65,6.69,331700,NYSE
MIN,08-Jun-2010,6.69,6.72,6.65,6.7,301900,NYSE
MIN,09-Jun-2010,6.74,6.74,6.68,6.68,211900,NYSE
MIN,10-Jun-2010,6.73,6.74,6.65,6.72,387600,NYSE
MIN,11-Jun-2010,6.72,6.73,6.66,6.69,298800,NYSE
MIN,14-Jun-2010,6.75,6.75,6.72,6.75,372100,NYSE
MIN,15-Jun-2010,6.74,6.74,6.68,6.73,300800,NYSE
MIN,16-Jun-2010,6.72,6.74,6.69,6.71,334000,NYSE
MIN,17-Jun-2010,6.71,6.73,6.69,6.7,339100,NYSE
MIN,18-Jun-2010,6.7,6.72,6.69,6.69,392300,NYSE
MIN,21-Jun-2010,6.71,6.72,6.64,6.64,341700,NYSE
MIN,22-Jun-2010,6.66,6.67,6.57,6.6,370300,NYSE
MIN,23-Jun-2010,6.61,6.68,6.6,6.68,343300,NYSE
MIN,24-Jun-2010,6.65,6.71,6.61,6.71,407400,NYSE
MIN,25-Jun-2010,6.7,6.7,6.66,6.69,293700,NYSE
MIN,28-Jun-2010,6.7,6.7,6.67,6.68,203400,NYSE
MIN,29-Jun-2010,6.66,6.75,6.66,6.75,523600,NYSE
MIN,30-Jun-2010,6.79,6.82,6.72,6.8,423400,NYSE
MIN,01-Jul-2010,6.82,6.84,6.75,6.77,385300,NYSE
MIN,02-Jul-2010,6.78,6.8,6.75,6.77,225700,NYSE
MIN,06-Jul-2010,6.78,6.8,6.76,6.79,297600,NYSE
MIN,07-Jul-2010,6.8,6.86,6.78,6.86,310600,NYSE
MIN,08-Jul-2010,6.85,6.88,6.82,6.88,227500,NYSE
MIN,09-Jul-2010,6.87,6.88,6.81,6.85,320300,NYSE
MIN,12-Jul-2010,6.82,6.84,6.8,6.82,180000,NYSE
MIN,13-Jul-2010,6.84,6.86,6.78,6.78,361300,NYSE
MIN,14-Jul-2010,6.78,6.82,6.77,6.8,310900,NYSE
MIN,15-Jul-2010,6.82,6.84,6.8,6.83,300500,NYSE
MIN,16-Jul-2010,6.84,6.84,6.81,6.82,241700,NYSE
MIN,19-Jul-2010,6.84,6.85,6.82,6.84,247900,NYSE
MIN,20-Jul-2010,6.82,6.87,6.82,6.87,213000,NYSE
MIN,21-Jul-2010,6.87,6.88,6.85,6.88,345200,NYSE
MIN,22-Jul-2010,6.88,6.9,6.87,6.89,413600,NYSE
MIN,23-Jul-2010,6.9,6.92,6.89,6.92,723900,NYSE
MIN,26-Jul-2010,6.92,6.93,6.91,6.92,428000,NYSE
MIN,27-Jul-2010,6.94,6.94,6.9,6.91,344000,NYSE
MIN,28-Jul-2010,6.92,6.94,6.9,6.9,318200,NYSE
MIN,29-Jul-2010,6.92,6.95,6.9,6.93,533600,NYSE
MIN,30-Jul-2010,6.93,6.97,6.91,6.92,429600,NYSE
MIN,02-Aug-2010,6.94,6.95,6.93,6.93,409400,NYSE
MIN,03-Aug-2010,6.93,6.95,6.92,6.93,306400,NYSE
MIN,04-Aug-2010,6.94,6.99,6.94,6.97,408800,NYSE
MIN,05-Aug-2010,6.98,6.98,6.92,6.92,310100,NYSE
MIN,06-Aug-2010,6.93,6.96,6.92,6.96,279300,NYSE
MIN,09-Aug-2010,6.95,7.0,6.95,7.0,339700,NYSE
MIN,10-Aug-2010,6.98,6.98,6.91,6.96,391200,NYSE
MIN,11-Aug-2010,6.96,7.07,6.94,6.98,591500,NYSE
MIN,12-Aug-2010,6.97,7.04,6.97,7.0,271100,NYSE
MIN,13-Aug-2010,6.98,6.99,6.94,6.96,454800,NYSE
MIN,16-Aug-2010,6.97,7.02,6.95,6.98,354500,NYSE
MIN,17-Aug-2010,7.02,7.03,6.96,6.97,417500,NYSE
MIN,18-Aug-2010,6.98,7.01,6.98,7.01,384600,NYSE
MIN,19-Aug-2010,7.01,7.02,6.98,7.02,311300,NYSE
MIN,20-Aug-2010,7.02,7.04,6.99,7.01,235200,NYSE
MIN,23-Aug-2010,7.04,7.07,7.02,7.03,325200,NYSE
MIN,24-Aug-2010,7.04,7.07,7.02,7.07,374800,NYSE
MIN,25-Aug-2010,7.06,7.08,7.0,7.06,512400,NYSE
MIN,26-Aug-2010,7.07,7.07,7.0,7.0,517700,NYSE
MIN,27-Aug-2010,7.01,7.01,6.96,7.0,481500,NYSE
MIN,30-Aug-2010,7.0,7.04,6.98,7.01,346100,NYSE
MIN,31-Aug-2010,7.07,7.07,6.97,7.03,412700,NYSE
MIN,01-Sep-2010,7.03,7.05,7.02,7.04,272500,NYSE
MIN,02-Sep-2010,7.02,7.04,6.96,7.01,310500,NYSE
MIN,03-Sep-2010,7.03,7.04,6.97,6.97,225800,NYSE
MIN,07-Sep-2010,7.0,7.05,6.98,7.05,263800,NYSE
MIN,08-Sep-2010,7.0,7.09,6.92,7.04,493000,NYSE
MIN,09-Sep-2010,7.04,7.05,6.98,7.01,390900,NYSE
MIN,10-Sep-2010,7.0,7.02,6.99,7.01,236300,NYSE
MIN,13-Sep-2010,7.0,7.0,6.93,6.93,398300,NYSE
MIN,14-Sep-2010,6.95,6.95,6.92,6.95,339200,NYSE
MIN,15-Sep-2010,6.96,6.96,6.92,6.96,313000,NYSE
MIN,16-Sep-2010,6.96,6.96,6.93,6.93,270300,NYSE
MIN,17-Sep-2010,6.93,6.94,6.85,6.92,581900,NYSE
MIN,20-Sep-2010,6.93,6.96,6.87,6.87,451900,NYSE
MIN,21-Sep-2010,6.88,6.9,6.81,6.82,823800,NYSE
MIN,22-Sep-2010,6.82,6.82,6.62,6.77,1427300,NYSE
MIN,23-Sep-2010,6.73,6.78,6.7,6.72,728400,NYSE
MIN,24-Sep-2010,6.75,6.76,6.68,6.72,798800,NYSE
MIN,27-Sep-2010,6.75,6.84,6.73,6.84,338200,NYSE
MIN,28-Sep-2010,6.84,6.89,6.82,6.86,419000,NYSE
MIN,29-Sep-2010,6.78,6.89,6.78,6.89,410200,NYSE
MIN,30-Sep-2010,6.93,6.93,6.87,6.89,368300,NYSE
MIN,01-Oct-2010,6.9,6.96,6.9,6.96,201800,NYSE
MIN,04-Oct-2010,6.97,7.0,6.93,6.98,247000,NYSE
MIN,05-Oct-2010,6.99,7.0,6.95,6.95,280100,NYSE
MIN,06-Oct-2010,6.95,6.95,6.9,6.9,275100,NYSE
MIN,07-Oct-2010,6.92,6.94,6.89,6.93,264400,NYSE
MIN,08-Oct-2010,6.94,6.98,6.91,6.95,276100,NYSE
MIN,11-Oct-2010,6.95,7.02,6.95,6.98,291400,NYSE
MIN,12-Oct-2010,6.96,6.97,6.93,6.94,316800,NYSE
MIN,13-Oct-2010,6.94,6.97,6.92,6.92,357700,NYSE
MIN,14-Oct-2010,6.96,6.97,6.94,6.97,288800,NYSE
MIN,15-Oct-2010,6.96,6.97,6.9,6.93,283400,NYSE
MIN,18-Oct-2010,6.91,6.93,6.84,6.93,490600,NYSE
MIN,19-Oct-2010,6.92,6.93,6.86,6.9,339500,NYSE
MIN,20-Oct-2010,6.86,6.94,6.86,6.9,348200,NYSE
MIN,21-Oct-2010,6.93,6.94,6.91,6.93,388800,NYSE
MIN,22-Oct-2010,6.94,6.94,6.89,6.92,310000,NYSE
MIN,25-Oct-2010,6.92,6.94,6.91,6.92,334500,NYSE
MIN,26-Oct-2010,6.94,6.96,6.92,6.93,455300,NYSE
MIN,27-Oct-2010,6.94,6.95,6.9,6.93,343600,NYSE
MIN,28-Oct-2010,6.94,6.95,6.91,6.92,407500,NYSE
MIN,29-Oct-2010,6.95,6.98,6.93,6.95,273400,NYSE
MIN,01-Nov-2010,6.96,6.98,6.94,6.95,319900,NYSE
MIN,02-Nov-2010,6.97,7.0,6.95,6.98,332800,NYSE
MIN,03-Nov-2010,6.97,7.0,6.97,6.98,291300,NYSE
MIN,04-Nov-2010,7.01,7.04,6.98,7.01,534600,NYSE
MIN,05-Nov-2010,7.01,7.04,7.0,7.02,269700,NYSE
MIN,08-Nov-2010,7.0,7.01,6.97,6.98,443600,NYSE
MIN,09-Nov-2010,7.0,7.02,6.96,6.99,538200,NYSE
MIN,10-Nov-2010,6.99,6.99,6.93,6.97,343600,NYSE
MIN,11-Nov-2010,6.94,6.97,6.93,6.94,421100,NYSE
MIN,12-Nov-2010,6.93,6.94,6.8,6.81,475400,NYSE
