name,date,open_price,close_price,high_price,low_price,volume,market
MO,04-Jan-2010,19.77,19.87,19.58,19.79,11049100,NYSE
MO,05-Jan-2010,19.81,19.85,19.67,19.8,11742000,NYSE
MO,06-Jan-2010,19.85,20.11,19.8,20.09,21307400,NYSE
MO,07-Jan-2010,20.08,20.14,19.95,20.06,14983800,NYSE
MO,08-Jan-2010,20.04,20.12,19.87,20.11,10823200,NYSE
MO,11-Jan-2010,20.28,20.35,20.11,20.26,11916600,NYSE
MO,12-Jan-2010,20.21,20.25,20.03,20.15,15306300,NYSE
MO,13-Jan-2010,20.12,20.4,20.12,20.24,11940400,NYSE
MO,14-Jan-2010,20.23,20.45,20.16,20.38,9621500,NYSE
MO,15-Jan-2010,20.43,20.64,20.31,20.42,16159000,NYSE
MO,19-Jan-2010,20.26,20.57,20.25,20.38,17748400,NYSE
MO,20-Jan-2010,20.27,20.36,20.15,20.33,12584000,NYSE
MO,21-Jan-2010,20.33,20.37,19.81,19.89,21865200,NYSE
MO,22-Jan-2010,19.89,20.04,19.7,19.71,13657000,NYSE
MO,25-Jan-2010,19.82,20.08,19.68,19.91,15154700,NYSE
MO,26-Jan-2010,19.75,20.05,19.75,19.96,13103100,NYSE
MO,27-Jan-2010,19.97,20.05,19.83,19.99,12544500,NYSE
MO,28-Jan-2010,19.9,20.1,19.8,20.01,16447500,NYSE
MO,29-Jan-2010,20.08,20.1,19.83,19.86,19336100,NYSE
MO,01-Feb-2010,19.9,19.98,19.78,19.88,10252600,NYSE
MO,02-Feb-2010,19.93,19.99,19.81,19.93,12403600,NYSE
MO,03-Feb-2010,19.93,19.94,19.69,19.78,11684000,NYSE
MO,04-Feb-2010,19.7,19.72,19.4,19.42,13405400,NYSE
MO,05-Feb-2010,19.38,19.41,19.14,19.38,14334100,NYSE
MO,08-Feb-2010,19.43,19.63,19.35,19.37,13842300,NYSE
MO,09-Feb-2010,19.54,19.58,19.23,19.46,16964900,NYSE
MO,10-Feb-2010,19.54,19.54,19.25,19.38,11380600,NYSE
MO,11-Feb-2010,19.4,19.74,19.25,19.61,17005700,NYSE
MO,12-Feb-2010,19.54,19.74,19.4,19.63,15748900,NYSE
MO,16-Feb-2010,19.84,19.89,19.57,19.73,15082300,NYSE
MO,17-Feb-2010,19.77,19.85,19.7,19.78,8758000,NYSE
MO,18-Feb-2010,19.75,20.08,19.73,20.0,11182100,NYSE
MO,19-Feb-2010,19.93,20.21,19.93,20.16,12753800,NYSE
MO,22-Feb-2010,20.13,20.33,20.08,20.27,12790500,NYSE
MO,23-Feb-2010,20.23,20.25,19.93,19.97,21169900,NYSE
MO,24-Feb-2010,20.08,20.31,19.95,20.26,18103100,NYSE
MO,25-Feb-2010,20.14,20.46,20.01,20.41,21309200,NYSE
MO,26-Feb-2010,20.48,20.48,20.12,20.12,15722600,NYSE
MO,01-Mar-2010,20.17,20.34,20.17,20.27,10422000,NYSE
MO,02-Mar-2010,20.36,20.45,20.3,20.33,12662400,NYSE
MO,03-Mar-2010,20.47,20.48,20.3,20.35,12762400,NYSE
MO,04-Mar-2010,20.4,20.44,20.28,20.42,14095900,NYSE
MO,05-Mar-2010,20.5,20.78,20.48,20.71,12250600,NYSE
MO,08-Mar-2010,20.8,20.81,20.67,20.74,13902100,NYSE
MO,09-Mar-2010,20.73,20.83,20.7,20.77,16555000,NYSE
MO,10-Mar-2010,20.8,20.86,20.7,20.82,15681600,NYSE
MO,11-Mar-2010,20.48,20.58,20.18,20.37,13051700,NYSE
MO,12-Mar-2010,20.47,20.48,20.13,20.2,16538800,NYSE
MO,15-Mar-2010,20.26,20.4,20.11,20.37,13010900,NYSE
MO,16-Mar-2010,20.32,20.52,20.32,20.36,12956000,NYSE
MO,17-Mar-2010,20.45,20.46,20.23,20.33,33244200,NYSE
MO,18-Mar-2010,20.35,20.48,20.35,20.46,8925600,NYSE
MO,19-Mar-2010,20.45,20.55,20.25,20.34,15862200,NYSE
MO,22-Mar-2010,20.31,20.48,20.23,20.44,9447500,NYSE
MO,23-Mar-2010,20.45,20.54,20.36,20.52,8922100,NYSE
MO,24-Mar-2010,20.52,20.52,20.4,20.47,16974500,NYSE
MO,25-Mar-2010,20.49,20.6,20.47,20.52,14848000,NYSE
MO,26-Mar-2010,20.53,20.59,20.37,20.42,11035700,NYSE
MO,29-Mar-2010,20.5,20.69,20.46,20.65,12376300,NYSE
MO,30-Mar-2010,20.69,20.73,20.51,20.65,12762200,NYSE
MO,31-Mar-2010,20.6,20.65,20.46,20.52,9619000,NYSE
MO,01-Apr-2010,20.54,20.84,20.54,20.83,16314300,NYSE
MO,05-Apr-2010,20.89,20.97,20.84,20.92,9015800,NYSE
MO,06-Apr-2010,20.93,21.03,20.9,20.98,10436500,NYSE
MO,07-Apr-2010,21.03,21.03,20.67,20.79,12971300,NYSE
MO,08-Apr-2010,20.68,20.79,20.64,20.68,13182500,NYSE
MO,09-Apr-2010,20.95,20.96,20.7,20.93,8719900,NYSE
MO,12-Apr-2010,20.96,21.2,20.94,21.1,10573300,NYSE
MO,13-Apr-2010,21.05,21.15,20.88,21.1,9727600,NYSE
MO,14-Apr-2010,21.1,21.16,20.97,21.16,13191700,NYSE
MO,15-Apr-2010,21.08,21.12,21.0,21.1,8292700,NYSE
MO,16-Apr-2010,21.02,21.16,20.75,20.87,15931200,NYSE
MO,19-Apr-2010,20.8,20.93,20.8,20.93,8668400,NYSE
MO,20-Apr-2010,21.0,21.2,20.95,21.17,13153000,NYSE
MO,21-Apr-2010,21.3,21.61,21.25,21.46,15481000,NYSE
MO,22-Apr-2010,21.4,21.46,21.2,21.28,12587600,NYSE
MO,23-Apr-2010,21.31,21.39,21.12,21.36,10143400,NYSE
MO,26-Apr-2010,21.39,21.44,21.17,21.25,17188300,NYSE
MO,27-Apr-2010,21.25,21.25,20.91,20.92,18977100,NYSE
MO,28-Apr-2010,21.08,21.11,20.91,21.02,14961000,NYSE
MO,29-Apr-2010,21.08,21.3,21.07,21.18,10305100,NYSE
MO,30-Apr-2010,21.23,21.48,21.18,21.19,14219400,NYSE
MO,03-May-2010,21.28,21.49,21.21,21.4,10413400,NYSE
MO,04-May-2010,21.29,21.4,21.2,21.26,16718900,NYSE
MO,05-May-2010,21.15,21.46,21.11,21.22,12812500,NYSE
MO,06-May-2010,21.11,21.2,19.2,20.75,31292600,NYSE
MO,07-May-2010,20.67,20.84,20.36,20.76,25541300,NYSE
MO,10-May-2010,21.31,21.6,21.03,21.58,24830800,NYSE
MO,11-May-2010,21.48,21.74,21.37,21.59,18095400,NYSE
MO,12-May-2010,21.76,21.77,21.48,21.67,15714400,NYSE
MO,13-May-2010,21.72,21.8,21.58,21.63,10827400,NYSE
MO,14-May-2010,21.58,21.75,21.5,21.61,19942000,NYSE
MO,17-May-2010,21.64,21.91,21.57,21.7,18416100,NYSE
MO,18-May-2010,21.77,21.8,21.34,21.37,20337700,NYSE
MO,19-May-2010,21.23,21.37,21.07,21.31,18046700,NYSE
MO,20-May-2010,21.09,21.1,20.67,20.67,23402000,NYSE
MO,21-May-2010,20.45,21.03,20.2,21.01,32600700,NYSE
MO,24-May-2010,20.93,21.1,20.79,20.85,26528900,NYSE
MO,25-May-2010,20.35,20.59,20.15,20.4,32139300,NYSE
MO,26-May-2010,20.66,20.69,20.14,20.16,25136900,NYSE
MO,27-May-2010,20.45,20.63,20.31,20.54,26746100,NYSE
MO,28-May-2010,20.6,20.65,20.25,20.29,23479700,NYSE
MO,01-Jun-2010,20.25,20.42,20.07,20.12,20793700,NYSE
MO,02-Jun-2010,20.25,20.4,20.16,20.38,23052200,NYSE
MO,03-Jun-2010,20.52,20.6,20.4,20.59,14910000,NYSE
MO,04-Jun-2010,20.43,20.47,19.97,20.02,30253400,NYSE
MO,07-Jun-2010,20.16,20.22,19.82,19.82,25447600,NYSE
MO,08-Jun-2010,19.93,20.27,19.82,20.2,27164700,NYSE
MO,09-Jun-2010,20.28,20.37,20.01,20.05,40221900,NYSE
MO,10-Jun-2010,20.3,20.46,20.25,20.32,33461800,NYSE
MO,11-Jun-2010,19.9,20.1,19.68,20.08,22535800,NYSE
MO,14-Jun-2010,20.25,20.25,19.57,19.57,30946000,NYSE
MO,15-Jun-2010,19.69,19.92,19.6,19.91,15016000,NYSE
MO,16-Jun-2010,19.78,19.91,19.75,19.83,10935100,NYSE
MO,17-Jun-2010,19.8,20.01,19.76,19.99,15918400,NYSE
MO,18-Jun-2010,20.01,20.08,19.95,20.02,14571000,NYSE
MO,21-Jun-2010,20.17,20.23,20.0,20.06,12676800,NYSE
MO,22-Jun-2010,20.05,20.15,19.78,19.85,12503300,NYSE
MO,23-Jun-2010,19.86,19.93,19.71,19.77,13895500,NYSE
MO,24-Jun-2010,19.73,19.87,19.59,19.62,17191500,NYSE
MO,25-Jun-2010,19.67,19.77,19.53,19.7,28483400,NYSE
MO,28-Jun-2010,19.69,20.89,19.69,20.34,47737900,NYSE
MO,29-Jun-2010,20.13,20.26,19.85,19.96,26893300,NYSE
MO,30-Jun-2010,20.0,20.25,19.91,20.04,19686800,NYSE
MO,01-Jul-2010,20.15,20.27,19.89,20.24,17865600,NYSE
MO,02-Jul-2010,20.21,20.4,20.05,20.31,11413600,NYSE
MO,06-Jul-2010,20.5,20.7,20.39,20.54,13047400,NYSE
MO,07-Jul-2010,20.59,20.9,20.48,20.89,17575800,NYSE
MO,08-Jul-2010,20.97,21.43,20.88,21.32,22149100,NYSE
MO,09-Jul-2010,21.42,21.48,21.16,21.3,15029800,NYSE
MO,12-Jul-2010,21.4,21.48,21.23,21.3,10711400,NYSE
MO,13-Jul-2010,21.38,21.45,21.22,21.34,12101300,NYSE
MO,14-Jul-2010,21.28,21.35,21.17,21.35,10893500,NYSE
MO,15-Jul-2010,21.34,21.49,21.28,21.46,10816800,NYSE
MO,16-Jul-2010,21.41,21.46,21.11,21.26,14095500,NYSE
MO,19-Jul-2010,21.37,21.49,21.3,21.38,10290500,NYSE
