name,date,open_price,close_price,high_price,low_price,volume,market
MP-D,04-Jan-2010,24.25,24.25,24.25,24.25,0,NYSE
MP-D,05-Jan-2010,24.25,24.25,24.25,24.25,0,NYSE
MP-D,06-Jan-2010,24.45,24.45,24.45,24.45,100,NYSE
MP-D,07-Jan-2010,24.35,24.35,24.35,24.35,1100,NYSE
MP-D,08-Jan-2010,24.35,24.35,24.35,24.35,0,NYSE
MP-D,11-Jan-2010,24.15,24.35,24.15,24.35,300,NYSE
MP-D,12-Jan-2010,24.1,24.1,24.07,24.07,900,NYSE
MP-D,13-Jan-2010,24.01,24.29,23.85,24.29,2700,NYSE
MP-D,14-Jan-2010,24.24,24.24,24.05,24.22,3700,NYSE
MP-D,15-Jan-2010,24.1,24.1,23.65,24.0,21900,NYSE
MP-D,19-Jan-2010,24.0,24.0,24.0,24.0,0,NYSE
MP-D,20-Jan-2010,24.24,24.29,24.24,24.29,700,NYSE
MP-D,21-Jan-2010,23.77,24.55,23.77,24.55,8100,NYSE
MP-D,22-Jan-2010,24.55,24.55,24.55,24.55,200,NYSE
MP-D,25-Jan-2010,24.5,24.55,24.5,24.52,2000,NYSE
MP-D,26-Jan-2010,24.55,24.55,24.55,24.55,300,NYSE
MP-D,27-Jan-2010,24.65,24.65,24.65,24.65,400,NYSE
MP-D,28-Jan-2010,24.65,24.65,24.65,24.65,300,NYSE
MP-D,29-Jan-2010,24.65,24.65,24.65,24.65,1200,NYSE
MP-D,01-Feb-2010,24.65,24.65,24.65,24.65,0,NYSE
MP-D,02-Feb-2010,24.65,24.65,24.65,24.65,0,NYSE
MP-D,03-Feb-2010,24.65,24.65,24.65,24.65,0,NYSE
MP-D,04-Feb-2010,24.4,24.4,23.82,24.25,1000,NYSE
MP-D,05-Feb-2010,24.21,24.23,24.2,24.2,400,NYSE
MP-D,08-Feb-2010,23.82,23.83,23.75,23.75,1400,NYSE
MP-D,09-Feb-2010,23.75,24.56,23.75,24.56,2200,NYSE
MP-D,10-Feb-2010,24.33,24.33,24.33,24.33,500,NYSE
MP-D,11-Feb-2010,24.6,24.6,24.6,24.6,400,NYSE
MP-D,12-Feb-2010,24.6,25.58,24.6,25.58,700,NYSE
MP-D,16-Feb-2010,24.82,25.25,24.35,24.35,1900,NYSE
MP-D,17-Feb-2010,24.84,25.25,24.84,25.25,400,NYSE
MP-D,18-Feb-2010,24.66,24.76,24.66,24.76,200,NYSE
MP-D,19-Feb-2010,25.0,25.0,25.0,25.0,100,NYSE
MP-D,22-Feb-2010,25.0,25.0,25.0,25.0,200,NYSE
MP-D,23-Feb-2010,25.0,25.0,25.0,25.0,0,NYSE
MP-D,24-Feb-2010,24.92,24.94,24.56,24.57,600,NYSE
MP-D,25-Feb-2010,24.82,24.82,24.35,24.37,600,NYSE
MP-D,26-Feb-2010,24.82,24.82,24.35,24.51,500,NYSE
MP-D,01-Mar-2010,24.91,24.91,24.91,24.91,100,NYSE
MP-D,02-Mar-2010,24.75,24.75,24.75,24.75,800,NYSE
MP-D,03-Mar-2010,25.01,25.01,24.98,24.98,300,NYSE
MP-D,04-Mar-2010,24.52,24.52,24.28,24.28,500,NYSE
MP-D,05-Mar-2010,25.0,25.24,24.99,25.24,500,NYSE
MP-D,08-Mar-2010,25.24,25.24,25.24,25.24,0,NYSE
MP-D,09-Mar-2010,25.24,25.24,25.24,25.24,0,NYSE
MP-D,10-Mar-2010,25.22,25.22,24.76,24.76,200,NYSE
MP-D,11-Mar-2010,24.92,24.92,24.92,24.92,100,NYSE
MP-D,12-Mar-2010,24.43,24.99,24.01,24.99,1400,NYSE
MP-D,15-Mar-2010,24.99,25.25,24.99,25.25,200,NYSE
MP-D,16-Mar-2010,25.25,25.25,25.25,25.25,0,NYSE
MP-D,17-Mar-2010,24.57,25.25,24.57,25.24,1500,NYSE
MP-D,18-Mar-2010,25.25,25.25,25.25,25.25,500,NYSE
MP-D,19-Mar-2010,25.24,25.25,25.24,25.25,400,NYSE
MP-D,22-Mar-2010,25.22,25.24,24.75,25.24,500,NYSE
MP-D,23-Mar-2010,24.8,25.1,24.61,25.1,700,NYSE
MP-D,24-Mar-2010,25.0,25.15,24.75,25.15,700,NYSE
MP-D,25-Mar-2010,25.1,25.12,24.63,25.12,300,NYSE
MP-D,26-Mar-2010,25.14,25.14,25.11,25.14,500,NYSE
MP-D,29-Mar-2010,24.75,25.15,24.75,25.15,200,NYSE
MP-D,30-Mar-2010,25.15,25.15,25.15,25.15,0,NYSE
MP-D,31-Mar-2010,25.0,25.15,25.0,25.15,200,NYSE
MP-D,01-Apr-2010,24.63,25.12,24.58,25.06,1700,NYSE
MP-D,05-Apr-2010,24.79,24.79,24.69,24.69,400,NYSE
MP-D,06-Apr-2010,24.59,25.04,24.41,25.04,1500,NYSE
MP-D,07-Apr-2010,24.55,24.55,24.11,24.3,3700,NYSE
MP-D,08-Apr-2010,24.57,24.57,24.57,24.57,100,NYSE
MP-D,09-Apr-2010,24.54,24.7,24.15,24.7,1300,NYSE
MP-D,12-Apr-2010,24.7,24.7,24.7,24.7,0,NYSE
MP-D,13-Apr-2010,24.7,24.7,24.7,24.7,0,NYSE
MP-D,14-Apr-2010,24.8,24.81,24.6,24.6,400,NYSE
MP-D,15-Apr-2010,24.89,24.89,24.61,24.61,1600,NYSE
MP-D,16-Apr-2010,24.82,24.82,24.35,24.8,1500,NYSE
