name,date,open_price,close_price,high_price,low_price,volume,market
MPA,04-Jan-2010,13.29,13.31,13.2,13.29,21400,NYSE
MPA,05-Jan-2010,13.29,13.32,13.26,13.31,14200,NYSE
MPA,06-Jan-2010,13.31,13.32,13.25,13.32,19900,NYSE
MPA,07-Jan-2010,13.31,13.32,13.28,13.3,23100,NYSE
MPA,08-Jan-2010,13.3,13.31,13.26,13.31,32800,NYSE
MPA,11-Jan-2010,13.28,13.33,13.28,13.33,16700,NYSE
MPA,12-Jan-2010,13.32,13.33,13.32,13.33,14900,NYSE
MPA,13-Jan-2010,13.26,13.31,13.26,13.3,7200,NYSE
MPA,14-Jan-2010,13.33,13.36,13.28,13.34,22600,NYSE
MPA,15-Jan-2010,13.33,13.45,13.33,13.41,21000,NYSE
MPA,19-Jan-2010,13.43,13.44,13.42,13.42,2900,NYSE
MPA,20-Jan-2010,13.38,13.43,13.27,13.35,27600,NYSE
MPA,21-Jan-2010,13.34,13.34,13.32,13.33,5700,NYSE
MPA,22-Jan-2010,13.34,13.46,13.34,13.42,22100,NYSE
MPA,25-Jan-2010,13.42,13.45,13.4,13.44,13200,NYSE
MPA,26-Jan-2010,13.41,13.44,13.41,13.41,12900,NYSE
MPA,27-Jan-2010,13.44,13.47,13.44,13.44,14600,NYSE
MPA,28-Jan-2010,13.45,13.48,13.29,13.29,75500,NYSE
MPA,29-Jan-2010,13.34,13.38,13.32,13.37,18700,NYSE
MPA,01-Feb-2010,13.36,13.47,13.35,13.36,27600,NYSE
MPA,02-Feb-2010,13.4,13.42,13.39,13.4,13500,NYSE
MPA,03-Feb-2010,13.37,13.42,13.36,13.36,39700,NYSE
MPA,04-Feb-2010,13.39,13.39,13.18,13.23,83400,NYSE
MPA,05-Feb-2010,13.27,13.32,13.25,13.25,14700,NYSE
MPA,08-Feb-2010,13.25,13.39,13.25,13.34,16800,NYSE
MPA,09-Feb-2010,13.37,13.4,13.29,13.32,32800,NYSE
MPA,10-Feb-2010,13.27,13.35,13.27,13.35,26100,NYSE
MPA,11-Feb-2010,13.32,13.37,13.32,13.35,11600,NYSE
MPA,12-Feb-2010,13.35,13.36,13.31,13.34,26400,NYSE
MPA,16-Feb-2010,13.36,13.38,13.32,13.35,15900,NYSE
MPA,17-Feb-2010,13.36,13.4,13.34,13.4,23200,NYSE
MPA,18-Feb-2010,13.42,13.42,13.39,13.39,4900,NYSE
MPA,19-Feb-2010,13.42,13.42,13.3,13.32,21300,NYSE
MPA,22-Feb-2010,13.31,13.31,13.28,13.3,32700,NYSE
MPA,23-Feb-2010,13.32,13.35,13.22,13.32,26700,NYSE
MPA,24-Feb-2010,13.32,13.4,13.32,13.4,13900,NYSE
MPA,25-Feb-2010,13.44,13.44,13.32,13.41,13100,NYSE
MPA,26-Feb-2010,13.47,13.47,13.35,13.44,28700,NYSE
MPA,01-Mar-2010,13.45,13.51,13.39,13.46,16100,NYSE
MPA,02-Mar-2010,13.47,13.52,13.47,13.52,22300,NYSE
MPA,03-Mar-2010,13.52,13.54,13.46,13.53,11400,NYSE
MPA,04-Mar-2010,13.54,13.57,13.54,13.55,13100,NYSE
MPA,05-Mar-2010,13.58,13.61,13.57,13.6,18400,NYSE
MPA,08-Mar-2010,13.6,13.66,13.6,13.65,19500,NYSE
MPA,09-Mar-2010,13.66,13.68,13.65,13.67,15200,NYSE
MPA,10-Mar-2010,13.68,13.74,13.68,13.74,15700,NYSE
MPA,11-Mar-2010,13.7,13.75,13.7,13.71,15000,NYSE
MPA,12-Mar-2010,13.75,13.78,13.72,13.76,25800,NYSE
MPA,15-Mar-2010,13.76,13.88,13.76,13.85,41800,NYSE
MPA,16-Mar-2010,13.82,13.86,13.82,13.86,49300,NYSE
