name,date,open_price,close_price,high_price,low_price,volume,market
MQT,04-Jan-2010,11.73,11.79,11.73,11.77,33000,NYSE
MQT,05-Jan-2010,11.79,11.79,11.73,11.75,39600,NYSE
MQT,06-Jan-2010,11.78,11.83,11.78,11.79,33600,NYSE
MQT,07-Jan-2010,11.85,11.86,11.75,11.85,48500,NYSE
MQT,08-Jan-2010,11.85,11.87,11.79,11.83,97600,NYSE
MQT,11-Jan-2010,11.85,11.85,11.79,11.84,23200,NYSE
MQT,12-Jan-2010,11.83,11.89,11.8,11.84,46300,NYSE
MQT,13-Jan-2010,11.79,11.79,11.76,11.78,51200,NYSE
MQT,14-Jan-2010,11.78,11.81,11.76,11.77,31800,NYSE
MQT,15-Jan-2010,11.72,11.8,11.72,11.77,22500,NYSE
MQT,19-Jan-2010,11.74,11.79,11.74,11.79,25000,NYSE
MQT,20-Jan-2010,11.79,11.86,11.75,11.84,63100,NYSE
MQT,21-Jan-2010,11.8,11.87,11.8,11.86,41400,NYSE
MQT,22-Jan-2010,11.85,11.92,11.85,11.88,37500,NYSE
MQT,25-Jan-2010,11.87,11.91,11.86,11.9,31000,NYSE
MQT,26-Jan-2010,11.88,11.89,11.84,11.87,54500,NYSE
MQT,27-Jan-2010,11.84,11.89,11.84,11.87,38700,NYSE
MQT,28-Jan-2010,11.88,11.89,11.83,11.86,47400,NYSE
MQT,29-Jan-2010,11.85,11.85,11.76,11.78,74300,NYSE
MQT,01-Feb-2010,11.77,11.83,11.76,11.78,45500,NYSE
MQT,02-Feb-2010,11.77,11.82,11.77,11.82,63200,NYSE
MQT,03-Feb-2010,11.83,11.9,11.78,11.88,40900,NYSE
MQT,04-Feb-2010,11.89,11.92,11.78,11.78,61500,NYSE
MQT,05-Feb-2010,11.78,11.84,11.74,11.84,28200,NYSE
MQT,08-Feb-2010,11.8,11.93,11.8,11.9,57300,NYSE
MQT,09-Feb-2010,11.9,11.96,11.9,11.94,27300,NYSE
MQT,10-Feb-2010,11.93,11.95,11.87,11.91,44700,NYSE
