name,date,open_price,close_price,high_price,low_price,volume,market
MS,04-Jan-2010,30.7,31.97,30.63,30.91,20373900,NYSE
MS,05-Jan-2010,31.02,32.13,30.93,32.04,22523300,NYSE
MS,06-Jan-2010,31.97,32.59,31.79,32.45,17029700,NYSE
MS,07-Jan-2010,32.46,33.27,32.27,32.92,18692900,NYSE
MS,08-Jan-2010,32.6,32.82,31.98,32.25,15994900,NYSE
MS,11-Jan-2010,32.39,32.46,31.76,32.04,10088400,NYSE
MS,12-Jan-2010,31.63,31.86,30.99,31.13,14815800,NYSE
MS,13-Jan-2010,31.09,32.0,30.71,31.26,18723400,NYSE
MS,14-Jan-2010,31.1,31.3,30.35,31.2,24694500,NYSE
MS,15-Jan-2010,30.97,31.09,29.98,30.38,27908400,NYSE
MS,19-Jan-2010,30.48,31.26,30.33,31.16,16986800,NYSE
MS,20-Jan-2010,30.76,31.24,30.35,30.63,21204300,NYSE
MS,21-Jan-2010,30.29,30.55,28.24,29.34,56780000,NYSE
MS,22-Jan-2010,28.65,29.18,27.42,27.8,46720100,NYSE
MS,25-Jan-2010,28.22,28.52,27.36,27.74,21102400,NYSE
MS,26-Jan-2010,27.68,28.29,27.21,27.33,24384800,NYSE
MS,27-Jan-2010,27.34,28.11,26.91,27.95,31048600,NYSE
MS,28-Jan-2010,28.2,28.25,27.12,27.49,25486500,NYSE
MS,29-Jan-2010,27.83,27.85,26.65,26.78,21169200,NYSE
MS,01-Feb-2010,26.95,28.0,26.92,27.56,19554200,NYSE
MS,02-Feb-2010,27.6,28.21,27.51,28.06,21015500,NYSE
MS,03-Feb-2010,28.16,28.43,27.69,27.89,18502600,NYSE
MS,04-Feb-2010,27.61,27.65,26.5,26.63,29785200,NYSE
MS,05-Feb-2010,26.58,27.29,26.15,27.26,25553900,NYSE
MS,08-Feb-2010,27.09,27.54,26.38,26.6,14520200,NYSE
MS,09-Feb-2010,26.86,27.3,26.59,27.13,19517300,NYSE
MS,10-Feb-2010,27.08,27.75,27.03,27.51,13861100,NYSE
MS,11-Feb-2010,27.4,27.53,26.88,27.12,18827700,NYSE
MS,12-Feb-2010,26.61,27.3,26.45,27.16,16630900,NYSE
MS,16-Feb-2010,27.45,27.93,27.36,27.82,15770500,NYSE
MS,17-Feb-2010,27.87,27.96,27.23,27.39,16597700,NYSE
MS,18-Feb-2010,27.23,27.49,27.0,27.26,12147300,NYSE
MS,19-Feb-2010,27.1,27.5,26.92,27.41,12359600,NYSE
MS,22-Feb-2010,27.52,27.87,27.31,27.71,14505600,NYSE
MS,23-Feb-2010,27.64,28.42,27.1,27.15,20897900,NYSE
MS,24-Feb-2010,27.27,27.98,27.09,27.83,17937000,NYSE
MS,25-Feb-2010,27.31,27.83,27.1,27.74,15302800,NYSE
MS,26-Feb-2010,27.73,28.41,27.6,28.18,18674800,NYSE
MS,01-Mar-2010,28.3,28.64,28.11,28.19,9221500,NYSE
MS,02-Mar-2010,28.38,28.92,28.33,28.7,13052200,NYSE
MS,03-Mar-2010,28.64,28.85,28.29,28.32,17667400,NYSE
MS,04-Mar-2010,28.39,29.28,28.39,29.2,20650500,NYSE
MS,05-Mar-2010,29.53,29.75,29.27,29.41,18018800,NYSE
MS,08-Mar-2010,29.52,29.74,29.33,29.58,11056800,NYSE
MS,09-Mar-2010,29.45,29.51,28.96,29.05,20074300,NYSE
MS,10-Mar-2010,29.22,30.3,28.83,29.97,29183500,NYSE
MS,11-Mar-2010,29.93,30.12,29.63,30.02,15002000,NYSE
MS,12-Mar-2010,30.15,30.79,29.83,29.91,19440700,NYSE
MS,15-Mar-2010,29.77,30.0,29.28,29.64,17781100,NYSE
MS,16-Mar-2010,29.74,30.42,29.54,30.31,16674600,NYSE
MS,17-Mar-2010,30.53,30.67,30.06,30.28,18426200,NYSE
MS,18-Mar-2010,30.2,30.36,29.7,30.08,16292600,NYSE
MS,19-Mar-2010,30.14,30.21,29.5,29.63,24665900,NYSE
MS,22-Mar-2010,29.3,29.74,29.08,29.6,12571500,NYSE
MS,23-Mar-2010,29.63,29.74,29.35,29.53,12144900,NYSE
MS,24-Mar-2010,29.42,29.68,29.26,29.37,12962200,NYSE
MS,25-Mar-2010,29.54,29.79,28.87,28.91,21709200,NYSE
MS,26-Mar-2010,29.08,29.22,28.58,28.85,18226200,NYSE
MS,29-Mar-2010,29.28,29.6,29.0,29.43,15041000,NYSE
MS,30-Mar-2010,29.31,29.46,28.82,29.21,14467900,NYSE
