name,date,open_price,close_price,high_price,low_price,volume,market
MUR,04-Jan-2010,55.12,56.06,55.11,55.92,1418200,NYSE
MUR,05-Jan-2010,56.12,56.92,55.77,56.83,1543900,NYSE
MUR,06-Jan-2010,56.85,58.03,56.55,57.7,1847300,NYSE
MUR,07-Jan-2010,57.6,58.55,57.32,58.35,1727300,NYSE
MUR,08-Jan-2010,58.11,59.92,57.63,59.71,2370800,NYSE
MUR,11-Jan-2010,60.17,60.29,59.15,59.59,2227700,NYSE
MUR,12-Jan-2010,58.48,58.58,56.5,57.47,2702800,NYSE
MUR,13-Jan-2010,57.47,57.65,56.0,57.46,1648300,NYSE
MUR,14-Jan-2010,57.15,57.89,56.79,57.75,1046700,NYSE
MUR,15-Jan-2010,57.48,57.87,56.22,56.85,1700500,NYSE
MUR,19-Jan-2010,56.48,56.94,55.87,56.85,1431400,NYSE
MUR,20-Jan-2010,56.22,56.23,55.37,56.0,1234500,NYSE
MUR,21-Jan-2010,55.89,55.95,53.78,54.1,2586400,NYSE
MUR,22-Jan-2010,53.91,54.51,52.66,52.76,2038100,NYSE
MUR,25-Jan-2010,53.3,53.72,52.47,52.8,1438800,NYSE
MUR,26-Jan-2010,52.26,53.25,51.97,52.12,1549000,NYSE
MUR,27-Jan-2010,51.97,52.49,51.14,51.87,2001000,NYSE
MUR,28-Jan-2010,51.62,52.44,50.17,51.07,2740200,NYSE
MUR,29-Jan-2010,51.63,52.02,50.72,51.08,3636700,NYSE
MUR,01-Feb-2010,51.5,52.59,51.49,52.5,1488100,NYSE
MUR,02-Feb-2010,52.58,53.53,52.16,53.42,1992100,NYSE
MUR,03-Feb-2010,53.03,53.2,52.11,52.49,1525500,NYSE
MUR,04-Feb-2010,51.87,51.98,50.23,50.38,1582100,NYSE
MUR,05-Feb-2010,50.63,50.77,49.0,50.75,2181500,NYSE
MUR,08-Feb-2010,50.63,51.14,50.12,50.13,2057400,NYSE
MUR,09-Feb-2010,50.87,52.03,50.51,51.52,2108000,NYSE
MUR,10-Feb-2010,51.4,51.66,50.35,50.9,1718300,NYSE
MUR,11-Feb-2010,50.6,51.7,50.31,51.52,1436500,NYSE
MUR,12-Feb-2010,50.63,51.64,50.33,51.26,1666300,NYSE
MUR,16-Feb-2010,51.93,52.7,51.86,52.7,1754900,NYSE
MUR,17-Feb-2010,52.81,52.87,52.04,52.48,1398000,NYSE
MUR,18-Feb-2010,52.36,53.2,52.12,53.06,1205100,NYSE
MUR,19-Feb-2010,52.82,53.77,52.81,53.5,1251400,NYSE
MUR,22-Feb-2010,53.69,54.03,53.02,53.15,1546000,NYSE
MUR,23-Feb-2010,52.98,53.1,51.75,51.78,1465500,NYSE
MUR,24-Feb-2010,52.01,52.28,51.39,51.9,1138600,NYSE
MUR,25-Feb-2010,50.82,51.66,50.32,51.55,1175500,NYSE
MUR,26-Feb-2010,51.83,52.13,51.13,51.9,1720900,NYSE
MUR,01-Mar-2010,52.33,53.29,52.19,53.25,1719800,NYSE
MUR,02-Mar-2010,53.5,54.09,53.3,53.66,1782300,NYSE
MUR,03-Mar-2010,53.82,54.1,53.28,53.44,1575900,NYSE
MUR,04-Mar-2010,53.4,53.58,52.65,53.21,1466600,NYSE
MUR,05-Mar-2010,53.69,54.25,53.62,53.9,1670500,NYSE
MUR,08-Mar-2010,53.88,54.32,53.52,53.7,1398500,NYSE
MUR,09-Mar-2010,53.31,53.95,53.19,53.57,1626900,NYSE
MUR,10-Mar-2010,53.39,54.14,53.39,53.94,1340900,NYSE
MUR,11-Mar-2010,53.72,54.04,53.5,53.79,1046800,NYSE
MUR,12-Mar-2010,54.15,54.25,53.71,54.0,1432200,NYSE
MUR,15-Mar-2010,53.74,53.81,52.98,53.71,1384400,NYSE
